date,temperature
2023-06-10,4.7
2023-06-11,27.1
2023-06-12,16.8
2023-06-13,27.7
2023-06-14,-2.0
2023-06-15,3.9
2023-06-16,11.2
2023-06-17,-1.8
2023-06-18,13.3
2023-06-19,25.9
2023-06-20,6.3
2023-06-21,8.6
2023-06-22,18.1
2023-06-23,2.6
2023-06-24,2.5
2023-06-25,19.9
2023-06-26,-2.2
2023-06-27,6.7
2023-06-28,0.9
2023-06-29,17.0
2023-06-30,18.1
2023-07-01,19.6
2023-07-02,10.2
2023-07-03,28.1
2023-07-04,18.1
2023-07-05,28.7
2023-07-06,16.3
2023-07-07,-3.8
2023-07-08,7.6
2023-07-09,16.7
2023-07-10,-9.2
2023-07-11,-2.3
2023-07-12,-5.8
2023-07-13,4.6
2023-07-14,27.7
2023-07-15,7.9
2023-07-16,3.3
2023-07-17,2.8
2023-07-18,20.6
2023-07-19,3.4
2023-07-20,25.2
2023-07-21,4.7
2023-07-22,-7.3
2023-07-23,21.5
2023-07-24,18.8
2023-07-25,24.6
2023-07-26,25.8
2023-07-27,14.3
2023-07-28,26.2
2023-07-29,20.8
2023-07-30,-7.2
2023-07-31,8.3
2023-08-01,28.4
2023-08-02,22.7
2023-08-03,29.0
2023-08-04,-2.1
2023-08-05,-9.7
2023-08-06,5.4
2023-08-07,19.6
2023-08-08,27.7
2023-08-09,3.0
2023-08-10,18.8
2023-08-11,21.4
2023-08-12,23.1
2023-08-13,19.9
2023-08-14,-3.2
2023-08-15,-0.0
2023-08-16,27.1
2023-08-17,18.9
2023-08-18,-7.0
2023-08-19,-6.6
2023-08-20,2.8
2023-08-21,4.5
2023-08-22,2.9
2023-08-23,22.7
2023-08-24,-3.8
2023-08-25,23.2
2023-08-26,20.5
2023-08-27,7.2
2023-08-28,28.3
2023-08-29,9.6
2023-08-30,-8.8
2023-08-31,-5.1
2023-09-01,4.9
2023-09-02,-6.4
2023-09-03,15.5
2023-09-04,18.6
2023-09-05,11.0
2023-09-06,-5.1
2023-09-07,2.7
2023-09-08,17.0
2023-09-09,17.5
2023-09-10,21.2
2023-09-11,4.2
2023-09-12,23.2
2023-09-13,-8.1
2023-09-14,14.6
2023-09-15,1.2
2023-09-16,23.2
2023-09-17,-7.1
2023-09-18,16.5
2023-09-19,19.3
2023-09-20,7.9
2023-09-21,-1.8
2023-09-22,-9.6
2023-09-23,4.5
2023-09-24,-4.2
2023-09-25,-0.3
2023-09-26,-4.5
2023-09-27,8.7
2023-09-28,20.2
2023-09-29,16.9
2023-09-30,-5.5
2023-10-01,29.8
2023-10-02,18.6
2023-10-03,-4.7
2023-10-04,26.1
2023-10-05,12.7
2023-10-06,-3.1
2023-10-07,8.7
2023-10-08,12.5
2023-10-09,-4.7
2023-10-10,17.2
2023-10-11,-8.3
2023-10-12,-9.1
2023-10-13,12.6
2023-10-14,25.3
2023-10-15,6.8
2023-10-16,21.1
2023-10-17,14.6
2023-10-18,16.5
2023-10-19,-0.1
2023-10-20,7.7
2023-10-21,25.8
2023-10-22,4.4
2023-10-23,17.7
