date,temperature
2023-06-10,23.5
2023-06-11,5.7
2023-06-12,11.5
2023-06-13,10.4
2023-06-14,7.4
2023-06-15,11.2
2023-06-16,26.7
2023-06-17,31.4
2023-06-18,26.9
2023-06-19,22.6
2023-06-20,33.4
2023-06-21,11.0
2023-06-22,30.2
2023-06-23,7.3
2023-06-24,21.5
2023-06-25,30.2
2023-06-26,19.6
2023-06-27,18.4
2023-06-28,27.3
2023-06-29,34.9
2023-06-30,20.5
2023-07-01,14.9
2023-07-02,12.3
2023-07-03,9.7
2023-07-04,15.7
2023-07-05,16.2
2023-07-06,24.1
2023-07-07,24.7
2023-07-08,26.6
2023-07-09,21.1
2023-07-10,28.7
2023-07-11,31.8
2023-07-12,32.9
2023-07-13,33.9
2023-07-14,8.9
2023-07-15,23.1
2023-07-16,14.9
2023-07-17,15.1
2023-07-18,11.4
2023-07-19,17.0
2023-07-20,30.5
2023-07-21,27.4
2023-07-22,34.3
2023-07-23,11.9
2023-07-24,22.8
2023-07-25,21.3
2023-07-26,30.7
2023-07-27,21.3
2023-07-28,22.0
2023-07-29,29.0
2023-07-30,11.8
2023-07-31,20.5
2023-08-01,21.1
2023-08-02,22.1
2023-08-03,30.4
2023-08-04,21.1
2023-08-05,12.9
2023-08-06,17.1
2023-08-07,30.0
2023-08-08,33.2
2023-08-09,5.6
2023-08-10,21.5
2023-08-11,23.5
2023-08-12,20.9
2023-08-13,7.8
2023-08-14,27.4
2023-08-15,20.2
2023-08-16,16.4
2023-08-17,13.6
2023-08-18,25.9
2023-08-19,25.0
2023-08-20,11.8
2023-08-21,34.7
2023-08-22,26.2
2023-08-23,7.1
2023-08-24,33.7
2023-08-25,16.5
2023-08-26,17.8
2023-08-27,14.5
2023-08-28,26.8
2023-08-29,26.9
2023-08-30,9.0
2023-08-31,30.4
2023-09-01,14.4
2023-09-02,6.0
2023-09-03,12.8
2023-09-04,28.4
2023-09-05,26.0
2023-09-06,20.5
2023-09-07,26.6
2023-09-08,25.3
2023-09-09,5.3
2023-09-10,27.3
2023-09-11,30.2
2023-09-12,10.2
2023-09-13,23.4
2023-09-14,11.6
2023-09-15,29.4
2023-09-16,17.0
2023-09-17,20.3
2023-09-18,20.2
2023-09-19,30.7
2023-09-20,28.0
2023-09-21,25.1
2023-09-22,21.1
2023-09-23,10.2
2023-09-24,33.9
2023-09-25,34.2
2023-09-26,21.3
2023-09-27,31.4
2023-09-28,30.6
2023-09-29,18.2
2023-09-30,12.9
2023-10-01,16.3
2023-10-02,21.5
2023-10-03,32.5
2023-10-04,13.0
2023-10-05,20.7
2023-10-06,12.0
2023-10-07,34.1
2023-10-08,32.3
2023-10-09,34.8
2023-10-10,31.6
2023-10-11,28.4
2023-10-12,26.7
2023-10-13,6.1
2023-10-14,13.4
2023-10-15,17.0
2023-10-16,32.7
2023-10-17,14.9
2023-10-18,30.5
2023-10-19,6.5
2023-10-20,20.5
2023-10-21,15.4
2023-10-22,25.0
2023-10-23,6.3
2023-10-24,18.7
2023-10-25,8.1
2023-10-26,10.0
2023-10-27,23.1
2023-10-28,9.7
2023-10-29,14.2
2023-10-30,7.6
2023-10-31,23.1
2023-11-01,14.6
2023-11-02,5.5
2023-11-03,26.9
2023-11-04,30.2
2023-11-05,26.3
2023-11-06,28.6
2023-11-07,6.4
2023-11-08,13.2
2023-11-09,8.0
2023-11-10,14.9
2023-11-11,8.4
2023-11-12,7.5
2023-11-13,14.8
2023-11-14,10.5
2023-11-15,32.2
2023-11-16,12.1
2023-11-17,5.4
2023-11-18,8.5
2023-11-19,11.1
2023-11-20,22.7
2023-11-21,8.6
2023-11-22,16.4
2023-11-23,14.0
2023-11-24,30.4
2023-11-25,22.3
2023-11-26,29.7
2023-11-27,8.8
2023-11-28,29.7
2023-11-29,13.8
2023-11-30,9.9
2023-12-01,33.8
2023-12-02,16.1
2023-12-03,14.6
2023-12-04,26.3
2023-12-05,24.8
2023-12-06,18.3
2023-12-07,26.3
2023-12-08,19.5
2023-12-09,15.9
2023-12-10,22.8
2023-12-11,20.6
2023-12-12,5.0
2023-12-13,29.3
2023-12-14,10.7
2023-12-15,26.5
2023-12-16,6.7
2023-12-17,11.5
2023-12-18,25.5
2023-12-19,9.7
2023-12-20,32.1
2023-12-21,26.8
2023-12-22,10.1
2023-12-23,6.2
2023-12-24,11.8
2023-12-25,14.5
2023-12-26,10.8
2023-12-27,32.4
2023-12-28,29.6
2023-12-29,29.2
2023-12-30,31.7
2023-12-31,13.3
2024-01-01,10.5
2024-01-02,34.7
2024-01-03,12.6
2024-01-04,25.6
2024-01-05,32.7
2024-01-06,24.7
2024-01-07,22.8
2024-01-08,5.2
2024-01-09,24.7
2024-01-10,33.0
2024-01-11,18.7
2024-01-12,24.0
2024-01-13,30.0
2024-01-14,18.3
2024-01-15,9.3
2024-01-16,15.8
2024-01-17,5.7
2024-01-18,34.5
2024-01-19,27.8
2024-01-20,21.5
2024-01-21,29.1
2024-01-22,6.3
2024-01-23,25.6
2024-01-24,23.6
2024-01-25,6.7
2024-01-26,28.3
2024-01-27,7.4
2024-01-28,11.2
2024-01-29,21.5
2024-01-30,7.3
2024-01-31,31.2
2024-02-01,14.5
2024-02-02,16.5
2024-02-03,7.0
2024-02-04,25.3
2024-02-05,27.5
2024-02-06,12.0
2024-02-07,6.5
2024-02-08,32.2
2024-02-09,16.7
2024-02-10,34.0
2024-02-11,32.1
2024-02-12,9.5
2024-02-13,19.4
2024-02-14,7.9
2024-02-15,28.2
2024-02-16,30.9
2024-02-17,5.8
2024-02-18,15.6
2024-02-19,17.2
2024-02-20,32.9
2024-02-21,14.8
2024-02-22,18.2
2024-02-23,19.4
2024-02-24,32.4
2024-02-25,30.3
2024-02-26,7.9
2024-02-27,24.0
2024-02-28,15.5
2024-02-29,34.2
2024-03-01,28.7
2024-03-02,33.5
2024-03-03,20.5
2024-03-04,33.6
2024-03-05,5.8
2024-03-06,33.8
2024-03-07,6.8
2024-03-08,9.4
2024-03-09,7.1
2024-03-10,21.7
2024-03-11,24.5
2024-03-12,29.0
2024-03-13,17.3
2024-03-14,6.2
2024-03-15,5.2
2024-03-16,20.4
2024-03-17,25.5
2024-03-18,16.5
2024-03-19,24.3
2024-03-20,13.6
2024-03-21,9.0
2024-03-22,14.3
2024-03-23,6.1
2024-03-24,22.5
2024-03-25,19.6
2024-03-26,13.7
2024-03-27,34.2
2024-03-28,24.4
2024-03-29,14.1
2024-03-30,18.4
2024-03-31,21.5
2024-04-01,13.0
2024-04-02,9.9
2024-04-03,32.5
2024-04-04,21.0
2024-04-05,16.5
2024-04-06,23.8
2024-04-07,19.9
2024-04-08,33.4
2024-04-09,23.3
2024-04-10,15.3
2024-04-11,8.2
2024-04-12,18.1
2024-04-13,29.6
2024-04-14,27.4
2024-04-15,20.9
2024-04-16,27.7
2024-04-17,21.0
2024-04-18,15.4
2024-04-19,23.6
2024-04-20,22.8
2024-04-21,8.4
2024-04-22,33.1
2024-04-23,21.7
2024-04-24,30.9
