date,temperature
2023-06-10,21.1
2023-06-11,6.2
2023-06-12,23.1
2023-06-13,24.3
2023-06-14,3.7
2023-06-15,16.5
2023-06-16,18.8
2023-06-17,16.1
2023-06-18,3.9
2023-06-19,11.3
2023-06-20,17.1
2023-06-21,18.3
2023-06-22,10.6
2023-06-23,5.5
2023-06-24,10.7
2023-06-25,4.3
2023-06-26,21.1
2023-06-27,8.8
2023-06-28,5.2
2023-06-29,6.5
2023-06-30,1.9
2023-07-01,11.4
2023-07-02,14.5
2023-07-03,9.8
2023-07-04,9.5
2023-07-05,12.1
2023-07-06,8.5
2023-07-07,16.4
2023-07-08,13.0
2023-07-09,4.0
2023-07-10,10.7
2023-07-11,3.1
2023-07-12,15.5
2023-07-13,16.3
2023-07-14,7.4
2023-07-15,22.1
2023-07-16,10.7
2023-07-17,13.3
2023-07-18,14.7
2023-07-19,14.9
2023-07-20,6.2
2023-07-21,16.6
2023-07-22,20.6
2023-07-23,13.6
2023-07-24,9.2
2023-07-25,14.4
2023-07-26,11.7
2023-07-27,20.7
2023-07-28,15.7
2023-07-29,9.3
2023-07-30,7.3
2023-07-31,19.1
2023-08-01,18.3
2023-08-02,0.0
2023-08-03,18.0
2023-08-04,1.3
2023-08-05,17.5
2023-08-06,10.0
2023-08-07,18.8
2023-08-08,8.3
2023-08-09,18.3
2023-08-10,13.4
2023-08-11,10.7
2023-08-12,19.4
2023-08-13,2.8
2023-08-14,4.6
2023-08-15,4.3
2023-08-16,18.9
2023-08-17,0.4
2023-08-18,7.1
2023-08-19,11.5
2023-08-20,2.4
2023-08-21,19.9
2023-08-22,4.5
2023-08-23,6.8
2023-08-24,14.7
2023-08-25,0.1
2023-08-26,14.9
2023-08-27,5.1
2023-08-28,15.0
2023-08-29,17.4
2023-08-30,6.7
2023-08-31,0.5
2023-09-01,16.6
2023-09-02,7.9
2023-09-03,15.7
2023-09-04,10.6
2023-09-05,23.7
2023-09-06,18.6
2023-09-07,3.2
2023-09-08,21.7
2023-09-09,10.4
2023-09-10,3.1
2023-09-11,19.4
2023-09-12,3.6
2023-09-13,12.8
2023-09-14,18.7
2023-09-15,11.2
2023-09-16,3.7
2023-09-17,14.4
2023-09-18,6.7
2023-09-19,22.3
2023-09-20,12.8
2023-09-21,2.0
2023-09-22,10.1
2023-09-23,6.8
2023-09-24,19.5
2023-09-25,11.6
2023-09-26,5.3
2023-09-27,0.3
2023-09-28,1.0
2023-09-29,24.6
2023-09-30,5.8
2023-10-01,17.1
2023-10-02,18.6
2023-10-03,21.6
2023-10-04,16.7
2023-10-05,1.7
2023-10-06,8.1
2023-10-07,7.8
2023-10-08,4.2
2023-10-09,18.0
2023-10-10,0.8
2023-10-11,24.0
2023-10-12,6.5
2023-10-13,5.2
2023-10-14,23.2
2023-10-15,23.0
2023-10-16,11.4
2023-10-17,17.5
2023-10-18,0.9
2023-10-19,6.7
2023-10-20,18.2
2023-10-21,21.3
2023-10-22,20.6
2023-10-23,7.0
2023-10-24,13.4
2023-10-25,12.7
2023-10-26,18.3
2023-10-27,17.3
2023-10-28,21.8
2023-10-29,12.6
2023-10-30,17.6
2023-10-31,6.5
2023-11-01,9.1
2023-11-02,23.8
2023-11-03,1.2
2023-11-04,24.5
2023-11-05,20.7
2023-11-06,1.4
