date,temperature
2023-06-10,23.4
2023-06-11,20.8
2023-06-12,19.8
2023-06-13,18.9
2023-06-14,19.5
2023-06-15,10.3
2023-06-16,27.8
2023-06-17,18.2
2023-06-18,20.6
2023-06-19,16.8
2023-06-20,10.4
2023-06-21,16.4
2023-06-22,16.1
2023-06-23,24.8
2023-06-24,11.6
2023-06-25,11.5
2023-06-26,27.3
2023-06-27,28.1
2023-06-28,25.3
2023-06-29,10.1
2023-06-30,26.0
2023-07-01,21.7
2023-07-02,15.6
2023-07-03,24.8
2023-07-04,23.0
2023-07-05,29.8
2023-07-06,23.6
2023-07-07,14.4
2023-07-08,25.8
2023-07-09,27.6
2023-07-10,25.5
2023-07-11,13.7
2023-07-12,16.5
2023-07-13,26.8
2023-07-14,23.8
2023-07-15,12.6
2023-07-16,17.6
2023-07-17,17.3
2023-07-18,18.5
2023-07-19,24.1
2023-07-20,14.2
2023-07-21,28.6
2023-07-22,28.2
2023-07-23,26.1
2023-07-24,11.8
2023-07-25,21.6
2023-07-26,16.4
2023-07-27,23.9
2023-07-28,12.9
2023-07-29,18.4
2023-07-30,17.2
2023-07-31,18.7
2023-08-01,23.5
2023-08-02,22.1
2023-08-03,25.3
2023-08-04,19.2
2023-08-05,20.5
2023-08-06,23.3
2023-08-07,13.5
2023-08-08,25.2
2023-08-09,12.3
2023-08-10,26.8
2023-08-11,14.5
2023-08-12,10.1
2023-08-13,14.4
2023-08-14,17.6
2023-08-15,27.8
2023-08-16,15.6
2023-08-17,15.7
2023-08-18,21.6
2023-08-19,15.5
2023-08-20,11.7
2023-08-21,11.9
2023-08-22,19.7
2023-08-23,18.5
2023-08-24,12.2
2023-08-25,23.2
2023-08-26,11.9
2023-08-27,25.8
2023-08-28,13.2
2023-08-29,15.7
2023-08-30,28.8
2023-08-31,24.5
2023-09-01,23.5
2023-09-02,14.6
2023-09-03,26.6
2023-09-04,22.1
2023-09-05,16.9
2023-09-06,11.3
2023-09-07,18.8
2023-09-08,18.7
2023-09-09,16.4
2023-09-10,21.8
2023-09-11,20.0
2023-09-12,10.6
2023-09-13,20.7
2023-09-14,23.1
2023-09-15,22.1
2023-09-16,24.9
2023-09-17,22.8
2023-09-18,30.0
2023-09-19,24.3
2023-09-20,27.3
2023-09-21,21.3
2023-09-22,11.6
2023-09-23,12.8
2023-09-24,15.3
2023-09-25,24.5
2023-09-26,15.7
2023-09-27,16.8
2023-09-28,29.8
2023-09-29,29.4
2023-09-30,14.6
2023-10-01,16.1
2023-10-02,14.4
2023-10-03,29.2
2023-10-04,20.8
2023-10-05,10.9
2023-10-06,18.9
2023-10-07,20.9
2023-10-08,27.5
2023-10-09,18.9
2023-10-10,14.2
2023-10-11,21.4
2023-10-12,19.8
2023-10-13,22.5
2023-10-14,22.6
2023-10-15,23.0
2023-10-16,29.6
2023-10-17,23.1
2023-10-18,11.9
2023-10-19,19.5
2023-10-20,23.5
2023-10-21,26.5
2023-10-22,16.5
2023-10-23,28.4
2023-10-24,10.5
2023-10-25,22.8
2023-10-26,10.9
2023-10-27,16.1
2023-10-28,22.3
2023-10-29,19.1
2023-10-30,14.6
2023-10-31,18.0
2023-11-01,27.5
2023-11-02,13.5
2023-11-03,20.1
2023-11-04,16.9
2023-11-05,25.2
2023-11-06,10.5
2023-11-07,20.3
2023-11-08,24.4
2023-11-09,29.9
2023-11-10,13.1
2023-11-11,15.4
2023-11-12,18.7
2023-11-13,24.6
2023-11-14,13.3
2023-11-15,23.0
2023-11-16,20.5
2023-11-17,23.7
2023-11-18,26.5
2023-11-19,14.5
2023-11-20,30.0
2023-11-21,10.9
2023-11-22,23.7
2023-11-23,26.8
2023-11-24,12.7
2023-11-25,20.1
2023-11-26,29.1
2023-11-27,11.6
2023-11-28,12.0
2023-11-29,16.0
2023-11-30,27.2
2023-12-01,23.4
2023-12-02,25.8
2023-12-03,21.3
2023-12-04,20.9
2023-12-05,24.0
2023-12-06,26.8
2023-12-07,22.1
2023-12-08,27.8
2023-12-09,15.6
2023-12-10,27.0
2023-12-11,29.9
2023-12-12,24.5
2023-12-13,10.9
2023-12-14,29.5
2023-12-15,23.1
2023-12-16,16.5
2023-12-17,21.1
2023-12-18,13.9
2023-12-19,26.1
2023-12-20,25.2
2023-12-21,17.0
2023-12-22,19.3
2023-12-23,17.8
2023-12-24,10.3
2023-12-25,18.9
2023-12-26,25.9
2023-12-27,11.1
2023-12-28,24.6
2023-12-29,21.9
2023-12-30,23.2
2023-12-31,19.2
2024-01-01,20.0
2024-01-02,26.7
2024-01-03,13.6
2024-01-04,27.0
2024-01-05,23.2
2024-01-06,12.6
2024-01-07,10.2
2024-01-08,19.6
2024-01-09,18.5
2024-01-10,17.3
2024-01-11,26.0
2024-01-12,29.7
2024-01-13,21.6
2024-01-14,11.7
2024-01-15,27.7
2024-01-16,29.2
2024-01-17,29.5
2024-01-18,22.2
2024-01-19,18.9
2024-01-20,20.0
2024-01-21,24.0
2024-01-22,28.8
2024-01-23,14.0
2024-01-24,26.0
2024-01-25,18.6
2024-01-26,17.1
2024-01-27,11.7
2024-01-28,23.4
2024-01-29,26.3
2024-01-30,18.4
2024-01-31,27.4
2024-02-01,19.9
2024-02-02,13.0
2024-02-03,27.8
2024-02-04,14.6
2024-02-05,10.9
2024-02-06,22.8
2024-02-07,12.9
2024-02-08,17.3
2024-02-09,25.7
2024-02-10,28.3
