date,temperature
2023-06-10,20.7
2023-06-11,20.0
2023-06-12,23.8
2023-06-13,-13.0
2023-06-14,22.1
2023-06-15,-0.0
2023-06-16,20.2
2023-06-17,-12.1
2023-06-18,-11.5
2023-06-19,7.2
2023-06-20,-14.2
2023-06-21,6.5
2023-06-22,18.6
2023-06-23,-5.3
2023-06-24,19.3
2023-06-25,-4.2
2023-06-26,10.2
2023-06-27,1.9
2023-06-28,16.7
2023-06-29,9.4
2023-06-30,-2.1
2023-07-01,-7.9
2023-07-02,11.5
2023-07-03,-12.8
2023-07-04,-12.2
2023-07-05,8.2
2023-07-06,10.2
2023-07-07,-2.3
2023-07-08,-14.6
2023-07-09,-12.8
2023-07-10,5.5
2023-07-11,15.2
2023-07-12,-9.8
2023-07-13,-5.8
2023-07-14,3.9
2023-07-15,23.0
2023-07-16,-4.1
2023-07-17,16.6
2023-07-18,-11.5
2023-07-19,18.1
2023-07-20,2.9
2023-07-21,1.6
2023-07-22,15.1
2023-07-23,-5.0
2023-07-24,-13.3
2023-07-25,11.7
2023-07-26,0.6
2023-07-27,17.3
2023-07-28,17.2
2023-07-29,-3.4
2023-07-30,-11.0
2023-07-31,-12.3
2023-08-01,-10.5
2023-08-02,6.4
2023-08-03,19.7
2023-08-04,6.4
2023-08-05,3.4
2023-08-06,-11.4
2023-08-07,9.7
2023-08-08,-3.6
2023-08-09,19.5
2023-08-10,-1.6
2023-08-11,19.2
2023-08-12,-0.3
2023-08-13,11.0
2023-08-14,-1.9
2023-08-15,-7.1
2023-08-16,20.9
2023-08-17,7.9
2023-08-18,6.6
2023-08-19,3.1
2023-08-20,-4.1
2023-08-21,-5.2
2023-08-22,-12.4
2023-08-23,-12.8
2023-08-24,20.1
2023-08-25,21.8
2023-08-26,-12.0
2023-08-27,4.2
2023-08-28,10.3
2023-08-29,19.6
2023-08-30,8.5
2023-08-31,-6.9
2023-09-01,-14.0
2023-09-02,-5.7
2023-09-03,7.0
2023-09-04,-6.0
2023-09-05,8.6
2023-09-06,-0.6
2023-09-07,1.3
2023-09-08,4.7
2023-09-09,11.4
2023-09-10,14.4
2023-09-11,-12.2
2023-09-12,11.9
2023-09-13,14.2
2023-09-14,0.5
2023-09-15,-10.8
2023-09-16,17.8
2023-09-17,18.5
2023-09-18,10.2
2023-09-19,7.6
2023-09-20,19.4
2023-09-21,-4.2
2023-09-22,-7.2
2023-09-23,22.2
2023-09-24,11.5
2023-09-25,-14.7
2023-09-26,6.3
2023-09-27,-9.0
2023-09-28,19.6
2023-09-29,-0.8
2023-09-30,14.8
2023-10-01,-6.3
2023-10-02,-15.0
2023-10-03,18.3
2023-10-04,-4.2
2023-10-05,6.1
2023-10-06,-14.6
2023-10-07,9.9
2023-10-08,22.6
2023-10-09,14.1
2023-10-10,6.6
2023-10-11,19.6
2023-10-12,-5.3
2023-10-13,24.8
2023-10-14,19.2
2023-10-15,15.0
2023-10-16,14.9
2023-10-17,-7.0
2023-10-18,0.6
2023-10-19,1.8
2023-10-20,-14.1
2023-10-21,11.8
2023-10-22,0.9
2023-10-23,16.8
2023-10-24,14.3
2023-10-25,22.6
2023-10-26,-12.8
2023-10-27,22.7
2023-10-28,-9.0
2023-10-29,15.7
2023-10-30,6.6
2023-10-31,12.5
2023-11-01,11.8
2023-11-02,22.3
2023-11-03,22.0
2023-11-04,13.0
2023-11-05,1.3
2023-11-06,20.4
2023-11-07,0.7
2023-11-08,19.3
2023-11-09,-11.0
2023-11-10,4.5
2023-11-11,9.3
2023-11-12,-2.9
2023-11-13,18.8
2023-11-14,-11.9
2023-11-15,22.4
2023-11-16,12.3
2023-11-17,12.0
2023-11-18,-11.2
2023-11-19,-1.7
2023-11-20,-4.3
2023-11-21,10.7
2023-11-22,-14.3
2023-11-23,11.4
2023-11-24,-13.5
2023-11-25,2.7
2023-11-26,21.5
2023-11-27,-7.2
2023-11-28,20.5
2023-11-29,18.5
2023-11-30,-1.5
2023-12-01,-0.3
2023-12-02,4.3
2023-12-03,8.1
2023-12-04,21.5
2023-12-05,-0.5
2023-12-06,20.0
2023-12-07,9.2
2023-12-08,23.6
2023-12-09,19.8
2023-12-10,22.9
2023-12-11,-1.3
2023-12-12,19.2
2023-12-13,-8.1
2023-12-14,11.5
2023-12-15,9.3
2023-12-16,16.0
2023-12-17,6.3
2023-12-18,10.5
2023-12-19,18.2
2023-12-20,-3.6
2023-12-21,18.1
2023-12-22,-6.7
2023-12-23,-5.2
2023-12-24,13.3
2023-12-25,13.8
2023-12-26,-10.8
2023-12-27,21.7
2023-12-28,20.3
2023-12-29,-13.9
2023-12-30,9.5
2023-12-31,-14.8
2024-01-01,-7.0
2024-01-02,4.0
2024-01-03,-11.5
2024-01-04,3.9
2024-01-05,-1.2
2024-01-06,-1.0
2024-01-07,23.4
2024-01-08,13.4
2024-01-09,7.3
2024-01-10,-9.0
2024-01-11,5.7
2024-01-12,20.0
2024-01-13,-2.6
2024-01-14,-1.6
