date,temperature
2023-06-10,-14.4
2023-06-11,19.0
2023-06-12,-13.4
2023-06-13,-9.7
2023-06-14,21.2
2023-06-15,21.6
2023-06-16,18.0
2023-06-17,-13.9
2023-06-18,21.5
2023-06-19,1.5
2023-06-20,24.2
2023-06-21,12.7
2023-06-22,-13.3
2023-06-23,-8.7
2023-06-24,-12.9
2023-06-25,-0.9
2023-06-26,-6.1
2023-06-27,24.2
2023-06-28,-9.8
2023-06-29,16.3
2023-06-30,-9.9
2023-07-01,10.3
2023-07-02,6.0
2023-07-03,22.1
2023-07-04,12.6
2023-07-05,5.2
2023-07-06,-10.6
2023-07-07,22.4
2023-07-08,11.0
2023-07-09,22.4
2023-07-10,13.7
2023-07-11,4.0
2023-07-12,10.9
2023-07-13,24.7
2023-07-14,19.1
2023-07-15,12.5
2023-07-16,-8.7
2023-07-17,10.4
2023-07-18,19.9
2023-07-19,10.1
2023-07-20,-13.5
2023-07-21,-8.1
2023-07-22,-3.1
2023-07-23,-4.0
2023-07-24,10.6
2023-07-25,16.8
2023-07-26,21.3
2023-07-27,7.2
2023-07-28,19.9
2023-07-29,20.5
2023-07-30,-3.9
2023-07-31,12.4
2023-08-01,11.8
2023-08-02,-7.8
2023-08-03,2.5
2023-08-04,17.5
2023-08-05,20.8
2023-08-06,22.8
2023-08-07,-5.9
2023-08-08,-13.3
2023-08-09,11.4
2023-08-10,7.7
2023-08-11,-6.5
2023-08-12,-7.9
2023-08-13,21.6
2023-08-14,13.8
2023-08-15,-3.1
2023-08-16,20.9
2023-08-17,-7.4
2023-08-18,1.9
2023-08-19,-10.8
2023-08-20,10.5
2023-08-21,0.9
2023-08-22,-14.4
2023-08-23,-11.6
2023-08-24,12.3
2023-08-25,-6.3
2023-08-26,3.0
2023-08-27,3.0
2023-08-28,16.5
2023-08-29,14.5
2023-08-30,-4.1
2023-08-31,-11.9
2023-09-01,16.5
2023-09-02,7.9
2023-09-03,17.1
2023-09-04,10.0
2023-09-05,-10.4
2023-09-06,-10.9
2023-09-07,20.0
2023-09-08,-6.6
2023-09-09,23.2
2023-09-10,5.9
2023-09-11,3.1
2023-09-12,15.2
2023-09-13,5.1
2023-09-14,23.3
2023-09-15,-8.5
2023-09-16,-8.3
2023-09-17,10.5
2023-09-18,10.5
2023-09-19,23.6
2023-09-20,-6.0
2023-09-21,-3.1
2023-09-22,12.2
2023-09-23,15.9
2023-09-24,-14.1
2023-09-25,1.1
2023-09-26,-10.3
2023-09-27,16.7
2023-09-28,7.6
2023-09-29,13.4
2023-09-30,13.5
2023-10-01,-12.3
2023-10-02,18.1
2023-10-03,-3.8
2023-10-04,-1.8
2023-10-05,4.8
2023-10-06,6.2
2023-10-07,-4.4
2023-10-08,-11.1
2023-10-09,23.0
2023-10-10,21.8
2023-10-11,-5.6
2023-10-12,-2.3
2023-10-13,24.7
2023-10-14,-6.7
2023-10-15,21.1
2023-10-16,21.4
2023-10-17,1.1
2023-10-18,-5.6
2023-10-19,8.6
2023-10-20,3.5
2023-10-21,9.4
2023-10-22,9.4
2023-10-23,5.5
2023-10-24,23.3
2023-10-25,-13.5
2023-10-26,-12.6
2023-10-27,-0.4
2023-10-28,-5.2
2023-10-29,15.2
2023-10-30,10.1
2023-10-31,17.7
2023-11-01,-11.9
2023-11-02,-12.0
2023-11-03,24.8
2023-11-04,-7.0
2023-11-05,15.5
2023-11-06,4.5
2023-11-07,18.7
2023-11-08,11.7
2023-11-09,7.0
2023-11-10,18.0
2023-11-11,-12.4
2023-11-12,2.5
2023-11-13,9.3
2023-11-14,7.8
2023-11-15,18.7
2023-11-16,-6.1
2023-11-17,10.8
2023-11-18,6.0
2023-11-19,6.6
2023-11-20,-13.3
2023-11-21,15.5
2023-11-22,-13.3
2023-11-23,-10.2
2023-11-24,8.0
2023-11-25,-3.9
2023-11-26,1.0
2023-11-27,-7.0
2023-11-28,-0.6
2023-11-29,11.0
2023-11-30,19.2
2023-12-01,-3.2
2023-12-02,-3.8
2023-12-03,0.7
2023-12-04,9.7
2023-12-05,-1.7
2023-12-06,-14.7
2023-12-07,1.8
2023-12-08,-14.8
2023-12-09,-2.4
2023-12-10,-5.5
2023-12-11,6.1
2023-12-12,-7.6
2023-12-13,-14.7
2023-12-14,3.3
2023-12-15,24.6
2023-12-16,4.9
2023-12-17,-1.4
2023-12-18,-10.1
2023-12-19,-3.8
2023-12-20,-2.9
2023-12-21,15.9
2023-12-22,19.9
2023-12-23,-9.3
2023-12-24,13.9
2023-12-25,-7.4
2023-12-26,1.7
2023-12-27,4.5
2023-12-28,9.4
2023-12-29,4.3
2023-12-30,24.4
2023-12-31,20.0
2024-01-01,4.7
