date,temperature
2023-06-10,-8.2
2023-06-11,7.4
2023-06-12,4.6
2023-06-13,3.4
2023-06-14,-18.9
2023-06-15,-0.6
2023-06-16,-0.9
2023-06-17,15.6
2023-06-18,4.4
2023-06-19,6.5
2023-06-20,19.0
2023-06-21,-5.1
2023-06-22,10.0
2023-06-23,2.4
2023-06-24,-6.5
2023-06-25,-18.3
2023-06-26,-9.4
2023-06-27,6.7
2023-06-28,0.1
2023-06-29,-4.8
2023-06-30,13.1
2023-07-01,14.6
2023-07-02,6.2
2023-07-03,14.6
2023-07-04,-10.9
2023-07-05,15.3
2023-07-06,4.7
2023-07-07,9.9
2023-07-08,17.1
2023-07-09,16.8
2023-07-10,0.0
2023-07-11,12.2
2023-07-12,-11.4
2023-07-13,-4.1
2023-07-14,5.9
2023-07-15,-1.1
2023-07-16,-5.3
2023-07-17,5.8
2023-07-18,5.8
2023-07-19,11.9
2023-07-20,15.0
2023-07-21,-18.4
2023-07-22,-7.1
2023-07-23,16.3
2023-07-24,-13.2
2023-07-25,-16.4
2023-07-26,12.4
2023-07-27,-3.0
2023-07-28,-15.5
2023-07-29,-8.3
2023-07-30,-9.5
2023-07-31,5.7
2023-08-01,9.0
2023-08-02,15.8
2023-08-03,-15.4
2023-08-04,-10.1
2023-08-05,2.0
2023-08-06,12.8
2023-08-07,5.9
2023-08-08,-16.3
2023-08-09,-14.8
2023-08-10,8.7
2023-08-11,2.4
2023-08-12,-5.5
2023-08-13,-16.7
2023-08-14,1.9
2023-08-15,17.9
2023-08-16,-17.5
2023-08-17,-4.9
2023-08-18,-8.6
2023-08-19,1.8
2023-08-20,-11.8
2023-08-21,12.6
2023-08-22,18.4
2023-08-23,-17.2
2023-08-24,-11.5
2023-08-25,-17.9
2023-08-26,-13.7
2023-08-27,9.5
2023-08-28,-0.9
2023-08-29,4.6
2023-08-30,-16.2
2023-08-31,18.8
2023-09-01,12.5
2023-09-02,19.4
2023-09-03,14.6
2023-09-04,-1.2
2023-09-05,-4.9
2023-09-06,-14.1
2023-09-07,2.7
2023-09-08,-16.4
2023-09-09,19.5
2023-09-10,0.6
2023-09-11,10.2
2023-09-12,8.3
2023-09-13,-18.7
2023-09-14,14.9
2023-09-15,-2.6
2023-09-16,19.6
2023-09-17,10.8
2023-09-18,-11.9
2023-09-19,-13.2
2023-09-20,-13.8
2023-09-21,17.5
2023-09-22,-11.3
2023-09-23,16.6
2023-09-24,-10.6
2023-09-25,-12.8
2023-09-26,-15.2
2023-09-27,-14.5
2023-09-28,8.9
2023-09-29,-6.4
2023-09-30,-16.9
2023-10-01,-0.6
2023-10-02,-8.3
