date,temperature
2023-06-10,32.4
2023-06-11,36.8
2023-06-12,13.4
2023-06-13,19.3
2023-06-14,21.5
2023-06-15,34.1
2023-06-16,31.7
2023-06-17,11.3
2023-06-18,25.8
2023-06-19,19.8
2023-06-20,21.2
2023-06-21,25.7
2023-06-22,13.2
2023-06-23,15.2
2023-06-24,30.4
2023-06-25,24.2
2023-06-26,25.7
2023-06-27,33.1
2023-06-28,16.1
2023-06-29,34.7
2023-06-30,25.1
2023-07-01,36.5
2023-07-02,25.9
2023-07-03,27.2
2023-07-04,34.7
2023-07-05,10.8
2023-07-06,36.9
2023-07-07,32.8
2023-07-08,23.8
2023-07-09,12.1
2023-07-10,34.5
2023-07-11,36.3
2023-07-12,38.3
2023-07-13,29.1
2023-07-14,24.7
2023-07-15,32.8
2023-07-16,35.5
2023-07-17,37.7
2023-07-18,11.5
2023-07-19,15.2
2023-07-20,39.2
2023-07-21,16.6
2023-07-22,38.5
2023-07-23,15.7
2023-07-24,19.6
2023-07-25,24.3
2023-07-26,21.0
2023-07-27,35.4
2023-07-28,39.5
2023-07-29,11.4
2023-07-30,22.3
2023-07-31,28.0
2023-08-01,31.7
2023-08-02,18.3
2023-08-03,17.2
2023-08-04,30.6
2023-08-05,16.6
2023-08-06,38.3
2023-08-07,35.8
2023-08-08,18.8
2023-08-09,24.5
2023-08-10,14.7
2023-08-11,30.9
2023-08-12,36.0
2023-08-13,18.7
2023-08-14,19.1
2023-08-15,19.8
2023-08-16,35.9
2023-08-17,33.6
2023-08-18,15.3
2023-08-19,11.2
2023-08-20,11.3
2023-08-21,31.5
2023-08-22,19.7
2023-08-23,22.6
2023-08-24,22.0
2023-08-25,35.9
2023-08-26,17.6
2023-08-27,10.4
2023-08-28,22.3
2023-08-29,25.2
2023-08-30,25.9
2023-08-31,27.6
2023-09-01,20.1
2023-09-02,31.1
2023-09-03,39.8
2023-09-04,22.6
2023-09-05,18.9
2023-09-06,32.8
2023-09-07,16.0
2023-09-08,19.0
2023-09-09,17.3
2023-09-10,30.9
2023-09-11,13.1
2023-09-12,27.4
2023-09-13,28.9
2023-09-14,34.0
2023-09-15,12.1
2023-09-16,16.5
2023-09-17,23.4
2023-09-18,36.3
2023-09-19,17.9
2023-09-20,36.2
2023-09-21,30.9
2023-09-22,17.4
2023-09-23,17.7
2023-09-24,35.4
2023-09-25,31.5
2023-09-26,33.8
2023-09-27,30.7
2023-09-28,39.0
2023-09-29,36.3
2023-09-30,13.6
2023-10-01,24.8
2023-10-02,39.3
2023-10-03,20.4
2023-10-04,31.5
2023-10-05,21.4
2023-10-06,35.3
2023-10-07,36.4
2023-10-08,12.9
2023-10-09,24.4
2023-10-10,28.9
2023-10-11,32.4
2023-10-12,37.9
2023-10-13,38.1
2023-10-14,38.4
2023-10-15,25.4
2023-10-16,28.5
2023-10-17,12.9
2023-10-18,24.1
2023-10-19,29.6
2023-10-20,38.5
2023-10-21,19.6
2023-10-22,28.0
2023-10-23,26.9
2023-10-24,24.4
2023-10-25,10.9
2023-10-26,21.0
2023-10-27,18.8
2023-10-28,32.9
2023-10-29,25.5
2023-10-30,13.2
2023-10-31,23.0
2023-11-01,35.2
2023-11-02,32.0
2023-11-03,34.0
2023-11-04,16.6
2023-11-05,35.3
2023-11-06,35.2
2023-11-07,19.4
2023-11-08,14.4
2023-11-09,22.9
2023-11-10,20.6
2023-11-11,27.3
2023-11-12,17.9
2023-11-13,28.1
2023-11-14,28.0
2023-11-15,31.2
2023-11-16,25.2
2023-11-17,13.7
2023-11-18,33.4
2023-11-19,13.7
2023-11-20,26.2
2023-11-21,27.8
2023-11-22,16.7
2023-11-23,16.0
2023-11-24,22.9
2023-11-25,20.8
2023-11-26,26.0
2023-11-27,32.9
2023-11-28,19.4
2023-11-29,22.7
2023-11-30,27.8
2023-12-01,31.2
2023-12-02,30.1
2023-12-03,31.5
2023-12-04,21.1
2023-12-05,25.4
2023-12-06,16.9
2023-12-07,15.6
2023-12-08,39.9
2023-12-09,35.2
2023-12-10,30.4
2023-12-11,29.8
2023-12-12,21.9
2023-12-13,23.0
2023-12-14,19.2
2023-12-15,15.9
2023-12-16,15.7
2023-12-17,35.4
2023-12-18,39.0
2023-12-19,26.2
2023-12-20,34.6
2023-12-21,13.3
2023-12-22,27.0
2023-12-23,13.1
2023-12-24,34.7
2023-12-25,32.1
2023-12-26,18.7
2023-12-27,19.9
2023-12-28,18.0
2023-12-29,39.9
2023-12-30,31.7
2023-12-31,30.7
2024-01-01,28.5
2024-01-02,27.2
2024-01-03,31.5
