date,temperature
2023-06-10,24.8
2023-06-11,5.2
2023-06-12,26.1
2023-06-13,21.8
2023-06-14,26.8
2023-06-15,0.4
2023-06-16,3.8
2023-06-17,27.6
2023-06-18,3.0
2023-06-19,26.3
2023-06-20,15.6
2023-06-21,12.4
2023-06-22,11.2
2023-06-23,2.1
2023-06-24,14.9
2023-06-25,6.5
2023-06-26,16.0
2023-06-27,27.8
2023-06-28,0.6
2023-06-29,0.3
2023-06-30,3.9
2023-07-01,5.7
2023-07-02,28.7
2023-07-03,22.5
2023-07-04,25.6
2023-07-05,26.5
2023-07-06,22.0
2023-07-07,11.0
2023-07-08,13.1
2023-07-09,21.5
2023-07-10,9.1
2023-07-11,15.3
2023-07-12,29.1
2023-07-13,14.1
2023-07-14,5.2
2023-07-15,15.6
2023-07-16,13.7
2023-07-17,14.8
2023-07-18,27.1
2023-07-19,14.7
2023-07-20,3.6
2023-07-21,22.2
2023-07-22,14.3
2023-07-23,6.7
2023-07-24,3.4
2023-07-25,25.4
2023-07-26,15.8
2023-07-27,7.5
2023-07-28,27.8
2023-07-29,22.7
2023-07-30,21.0
2023-07-31,16.7
2023-08-01,0.7
2023-08-02,5.7
2023-08-03,6.1
2023-08-04,9.4
2023-08-05,10.1
2023-08-06,4.8
2023-08-07,12.3
2023-08-08,15.0
2023-08-09,29.0
2023-08-10,14.4
2023-08-11,5.9
2023-08-12,16.8
2023-08-13,6.3
2023-08-14,2.3
2023-08-15,29.6
2023-08-16,19.0
2023-08-17,23.4
2023-08-18,29.2
2023-08-19,5.6
2023-08-20,7.6
2023-08-21,8.8
2023-08-22,9.0
2023-08-23,6.4
2023-08-24,23.9
2023-08-25,26.0
2023-08-26,16.4
2023-08-27,1.2
2023-08-28,19.7
2023-08-29,28.2
2023-08-30,3.1
2023-08-31,4.9
2023-09-01,8.0
2023-09-02,0.3
2023-09-03,1.0
2023-09-04,22.1
2023-09-05,12.8
2023-09-06,21.7
2023-09-07,1.6
2023-09-08,20.2
2023-09-09,5.7
2023-09-10,9.4
2023-09-11,12.9
2023-09-12,21.8
2023-09-13,18.6
2023-09-14,21.3
2023-09-15,26.9
2023-09-16,26.5
2023-09-17,11.1
2023-09-18,15.7
2023-09-19,23.2
2023-09-20,29.9
2023-09-21,6.6
2023-09-22,28.8
2023-09-23,7.5
2023-09-24,7.3
2023-09-25,21.0
2023-09-26,11.2
2023-09-27,2.7
2023-09-28,9.7
2023-09-29,8.9
2023-09-30,12.6
2023-10-01,7.0
2023-10-02,26.9
2023-10-03,25.1
2023-10-04,9.3
2023-10-05,26.9
2023-10-06,8.5
2023-10-07,20.6
2023-10-08,27.2
2023-10-09,8.3
2023-10-10,26.8
2023-10-11,15.1
2023-10-12,2.0
2023-10-13,17.5
2023-10-14,28.4
2023-10-15,11.9
2023-10-16,21.7
2023-10-17,19.8
2023-10-18,5.1
2023-10-19,1.0
2023-10-20,10.0
2023-10-21,4.4
2023-10-22,7.8
2023-10-23,13.4
2023-10-24,23.1
2023-10-25,6.8
2023-10-26,28.3
2023-10-27,11.9
2023-10-28,23.9
2023-10-29,16.7
2023-10-30,2.7
2023-10-31,25.1
2023-11-01,13.4
2023-11-02,29.3
2023-11-03,0.5
2023-11-04,9.6
2023-11-05,27.7
2023-11-06,11.2
2023-11-07,28.0
2023-11-08,21.3
2023-11-09,7.9
2023-11-10,29.8
2023-11-11,28.6
2023-11-12,0.1
2023-11-13,23.3
2023-11-14,22.9
2023-11-15,23.7
2023-11-16,20.3
2023-11-17,12.2
2023-11-18,22.5
2023-11-19,7.8
2023-11-20,7.8
2023-11-21,18.2
2023-11-22,11.1
2023-11-23,15.8
2023-11-24,16.4
2023-11-25,7.7
2023-11-26,24.1
2023-11-27,4.7
2023-11-28,22.4
2023-11-29,29.2
2023-11-30,20.0
2023-12-01,11.9
2023-12-02,20.3
2023-12-03,1.1
2023-12-04,15.1
2023-12-05,25.2
2023-12-06,17.5
2023-12-07,8.7
2023-12-08,21.5
2023-12-09,8.0
2023-12-10,15.4
2023-12-11,12.9
2023-12-12,29.0
2023-12-13,12.5
2023-12-14,29.2
2023-12-15,26.9
2023-12-16,3.5
2023-12-17,14.1
2023-12-18,19.8
2023-12-19,25.5
2023-12-20,12.5
2023-12-21,11.0
2023-12-22,18.6
2023-12-23,5.5
2023-12-24,14.6
2023-12-25,12.9
2023-12-26,29.1
2023-12-27,6.9
2023-12-28,4.8
2023-12-29,27.8
2023-12-30,21.5
2023-12-31,11.3
2024-01-01,23.3
2024-01-02,12.3
2024-01-03,15.7
2024-01-04,3.3
2024-01-05,19.6
2024-01-06,2.1
2024-01-07,17.7
2024-01-08,22.3
2024-01-09,19.4
2024-01-10,17.8
2024-01-11,1.2
2024-01-12,28.3
2024-01-13,10.6
2024-01-14,26.7
2024-01-15,11.6
2024-01-16,23.5
2024-01-17,15.4
2024-01-18,11.7
2024-01-19,11.1
2024-01-20,27.0
2024-01-21,9.5
2024-01-22,25.9
2024-01-23,15.9
2024-01-24,15.8
2024-01-25,18.2
2024-01-26,8.0
2024-01-27,11.0
