date,temperature
2023-06-10,0.2
2023-06-11,17.1
2023-06-12,-5.2
2023-06-13,17.6
2023-06-14,11.2
2023-06-15,-2.1
2023-06-16,-12.0
2023-06-17,5.8
2023-06-18,-4.2
2023-06-19,8.6
2023-06-20,6.2
2023-06-21,-1.3
2023-06-22,-7.1
2023-06-23,4.8
2023-06-24,-11.6
2023-06-25,4.6
2023-06-26,-12.8
2023-06-27,5.7
2023-06-28,20.8
2023-06-29,7.4
2023-06-30,5.7
2023-07-01,-12.2
2023-07-02,13.7
2023-07-03,14.0
2023-07-04,13.8
2023-07-05,3.0
2023-07-06,-3.7
2023-07-07,-14.7
2023-07-08,21.8
2023-07-09,2.9
2023-07-10,3.0
2023-07-11,6.5
2023-07-12,-11.4
2023-07-13,4.6
2023-07-14,-12.5
2023-07-15,-11.2
2023-07-16,4.6
2023-07-17,19.0
2023-07-18,1.9
2023-07-19,-7.0
2023-07-20,23.0
2023-07-21,12.7
2023-07-22,-3.2
2023-07-23,11.9
2023-07-24,-4.3
2023-07-25,11.2
2023-07-26,9.1
2023-07-27,1.4
2023-07-28,10.9
2023-07-29,1.1
2023-07-30,-13.3
2023-07-31,19.6
2023-08-01,5.6
2023-08-02,-6.5
2023-08-03,0.9
2023-08-04,14.0
2023-08-05,-5.9
2023-08-06,-8.2
2023-08-07,23.7
2023-08-08,3.4
2023-08-09,0.2
2023-08-10,-3.9
2023-08-11,18.8
2023-08-12,2.6
2023-08-13,-0.7
2023-08-14,-7.5
2023-08-15,23.5
2023-08-16,4.5
2023-08-17,-2.1
2023-08-18,-10.8
2023-08-19,5.6
2023-08-20,-3.1
2023-08-21,21.0
2023-08-22,7.1
2023-08-23,17.3
2023-08-24,17.2
2023-08-25,2.2
2023-08-26,6.4
2023-08-27,14.4
2023-08-28,12.0
2023-08-29,-9.0
2023-08-30,7.6
2023-08-31,6.1
2023-09-01,-1.8
2023-09-02,7.5
2023-09-03,11.4
2023-09-04,-8.1
2023-09-05,15.5
2023-09-06,5.2
2023-09-07,5.6
2023-09-08,-6.7
2023-09-09,-13.5
2023-09-10,8.4
2023-09-11,-7.2
2023-09-12,14.9
2023-09-13,4.1
2023-09-14,19.6
2023-09-15,0.3
2023-09-16,20.5
