date,temperature
2023-06-10,22.2
2023-06-11,-1.3
2023-06-12,5.1
2023-06-13,5.8
2023-06-14,17.6
2023-06-15,-14.4
2023-06-16,7.1
2023-06-17,0.2
2023-06-18,16.2
2023-06-19,23.9
2023-06-20,-9.9
2023-06-21,-7.6
2023-06-22,0.7
2023-06-23,3.7
2023-06-24,9.1
2023-06-25,-8.9
2023-06-26,-3.6
2023-06-27,-0.6
2023-06-28,16.3
2023-06-29,-13.1
2023-06-30,12.4
2023-07-01,19.7
2023-07-02,-8.5
2023-07-03,19.8
2023-07-04,-9.7
2023-07-05,-0.2
2023-07-06,10.1
2023-07-07,-1.0
2023-07-08,14.0
2023-07-09,21.0
2023-07-10,-5.1
2023-07-11,-10.9
2023-07-12,12.1
2023-07-13,11.7
2023-07-14,-3.1
2023-07-15,-9.2
2023-07-16,19.7
2023-07-17,-3.8
2023-07-18,17.7
2023-07-19,1.4
2023-07-20,-10.5
2023-07-21,21.9
2023-07-22,15.9
2023-07-23,8.0
2023-07-24,-12.6
2023-07-25,12.2
2023-07-26,4.8
2023-07-27,1.8
2023-07-28,-10.3
2023-07-29,23.5
2023-07-30,23.0
2023-07-31,12.5
2023-08-01,12.9
2023-08-02,-5.5
2023-08-03,11.5
2023-08-04,0.3
2023-08-05,7.6
2023-08-06,-11.0
2023-08-07,-7.8
2023-08-08,-2.8
2023-08-09,16.8
2023-08-10,1.7
2023-08-11,16.8
2023-08-12,23.4
2023-08-13,-12.7
2023-08-14,18.3
2023-08-15,0.5
2023-08-16,21.1
2023-08-17,8.0
2023-08-18,12.5
2023-08-19,22.9
2023-08-20,14.2
2023-08-21,15.4
2023-08-22,11.8
2023-08-23,22.2
2023-08-24,-12.9
2023-08-25,17.2
2023-08-26,-4.2
2023-08-27,12.9
2023-08-28,-3.7
2023-08-29,10.1
2023-08-30,-14.1
2023-08-31,-8.9
2023-09-01,5.3
2023-09-02,11.6
2023-09-03,-14.9
2023-09-04,-2.6
2023-09-05,-13.0
2023-09-06,-13.7
2023-09-07,9.2
2023-09-08,9.0
2023-09-09,24.0
2023-09-10,24.6
2023-09-11,20.1
2023-09-12,1.8
2023-09-13,12.6
2023-09-14,-10.1
2023-09-15,7.8
2023-09-16,5.3
2023-09-17,-10.4
2023-09-18,-11.6
2023-09-19,0.8
2023-09-20,-14.8
2023-09-21,-14.7
2023-09-22,0.8
2023-09-23,-13.2
2023-09-24,5.4
2023-09-25,22.7
2023-09-26,20.4
2023-09-27,-1.0
2023-09-28,4.5
2023-09-29,-5.9
2023-09-30,23.1
2023-10-01,5.2
2023-10-02,-7.2
2023-10-03,22.1
2023-10-04,-3.5
2023-10-05,-4.0
2023-10-06,7.5
2023-10-07,-2.2
2023-10-08,23.3
2023-10-09,12.2
2023-10-10,18.2
2023-10-11,-7.7
2023-10-12,21.6
2023-10-13,-14.1
2023-10-14,19.4
2023-10-15,24.5
2023-10-16,24.6
2023-10-17,19.2
2023-10-18,13.3
2023-10-19,-11.7
2023-10-20,18.7
2023-10-21,16.3
2023-10-22,-12.3
2023-10-23,17.5
2023-10-24,20.6
2023-10-25,1.3
2023-10-26,3.4
2023-10-27,12.0
2023-10-28,12.6
2023-10-29,10.9
2023-10-30,15.0
2023-10-31,19.0
2023-11-01,-1.9
2023-11-02,-14.7
2023-11-03,-0.9
2023-11-04,-10.0
2023-11-05,-8.1
2023-11-06,-11.6
2023-11-07,22.6
2023-11-08,16.3
2023-11-09,-6.4
2023-11-10,2.6
2023-11-11,12.4
2023-11-12,17.2
2023-11-13,24.3
2023-11-14,9.0
2023-11-15,-3.0
2023-11-16,-0.1
2023-11-17,4.6
2023-11-18,4.8
2023-11-19,-8.5
2023-11-20,16.0
2023-11-21,20.7
2023-11-22,19.5
2023-11-23,2.6
2023-11-24,19.9
2023-11-25,14.0
2023-11-26,4.8
2023-11-27,17.6
2023-11-28,3.8
2023-11-29,1.7
2023-11-30,8.2
2023-12-01,5.4
2023-12-02,11.3
2023-12-03,-11.3
2023-12-04,-11.1
2023-12-05,-4.4
2023-12-06,1.1
2023-12-07,5.8
2023-12-08,-14.2
2023-12-09,17.2
2023-12-10,22.8
2023-12-11,3.0
2023-12-12,-5.6
2023-12-13,-2.4
2023-12-14,-6.3
2023-12-15,-9.8
2023-12-16,24.4
2023-12-17,-10.1
2023-12-18,10.9
2023-12-19,21.3
2023-12-20,11.5
2023-12-21,4.9
2023-12-22,11.8
2023-12-23,-10.1
2023-12-24,-1.3
2023-12-25,24.5
2023-12-26,8.1
2023-12-27,14.2
2023-12-28,23.9
2023-12-29,3.4
2023-12-30,21.9
2023-12-31,-0.2
2024-01-01,-5.1
2024-01-02,-0.3
2024-01-03,14.8
2024-01-04,-15.0
2024-01-05,20.8
2024-01-06,1.0
2024-01-07,7.7
2024-01-08,11.7
2024-01-09,21.1
2024-01-10,6.4
2024-01-11,-0.5
2024-01-12,11.7
2024-01-13,9.4
2024-01-14,9.0
2024-01-15,18.9
2024-01-16,13.9
2024-01-17,-5.6
2024-01-18,19.9
2024-01-19,-1.3
2024-01-20,-2.4
2024-01-21,17.6
2024-01-22,13.0
2024-01-23,-12.3
2024-01-24,12.3
2024-01-25,24.1
2024-01-26,-10.5
2024-01-27,-1.6
2024-01-28,15.0
2024-01-29,-9.9
2024-01-30,18.4
2024-01-31,18.2
2024-02-01,-8.0
2024-02-02,22.3
2024-02-03,20.6
2024-02-04,-6.0
2024-02-05,21.0
2024-02-06,-10.3
2024-02-07,18.6
2024-02-08,22.5
2024-02-09,-6.3
2024-02-10,24.9
2024-02-11,9.7
2024-02-12,-2.6
2024-02-13,2.0
2024-02-14,-8.6
2024-02-15,-9.6
2024-02-16,24.6
2024-02-17,16.7
2024-02-18,9.4
2024-02-19,15.6
2024-02-20,-2.6
2024-02-21,-0.1
2024-02-22,-0.9
2024-02-23,-12.3
2024-02-24,3.3
2024-02-25,2.4
2024-02-26,4.8
2024-02-27,24.5
2024-02-28,-7.3
2024-02-29,14.4
2024-03-01,24.7
2024-03-02,-13.1
2024-03-03,20.9
2024-03-04,5.3
2024-03-05,15.0
2024-03-06,-13.1
2024-03-07,-14.3
2024-03-08,14.9
2024-03-09,3.7
2024-03-10,4.5
2024-03-11,-5.0
2024-03-12,7.9
2024-03-13,14.1
2024-03-14,20.4
2024-03-15,20.3
2024-03-16,-9.4
2024-03-17,-4.0
2024-03-18,-13.0
2024-03-19,-3.2
2024-03-20,-4.3
2024-03-21,-8.4
2024-03-22,14.8
2024-03-23,-9.4
2024-03-24,-10.4
2024-03-25,6.3
2024-03-26,3.5
2024-03-27,-8.6
2024-03-28,14.4
2024-03-29,-9.2
2024-03-30,18.8
2024-03-31,7.1
2024-04-01,-7.1
2024-04-02,-10.8
2024-04-03,16.5
2024-04-04,24.1
2024-04-05,14.5
2024-04-06,-14.2
2024-04-07,4.6
2024-04-08,-2.6
2024-04-09,-4.3
2024-04-10,8.7
2024-04-11,21.0
2024-04-12,8.8
2024-04-13,-7.0
2024-04-14,20.9
2024-04-15,9.0
2024-04-16,14.6
2024-04-17,-11.3
2024-04-18,16.5
2024-04-19,2.6
2024-04-20,-4.5
2024-04-21,-7.4
2024-04-22,8.0
2024-04-23,-1.9
2024-04-24,7.3
2024-04-25,8.6
2024-04-26,-6.9
2024-04-27,-2.8
2024-04-28,-7.6
2024-04-29,16.5
2024-04-30,-2.5
2024-05-01,-5.2
2024-05-02,22.4
2024-05-03,-5.1
2024-05-04,15.6
2024-05-05,3.3
2024-05-06,13.9
2024-05-07,21.7
2024-05-08,6.1
2024-05-09,17.1
2024-05-10,2.1
2024-05-11,19.6
2024-05-12,13.8
2024-05-13,-10.6
2024-05-14,21.9
2024-05-15,18.6
2024-05-16,-12.6
2024-05-17,-3.4
2024-05-18,-5.5
2024-05-19,22.5
2024-05-20,11.4
2024-05-21,24.4
2024-05-22,15.8
2024-05-23,15.3
2024-05-24,13.7
2024-05-25,-0.2
2024-05-26,9.0
2024-05-27,21.5
2024-05-28,21.7
2024-05-29,4.9
2024-05-30,15.2
2024-05-31,22.5
2024-06-01,-11.3
2024-06-02,20.8
2024-06-03,-6.1
2024-06-04,-11.8
2024-06-05,19.1
2024-06-06,-12.7
2024-06-07,14.3
2024-06-08,12.8
2024-06-09,22.8
2024-06-10,1.1
2024-06-11,-4.2
2024-06-12,-1.7
2024-06-13,7.2
2024-06-14,2.9
2024-06-15,-13.9
2024-06-16,-8.1
2024-06-17,3.9
2024-06-18,-11.7
2024-06-19,-11.6
2024-06-20,17.5
2024-06-21,5.7
2024-06-22,-6.2
2024-06-23,1.8
2024-06-24,-5.4
2024-06-25,19.8
2024-06-26,-9.2
2024-06-27,-6.0
2024-06-28,-14.0
2024-06-29,-7.9
2024-06-30,-0.9
2024-07-01,-1.2
2024-07-02,11.2
2024-07-03,-14.9
2024-07-04,9.5
2024-07-05,-1.9
2024-07-06,-8.6
2024-07-07,5.6
2024-07-08,-5.0
2024-07-09,19.0
2024-07-10,14.1
2024-07-11,17.3
2024-07-12,5.4
2024-07-13,-9.9
2024-07-14,-9.4
2024-07-15,-14.9
2024-07-16,18.2
2024-07-17,12.9
2024-07-18,0.3
2024-07-19,18.5
2024-07-20,22.5
2024-07-21,14.0
2024-07-22,20.1
2024-07-23,-6.4
2024-07-24,16.6
2024-07-25,9.7
2024-07-26,15.0
2024-07-27,7.8
2024-07-28,-12.1
2024-07-29,24.7
2024-07-30,18.0
2024-07-31,22.4
2024-08-01,-6.2
2024-08-02,23.0
2024-08-03,-5.7
2024-08-04,14.5
2024-08-05,-3.0
2024-08-06,-6.6
2024-08-07,22.1
2024-08-08,22.3
2024-08-09,19.1
2024-08-10,6.1
2024-08-11,-11.4
2024-08-12,0.8
2024-08-13,22.8
2024-08-14,-0.7
2024-08-15,24.1
2024-08-16,12.6
2024-08-17,6.7
2024-08-18,24.8
2024-08-19,-2.7
2024-08-20,24.0
2024-08-21,-11.3
2024-08-22,2.5
2024-08-23,19.5
2024-08-24,-7.6
2024-08-25,-0.5
2024-08-26,24.1
2024-08-27,7.7
2024-08-28,-12.5
2024-08-29,-1.4
2024-08-30,-8.3
2024-08-31,-6.9
2024-09-01,17.9
2024-09-02,21.6
2024-09-03,-8.8
2024-09-04,13.3
2024-09-05,9.2
2024-09-06,3.1
2024-09-07,-2.1
2024-09-08,-4.5
2024-09-09,0.5
2024-09-10,-3.4
2024-09-11,11.4
2024-09-12,16.7
2024-09-13,24.3
2024-09-14,13.6
2024-09-15,-11.4
2024-09-16,5.7
2024-09-17,11.9
2024-09-18,-10.1
2024-09-19,-13.9
2024-09-20,-3.0
2024-09-21,1.0
2024-09-22,-4.5
2024-09-23,-12.3
2024-09-24,8.6
2024-09-25,11.0
2024-09-26,23.6
2024-09-27,16.0
2024-09-28,13.2
2024-09-29,-4.2
2024-09-30,-13.1
2024-10-01,-2.1
2024-10-02,-9.4
2024-10-03,13.3
2024-10-04,6.7
2024-10-05,10.3
2024-10-06,-13.2
2024-10-07,13.7
2024-10-08,6.0
2024-10-09,0.3
2024-10-10,-4.0
2024-10-11,23.4
2024-10-12,-12.8
2024-10-13,20.2
2024-10-14,-7.0
2024-10-15,3.8
2024-10-16,-13.1
2024-10-17,6.5
2024-10-18,19.3
2024-10-19,-5.8
2024-10-20,24.6
2024-10-21,18.6
2024-10-22,10.8
2024-10-23,-2.7
2024-10-24,-9.0
2024-10-25,-7.3
2024-10-26,0.5
2024-10-27,-14.3
2024-10-28,22.0
2024-10-29,-6.6
2024-10-30,0.7
2024-10-31,-13.5
