date,temperature
2023-06-10,23.1
2023-06-11,3.5
2023-06-12,18.2
2023-06-13,4.1
2023-06-14,20.4
2023-06-15,20.6
2023-06-16,24.3
2023-06-17,2.2
2023-06-18,23.0
2023-06-19,25.3
2023-06-20,29.4
2023-06-21,-1.2
2023-06-22,8.7
2023-06-23,13.9
2023-06-24,25.4
2023-06-25,4.8
2023-06-26,-0.9
2023-06-27,8.6
2023-06-28,-3.2
2023-06-29,-1.1
2023-06-30,10.4
2023-07-01,29.7
2023-07-02,3.3
2023-07-03,28.3
2023-07-04,-1.4
2023-07-05,14.3
2023-07-06,-1.1
2023-07-07,17.9
2023-07-08,-0.8
2023-07-09,20.7
2023-07-10,2.3
2023-07-11,21.0
2023-07-12,6.5
2023-07-13,2.2
2023-07-14,24.1
2023-07-15,27.4
2023-07-16,6.5
2023-07-17,6.1
2023-07-18,20.2
2023-07-19,11.8
2023-07-20,16.5
2023-07-21,8.7
2023-07-22,-2.5
2023-07-23,6.0
2023-07-24,11.3
2023-07-25,13.6
2023-07-26,23.6
2023-07-27,22.5
2023-07-28,26.3
2023-07-29,28.1
2023-07-30,4.3
2023-07-31,16.1
2023-08-01,20.1
2023-08-02,21.2
2023-08-03,11.2
2023-08-04,1.3
2023-08-05,19.3
2023-08-06,22.3
2023-08-07,8.7
2023-08-08,0.6
2023-08-09,12.6
2023-08-10,20.7
2023-08-11,21.8
2023-08-12,10.5
2023-08-13,-4.9
2023-08-14,8.1
2023-08-15,-4.0
2023-08-16,-0.2
2023-08-17,18.2
2023-08-18,4.4
2023-08-19,21.4
2023-08-20,2.9
2023-08-21,21.6
2023-08-22,7.7
2023-08-23,15.6
2023-08-24,-3.7
2023-08-25,20.9
2023-08-26,-4.0
2023-08-27,7.3
2023-08-28,6.6
2023-08-29,-1.7
2023-08-30,25.0
2023-08-31,21.0
2023-09-01,14.4
2023-09-02,11.1
2023-09-03,28.0
2023-09-04,24.0
2023-09-05,25.8
2023-09-06,10.3
2023-09-07,7.1
2023-09-08,0.7
2023-09-09,15.3
2023-09-10,25.2
2023-09-11,25.6
2023-09-12,19.4
2023-09-13,8.3
2023-09-14,21.8
2023-09-15,27.0
2023-09-16,14.2
2023-09-17,24.6
2023-09-18,14.7
2023-09-19,29.9
2023-09-20,12.6
2023-09-21,5.5
2023-09-22,3.4
2023-09-23,9.5
2023-09-24,-3.0
2023-09-25,3.0
2023-09-26,26.1
2023-09-27,0.9
2023-09-28,12.6
2023-09-29,29.7
2023-09-30,-1.0
2023-10-01,25.2
2023-10-02,9.2
2023-10-03,28.5
2023-10-04,3.7
2023-10-05,9.2
2023-10-06,5.0
2023-10-07,14.6
2023-10-08,6.6
2023-10-09,28.3
2023-10-10,27.3
2023-10-11,26.1
2023-10-12,28.1
2023-10-13,14.4
2023-10-14,16.8
2023-10-15,0.9
2023-10-16,1.2
2023-10-17,-4.5
2023-10-18,2.6
2023-10-19,-1.0
2023-10-20,0.2
2023-10-21,23.9
2023-10-22,13.3
2023-10-23,28.6
2023-10-24,12.7
2023-10-25,28.3
2023-10-26,-2.9
2023-10-27,16.7
2023-10-28,-1.5
2023-10-29,-4.2
2023-10-30,-3.8
2023-10-31,20.6
2023-11-01,29.8
2023-11-02,20.6
2023-11-03,-2.1
2023-11-04,-0.6
2023-11-05,-4.5
2023-11-06,-3.3
2023-11-07,21.3
2023-11-08,-1.5
2023-11-09,12.2
2023-11-10,23.8
2023-11-11,-3.4
2023-11-12,16.9
2023-11-13,22.0
2023-11-14,0.0
2023-11-15,10.2
2023-11-16,-4.3
2023-11-17,20.4
2023-11-18,15.1
2023-11-19,4.0
2023-11-20,13.0
2023-11-21,-0.0
2023-11-22,-3.3
2023-11-23,21.3
2023-11-24,-2.4
2023-11-25,-2.1
2023-11-26,7.9
2023-11-27,19.6
2023-11-28,5.5
2023-11-29,6.8
2023-11-30,10.3
2023-12-01,20.4
2023-12-02,18.7
2023-12-03,20.9
2023-12-04,-2.7
2023-12-05,11.2
2023-12-06,20.9
2023-12-07,26.0
2023-12-08,20.7
2023-12-09,16.9
2023-12-10,4.8
2023-12-11,9.7
2023-12-12,14.9
2023-12-13,21.7
2023-12-14,8.0
2023-12-15,28.8
2023-12-16,-3.0
2023-12-17,-0.7
2023-12-18,22.7
2023-12-19,16.3
2023-12-20,8.9
2023-12-21,15.7
2023-12-22,-1.5
2023-12-23,18.5
2023-12-24,0.4
2023-12-25,18.7
2023-12-26,-3.2
2023-12-27,23.1
2023-12-28,17.0
2023-12-29,16.4
2023-12-30,7.6
2023-12-31,3.7
2024-01-01,15.4
2024-01-02,24.9
2024-01-03,-4.0
