date,temperature
2023-06-10,-7.0
2023-06-11,17.7
2023-06-12,-17.1
2023-06-13,-13.0
2023-06-14,-19.1
2023-06-15,6.6
2023-06-16,17.7
2023-06-17,-4.6
2023-06-18,-2.7
2023-06-19,-6.2
2023-06-20,11.3
2023-06-21,15.4
2023-06-22,0.0
2023-06-23,17.4
2023-06-24,-12.1
2023-06-25,-15.8
2023-06-26,-19.8
2023-06-27,-11.6
2023-06-28,0.8
2023-06-29,10.9
2023-06-30,-2.2
2023-07-01,-12.5
2023-07-02,-5.4
2023-07-03,-15.2
2023-07-04,11.8
2023-07-05,-6.4
2023-07-06,-19.2
2023-07-07,8.6
2023-07-08,-4.5
2023-07-09,14.4
2023-07-10,3.7
2023-07-11,-5.8
2023-07-12,-0.7
2023-07-13,14.3
2023-07-14,-10.4
2023-07-15,16.1
2023-07-16,17.0
2023-07-17,8.2
2023-07-18,8.6
2023-07-19,7.7
2023-07-20,-14.2
2023-07-21,9.3
2023-07-22,-15.3
2023-07-23,-13.7
2023-07-24,-10.8
2023-07-25,-5.2
2023-07-26,12.2
2023-07-27,17.5
2023-07-28,6.6
2023-07-29,0.4
2023-07-30,0.1
2023-07-31,10.5
2023-08-01,-10.5
2023-08-02,11.1
2023-08-03,7.1
2023-08-04,-5.0
2023-08-05,14.2
2023-08-06,0.5
2023-08-07,16.3
2023-08-08,-19.3
2023-08-09,6.3
2023-08-10,-15.5
2023-08-11,-19.3
2023-08-12,17.5
2023-08-13,18.5
2023-08-14,11.1
2023-08-15,16.1
2023-08-16,8.0
2023-08-17,3.0
2023-08-18,2.1
2023-08-19,-3.7
2023-08-20,-4.4
2023-08-21,-19.2
2023-08-22,8.3
2023-08-23,-10.8
2023-08-24,-12.3
2023-08-25,-10.7
2023-08-26,17.4
2023-08-27,-5.5
2023-08-28,5.0
2023-08-29,-15.7
2023-08-30,-10.9
2023-08-31,-12.9
2023-09-01,-15.0
2023-09-02,2.4
2023-09-03,11.7
2023-09-04,-12.2
2023-09-05,-16.3
2023-09-06,3.7
2023-09-07,-12.8
2023-09-08,-1.3
2023-09-09,16.1
2023-09-10,7.0
2023-09-11,13.3
2023-09-12,-17.5
2023-09-13,5.3
2023-09-14,0.0
2023-09-15,14.4
2023-09-16,2.5
2023-09-17,-6.9
2023-09-18,-12.4
2023-09-19,-10.8
2023-09-20,18.2
2023-09-21,3.9
2023-09-22,11.3
2023-09-23,17.1
2023-09-24,-17.3
2023-09-25,13.0
2023-09-26,-4.8
2023-09-27,-9.6
2023-09-28,-14.9
2023-09-29,2.2
2023-09-30,-7.7
2023-10-01,5.5
2023-10-02,9.6
2023-10-03,15.6
2023-10-04,13.2
2023-10-05,9.0
2023-10-06,11.8
2023-10-07,8.5
2023-10-08,4.7
2023-10-09,14.5
