date,temperature
2023-06-10,7.0
2023-06-11,4.4
2023-06-12,22.9
2023-06-13,8.8
2023-06-14,12.7
2023-06-15,1.5
2023-06-16,5.3
2023-06-17,21.9
2023-06-18,8.4
2023-06-19,12.0
2023-06-20,14.2
2023-06-21,14.5
2023-06-22,12.8
2023-06-23,15.2
2023-06-24,22.5
2023-06-25,8.3
2023-06-26,8.2
2023-06-27,10.8
2023-06-28,3.8
2023-06-29,10.3
2023-06-30,19.1
2023-07-01,19.4
2023-07-02,19.8
2023-07-03,20.8
2023-07-04,24.2
2023-07-05,19.0
2023-07-06,19.3
2023-07-07,4.2
2023-07-08,19.5
2023-07-09,12.6
2023-07-10,1.2
2023-07-11,17.0
2023-07-12,15.5
2023-07-13,0.9
2023-07-14,0.7
2023-07-15,22.1
2023-07-16,12.5
2023-07-17,24.5
2023-07-18,24.9
2023-07-19,5.2
2023-07-20,6.5
2023-07-21,18.7
2023-07-22,21.8
2023-07-23,19.9
2023-07-24,21.9
2023-07-25,23.6
2023-07-26,9.3
2023-07-27,4.4
2023-07-28,21.0
2023-07-29,15.2
2023-07-30,8.4
2023-07-31,23.0
2023-08-01,11.6
2023-08-02,8.4
2023-08-03,13.6
2023-08-04,1.7
2023-08-05,4.3
2023-08-06,9.0
2023-08-07,7.0
2023-08-08,6.6
2023-08-09,14.8
2023-08-10,22.7
2023-08-11,4.7
2023-08-12,17.4
2023-08-13,13.7
2023-08-14,22.4
2023-08-15,22.6
2023-08-16,22.8
2023-08-17,9.3
2023-08-18,17.8
2023-08-19,15.3
2023-08-20,23.0
2023-08-21,0.9
2023-08-22,15.4
2023-08-23,13.1
2023-08-24,10.7
2023-08-25,10.5
2023-08-26,2.0
2023-08-27,16.0
2023-08-28,0.7
2023-08-29,3.7
2023-08-30,0.0
2023-08-31,18.6
2023-09-01,0.3
2023-09-02,12.7
2023-09-03,7.9
2023-09-04,21.6
2023-09-05,6.7
2023-09-06,2.8
2023-09-07,5.5
2023-09-08,2.4
2023-09-09,21.1
2023-09-10,7.2
2023-09-11,0.5
2023-09-12,9.3
2023-09-13,10.7
2023-09-14,4.5
2023-09-15,10.8
2023-09-16,16.2
2023-09-17,17.8
2023-09-18,21.1
2023-09-19,4.2
2023-09-20,13.6
2023-09-21,21.9
2023-09-22,0.7
2023-09-23,5.2
2023-09-24,2.9
2023-09-25,4.1
2023-09-26,24.4
2023-09-27,0.8
2023-09-28,9.4
2023-09-29,3.1
2023-09-30,16.1
2023-10-01,6.8
2023-10-02,8.5
2023-10-03,16.7
2023-10-04,19.8
2023-10-05,16.8
2023-10-06,9.5
2023-10-07,19.5
2023-10-08,4.4
2023-10-09,11.2
2023-10-10,24.7
2023-10-11,18.1
2023-10-12,12.2
2023-10-13,15.8
2023-10-14,2.8
2023-10-15,20.3
2023-10-16,10.5
2023-10-17,14.3
2023-10-18,21.9
2023-10-19,22.3
2023-10-20,24.5
2023-10-21,6.6
2023-10-22,16.5
2023-10-23,23.9
2023-10-24,6.4
2023-10-25,23.3
2023-10-26,20.5
2023-10-27,17.3
2023-10-28,23.1
2023-10-29,2.2
2023-10-30,3.8
2023-10-31,10.6
2023-11-01,1.3
2023-11-02,21.8
2023-11-03,4.6
2023-11-04,3.1
2023-11-05,7.5
2023-11-06,13.0
2023-11-07,11.7
2023-11-08,1.4
2023-11-09,9.9
2023-11-10,10.0
2023-11-11,16.9
2023-11-12,1.5
2023-11-13,9.0
2023-11-14,17.0
2023-11-15,12.5
2023-11-16,16.8
2023-11-17,21.0
2023-11-18,24.8
2023-11-19,10.0
2023-11-20,10.5
2023-11-21,4.2
2023-11-22,23.0
2023-11-23,4.8
2023-11-24,6.7
2023-11-25,19.7
2023-11-26,19.5
2023-11-27,13.1
2023-11-28,10.6
2023-11-29,0.1
2023-11-30,0.7
2023-12-01,18.9
2023-12-02,12.0
2023-12-03,5.4
2023-12-04,17.3
2023-12-05,14.8
2023-12-06,21.5
2023-12-07,9.7
2023-12-08,20.6
2023-12-09,6.1
2023-12-10,9.4
2023-12-11,17.2
2023-12-12,8.0
2023-12-13,13.5
2023-12-14,23.5
2023-12-15,23.3
2023-12-16,0.2
2023-12-17,10.7
2023-12-18,6.8
2023-12-19,8.0
2023-12-20,17.5
2023-12-21,11.2
2023-12-22,10.8
2023-12-23,21.1
2023-12-24,3.1
2023-12-25,1.2
2023-12-26,4.2
2023-12-27,10.7
2023-12-28,5.9
2023-12-29,15.3
2023-12-30,1.8
2023-12-31,17.3
2024-01-01,15.3
2024-01-02,20.5
2024-01-03,14.6
2024-01-04,15.2
2024-01-05,5.9
2024-01-06,21.3
2024-01-07,17.8
2024-01-08,10.0
2024-01-09,2.8
2024-01-10,3.3
2024-01-11,24.5
2024-01-12,5.4
2024-01-13,23.5
2024-01-14,0.7
2024-01-15,24.3
2024-01-16,6.4
2024-01-17,3.6
2024-01-18,24.4
2024-01-19,24.3
2024-01-20,3.6
2024-01-21,0.7
2024-01-22,17.0
2024-01-23,1.1
2024-01-24,3.5
2024-01-25,6.0
2024-01-26,1.4
2024-01-27,16.2
2024-01-28,24.6
2024-01-29,14.6
2024-01-30,1.8
2024-01-31,13.2
2024-02-01,21.1
2024-02-02,1.6
2024-02-03,10.7
2024-02-04,3.2
2024-02-05,4.7
2024-02-06,0.9
2024-02-07,5.9
2024-02-08,2.5
2024-02-09,4.9
2024-02-10,9.3
2024-02-11,12.0
2024-02-12,12.7
2024-02-13,7.6
2024-02-14,3.8
2024-02-15,18.6
2024-02-16,8.2
2024-02-17,2.4
2024-02-18,1.4
2024-02-19,23.5
2024-02-20,3.6
2024-02-21,20.9
2024-02-22,12.1
2024-02-23,4.3
2024-02-24,23.0
2024-02-25,2.1
2024-02-26,21.2
