date,temperature
2023-06-10,12.6
2023-06-11,18.2
2023-06-12,29.6
2023-06-13,14.7
2023-06-14,33.7
2023-06-15,12.4
2023-06-16,12.4
2023-06-17,12.4
2023-06-18,14.0
2023-06-19,19.8
2023-06-20,10.2
2023-06-21,26.5
2023-06-22,14.3
2023-06-23,26.2
2023-06-24,5.2
2023-06-25,19.0
2023-06-26,15.2
2023-06-27,7.6
2023-06-28,13.2
2023-06-29,20.4
2023-06-30,8.6
2023-07-01,9.7
2023-07-02,7.7
2023-07-03,21.2
2023-07-04,12.0
2023-07-05,29.6
2023-07-06,27.9
2023-07-07,5.8
2023-07-08,18.7
2023-07-09,14.3
2023-07-10,13.8
2023-07-11,30.9
2023-07-12,18.8
2023-07-13,23.5
2023-07-14,6.3
2023-07-15,23.9
2023-07-16,19.3
2023-07-17,20.9
2023-07-18,10.2
2023-07-19,11.2
2023-07-20,28.0
2023-07-21,33.9
2023-07-22,31.8
2023-07-23,27.2
2023-07-24,28.4
2023-07-25,15.0
2023-07-26,6.0
2023-07-27,17.9
2023-07-28,19.7
2023-07-29,19.3
2023-07-30,10.2
2023-07-31,17.3
2023-08-01,33.7
2023-08-02,34.0
2023-08-03,17.9
2023-08-04,9.5
2023-08-05,6.2
2023-08-06,9.1
2023-08-07,24.5
2023-08-08,7.2
2023-08-09,10.6
2023-08-10,11.3
2023-08-11,13.1
2023-08-12,27.3
2023-08-13,21.6
2023-08-14,28.5
2023-08-15,19.6
2023-08-16,7.9
2023-08-17,21.4
2023-08-18,22.9
2023-08-19,32.0
2023-08-20,19.0
2023-08-21,9.3
2023-08-22,27.6
2023-08-23,6.0
2023-08-24,10.2
2023-08-25,18.8
2023-08-26,9.1
2023-08-27,23.4
2023-08-28,18.3
2023-08-29,8.6
2023-08-30,28.5
2023-08-31,13.4
2023-09-01,13.1
2023-09-02,5.6
2023-09-03,14.2
2023-09-04,9.7
2023-09-05,27.2
2023-09-06,12.2
2023-09-07,12.6
2023-09-08,11.9
2023-09-09,16.2
2023-09-10,15.5
2023-09-11,20.1
2023-09-12,26.7
2023-09-13,33.0
2023-09-14,21.5
2023-09-15,17.0
2023-09-16,8.4
2023-09-17,7.7
2023-09-18,27.1
2023-09-19,20.5
2023-09-20,23.3
2023-09-21,5.0
2023-09-22,23.1
2023-09-23,30.7
2023-09-24,18.9
2023-09-25,31.2
2023-09-26,28.2
2023-09-27,21.9
