date,temperature
2023-06-10,19.6
2023-06-11,3.0
2023-06-12,5.2
2023-06-13,8.7
2023-06-14,19.1
2023-06-15,11.9
2023-06-16,3.9
2023-06-17,24.8
2023-06-18,12.3
2023-06-19,3.4
2023-06-20,1.1
2023-06-21,17.3
2023-06-22,20.3
2023-06-23,13.6
2023-06-24,13.0
2023-06-25,20.3
2023-06-26,21.9
2023-06-27,19.4
2023-06-28,1.2
2023-06-29,15.0
2023-06-30,24.4
2023-07-01,2.6
2023-07-02,14.5
2023-07-03,10.9
2023-07-04,17.7
2023-07-05,1.6
2023-07-06,21.9
2023-07-07,19.4
2023-07-08,18.9
2023-07-09,17.5
2023-07-10,10.0
2023-07-11,7.2
2023-07-12,12.4
2023-07-13,3.6
2023-07-14,14.3
2023-07-15,12.1
2023-07-16,8.6
2023-07-17,4.4
2023-07-18,8.6
2023-07-19,3.9
2023-07-20,5.7
2023-07-21,11.0
2023-07-22,19.0
2023-07-23,0.6
2023-07-24,17.7
2023-07-25,23.6
2023-07-26,24.6
2023-07-27,10.4
2023-07-28,9.4
2023-07-29,17.4
2023-07-30,19.2
2023-07-31,2.6
2023-08-01,8.7
2023-08-02,14.8
2023-08-03,5.3
2023-08-04,9.1
2023-08-05,9.2
2023-08-06,1.8
2023-08-07,17.1
2023-08-08,0.9
2023-08-09,23.8
2023-08-10,21.3
2023-08-11,19.9
2023-08-12,6.6
2023-08-13,11.4
2023-08-14,23.1
2023-08-15,18.0
2023-08-16,12.0
2023-08-17,19.8
2023-08-18,14.5
2023-08-19,2.5
2023-08-20,2.7
2023-08-21,22.6
2023-08-22,12.5
2023-08-23,22.0
2023-08-24,1.8
2023-08-25,21.3
2023-08-26,10.4
2023-08-27,20.0
2023-08-28,4.0
2023-08-29,10.6
2023-08-30,11.4
2023-08-31,21.3
2023-09-01,8.1
2023-09-02,8.5
2023-09-03,11.5
2023-09-04,22.6
2023-09-05,10.4
2023-09-06,8.8
2023-09-07,17.7
2023-09-08,17.2
2023-09-09,15.0
2023-09-10,19.4
2023-09-11,23.1
2023-09-12,20.7
2023-09-13,5.6
2023-09-14,14.2
2023-09-15,12.3
2023-09-16,23.4
2023-09-17,10.5
2023-09-18,3.0
2023-09-19,19.3
2023-09-20,3.8
2023-09-21,24.3
2023-09-22,22.3
2023-09-23,2.8
2023-09-24,7.5
2023-09-25,14.9
2023-09-26,18.2
2023-09-27,8.4
2023-09-28,17.5
2023-09-29,15.4
2023-09-30,17.3
2023-10-01,3.3
2023-10-02,21.8
2023-10-03,1.0
2023-10-04,8.1
2023-10-05,3.1
2023-10-06,15.1
2023-10-07,17.3
2023-10-08,5.6
2023-10-09,19.7
2023-10-10,6.3
2023-10-11,22.4
2023-10-12,20.1
2023-10-13,6.0
2023-10-14,19.1
2023-10-15,6.9
2023-10-16,17.0
2023-10-17,11.8
2023-10-18,8.1
2023-10-19,24.7
2023-10-20,11.1
2023-10-21,14.1
2023-10-22,2.9
2023-10-23,10.4
2023-10-24,17.8
2023-10-25,7.2
2023-10-26,14.5
2023-10-27,23.2
2023-10-28,23.3
2023-10-29,9.1
2023-10-30,15.5
2023-10-31,21.0
2023-11-01,3.5
2023-11-02,17.6
2023-11-03,5.3
2023-11-04,19.1
2023-11-05,18.3
2023-11-06,21.2
2023-11-07,18.1
2023-11-08,2.7
2023-11-09,23.1
2023-11-10,22.5
2023-11-11,12.6
2023-11-12,9.5
2023-11-13,15.2
2023-11-14,11.1
2023-11-15,21.2
2023-11-16,5.5
2023-11-17,21.5
2023-11-18,1.3
2023-11-19,10.3
2023-11-20,7.3
2023-11-21,21.5
2023-11-22,12.8
2023-11-23,9.5
2023-11-24,5.7
2023-11-25,9.6
2023-11-26,22.3
2023-11-27,8.1
2023-11-28,17.2
2023-11-29,22.6
2023-11-30,19.7
2023-12-01,21.5
2023-12-02,21.0
2023-12-03,13.5
2023-12-04,7.3
2023-12-05,5.5
2023-12-06,24.9
2023-12-07,11.6
2023-12-08,3.6
2023-12-09,21.9
2023-12-10,8.7
2023-12-11,17.6
2023-12-12,7.3
2023-12-13,18.6
2023-12-14,22.0
2023-12-15,16.9
2023-12-16,23.8
2023-12-17,23.6
2023-12-18,5.0
2023-12-19,21.1
2023-12-20,11.0
2023-12-21,18.6
2023-12-22,20.3
2023-12-23,10.6
2023-12-24,12.3
2023-12-25,21.8
2023-12-26,10.7
2023-12-27,0.7
2023-12-28,2.6
2023-12-29,1.7
2023-12-30,19.6
2023-12-31,15.2
2024-01-01,14.0
2024-01-02,2.9
2024-01-03,0.8
2024-01-04,1.8
2024-01-05,13.2
2024-01-06,3.6
2024-01-07,14.7
2024-01-08,3.8
2024-01-09,1.1
2024-01-10,4.1
2024-01-11,8.6
2024-01-12,1.8
2024-01-13,15.4
2024-01-14,2.0
2024-01-15,9.9
2024-01-16,11.3
2024-01-17,21.2
2024-01-18,19.2
2024-01-19,22.0
2024-01-20,9.3
2024-01-21,19.5
2024-01-22,22.8
2024-01-23,7.7
2024-01-24,0.1
2024-01-25,18.0
2024-01-26,24.4
2024-01-27,11.2
2024-01-28,23.3
2024-01-29,24.2
2024-01-30,0.0
2024-01-31,24.9
2024-02-01,12.5
2024-02-02,10.4
2024-02-03,6.7
2024-02-04,14.8
2024-02-05,10.7
2024-02-06,15.9
2024-02-07,23.0
2024-02-08,10.0
2024-02-09,3.8
2024-02-10,9.1
2024-02-11,14.6
2024-02-12,10.6
2024-02-13,2.9
2024-02-14,21.7
2024-02-15,20.6
2024-02-16,15.6
2024-02-17,21.2
2024-02-18,1.9
2024-02-19,10.5
2024-02-20,3.2
2024-02-21,24.7
2024-02-22,14.5
2024-02-23,12.5
2024-02-24,6.3
2024-02-25,19.9
2024-02-26,6.1
2024-02-27,11.5
2024-02-28,16.5
2024-02-29,15.7
2024-03-01,16.9
2024-03-02,22.2
2024-03-03,24.5
2024-03-04,17.6
2024-03-05,24.3
2024-03-06,15.8
2024-03-07,9.7
2024-03-08,16.1
2024-03-09,23.3
2024-03-10,1.7
2024-03-11,21.0
2024-03-12,21.1
2024-03-13,9.7
2024-03-14,24.5
2024-03-15,12.6
2024-03-16,18.9
2024-03-17,7.7
2024-03-18,17.4
2024-03-19,6.3
2024-03-20,9.0
2024-03-21,6.1
2024-03-22,17.6
2024-03-23,16.4
2024-03-24,11.7
2024-03-25,5.6
2024-03-26,8.6
2024-03-27,7.9
2024-03-28,0.6
2024-03-29,5.0
2024-03-30,14.4
2024-03-31,4.9
2024-04-01,24.9
2024-04-02,15.4
2024-04-03,9.6
2024-04-04,18.8
2024-04-05,6.7
2024-04-06,13.3
2024-04-07,2.1
2024-04-08,5.0
2024-04-09,23.2
2024-04-10,1.3
2024-04-11,22.4
2024-04-12,19.2
2024-04-13,4.7
2024-04-14,1.4
2024-04-15,22.8
2024-04-16,1.4
2024-04-17,7.9
2024-04-18,7.4
2024-04-19,7.6
2024-04-20,21.1
2024-04-21,2.1
2024-04-22,0.6
2024-04-23,4.2
2024-04-24,7.8
2024-04-25,11.0
2024-04-26,8.5
2024-04-27,7.5
2024-04-28,17.2
2024-04-29,20.0
2024-04-30,4.4
2024-05-01,24.5
2024-05-02,8.0
2024-05-03,21.4
2024-05-04,12.6
2024-05-05,21.2
2024-05-06,17.1
2024-05-07,2.6
2024-05-08,2.1
2024-05-09,4.3
2024-05-10,23.5
2024-05-11,4.2
2024-05-12,18.8
2024-05-13,18.0
2024-05-14,11.4
2024-05-15,4.8
2024-05-16,20.4
2024-05-17,19.8
2024-05-18,9.1
2024-05-19,14.1
2024-05-20,2.7
2024-05-21,24.9
2024-05-22,16.1
2024-05-23,4.9
2024-05-24,14.0
2024-05-25,13.8
2024-05-26,11.8
2024-05-27,0.3
2024-05-28,1.2
2024-05-29,4.3
2024-05-30,19.2
2024-05-31,16.7
2024-06-01,6.8
2024-06-02,18.3
2024-06-03,6.9
2024-06-04,0.4
2024-06-05,24.1
2024-06-06,14.1
2024-06-07,21.0
2024-06-08,4.3
2024-06-09,18.2
2024-06-10,13.9
2024-06-11,5.0
2024-06-12,21.1
2024-06-13,0.5
2024-06-14,16.2
2024-06-15,15.4
2024-06-16,1.3
2024-06-17,3.3
2024-06-18,12.8
2024-06-19,8.2
2024-06-20,20.8
2024-06-21,0.1
2024-06-22,10.5
2024-06-23,3.2
2024-06-24,21.2
2024-06-25,5.3
2024-06-26,21.3
2024-06-27,7.0
2024-06-28,18.4
2024-06-29,19.3
2024-06-30,21.0
2024-07-01,19.6
2024-07-02,12.3
2024-07-03,23.7
2024-07-04,12.7
2024-07-05,15.7
2024-07-06,7.0
2024-07-07,6.0
2024-07-08,13.7
