date,temperature
2023-06-10,-2.1
2023-06-11,3.2
2023-06-12,13.0
2023-06-13,24.0
2023-06-14,20.8
2023-06-15,-3.6
2023-06-16,20.4
2023-06-17,0.6
2023-06-18,16.1
2023-06-19,17.7
2023-06-20,-4.3
2023-06-21,-12.3
2023-06-22,-0.5
2023-06-23,-12.3
2023-06-24,21.7
2023-06-25,-1.5
2023-06-26,10.1
2023-06-27,14.3
2023-06-28,18.3
2023-06-29,23.3
2023-06-30,0.2
2023-07-01,11.9
2023-07-02,16.8
2023-07-03,-7.2
2023-07-04,-11.0
2023-07-05,-5.1
2023-07-06,22.1
2023-07-07,-8.4
2023-07-08,3.2
2023-07-09,21.4
2023-07-10,15.3
2023-07-11,4.5
2023-07-12,10.8
2023-07-13,22.5
2023-07-14,15.1
2023-07-15,5.5
2023-07-16,-12.8
2023-07-17,13.5
2023-07-18,-3.8
2023-07-19,16.4
2023-07-20,-9.5
2023-07-21,9.4
2023-07-22,10.7
2023-07-23,-8.1
2023-07-24,21.1
2023-07-25,-9.1
2023-07-26,20.8
2023-07-27,-0.3
2023-07-28,22.0
2023-07-29,24.9
2023-07-30,15.4
2023-07-31,22.1
2023-08-01,-11.4
2023-08-02,-9.1
2023-08-03,21.3
2023-08-04,12.1
2023-08-05,-14.3
2023-08-06,-1.3
2023-08-07,24.0
2023-08-08,-11.0
2023-08-09,-8.4
2023-08-10,-9.9
2023-08-11,20.8
2023-08-12,14.8
2023-08-13,22.6
2023-08-14,-4.0
2023-08-15,7.1
2023-08-16,21.8
2023-08-17,24.9
2023-08-18,-13.1
2023-08-19,3.4
2023-08-20,15.9
2023-08-21,20.1
2023-08-22,0.3
2023-08-23,-5.4
2023-08-24,24.9
2023-08-25,-6.9
2023-08-26,9.2
2023-08-27,4.8
2023-08-28,-9.3
2023-08-29,3.0
2023-08-30,5.7
2023-08-31,13.5
2023-09-01,15.2
2023-09-02,7.0
2023-09-03,4.0
2023-09-04,7.3
2023-09-05,-3.3
2023-09-06,-11.6
2023-09-07,24.2
2023-09-08,-3.7
2023-09-09,-13.7
2023-09-10,10.4
2023-09-11,18.1
2023-09-12,5.8
2023-09-13,12.3
2023-09-14,-0.7
2023-09-15,9.2
2023-09-16,4.9
2023-09-17,11.1
2023-09-18,17.4
2023-09-19,16.8
2023-09-20,6.5
2023-09-21,0.2
2023-09-22,17.0
2023-09-23,-10.8
2023-09-24,-12.6
2023-09-25,17.4
2023-09-26,7.9
2023-09-27,-8.7
2023-09-28,3.2
2023-09-29,-12.1
2023-09-30,-12.2
2023-10-01,-5.8
2023-10-02,-6.8
2023-10-03,-3.1
2023-10-04,-10.4
2023-10-05,0.7
2023-10-06,13.4
2023-10-07,3.5
2023-10-08,-6.5
2023-10-09,20.3
2023-10-10,22.0
2023-10-11,-2.6
2023-10-12,21.1
2023-10-13,8.4
2023-10-14,16.3
2023-10-15,14.1
2023-10-16,-13.9
2023-10-17,0.7
2023-10-18,-9.1
2023-10-19,-2.7
2023-10-20,14.3
2023-10-21,-10.9
