date,temperature
2023-06-10,21.9
2023-06-11,8.1
2023-06-12,8.1
2023-06-13,12.0
2023-06-14,0.8
2023-06-15,19.6
2023-06-16,13.2
2023-06-17,21.3
2023-06-18,15.3
2023-06-19,25.1
2023-06-20,13.8
2023-06-21,17.3
2023-06-22,5.5
2023-06-23,19.3
2023-06-24,13.5
2023-06-25,10.7
2023-06-26,3.6
2023-06-27,9.6
2023-06-28,27.2
2023-06-29,-0.9
2023-06-30,23.9
2023-07-01,-1.9
2023-07-02,26.6
2023-07-03,9.9
2023-07-04,10.2
2023-07-05,27.7
2023-07-06,21.6
2023-07-07,24.0
2023-07-08,3.4
2023-07-09,13.6
2023-07-10,24.6
2023-07-11,5.4
2023-07-12,-4.1
2023-07-13,13.9
2023-07-14,4.5
2023-07-15,26.7
2023-07-16,29.6
2023-07-17,28.7
2023-07-18,9.6
2023-07-19,17.8
2023-07-20,17.4
2023-07-21,-4.7
2023-07-22,13.0
2023-07-23,11.2
2023-07-24,-2.6
2023-07-25,27.2
2023-07-26,16.8
2023-07-27,20.0
2023-07-28,4.4
2023-07-29,28.3
2023-07-30,-3.0
2023-07-31,0.7
2023-08-01,-3.9
2023-08-02,18.1
2023-08-03,24.8
2023-08-04,12.7
2023-08-05,27.7
2023-08-06,5.8
2023-08-07,25.0
2023-08-08,11.8
2023-08-09,17.9
2023-08-10,4.6
2023-08-11,26.5
2023-08-12,19.2
2023-08-13,13.1
2023-08-14,28.0
2023-08-15,23.1
2023-08-16,16.4
2023-08-17,-0.5
2023-08-18,7.9
2023-08-19,16.6
2023-08-20,1.4
2023-08-21,0.4
2023-08-22,17.9
2023-08-23,13.1
2023-08-24,10.1
2023-08-25,20.3
2023-08-26,-1.7
2023-08-27,25.8
2023-08-28,27.9
2023-08-29,18.3
2023-08-30,25.3
2023-08-31,7.3
2023-09-01,0.8
2023-09-02,24.9
2023-09-03,8.5
2023-09-04,12.5
2023-09-05,5.0
2023-09-06,29.3
2023-09-07,27.9
2023-09-08,20.3
2023-09-09,25.9
2023-09-10,2.8
2023-09-11,20.8
2023-09-12,14.0
2023-09-13,25.8
2023-09-14,7.6
2023-09-15,19.7
2023-09-16,3.6
2023-09-17,-3.6
2023-09-18,-2.0
2023-09-19,25.9
2023-09-20,1.6
