date,temperature
2023-06-10,-7.1
2023-06-11,29.7
2023-06-12,12.8
2023-06-13,-6.2
2023-06-14,6.0
2023-06-15,22.3
2023-06-16,-0.5
2023-06-17,21.7
2023-06-18,-8.3
2023-06-19,23.7
2023-06-20,3.6
2023-06-21,7.3
2023-06-22,2.2
2023-06-23,19.8
2023-06-24,0.1
2023-06-25,4.5
2023-06-26,14.8
2023-06-27,17.3
2023-06-28,1.5
2023-06-29,-7.2
2023-06-30,26.2
2023-07-01,4.2
2023-07-02,22.2
2023-07-03,-5.5
2023-07-04,-3.7
2023-07-05,-8.8
2023-07-06,21.5
2023-07-07,15.3
2023-07-08,9.8
2023-07-09,-2.4
2023-07-10,0.9
2023-07-11,-3.0
2023-07-12,-7.8
2023-07-13,-5.8
2023-07-14,29.9
2023-07-15,6.9
2023-07-16,27.2
2023-07-17,19.3
2023-07-18,23.3
2023-07-19,0.3
2023-07-20,28.2
2023-07-21,6.2
2023-07-22,-3.9
2023-07-23,6.1
2023-07-24,15.3
2023-07-25,11.6
2023-07-26,7.5
2023-07-27,23.1
2023-07-28,4.2
2023-07-29,29.7
2023-07-30,-9.9
2023-07-31,-2.4
2023-08-01,-2.2
2023-08-02,13.3
2023-08-03,5.1
2023-08-04,28.7
2023-08-05,-8.7
2023-08-06,-7.4
2023-08-07,11.1
2023-08-08,-1.4
2023-08-09,-4.5
2023-08-10,-6.2
2023-08-11,24.2
2023-08-12,13.5
2023-08-13,-7.0
2023-08-14,0.9
2023-08-15,27.7
2023-08-16,18.6
2023-08-17,-8.0
2023-08-18,-5.1
2023-08-19,12.5
2023-08-20,11.8
2023-08-21,-7.6
2023-08-22,6.7
2023-08-23,-4.8
2023-08-24,26.9
2023-08-25,26.2
2023-08-26,24.9
2023-08-27,16.5
2023-08-28,6.5
2023-08-29,-7.7
2023-08-30,27.1
2023-08-31,8.5
2023-09-01,10.5
2023-09-02,11.4
2023-09-03,12.9
2023-09-04,-8.4
2023-09-05,-9.5
2023-09-06,-1.2
2023-09-07,20.6
2023-09-08,-9.4
2023-09-09,21.1
2023-09-10,20.6
2023-09-11,-7.5
2023-09-12,-1.6
2023-09-13,5.2
2023-09-14,15.1
2023-09-15,27.9
2023-09-16,6.3
2023-09-17,7.3
2023-09-18,22.9
2023-09-19,8.5
2023-09-20,5.3
2023-09-21,-8.3
2023-09-22,5.0
2023-09-23,24.7
2023-09-24,6.1
2023-09-25,-8.3
2023-09-26,28.1
2023-09-27,8.3
2023-09-28,26.9
2023-09-29,14.7
2023-09-30,6.0
2023-10-01,11.2
2023-10-02,8.3
2023-10-03,4.3
2023-10-04,3.1
2023-10-05,3.8
2023-10-06,7.7
2023-10-07,20.7
2023-10-08,-6.9
2023-10-09,15.9
2023-10-10,26.5
2023-10-11,25.6
2023-10-12,10.8
2023-10-13,-4.9
2023-10-14,0.1
2023-10-15,1.7
2023-10-16,5.7
2023-10-17,2.2
2023-10-18,-1.0
2023-10-19,23.6
2023-10-20,3.1
2023-10-21,26.9
2023-10-22,14.5
2023-10-23,8.9
2023-10-24,0.1
2023-10-25,-8.4
2023-10-26,-1.5
2023-10-27,12.0
2023-10-28,-4.7
2023-10-29,5.9
2023-10-30,29.7
2023-10-31,10.3
2023-11-01,20.0
2023-11-02,-2.9
2023-11-03,21.6
2023-11-04,18.4
2023-11-05,0.0
2023-11-06,-0.3
2023-11-07,-0.2
2023-11-08,3.5
2023-11-09,8.5
2023-11-10,8.6
2023-11-11,-8.3
2023-11-12,19.9
2023-11-13,18.9
2023-11-14,13.5
2023-11-15,7.4
2023-11-16,-3.7
2023-11-17,25.1
2023-11-18,23.0
2023-11-19,2.2
2023-11-20,1.3
2023-11-21,15.7
2023-11-22,28.2
2023-11-23,6.3
2023-11-24,6.9
2023-11-25,23.0
2023-11-26,-6.1
2023-11-27,11.4
2023-11-28,29.9
2023-11-29,-7.8
2023-11-30,-6.5
2023-12-01,-5.6
2023-12-02,-4.6
2023-12-03,10.6
2023-12-04,11.7
2023-12-05,27.9
2023-12-06,-3.1
2023-12-07,4.8
2023-12-08,0.7
2023-12-09,-4.5
2023-12-10,8.4
2023-12-11,15.7
2023-12-12,-6.9
2023-12-13,19.8
2023-12-14,1.4
2023-12-15,27.6
2023-12-16,-5.0
2023-12-17,1.6
2023-12-18,17.4
2023-12-19,15.6
2023-12-20,20.3
2023-12-21,2.1
2023-12-22,27.7
2023-12-23,19.3
2023-12-24,2.2
2023-12-25,10.3
2023-12-26,-3.2
2023-12-27,11.6
2023-12-28,19.3
2023-12-29,-1.6
2023-12-30,16.6
2023-12-31,-6.7
2024-01-01,28.5
2024-01-02,28.2
2024-01-03,21.1
2024-01-04,7.0
2024-01-05,23.8
2024-01-06,17.1
2024-01-07,3.1
2024-01-08,4.2
2024-01-09,20.0
2024-01-10,16.1
2024-01-11,-3.0
2024-01-12,8.3
2024-01-13,4.0
2024-01-14,-4.9
2024-01-15,7.7
2024-01-16,22.3
2024-01-17,10.1
2024-01-18,21.8
2024-01-19,25.8
2024-01-20,17.8
2024-01-21,7.3
2024-01-22,22.4
2024-01-23,26.5
2024-01-24,19.9
2024-01-25,12.4
2024-01-26,18.1
2024-01-27,14.3
2024-01-28,17.4
2024-01-29,-2.8
2024-01-30,28.3
2024-01-31,2.0
2024-02-01,22.0
2024-02-02,6.2
2024-02-03,6.8
2024-02-04,3.7
2024-02-05,9.0
2024-02-06,-2.8
2024-02-07,29.4
2024-02-08,4.9
2024-02-09,17.8
2024-02-10,-6.9
2024-02-11,23.7
2024-02-12,-7.0
2024-02-13,11.4
2024-02-14,-0.3
2024-02-15,-2.2
2024-02-16,-0.1
2024-02-17,-0.4
2024-02-18,-9.9
2024-02-19,3.2
2024-02-20,2.9
2024-02-21,2.0
2024-02-22,14.4
2024-02-23,11.7
2024-02-24,24.3
2024-02-25,14.6
2024-02-26,6.1
2024-02-27,-6.0
2024-02-28,0.9
2024-02-29,28.6
2024-03-01,-7.6
2024-03-02,29.4
2024-03-03,-1.7
2024-03-04,3.6
2024-03-05,-4.5
2024-03-06,4.1
2024-03-07,-0.6
2024-03-08,12.1
2024-03-09,-9.1
2024-03-10,21.0
2024-03-11,21.6
2024-03-12,18.0
2024-03-13,19.9
2024-03-14,5.8
2024-03-15,18.1
2024-03-16,19.7
2024-03-17,-9.6
2024-03-18,20.2
2024-03-19,12.8
2024-03-20,11.8
2024-03-21,5.7
2024-03-22,8.2
2024-03-23,15.6
2024-03-24,-8.1
2024-03-25,30.0
2024-03-26,0.8
2024-03-27,15.7
2024-03-28,26.8
2024-03-29,4.3
2024-03-30,-6.2
2024-03-31,14.2
2024-04-01,24.4
2024-04-02,15.5
2024-04-03,29.3
2024-04-04,4.7
2024-04-05,17.1
2024-04-06,26.8
2024-04-07,12.6
2024-04-08,22.2
2024-04-09,16.6
2024-04-10,10.4
2024-04-11,16.3
2024-04-12,15.5
2024-04-13,0.5
2024-04-14,-8.4
2024-04-15,1.8
2024-04-16,20.8
2024-04-17,25.9
2024-04-18,-4.3
2024-04-19,5.7
2024-04-20,14.3
2024-04-21,-6.0
2024-04-22,7.7
2024-04-23,-9.4
2024-04-24,-4.1
2024-04-25,-3.6
2024-04-26,13.5
2024-04-27,11.6
2024-04-28,11.5
2024-04-29,-3.5
2024-04-30,27.5
2024-05-01,18.0
2024-05-02,13.0
2024-05-03,16.0
2024-05-04,-0.2
2024-05-05,-5.9
2024-05-06,0.2
2024-05-07,1.1
2024-05-08,27.4
2024-05-09,-1.2
2024-05-10,-2.8
2024-05-11,-4.1
2024-05-12,7.3
2024-05-13,26.0
2024-05-14,8.2
2024-05-15,-5.7
2024-05-16,-4.6
2024-05-17,27.0
2024-05-18,14.4
2024-05-19,0.8
2024-05-20,24.8
2024-05-21,14.1
2024-05-22,29.9
2024-05-23,1.7
2024-05-24,23.4
2024-05-25,13.1
2024-05-26,-8.7
2024-05-27,21.6
2024-05-28,21.0
2024-05-29,-8.9
2024-05-30,3.3
2024-05-31,-1.5
2024-06-01,22.3
2024-06-02,2.7
2024-06-03,15.8
2024-06-04,16.9
2024-06-05,-8.5
2024-06-06,0.5
2024-06-07,-5.5
2024-06-08,9.7
2024-06-09,-4.6
2024-06-10,22.1
2024-06-11,8.3
2024-06-12,2.3
2024-06-13,20.8
2024-06-14,-3.5
2024-06-15,7.1
2024-06-16,-5.9
2024-06-17,3.6
2024-06-18,18.0
2024-06-19,16.6
2024-06-20,22.6
2024-06-21,-1.4
2024-06-22,17.4
2024-06-23,14.5
2024-06-24,0.0
2024-06-25,9.8
2024-06-26,-8.2
2024-06-27,-6.7
2024-06-28,25.1
2024-06-29,16.1
2024-06-30,8.1
2024-07-01,24.1
2024-07-02,-6.1
2024-07-03,-8.0
2024-07-04,10.9
2024-07-05,-3.1
2024-07-06,18.5
2024-07-07,4.0
2024-07-08,9.5
2024-07-09,26.6
2024-07-10,7.2
2024-07-11,0.8
2024-07-12,-0.6
2024-07-13,27.4
2024-07-14,1.9
2024-07-15,22.4
2024-07-16,26.5
2024-07-17,7.8
2024-07-18,13.4
2024-07-19,2.8
2024-07-20,-3.3
2024-07-21,12.8
2024-07-22,29.2
2024-07-23,-2.3
2024-07-24,29.2
2024-07-25,9.1
2024-07-26,-7.3
2024-07-27,9.5
2024-07-28,-2.0
2024-07-29,8.1
2024-07-30,5.4
2024-07-31,17.6
2024-08-01,5.6
2024-08-02,18.2
2024-08-03,-4.6
2024-08-04,26.9
2024-08-05,13.9
2024-08-06,-1.7
2024-08-07,26.9
2024-08-08,1.5
2024-08-09,5.1
2024-08-10,21.4
2024-08-11,24.0
2024-08-12,28.3
2024-08-13,1.9
2024-08-14,12.4
2024-08-15,-5.8
2024-08-16,7.1
2024-08-17,-9.3
2024-08-18,25.2
2024-08-19,27.3
2024-08-20,4.5
2024-08-21,-0.0
2024-08-22,1.9
2024-08-23,21.9
2024-08-24,22.7
2024-08-25,29.3
2024-08-26,4.2
2024-08-27,20.0
2024-08-28,15.1
2024-08-29,-0.5
2024-08-30,11.7
2024-08-31,18.5
2024-09-01,7.8
2024-09-02,13.6
2024-09-03,28.7
2024-09-04,10.4
2024-09-05,23.8
2024-09-06,4.8
2024-09-07,10.7
2024-09-08,24.9
2024-09-09,8.6
2024-09-10,5.1
2024-09-11,24.2
2024-09-12,1.3
2024-09-13,14.0
2024-09-14,5.6
2024-09-15,24.4
2024-09-16,16.4
2024-09-17,-9.1
2024-09-18,22.7
2024-09-19,28.8
2024-09-20,3.6
2024-09-21,27.7
2024-09-22,3.0
2024-09-23,27.3
2024-09-24,0.2
2024-09-25,0.2
2024-09-26,14.6
2024-09-27,20.8
2024-09-28,18.3
2024-09-29,24.5
2024-09-30,27.5
2024-10-01,19.4
2024-10-02,-4.7
2024-10-03,0.5
2024-10-04,-3.7
2024-10-05,25.8
2024-10-06,13.3
2024-10-07,7.7
2024-10-08,1.8
2024-10-09,26.3
2024-10-10,16.5
2024-10-11,12.9
2024-10-12,22.0
2024-10-13,26.7
2024-10-14,6.3
2024-10-15,-0.9
2024-10-16,25.4
2024-10-17,11.7
2024-10-18,1.1
2024-10-19,0.5
2024-10-20,-3.7
2024-10-21,25.6
2024-10-22,15.9
2024-10-23,-7.3
2024-10-24,-7.6
2024-10-25,2.4
2024-10-26,9.2
2024-10-27,-8.5
2024-10-28,16.6
2024-10-29,10.0
2024-10-30,9.7
2024-10-31,14.6
2024-11-01,24.2
2024-11-02,-2.8
2024-11-03,13.4
2024-11-04,11.5
2024-11-05,26.4
2024-11-06,22.7
2024-11-07,26.0
2024-11-08,5.8
2024-11-09,6.8
2024-11-10,-8.8
2024-11-11,23.3
2024-11-12,21.4
2024-11-13,-7.2
2024-11-14,14.4
2024-11-15,-8.8
2024-11-16,16.9
2024-11-17,-3.6
2024-11-18,-5.0
2024-11-19,3.7
2024-11-20,25.8
2024-11-21,22.4
2024-11-22,-9.0
2024-11-23,23.5
2024-11-24,25.6
2024-11-25,17.9
2024-11-26,17.3
2024-11-27,-3.4
2024-11-28,3.1
2024-11-29,5.8
2024-11-30,28.6
2024-12-01,-5.3
2024-12-02,4.1
2024-12-03,-7.1
2024-12-04,-5.6
2024-12-05,0.2
2024-12-06,10.1
2024-12-07,27.9
2024-12-08,-9.9
2024-12-09,7.9
2024-12-10,8.8
2024-12-11,-2.4
2024-12-12,20.1
2024-12-13,3.7
2024-12-14,7.8
2024-12-15,27.9
2024-12-16,11.9
2024-12-17,3.7
2024-12-18,23.1
2024-12-19,3.2
2024-12-20,14.4
2024-12-21,24.1
2024-12-22,18.2
2024-12-23,7.7
2024-12-24,21.9
2024-12-25,10.3
2024-12-26,1.0
2024-12-27,8.1
2024-12-28,3.6
2024-12-29,11.9
2024-12-30,2.0
2024-12-31,-0.4
2025-01-01,8.1
2025-01-02,28.1
2025-01-03,27.4
2025-01-04,1.8
2025-01-05,18.2
2025-01-06,10.5
2025-01-07,18.2
2025-01-08,-6.3
2025-01-09,16.5
2025-01-10,20.2
2025-01-11,18.7
2025-01-12,24.4
2025-01-13,-6.8
2025-01-14,1.1
2025-01-15,4.9
2025-01-16,28.8
2025-01-17,29.5
2025-01-18,17.9
2025-01-19,20.4
2025-01-20,6.0
