date,temperature
2023-06-10,3.2
2023-06-11,9.4
2023-06-12,22.5
2023-06-13,15.5
2023-06-14,15.3
2023-06-15,17.6
2023-06-16,20.5
2023-06-17,28.2
2023-06-18,16.8
2023-06-19,1.5
2023-06-20,24.8
2023-06-21,23.8
2023-06-22,9.3
2023-06-23,13.2
2023-06-24,0.1
2023-06-25,14.7
2023-06-26,8.4
2023-06-27,23.6
2023-06-28,15.8
2023-06-29,27.0
2023-06-30,6.1
2023-07-01,10.9
2023-07-02,29.6
2023-07-03,6.5
2023-07-04,17.9
2023-07-05,12.9
2023-07-06,26.6
2023-07-07,25.5
2023-07-08,10.9
2023-07-09,7.2
2023-07-10,3.0
2023-07-11,0.7
2023-07-12,25.6
2023-07-13,22.2
2023-07-14,10.2
2023-07-15,17.6
2023-07-16,13.0
2023-07-17,11.1
2023-07-18,3.2
2023-07-19,8.1
2023-07-20,22.1
2023-07-21,16.0
2023-07-22,6.6
2023-07-23,12.0
2023-07-24,15.5
2023-07-25,22.1
2023-07-26,14.2
2023-07-27,18.5
2023-07-28,19.8
2023-07-29,22.7
2023-07-30,25.7
2023-07-31,15.3
2023-08-01,8.2
2023-08-02,2.7
2023-08-03,26.8
2023-08-04,18.3
2023-08-05,25.3
2023-08-06,10.9
2023-08-07,25.2
2023-08-08,17.7
2023-08-09,0.3
2023-08-10,22.9
2023-08-11,29.2
2023-08-12,4.9
2023-08-13,29.8
2023-08-14,15.9
2023-08-15,9.3
2023-08-16,22.9
2023-08-17,6.5
2023-08-18,21.5
2023-08-19,14.4
2023-08-20,13.9
2023-08-21,21.7
2023-08-22,0.5
2023-08-23,29.1
2023-08-24,9.8
2023-08-25,25.2
2023-08-26,12.5
2023-08-27,0.1
2023-08-28,20.4
2023-08-29,7.0
2023-08-30,23.9
2023-08-31,24.0
2023-09-01,20.4
2023-09-02,6.9
2023-09-03,4.0
2023-09-04,3.3
2023-09-05,12.8
2023-09-06,17.5
2023-09-07,23.1
2023-09-08,28.1
2023-09-09,29.1
2023-09-10,10.2
2023-09-11,4.3
2023-09-12,6.4
2023-09-13,21.0
2023-09-14,15.0
2023-09-15,25.1
2023-09-16,15.3
2023-09-17,28.0
2023-09-18,18.9
2023-09-19,25.0
2023-09-20,10.4
2023-09-21,25.4
2023-09-22,22.4
2023-09-23,18.4
2023-09-24,22.2
2023-09-25,7.1
2023-09-26,1.7
2023-09-27,13.0
2023-09-28,0.9
2023-09-29,21.3
2023-09-30,21.9
2023-10-01,11.5
2023-10-02,20.2
2023-10-03,17.0
2023-10-04,24.8
2023-10-05,4.2
2023-10-06,29.4
2023-10-07,28.7
2023-10-08,24.1
2023-10-09,16.5
2023-10-10,13.0
2023-10-11,28.1
2023-10-12,13.6
2023-10-13,1.4
2023-10-14,3.8
2023-10-15,11.3
2023-10-16,16.1
2023-10-17,19.4
2023-10-18,26.2
2023-10-19,29.4
2023-10-20,17.2
2023-10-21,17.7
2023-10-22,0.9
2023-10-23,15.1
2023-10-24,9.5
2023-10-25,22.1
2023-10-26,0.4
2023-10-27,23.1
2023-10-28,19.6
2023-10-29,29.6
2023-10-30,9.6
2023-10-31,24.9
2023-11-01,0.8
2023-11-02,15.2
2023-11-03,22.3
2023-11-04,5.7
2023-11-05,11.4
2023-11-06,9.5
2023-11-07,3.3
2023-11-08,19.8
2023-11-09,19.6
2023-11-10,19.2
2023-11-11,26.7
2023-11-12,9.7
2023-11-13,9.0
2023-11-14,5.2
2023-11-15,20.1
2023-11-16,4.7
2023-11-17,12.5
2023-11-18,7.0
2023-11-19,29.0
2023-11-20,24.9
2023-11-21,18.8
2023-11-22,22.5
2023-11-23,24.8
2023-11-24,24.5
2023-11-25,25.3
2023-11-26,29.7
2023-11-27,2.5
2023-11-28,10.7
2023-11-29,12.1
2023-11-30,19.2
2023-12-01,19.4
2023-12-02,25.5
2023-12-03,1.6
2023-12-04,17.4
2023-12-05,23.0
2023-12-06,27.4
2023-12-07,7.0
2023-12-08,17.2
2023-12-09,1.8
2023-12-10,20.0
2023-12-11,29.7
2023-12-12,4.5
2023-12-13,20.6
2023-12-14,1.7
2023-12-15,29.7
2023-12-16,6.4
2023-12-17,21.6
2023-12-18,0.3
2023-12-19,27.1
2023-12-20,23.8
2023-12-21,13.8
2023-12-22,29.6
2023-12-23,10.8
2023-12-24,28.2
2023-12-25,25.5
2023-12-26,17.1
2023-12-27,15.2
2023-12-28,6.2
2023-12-29,4.5
2023-12-30,20.1
2023-12-31,14.6
2024-01-01,27.9
2024-01-02,15.7
2024-01-03,12.3
2024-01-04,25.8
2024-01-05,9.6
2024-01-06,21.4
2024-01-07,10.6
2024-01-08,22.1
2024-01-09,23.7
2024-01-10,19.4
2024-01-11,15.8
2024-01-12,25.8
2024-01-13,3.6
2024-01-14,7.1
2024-01-15,14.3
2024-01-16,9.4
2024-01-17,23.4
2024-01-18,16.2
2024-01-19,25.3
2024-01-20,18.0
2024-01-21,7.1
2024-01-22,9.7
2024-01-23,29.2
2024-01-24,20.9
2024-01-25,18.5
2024-01-26,24.1
2024-01-27,21.7
2024-01-28,15.2
2024-01-29,24.4
2024-01-30,0.6
2024-01-31,26.5
2024-02-01,30.0
2024-02-02,15.2
2024-02-03,28.4
2024-02-04,18.8
2024-02-05,0.3
2024-02-06,20.3
2024-02-07,29.4
2024-02-08,11.4
2024-02-09,20.5
2024-02-10,7.7
2024-02-11,14.1
2024-02-12,0.8
2024-02-13,2.7
2024-02-14,14.3
2024-02-15,3.3
2024-02-16,23.9
2024-02-17,18.8
2024-02-18,28.1
2024-02-19,2.9
2024-02-20,21.3
2024-02-21,18.3
2024-02-22,25.7
2024-02-23,10.4
2024-02-24,11.3
2024-02-25,1.0
2024-02-26,24.9
2024-02-27,9.7
2024-02-28,23.0
2024-02-29,14.8
2024-03-01,11.7
2024-03-02,7.3
2024-03-03,3.3
2024-03-04,22.1
2024-03-05,7.4
2024-03-06,22.1
2024-03-07,5.5
2024-03-08,1.6
2024-03-09,2.7
2024-03-10,10.7
2024-03-11,27.8
2024-03-12,25.3
2024-03-13,3.7
2024-03-14,4.7
2024-03-15,13.3
2024-03-16,19.2
2024-03-17,13.2
2024-03-18,29.3
2024-03-19,6.6
2024-03-20,8.8
2024-03-21,19.5
2024-03-22,2.9
2024-03-23,26.8
2024-03-24,7.5
2024-03-25,17.0
2024-03-26,5.7
2024-03-27,3.8
2024-03-28,28.1
2024-03-29,1.8
2024-03-30,28.2
2024-03-31,13.7
2024-04-01,11.3
2024-04-02,21.3
2024-04-03,18.1
2024-04-04,0.1
2024-04-05,22.7
2024-04-06,6.2
2024-04-07,7.0
2024-04-08,14.4
2024-04-09,28.7
2024-04-10,9.4
2024-04-11,22.5
2024-04-12,24.8
2024-04-13,5.5
2024-04-14,20.3
2024-04-15,25.8
2024-04-16,3.1
2024-04-17,14.5
