date,temperature
2023-06-10,31.9
2023-06-11,23.7
2023-06-12,26.4
2023-06-13,24.3
2023-06-14,29.2
2023-06-15,24.2
2023-06-16,30.8
2023-06-17,26.5
2023-06-18,31.2
2023-06-19,25.1
2023-06-20,31.7
2023-06-21,20.0
2023-06-22,27.7
2023-06-23,29.1
2023-06-24,26.6
2023-06-25,33.2
2023-06-26,18.1
2023-06-27,15.0
2023-06-28,32.8
2023-06-29,29.0
2023-06-30,23.8
2023-07-01,28.4
2023-07-02,29.5
2023-07-03,16.8
2023-07-04,26.1
2023-07-05,15.1
2023-07-06,32.3
2023-07-07,22.5
2023-07-08,28.5
2023-07-09,20.7
2023-07-10,27.9
2023-07-11,29.6
2023-07-12,24.3
2023-07-13,24.9
2023-07-14,28.1
2023-07-15,19.5
2023-07-16,19.0
2023-07-17,29.8
2023-07-18,18.6
2023-07-19,17.8
2023-07-20,19.4
2023-07-21,23.4
2023-07-22,34.8
2023-07-23,32.6
2023-07-24,23.1
2023-07-25,34.4
2023-07-26,20.0
2023-07-27,16.9
2023-07-28,17.5
2023-07-29,18.9
2023-07-30,15.6
2023-07-31,31.6
2023-08-01,28.6
2023-08-02,25.4
2023-08-03,26.8
2023-08-04,34.8
2023-08-05,17.1
2023-08-06,30.9
2023-08-07,24.0
2023-08-08,18.1
2023-08-09,25.1
2023-08-10,21.2
2023-08-11,27.8
2023-08-12,28.3
2023-08-13,29.1
2023-08-14,26.6
2023-08-15,28.6
2023-08-16,34.1
2023-08-17,20.5
2023-08-18,25.5
2023-08-19,18.2
2023-08-20,27.6
2023-08-21,31.7
2023-08-22,20.2
2023-08-23,20.8
2023-08-24,31.0
2023-08-25,16.7
2023-08-26,33.2
2023-08-27,16.4
2023-08-28,32.2
2023-08-29,34.3
2023-08-30,31.9
2023-08-31,18.1
2023-09-01,27.7
2023-09-02,34.3
2023-09-03,16.2
2023-09-04,20.0
2023-09-05,21.4
2023-09-06,16.4
2023-09-07,15.4
2023-09-08,25.7
2023-09-09,22.2
2023-09-10,20.5
2023-09-11,25.0
2023-09-12,27.5
2023-09-13,25.3
2023-09-14,15.5
2023-09-15,17.4
2023-09-16,18.0
2023-09-17,22.4
2023-09-18,21.5
2023-09-19,32.1
2023-09-20,18.6
2023-09-21,23.1
2023-09-22,21.3
2023-09-23,31.3
2023-09-24,31.1
2023-09-25,24.0
2023-09-26,33.1
2023-09-27,17.5
2023-09-28,20.8
2023-09-29,33.4
2023-09-30,21.8
2023-10-01,22.1
2023-10-02,34.3
2023-10-03,25.7
2023-10-04,31.9
2023-10-05,30.9
2023-10-06,16.1
2023-10-07,34.5
2023-10-08,32.4
2023-10-09,21.1
2023-10-10,27.5
2023-10-11,34.5
2023-10-12,16.6
2023-10-13,23.4
2023-10-14,18.3
2023-10-15,25.1
2023-10-16,15.4
2023-10-17,26.0
2023-10-18,24.0
2023-10-19,28.0
2023-10-20,26.9
2023-10-21,28.5
2023-10-22,28.4
2023-10-23,18.6
2023-10-24,21.7
2023-10-25,29.5
2023-10-26,28.0
2023-10-27,22.0
2023-10-28,15.3
2023-10-29,17.2
2023-10-30,16.9
2023-10-31,34.6
2023-11-01,17.0
2023-11-02,33.6
2023-11-03,32.9
2023-11-04,31.5
2023-11-05,27.4
2023-11-06,25.4
2023-11-07,23.1
2023-11-08,17.1
2023-11-09,22.5
2023-11-10,28.2
2023-11-11,16.0
