date,temperature
2023-06-10,17.9
2023-06-11,8.5
2023-06-12,23.9
2023-06-13,26.6
2023-06-14,9.2
2023-06-15,14.2
2023-06-16,7.3
2023-06-17,2.9
2023-06-18,2.2
2023-06-19,1.1
2023-06-20,23.6
2023-06-21,26.4
2023-06-22,28.5
2023-06-23,21.4
2023-06-24,22.2
2023-06-25,25.9
2023-06-26,22.9
2023-06-27,21.8
2023-06-28,22.1
2023-06-29,4.0
2023-06-30,8.3
2023-07-01,1.0
2023-07-02,21.8
2023-07-03,11.7
2023-07-04,8.2
2023-07-05,15.2
2023-07-06,2.9
2023-07-07,22.5
2023-07-08,2.2
2023-07-09,21.4
2023-07-10,24.5
2023-07-11,6.3
2023-07-12,15.2
2023-07-13,19.3
2023-07-14,2.5
2023-07-15,21.2
2023-07-16,21.7
2023-07-17,3.3
2023-07-18,17.4
2023-07-19,25.4
2023-07-20,18.5
2023-07-21,20.7
2023-07-22,29.1
2023-07-23,4.9
2023-07-24,15.2
2023-07-25,24.8
2023-07-26,2.1
2023-07-27,17.8
2023-07-28,26.1
2023-07-29,29.1
2023-07-30,20.7
2023-07-31,22.9
2023-08-01,2.9
2023-08-02,8.5
2023-08-03,7.6
2023-08-04,12.7
2023-08-05,0.8
2023-08-06,26.6
2023-08-07,6.5
2023-08-08,28.5
2023-08-09,21.6
2023-08-10,3.3
2023-08-11,18.0
2023-08-12,26.9
2023-08-13,19.3
2023-08-14,1.7
2023-08-15,10.8
2023-08-16,15.3
2023-08-17,11.4
2023-08-18,29.0
2023-08-19,17.0
2023-08-20,2.3
2023-08-21,4.1
2023-08-22,7.4
2023-08-23,20.5
2023-08-24,29.7
2023-08-25,5.1
2023-08-26,23.5
2023-08-27,23.4
2023-08-28,8.8
2023-08-29,8.3
2023-08-30,3.2
2023-08-31,29.3
2023-09-01,24.7
2023-09-02,29.8
2023-09-03,9.7
2023-09-04,10.8
2023-09-05,20.4
2023-09-06,1.7
2023-09-07,18.7
2023-09-08,23.4
2023-09-09,18.3
2023-09-10,5.8
2023-09-11,25.7
2023-09-12,16.3
2023-09-13,0.0
2023-09-14,23.1
2023-09-15,7.2
2023-09-16,24.5
2023-09-17,2.6
2023-09-18,2.0
2023-09-19,22.9
2023-09-20,4.5
2023-09-21,26.6
2023-09-22,15.4
2023-09-23,15.4
2023-09-24,7.3
2023-09-25,25.8
2023-09-26,13.7
2023-09-27,19.9
2023-09-28,30.0
2023-09-29,7.9
2023-09-30,5.3
2023-10-01,19.9
2023-10-02,12.4
2023-10-03,16.6
2023-10-04,0.4
2023-10-05,9.5
2023-10-06,28.7
2023-10-07,20.5
2023-10-08,4.0
2023-10-09,10.3
2023-10-10,23.6
2023-10-11,9.3
2023-10-12,4.3
2023-10-13,8.9
2023-10-14,28.2
2023-10-15,27.3
2023-10-16,12.8
2023-10-17,10.1
2023-10-18,4.9
2023-10-19,26.4
2023-10-20,19.2
2023-10-21,5.4
2023-10-22,22.4
2023-10-23,21.9
2023-10-24,23.5
2023-10-25,21.3
2023-10-26,14.7
2023-10-27,13.3
2023-10-28,29.7
2023-10-29,14.5
2023-10-30,4.4
2023-10-31,7.2
2023-11-01,8.4
2023-11-02,18.9
2023-11-03,11.5
2023-11-04,20.3
2023-11-05,29.7
2023-11-06,5.0
2023-11-07,22.0
2023-11-08,13.2
2023-11-09,0.0
2023-11-10,2.8
2023-11-11,22.5
2023-11-12,14.3
2023-11-13,7.2
2023-11-14,10.1
2023-11-15,17.3
2023-11-16,5.2
2023-11-17,9.2
2023-11-18,6.1
2023-11-19,13.7
2023-11-20,21.1
2023-11-21,6.5
2023-11-22,1.2
2023-11-23,10.3
2023-11-24,3.7
2023-11-25,11.4
2023-11-26,7.9
2023-11-27,16.9
2023-11-28,2.7
2023-11-29,6.1
2023-11-30,17.7
2023-12-01,14.4
2023-12-02,11.3
2023-12-03,25.3
2023-12-04,28.7
2023-12-05,28.9
2023-12-06,25.6
2023-12-07,1.8
2023-12-08,6.5
2023-12-09,26.1
2023-12-10,19.3
2023-12-11,18.3
2023-12-12,0.8
2023-12-13,10.1
2023-12-14,7.6
2023-12-15,25.1
2023-12-16,24.0
2023-12-17,3.7
2023-12-18,16.0
2023-12-19,15.5
2023-12-20,20.8
2023-12-21,24.5
2023-12-22,9.7
2023-12-23,22.4
2023-12-24,9.5
2023-12-25,1.3
2023-12-26,6.7
2023-12-27,3.0
2023-12-28,11.7
2023-12-29,19.6
2023-12-30,12.9
2023-12-31,4.6
2024-01-01,10.4
2024-01-02,29.4
2024-01-03,5.8
2024-01-04,13.6
2024-01-05,8.4
2024-01-06,9.4
2024-01-07,5.6
2024-01-08,25.6
2024-01-09,22.3
2024-01-10,11.3
2024-01-11,22.1
2024-01-12,18.8
2024-01-13,4.7
2024-01-14,14.5
2024-01-15,26.7
2024-01-16,20.4
2024-01-17,20.8
2024-01-18,2.3
2024-01-19,9.8
2024-01-20,21.9
2024-01-21,17.7
2024-01-22,6.2
2024-01-23,4.2
2024-01-24,17.2
2024-01-25,10.2
2024-01-26,7.8
2024-01-27,14.0
2024-01-28,29.3
2024-01-29,17.2
2024-01-30,20.6
2024-01-31,5.8
2024-02-01,0.8
2024-02-02,24.3
2024-02-03,13.3
2024-02-04,5.6
2024-02-05,17.8
2024-02-06,15.6
2024-02-07,25.4
2024-02-08,6.9
2024-02-09,26.2
2024-02-10,10.9
2024-02-11,29.4
2024-02-12,1.4
2024-02-13,6.7
2024-02-14,7.7
2024-02-15,6.5
2024-02-16,2.6
2024-02-17,6.3
2024-02-18,24.6
2024-02-19,3.7
2024-02-20,8.6
2024-02-21,12.7
2024-02-22,28.8
2024-02-23,3.6
2024-02-24,13.1
2024-02-25,27.3
2024-02-26,20.6
2024-02-27,27.0
2024-02-28,23.3
2024-02-29,23.6
2024-03-01,4.4
2024-03-02,1.1
2024-03-03,3.6
2024-03-04,26.9
2024-03-05,12.9
2024-03-06,17.2
2024-03-07,20.5
