date,temperature
2023-06-10,15.8
2023-06-11,-0.6
2023-06-12,7.5
2023-06-13,-11.9
2023-06-14,13.7
2023-06-15,2.1
2023-06-16,-5.7
2023-06-17,-8.5
2023-06-18,-12.0
2023-06-19,-7.8
2023-06-20,15.4
2023-06-21,-8.1
2023-06-22,12.4
2023-06-23,-9.2
2023-06-24,14.0
2023-06-25,-12.5
2023-06-26,12.8
2023-06-27,12.7
2023-06-28,15.9
2023-06-29,8.5
2023-06-30,-3.7
2023-07-01,13.6
2023-07-02,0.7
2023-07-03,12.9
2023-07-04,-13.8
2023-07-05,-11.2
2023-07-06,2.6
2023-07-07,-5.0
2023-07-08,3.8
2023-07-09,-9.6
2023-07-10,3.2
2023-07-11,0.1
2023-07-12,-10.8
2023-07-13,14.2
2023-07-14,18.1
2023-07-15,7.9
2023-07-16,-6.7
2023-07-17,-12.7
2023-07-18,-12.9
2023-07-19,-11.5
2023-07-20,12.4
2023-07-21,17.2
2023-07-22,6.5
2023-07-23,-6.2
2023-07-24,0.4
2023-07-25,10.7
2023-07-26,-8.2
2023-07-27,-0.3
2023-07-28,5.8
2023-07-29,18.2
2023-07-30,-9.3
2023-07-31,13.3
2023-08-01,-0.8
2023-08-02,-3.0
2023-08-03,-9.7
2023-08-04,-10.2
2023-08-05,7.7
2023-08-06,0.8
2023-08-07,12.3
2023-08-08,-3.4
2023-08-09,-10.0
2023-08-10,-7.0
2023-08-11,14.2
2023-08-12,-0.6
2023-08-13,13.3
2023-08-14,0.7
2023-08-15,-14.0
2023-08-16,-11.3
2023-08-17,-13.3
2023-08-18,-7.9
2023-08-19,-10.3
2023-08-20,6.0
2023-08-21,-2.0
2023-08-22,-6.5
2023-08-23,0.4
2023-08-24,-9.0
2023-08-25,13.8
2023-08-26,18.6
2023-08-27,-2.7
2023-08-28,-7.4
2023-08-29,4.0
2023-08-30,18.0
2023-08-31,16.5
2023-09-01,0.1
2023-09-02,-9.6
2023-09-03,12.9
2023-09-04,13.2
2023-09-05,11.2
2023-09-06,-13.7
2023-09-07,6.8
2023-09-08,14.7
2023-09-09,0.7
2023-09-10,11.2
2023-09-11,-0.8
2023-09-12,18.1
2023-09-13,11.1
2023-09-14,-2.8
2023-09-15,-8.9
2023-09-16,-2.8
2023-09-17,-7.5
2023-09-18,14.2
2023-09-19,-18.6
2023-09-20,-2.5
2023-09-21,3.9
2023-09-22,18.4
2023-09-23,13.3
2023-09-24,6.7
2023-09-25,5.3
2023-09-26,-18.0
2023-09-27,-11.9
2023-09-28,16.0
2023-09-29,-9.7
2023-09-30,15.9
2023-10-01,-6.5
2023-10-02,16.0
2023-10-03,17.9
2023-10-04,-3.4
2023-10-05,-11.7
2023-10-06,0.9
2023-10-07,14.9
2023-10-08,-10.4
2023-10-09,-16.1
2023-10-10,19.9
2023-10-11,17.7
2023-10-12,12.8
2023-10-13,-5.6
2023-10-14,2.2
2023-10-15,-9.3
2023-10-16,-3.0
2023-10-17,14.4
2023-10-18,7.9
2023-10-19,19.1
2023-10-20,-5.3
2023-10-21,4.1
2023-10-22,9.6
2023-10-23,-0.8
2023-10-24,-19.0
2023-10-25,-16.2
2023-10-26,12.6
2023-10-27,15.5
2023-10-28,-16.1
2023-10-29,-4.3
2023-10-30,-10.5
2023-10-31,-7.4
2023-11-01,16.7
2023-11-02,1.8
2023-11-03,-12.0
2023-11-04,-13.4
2023-11-05,-1.4
2023-11-06,8.2
2023-11-07,-0.7
2023-11-08,-3.5
2023-11-09,11.8
2023-11-10,9.9
2023-11-11,6.8
2023-11-12,10.5
2023-11-13,-8.5
2023-11-14,-17.1
2023-11-15,-3.0
2023-11-16,5.9
