date,temperature
2023-06-10,12.2
2023-06-11,7.8
2023-06-12,20.3
2023-06-13,18.5
2023-06-14,23.1
2023-06-15,6.2
2023-06-16,2.4
2023-06-17,17.3
2023-06-18,-4.1
2023-06-19,-0.1
2023-06-20,-4.5
2023-06-21,26.9
2023-06-22,29.3
2023-06-23,22.6
2023-06-24,16.4
2023-06-25,9.7
2023-06-26,-1.0
2023-06-27,-0.4
2023-06-28,25.1
2023-06-29,9.5
2023-06-30,-1.0
2023-07-01,4.8
2023-07-02,28.4
2023-07-03,22.3
2023-07-04,7.1
2023-07-05,5.5
2023-07-06,15.9
2023-07-07,-1.3
2023-07-08,16.5
2023-07-09,-2.9
2023-07-10,12.0
2023-07-11,6.2
2023-07-12,-0.4
2023-07-13,7.2
2023-07-14,18.8
2023-07-15,4.6
2023-07-16,10.4
2023-07-17,24.5
2023-07-18,25.7
2023-07-19,12.5
2023-07-20,26.4
2023-07-21,25.8
2023-07-22,25.9
2023-07-23,24.3
2023-07-24,9.1
2023-07-25,22.4
2023-07-26,16.7
2023-07-27,-2.0
2023-07-28,7.2
2023-07-29,24.1
2023-07-30,-1.6
2023-07-31,22.3
2023-08-01,9.8
2023-08-02,18.4
2023-08-03,-2.4
2023-08-04,30.0
2023-08-05,7.4
2023-08-06,22.4
2023-08-07,23.0
2023-08-08,29.0
2023-08-09,3.9
2023-08-10,10.0
2023-08-11,-3.9
2023-08-12,-3.2
2023-08-13,3.7
2023-08-14,9.4
2023-08-15,0.8
2023-08-16,0.9
2023-08-17,-3.2
2023-08-18,29.7
2023-08-19,18.3
2023-08-20,18.4
2023-08-21,29.8
2023-08-22,3.7
2023-08-23,29.8
2023-08-24,10.6
2023-08-25,0.5
2023-08-26,20.1
2023-08-27,12.5
2023-08-28,26.1
2023-08-29,10.7
2023-08-30,-0.5
2023-08-31,13.2
2023-09-01,1.6
2023-09-02,4.5
2023-09-03,2.5
2023-09-04,4.3
2023-09-05,24.6
2023-09-06,16.6
2023-09-07,12.2
2023-09-08,3.1
2023-09-09,0.8
2023-09-10,22.0
2023-09-11,18.2
2023-09-12,8.5
2023-09-13,26.1
2023-09-14,16.9
2023-09-15,16.8
2023-09-16,29.3
2023-09-17,1.9
2023-09-18,-4.4
2023-09-19,16.1
2023-09-20,11.0
2023-09-21,6.2
2023-09-22,22.7
2023-09-23,19.6
2023-09-24,25.4
2023-09-25,19.0
2023-09-26,25.5
2023-09-27,13.8
2023-09-28,27.2
2023-09-29,-4.2
2023-09-30,-2.2
2023-10-01,23.0
2023-10-02,13.2
2023-10-03,9.9
2023-10-04,17.0
2023-10-05,18.3
2023-10-06,11.8
2023-10-07,7.9
2023-10-08,-0.4
2023-10-09,19.6
2023-10-10,3.0
2023-10-11,7.0
2023-10-12,-3.2
2023-10-13,20.3
2023-10-14,19.0
2023-10-15,13.5
2023-10-16,19.2
2023-10-17,21.7
2023-10-18,26.6
2023-10-19,29.8
2023-10-20,14.1
2023-10-21,18.9
2023-10-22,17.8
2023-10-23,10.8
2023-10-24,26.2
2023-10-25,23.1
2023-10-26,4.3
2023-10-27,-3.8
2023-10-28,16.9
2023-10-29,-3.0
2023-10-30,-0.3
2023-10-31,10.3
2023-11-01,4.1
2023-11-02,-0.4
2023-11-03,24.8
2023-11-04,7.4
2023-11-05,19.5
2023-11-06,24.7
2023-11-07,2.9
2023-11-08,26.9
2023-11-09,0.9
2023-11-10,4.8
2023-11-11,13.4
2023-11-12,12.2
2023-11-13,4.5
2023-11-14,1.0
2023-11-15,14.6
2023-11-16,-0.2
2023-11-17,12.0
2023-11-18,10.5
2023-11-19,14.0
2023-11-20,5.0
2023-11-21,8.0
2023-11-22,22.1
2023-11-23,10.8
2023-11-24,9.8
2023-11-25,14.1
2023-11-26,5.6
2023-11-27,0.7
2023-11-28,9.6
2023-11-29,11.7
2023-11-30,8.7
2023-12-01,24.0
2023-12-02,3.8
2023-12-03,8.5
2023-12-04,14.3
2023-12-05,25.4
2023-12-06,26.0
2023-12-07,30.0
2023-12-08,14.3
2023-12-09,15.1
2023-12-10,0.4
2023-12-11,0.3
2023-12-12,-1.1
2023-12-13,19.0
2023-12-14,1.1
2023-12-15,15.7
2023-12-16,12.4
2023-12-17,28.8
2023-12-18,21.4
2023-12-19,12.7
2023-12-20,15.3
2023-12-21,22.0
2023-12-22,-4.2
2023-12-23,12.6
2023-12-24,18.7
2023-12-25,-3.1
2023-12-26,2.9
2023-12-27,-4.7
2023-12-28,21.3
2023-12-29,20.8
2023-12-30,-0.4
2023-12-31,24.2
2024-01-01,10.0
2024-01-02,17.0
2024-01-03,-0.7
2024-01-04,8.5
2024-01-05,17.2
2024-01-06,8.5
2024-01-07,4.7
2024-01-08,16.8
2024-01-09,11.0
2024-01-10,28.1
2024-01-11,19.6
2024-01-12,25.3
2024-01-13,14.9
2024-01-14,-3.6
2024-01-15,-0.1
