date,temperature
2023-06-10,29.0
2023-06-11,16.5
2023-06-12,11.9
2023-06-13,22.9
2023-06-14,15.0
2023-06-15,27.2
2023-06-16,14.0
2023-06-17,19.8
2023-06-18,26.3
2023-06-19,20.4
2023-06-20,23.4
2023-06-21,20.7
2023-06-22,12.6
2023-06-23,11.8
2023-06-24,10.6
2023-06-25,16.5
2023-06-26,24.5
2023-06-27,23.5
2023-06-28,26.4
2023-06-29,15.4
2023-06-30,17.9
2023-07-01,24.8
2023-07-02,29.2
2023-07-03,20.4
2023-07-04,21.6
2023-07-05,20.1
2023-07-06,17.2
2023-07-07,14.6
2023-07-08,24.5
2023-07-09,20.8
2023-07-10,20.0
2023-07-11,28.6
2023-07-12,28.8
2023-07-13,19.0
2023-07-14,28.7
2023-07-15,10.8
2023-07-16,12.8
2023-07-17,15.7
2023-07-18,23.3
2023-07-19,16.3
2023-07-20,29.8
2023-07-21,28.4
2023-07-22,16.7
2023-07-23,23.2
2023-07-24,28.7
2023-07-25,29.0
2023-07-26,24.1
2023-07-27,19.4
2023-07-28,22.4
2023-07-29,15.9
2023-07-30,25.2
2023-07-31,18.1
2023-08-01,23.4
2023-08-02,25.7
2023-08-03,16.9
2023-08-04,19.9
2023-08-05,26.3
2023-08-06,13.6
2023-08-07,29.9
2023-08-08,25.3
2023-08-09,21.2
2023-08-10,10.3
2023-08-11,13.1
2023-08-12,14.0
2023-08-13,23.0
2023-08-14,25.5
2023-08-15,22.2
2023-08-16,26.5
2023-08-17,23.4
2023-08-18,17.7
2023-08-19,29.0
2023-08-20,10.6
2023-08-21,24.8
2023-08-22,16.6
2023-08-23,25.8
2023-08-24,12.4
2023-08-25,22.8
2023-08-26,29.9
2023-08-27,29.8
2023-08-28,27.9
2023-08-29,28.8
2023-08-30,13.1
2023-08-31,22.1
2023-09-01,16.6
2023-09-02,21.4
2023-09-03,20.4
2023-09-04,12.5
2023-09-05,21.3
2023-09-06,15.7
2023-09-07,12.1
2023-09-08,27.3
2023-09-09,29.9
2023-09-10,27.8
2023-09-11,24.3
2023-09-12,19.1
2023-09-13,13.3
2023-09-14,11.8
2023-09-15,13.7
2023-09-16,14.8
