date,temperature
2023-06-10,23.1
2023-06-11,26.4
2023-06-12,1.5
2023-06-13,27.8
2023-06-14,16.5
2023-06-15,2.2
2023-06-16,9.1
2023-06-17,11.1
2023-06-18,23.2
2023-06-19,6.0
2023-06-20,24.8
2023-06-21,0.7
2023-06-22,5.8
2023-06-23,4.4
2023-06-24,23.6
2023-06-25,25.2
2023-06-26,22.6
2023-06-27,16.7
2023-06-28,27.8
2023-06-29,0.6
2023-06-30,10.1
2023-07-01,3.4
2023-07-02,28.6
2023-07-03,21.1
2023-07-04,19.3
2023-07-05,19.4
2023-07-06,13.2
2023-07-07,4.6
2023-07-08,13.0
2023-07-09,11.6
2023-07-10,24.7
2023-07-11,25.0
2023-07-12,11.7
2023-07-13,10.9
2023-07-14,5.8
2023-07-15,12.3
2023-07-16,19.3
2023-07-17,22.0
2023-07-18,2.4
2023-07-19,5.5
2023-07-20,14.3
2023-07-21,14.7
2023-07-22,14.4
2023-07-23,15.8
2023-07-24,19.8
2023-07-25,26.4
2023-07-26,29.5
2023-07-27,15.3
2023-07-28,12.8
2023-07-29,29.4
2023-07-30,21.7
2023-07-31,15.5
2023-08-01,13.6
2023-08-02,28.0
2023-08-03,10.8
2023-08-04,26.2
2023-08-05,23.2
2023-08-06,11.9
2023-08-07,16.7
2023-08-08,26.7
2023-08-09,3.8
2023-08-10,18.5
2023-08-11,23.8
2023-08-12,11.4
2023-08-13,3.0
2023-08-14,23.3
2023-08-15,29.1
2023-08-16,25.4
2023-08-17,20.2
2023-08-18,24.7
2023-08-19,25.3
2023-08-20,27.0
2023-08-21,9.0
2023-08-22,25.7
2023-08-23,25.5
2023-08-24,0.3
2023-08-25,12.5
2023-08-26,3.2
2023-08-27,3.5
2023-08-28,1.7
2023-08-29,27.0
2023-08-30,1.9
2023-08-31,9.0
2023-09-01,6.1
2023-09-02,18.1
2023-09-03,3.8
2023-09-04,6.1
2023-09-05,0.5
2023-09-06,10.3
2023-09-07,29.7
2023-09-08,5.9
2023-09-09,15.0
2023-09-10,21.8
2023-09-11,14.5
2023-09-12,27.8
2023-09-13,21.9
2023-09-14,24.3
2023-09-15,22.1
2023-09-16,11.0
2023-09-17,17.9
2023-09-18,22.6
2023-09-19,11.7
2023-09-20,17.4
2023-09-21,24.9
2023-09-22,2.3
2023-09-23,10.5
2023-09-24,23.7
2023-09-25,10.5
2023-09-26,25.3
2023-09-27,17.3
2023-09-28,1.2
2023-09-29,22.1
2023-09-30,19.6
2023-10-01,14.0
2023-10-02,29.4
2023-10-03,15.8
2023-10-04,6.2
2023-10-05,1.6
2023-10-06,8.4
2023-10-07,15.0
2023-10-08,8.4
2023-10-09,14.9
2023-10-10,6.9
2023-10-11,7.5
2023-10-12,17.5
2023-10-13,23.9
2023-10-14,1.0
2023-10-15,6.6
2023-10-16,6.9
2023-10-17,21.7
2023-10-18,13.7
2023-10-19,1.5
2023-10-20,23.1
2023-10-21,17.8
2023-10-22,17.1
2023-10-23,10.2
2023-10-24,27.9
2023-10-25,8.8
2023-10-26,11.2
2023-10-27,12.1
2023-10-28,12.9
2023-10-29,19.8
2023-10-30,10.6
2023-10-31,1.4
2023-11-01,27.3
2023-11-02,14.8
2023-11-03,14.7
2023-11-04,15.3
2023-11-05,16.3
2023-11-06,12.9
2023-11-07,20.6
2023-11-08,9.5
2023-11-09,8.3
2023-11-10,29.9
2023-11-11,23.5
2023-11-12,17.6
2023-11-13,20.7
2023-11-14,1.0
2023-11-15,10.9
2023-11-16,0.5
2023-11-17,25.7
2023-11-18,6.5
2023-11-19,26.6
2023-11-20,7.9
2023-11-21,3.5
2023-11-22,26.7
2023-11-23,29.0
2023-11-24,20.1
2023-11-25,7.7
2023-11-26,13.8
2023-11-27,10.1
2023-11-28,5.0
2023-11-29,16.5
2023-11-30,21.7
2023-12-01,7.6
