date,temperature
2023-06-10,24.9
2023-06-11,24.3
2023-06-12,27.5
2023-06-13,19.7
2023-06-14,24.4
2023-06-15,26.8
2023-06-16,27.0
2023-06-17,34.0
2023-06-18,29.0
2023-06-19,32.4
2023-06-20,23.5
2023-06-21,34.3
2023-06-22,29.9
2023-06-23,27.5
2023-06-24,29.2
2023-06-25,28.1
2023-06-26,30.8
2023-06-27,19.7
2023-06-28,24.9
2023-06-29,30.6
2023-06-30,15.4
2023-07-01,21.3
2023-07-02,25.5
2023-07-03,31.2
2023-07-04,21.0
2023-07-05,21.5
2023-07-06,20.2
2023-07-07,31.5
2023-07-08,25.0
2023-07-09,17.2
2023-07-10,16.4
2023-07-11,16.7
2023-07-12,30.5
2023-07-13,28.2
2023-07-14,18.6
2023-07-15,26.2
2023-07-16,26.3
2023-07-17,30.0
2023-07-18,26.0
2023-07-19,32.1
2023-07-20,23.9
2023-07-21,30.6
2023-07-22,25.1
2023-07-23,15.2
2023-07-24,32.4
2023-07-25,29.4
2023-07-26,23.4
2023-07-27,26.5
2023-07-28,26.3
2023-07-29,20.2
2023-07-30,15.7
2023-07-31,24.1
2023-08-01,27.8
2023-08-02,28.1
2023-08-03,23.0
2023-08-04,24.3
2023-08-05,30.1
2023-08-06,29.3
2023-08-07,31.2
2023-08-08,27.9
2023-08-09,19.3
2023-08-10,18.3
2023-08-11,31.1
2023-08-12,26.5
2023-08-13,22.9
2023-08-14,23.1
2023-08-15,24.9
2023-08-16,22.4
2023-08-17,22.5
2023-08-18,17.1
2023-08-19,16.2
2023-08-20,24.6
2023-08-21,29.6
2023-08-22,25.2
2023-08-23,15.5
2023-08-24,22.0
2023-08-25,25.4
2023-08-26,19.2
2023-08-27,20.3
2023-08-28,24.6
2023-08-29,31.1
2023-08-30,23.5
2023-08-31,17.4
2023-09-01,31.5
2023-09-02,20.7
2023-09-03,33.7
2023-09-04,26.8
2023-09-05,32.4
2023-09-06,23.6
2023-09-07,23.9
2023-09-08,16.2
2023-09-09,23.5
2023-09-10,19.8
2023-09-11,19.6
2023-09-12,18.0
2023-09-13,19.8
2023-09-14,33.9
2023-09-15,34.8
2023-09-16,32.1
2023-09-17,34.4
2023-09-18,33.8
2023-09-19,22.9
2023-09-20,30.2
2023-09-21,32.3
2023-09-22,25.3
2023-09-23,24.2
2023-09-24,32.2
2023-09-25,23.4
2023-09-26,15.8
2023-09-27,21.2
2023-09-28,33.6
2023-09-29,20.6
2023-09-30,25.7
2023-10-01,24.7
2023-10-02,16.3
2023-10-03,22.5
2023-10-04,25.9
2023-10-05,21.1
2023-10-06,15.4
2023-10-07,27.7
2023-10-08,33.2
2023-10-09,24.8
2023-10-10,26.0
2023-10-11,18.2
2023-10-12,25.7
2023-10-13,28.1
2023-10-14,23.9
2023-10-15,25.2
2023-10-16,16.5
2023-10-17,32.8
2023-10-18,18.3
2023-10-19,17.3
2023-10-20,34.1
2023-10-21,28.5
2023-10-22,34.3
2023-10-23,33.7
2023-10-24,21.7
2023-10-25,28.2
2023-10-26,34.1
2023-10-27,17.2
2023-10-28,31.3
2023-10-29,26.1
2023-10-30,17.2
2023-10-31,34.1
2023-11-01,29.7
2023-11-02,23.9
2023-11-03,34.2
2023-11-04,21.9
2023-11-05,21.2
2023-11-06,26.0
2023-11-07,30.0
2023-11-08,28.7
2023-11-09,23.7
2023-11-10,29.9
2023-11-11,15.4
2023-11-12,22.0
2023-11-13,21.3
2023-11-14,31.1
2023-11-15,29.5
2023-11-16,31.8
2023-11-17,32.5
2023-11-18,34.3
2023-11-19,24.8
2023-11-20,21.7
2023-11-21,22.8
2023-11-22,30.9
2023-11-23,23.8
2023-11-24,32.2
2023-11-25,25.3
2023-11-26,17.4
2023-11-27,30.4
2023-11-28,15.7
2023-11-29,34.9
2023-11-30,26.5
2023-12-01,27.0
2023-12-02,26.7
2023-12-03,28.5
2023-12-04,34.0
2023-12-05,18.1
2023-12-06,31.6
2023-12-07,32.2
2023-12-08,31.8
2023-12-09,23.0
2023-12-10,22.1
2023-12-11,25.0
2023-12-12,19.6
2023-12-13,33.1
2023-12-14,26.0
2023-12-15,26.5
2023-12-16,25.6
2023-12-17,28.7
2023-12-18,15.4
2023-12-19,15.5
2023-12-20,24.4
2023-12-21,24.4
2023-12-22,27.5
2023-12-23,29.1
2023-12-24,30.3
2023-12-25,15.4
2023-12-26,29.8
2023-12-27,31.4
2023-12-28,28.4
2023-12-29,16.4
2023-12-30,21.0
2023-12-31,33.4
2024-01-01,25.9
2024-01-02,27.6
2024-01-03,19.1
2024-01-04,22.1
2024-01-05,20.0
2024-01-06,23.5
2024-01-07,34.2
2024-01-08,24.5
2024-01-09,31.2
2024-01-10,29.0
2024-01-11,24.9
2024-01-12,30.7
2024-01-13,27.7
2024-01-14,22.6
2024-01-15,33.0
2024-01-16,26.8
2024-01-17,24.3
2024-01-18,23.7
2024-01-19,18.2
2024-01-20,34.6
2024-01-21,25.4
2024-01-22,28.9
2024-01-23,19.0
2024-01-24,28.2
2024-01-25,23.0
2024-01-26,25.7
2024-01-27,30.6
2024-01-28,23.8
2024-01-29,32.8
2024-01-30,31.7
2024-01-31,28.9
2024-02-01,16.5
2024-02-02,22.0
2024-02-03,32.6
2024-02-04,18.7
2024-02-05,15.8
2024-02-06,25.4
2024-02-07,17.3
2024-02-08,25.6
2024-02-09,30.1
2024-02-10,27.5
2024-02-11,34.5
2024-02-12,30.2
2024-02-13,29.5
2024-02-14,16.2
2024-02-15,20.9
2024-02-16,30.7
2024-02-17,21.8
2024-02-18,20.7
2024-02-19,18.5
2024-02-20,18.8
2024-02-21,22.6
2024-02-22,15.9
2024-02-23,25.0
2024-02-24,32.0
2024-02-25,16.8
2024-02-26,17.9
2024-02-27,17.4
2024-02-28,21.0
2024-02-29,29.0
2024-03-01,26.0
2024-03-02,32.5
2024-03-03,28.0
2024-03-04,23.0
2024-03-05,20.7
2024-03-06,17.6
2024-03-07,18.7
2024-03-08,32.7
2024-03-09,31.3
2024-03-10,24.9
2024-03-11,27.6
2024-03-12,22.3
2024-03-13,34.2
2024-03-14,17.5
2024-03-15,30.8
2024-03-16,20.5
2024-03-17,23.4
2024-03-18,33.4
2024-03-19,33.6
2024-03-20,17.7
2024-03-21,22.1
2024-03-22,16.3
2024-03-23,25.7
2024-03-24,24.2
2024-03-25,34.9
2024-03-26,24.1
2024-03-27,20.3
2024-03-28,20.3
2024-03-29,24.3
2024-03-30,15.7
2024-03-31,23.8
2024-04-01,26.8
2024-04-02,23.9
2024-04-03,19.4
2024-04-04,33.0
2024-04-05,24.0
2024-04-06,34.4
2024-04-07,25.6
2024-04-08,27.7
2024-04-09,24.2
2024-04-10,18.3
2024-04-11,15.6
