date,temperature
2023-06-10,16.0
2023-06-11,7.5
2023-06-12,17.5
2023-06-13,19.1
2023-06-14,19.7
2023-06-15,0.6
2023-06-16,0.3
2023-06-17,0.2
2023-06-18,9.7
2023-06-19,21.5
2023-06-20,17.4
2023-06-21,8.3
2023-06-22,0.9
2023-06-23,11.7
2023-06-24,16.8
2023-06-25,1.2
2023-06-26,8.7
2023-06-27,23.4
2023-06-28,17.8
2023-06-29,5.8
2023-06-30,7.7
2023-07-01,5.9
2023-07-02,12.7
2023-07-03,6.3
2023-07-04,17.7
2023-07-05,11.4
2023-07-06,9.1
2023-07-07,13.2
2023-07-08,11.3
2023-07-09,3.8
2023-07-10,9.8
2023-07-11,19.2
2023-07-12,20.4
2023-07-13,9.3
2023-07-14,0.5
2023-07-15,12.3
2023-07-16,19.5
2023-07-17,2.1
2023-07-18,8.2
2023-07-19,24.6
2023-07-20,18.6
2023-07-21,1.3
2023-07-22,6.0
2023-07-23,21.4
2023-07-24,24.7
2023-07-25,23.3
2023-07-26,16.5
2023-07-27,23.0
2023-07-28,10.6
2023-07-29,8.3
2023-07-30,8.9
2023-07-31,22.8
2023-08-01,23.4
2023-08-02,17.0
2023-08-03,9.7
2023-08-04,22.5
2023-08-05,16.5
2023-08-06,5.8
2023-08-07,0.1
2023-08-08,21.6
2023-08-09,4.7
2023-08-10,20.8
2023-08-11,11.7
2023-08-12,2.9
2023-08-13,18.1
2023-08-14,18.2
2023-08-15,10.3
2023-08-16,9.4
2023-08-17,14.2
2023-08-18,19.8
2023-08-19,23.6
2023-08-20,17.8
2023-08-21,15.7
2023-08-22,15.7
2023-08-23,18.8
2023-08-24,17.7
2023-08-25,20.6
2023-08-26,14.6
2023-08-27,4.7
2023-08-28,4.1
2023-08-29,14.9
2023-08-30,8.3
2023-08-31,13.8
2023-09-01,21.2
2023-09-02,16.5
2023-09-03,6.8
2023-09-04,1.8
2023-09-05,11.0
2023-09-06,11.5
2023-09-07,15.5
2023-09-08,10.9
2023-09-09,18.3
2023-09-10,19.6
2023-09-11,14.7
2023-09-12,21.2
2023-09-13,19.1
2023-09-14,3.5
2023-09-15,2.6
2023-09-16,22.0
2023-09-17,18.8
2023-09-18,17.7
2023-09-19,15.3
2023-09-20,5.0
2023-09-21,19.4
2023-09-22,24.5
2023-09-23,16.0
2023-09-24,9.3
2023-09-25,14.9
2023-09-26,12.2
2023-09-27,8.2
2023-09-28,3.4
2023-09-29,10.9
2023-09-30,5.3
2023-10-01,22.0
2023-10-02,3.3
2023-10-03,14.0
2023-10-04,5.0
2023-10-05,15.8
2023-10-06,14.7
2023-10-07,16.6
2023-10-08,20.4
2023-10-09,23.5
2023-10-10,10.8
2023-10-11,3.8
2023-10-12,17.3
2023-10-13,7.6
2023-10-14,14.4
2023-10-15,19.9
2023-10-16,21.4
2023-10-17,24.0
2023-10-18,8.8
2023-10-19,4.9
2023-10-20,4.1
2023-10-21,4.6
2023-10-22,21.6
2023-10-23,0.8
2023-10-24,21.4
2023-10-25,21.2
2023-10-26,10.2
2023-10-27,11.6
2023-10-28,1.5
2023-10-29,22.3
2023-10-30,2.7
2023-10-31,11.9
2023-11-01,24.1
2023-11-02,1.3
2023-11-03,14.5
2023-11-04,12.6
2023-11-05,6.6
2023-11-06,18.3
2023-11-07,11.3
2023-11-08,24.5
2023-11-09,12.8
2023-11-10,15.0
2023-11-11,18.3
2023-11-12,20.8
2023-11-13,21.0
2023-11-14,13.3
2023-11-15,24.2
2023-11-16,21.3
2023-11-17,14.5
2023-11-18,14.4
2023-11-19,5.4
2023-11-20,18.1
2023-11-21,15.4
2023-11-22,12.9
2023-11-23,9.4
2023-11-24,24.9
2023-11-25,1.4
2023-11-26,2.1
2023-11-27,15.0
2023-11-28,19.0
2023-11-29,9.8
2023-11-30,2.5
