date,temperature
2023-06-10,9.4
2023-06-11,24.7
2023-06-12,31.7
2023-06-13,25.1
2023-06-14,12.5
2023-06-15,5.8
2023-06-16,33.2
2023-06-17,18.6
2023-06-18,18.5
2023-06-19,30.1
2023-06-20,11.7
2023-06-21,12.3
2023-06-22,9.4
2023-06-23,8.9
2023-06-24,16.7
2023-06-25,22.6
2023-06-26,6.9
2023-06-27,11.8
2023-06-28,22.3
2023-06-29,6.2
2023-06-30,31.6
2023-07-01,25.3
2023-07-02,29.1
2023-07-03,6.5
2023-07-04,34.3
2023-07-05,22.0
2023-07-06,34.6
2023-07-07,9.8
2023-07-08,11.1
2023-07-09,25.8
2023-07-10,10.4
2023-07-11,30.6
2023-07-12,23.6
2023-07-13,11.8
2023-07-14,9.3
2023-07-15,34.4
2023-07-16,11.5
2023-07-17,11.6
2023-07-18,22.3
2023-07-19,9.9
2023-07-20,21.3
2023-07-21,28.0
2023-07-22,8.3
2023-07-23,25.5
2023-07-24,19.3
2023-07-25,5.6
2023-07-26,34.2
2023-07-27,7.5
2023-07-28,31.4
2023-07-29,11.3
2023-07-30,31.5
2023-07-31,18.9
2023-08-01,11.7
2023-08-02,8.5
2023-08-03,23.9
2023-08-04,5.6
2023-08-05,16.8
2023-08-06,6.8
2023-08-07,29.5
2023-08-08,30.7
2023-08-09,27.7
2023-08-10,12.4
2023-08-11,18.9
2023-08-12,17.9
2023-08-13,6.0
2023-08-14,12.5
2023-08-15,16.3
2023-08-16,29.6
2023-08-17,18.6
2023-08-18,29.9
2023-08-19,31.5
2023-08-20,30.4
2023-08-21,13.4
2023-08-22,20.3
2023-08-23,34.2
2023-08-24,20.8
2023-08-25,27.7
2023-08-26,28.3
2023-08-27,22.4
2023-08-28,13.6
2023-08-29,16.6
2023-08-30,13.4
2023-08-31,8.7
2023-09-01,28.5
2023-09-02,32.4
2023-09-03,11.8
2023-09-04,33.0
2023-09-05,28.7
2023-09-06,12.9
2023-09-07,29.3
2023-09-08,32.9
2023-09-09,9.3
2023-09-10,29.5
2023-09-11,13.7
2023-09-12,10.3
2023-09-13,23.0
2023-09-14,24.1
2023-09-15,21.1
2023-09-16,14.3
2023-09-17,31.5
2023-09-18,11.5
2023-09-19,27.7
2023-09-20,10.0
2023-09-21,27.2
2023-09-22,10.7
2023-09-23,31.8
2023-09-24,20.4
2023-09-25,10.4
2023-09-26,18.4
2023-09-27,22.4
2023-09-28,21.9
2023-09-29,19.4
2023-09-30,25.9
2023-10-01,14.4
2023-10-02,9.5
2023-10-03,17.8
2023-10-04,29.5
2023-10-05,18.4
2023-10-06,17.0
2023-10-07,18.0
2023-10-08,12.7
2023-10-09,33.5
2023-10-10,20.4
2023-10-11,34.4
2023-10-12,34.7
2023-10-13,9.0
2023-10-14,31.7
2023-10-15,5.6
2023-10-16,21.6
2023-10-17,14.2
2023-10-18,10.8
2023-10-19,12.5
2023-10-20,23.2
2023-10-21,21.2
2023-10-22,15.5
2023-10-23,32.8
2023-10-24,18.4
