date,temperature
2023-06-10,24.8
2023-06-11,7.7
2023-06-12,10.7
2023-06-13,8.9
2023-06-14,0.5
2023-06-15,16.9
2023-06-16,10.5
2023-06-17,26.1
2023-06-18,25.8
2023-06-19,27.9
2023-06-20,2.4
2023-06-21,9.6
2023-06-22,19.8
2023-06-23,2.4
2023-06-24,26.4
2023-06-25,1.8
2023-06-26,17.2
2023-06-27,27.2
2023-06-28,24.3
2023-06-29,0.3
2023-06-30,6.6
2023-07-01,0.1
2023-07-02,4.2
2023-07-03,7.5
2023-07-04,0.3
2023-07-05,19.7
2023-07-06,18.9
2023-07-07,28.7
2023-07-08,26.8
2023-07-09,4.4
2023-07-10,14.2
2023-07-11,11.4
2023-07-12,7.2
2023-07-13,3.5
2023-07-14,1.5
2023-07-15,13.6
2023-07-16,0.4
2023-07-17,5.5
2023-07-18,17.0
2023-07-19,2.9
2023-07-20,2.1
2023-07-21,15.1
2023-07-22,19.2
2023-07-23,16.5
2023-07-24,12.0
2023-07-25,17.9
2023-07-26,14.7
2023-07-27,3.6
2023-07-28,23.6
2023-07-29,18.8
2023-07-30,22.4
2023-07-31,10.9
2023-08-01,23.0
2023-08-02,1.6
2023-08-03,3.2
2023-08-04,26.6
2023-08-05,1.7
2023-08-06,22.4
2023-08-07,17.6
2023-08-08,5.6
2023-08-09,1.6
2023-08-10,10.0
2023-08-11,5.9
2023-08-12,12.5
2023-08-13,6.0
2023-08-14,20.2
2023-08-15,3.6
2023-08-16,9.7
2023-08-17,23.0
2023-08-18,20.6
2023-08-19,7.5
2023-08-20,27.8
2023-08-21,29.5
2023-08-22,3.9
2023-08-23,23.1
2023-08-24,8.6
2023-08-25,1.4
2023-08-26,3.2
2023-08-27,18.5
2023-08-28,23.8
2023-08-29,13.2
2023-08-30,28.3
2023-08-31,0.2
2023-09-01,21.5
2023-09-02,7.0
2023-09-03,2.0
2023-09-04,22.9
2023-09-05,16.4
2023-09-06,25.5
2023-09-07,16.0
2023-09-08,13.8
2023-09-09,7.9
2023-09-10,28.3
2023-09-11,15.1
2023-09-12,17.1
2023-09-13,17.4
2023-09-14,10.2
2023-09-15,21.9
2023-09-16,18.2
2023-09-17,18.5
2023-09-18,12.7
2023-09-19,27.0
2023-09-20,22.9
2023-09-21,20.5
2023-09-22,11.0
2023-09-23,16.8
2023-09-24,5.4
2023-09-25,6.1
2023-09-26,19.7
2023-09-27,2.7
2023-09-28,3.4
2023-09-29,26.4
2023-09-30,9.7
2023-10-01,15.8
2023-10-02,10.0
2023-10-03,22.4
2023-10-04,11.4
2023-10-05,19.7
2023-10-06,28.2
2023-10-07,21.3
2023-10-08,10.3
2023-10-09,1.7
2023-10-10,5.3
2023-10-11,22.8
2023-10-12,18.5
2023-10-13,24.5
2023-10-14,12.7
2023-10-15,27.3
2023-10-16,18.6
2023-10-17,28.5
2023-10-18,10.3
2023-10-19,14.0
2023-10-20,2.3
2023-10-21,24.2
2023-10-22,30.0
2023-10-23,20.1
2023-10-24,21.9
2023-10-25,25.1
2023-10-26,4.0
2023-10-27,22.7
2023-10-28,26.9
2023-10-29,26.3
2023-10-30,12.8
2023-10-31,6.4
2023-11-01,0.5
2023-11-02,0.4
2023-11-03,20.8
2023-11-04,17.8
2023-11-05,19.8
2023-11-06,16.9
2023-11-07,1.7
2023-11-08,22.2
2023-11-09,2.5
2023-11-10,15.2
2023-11-11,24.8
2023-11-12,0.5
2023-11-13,23.0
2023-11-14,7.2
2023-11-15,12.3
2023-11-16,2.6
2023-11-17,23.0
2023-11-18,28.7
2023-11-19,19.5
2023-11-20,29.4
2023-11-21,26.1
2023-11-22,7.1
2023-11-23,8.7
2023-11-24,16.4
2023-11-25,22.9
2023-11-26,18.3
2023-11-27,14.1
2023-11-28,22.1
2023-11-29,3.7
2023-11-30,28.0
2023-12-01,13.4
2023-12-02,5.7
2023-12-03,7.6
2023-12-04,15.9
2023-12-05,5.3
2023-12-06,14.9
2023-12-07,28.1
2023-12-08,14.6
2023-12-09,15.9
2023-12-10,23.2
2023-12-11,1.1
2023-12-12,0.3
2023-12-13,16.9
2023-12-14,10.1
2023-12-15,1.3
2023-12-16,25.6
2023-12-17,1.6
2023-12-18,18.0
2023-12-19,9.4
