date,temperature
2023-06-10,22.5
2023-06-11,24.0
2023-06-12,13.1
2023-06-13,28.3
2023-06-14,19.2
2023-06-15,21.2
2023-06-16,20.0
2023-06-17,23.0
2023-06-18,27.9
2023-06-19,21.1
2023-06-20,24.2
2023-06-21,12.8
2023-06-22,15.9
2023-06-23,18.4
2023-06-24,13.4
2023-06-25,10.1
2023-06-26,16.0
2023-06-27,12.4
2023-06-28,22.6
2023-06-29,18.7
2023-06-30,25.7
2023-07-01,20.2
2023-07-02,19.0
2023-07-03,26.2
2023-07-04,29.7
2023-07-05,28.9
2023-07-06,17.3
2023-07-07,15.7
2023-07-08,28.4
2023-07-09,13.4
2023-07-10,19.6
2023-07-11,26.5
2023-07-12,14.4
2023-07-13,14.1
2023-07-14,14.8
2023-07-15,21.6
2023-07-16,17.6
2023-07-17,21.3
2023-07-18,11.4
2023-07-19,29.0
2023-07-20,26.0
2023-07-21,13.9
2023-07-22,11.3
2023-07-23,14.0
2023-07-24,10.0
2023-07-25,24.3
2023-07-26,10.8
2023-07-27,26.2
2023-07-28,19.5
2023-07-29,24.6
2023-07-30,26.1
2023-07-31,12.7
2023-08-01,17.7
2023-08-02,23.7
2023-08-03,28.8
2023-08-04,12.4
2023-08-05,27.3
2023-08-06,25.1
2023-08-07,19.9
2023-08-08,19.0
2023-08-09,24.1
2023-08-10,23.8
2023-08-11,26.2
2023-08-12,19.4
2023-08-13,12.9
2023-08-14,11.0
2023-08-15,21.2
2023-08-16,11.0
2023-08-17,27.2
2023-08-18,12.2
2023-08-19,22.6
2023-08-20,22.5
2023-08-21,24.2
2023-08-22,23.0
2023-08-23,22.1
2023-08-24,10.6
2023-08-25,15.8
2023-08-26,29.6
2023-08-27,14.0
2023-08-28,14.0
2023-08-29,19.2
2023-08-30,14.0
2023-08-31,15.5
2023-09-01,16.4
2023-09-02,26.2
2023-09-03,10.4
2023-09-04,11.5
2023-09-05,10.9
2023-09-06,18.7
2023-09-07,25.6
2023-09-08,12.5
2023-09-09,15.1
2023-09-10,18.3
2023-09-11,16.5
2023-09-12,29.7
2023-09-13,21.1
2023-09-14,22.2
2023-09-15,26.0
2023-09-16,18.1
2023-09-17,18.4
2023-09-18,24.4
2023-09-19,21.5
2023-09-20,26.2
2023-09-21,19.9
2023-09-22,24.9
2023-09-23,11.1
2023-09-24,25.9
2023-09-25,20.7
2023-09-26,25.5
2023-09-27,24.6
2023-09-28,10.4
2023-09-29,26.7
2023-09-30,17.1
2023-10-01,16.2
2023-10-02,25.2
2023-10-03,28.8
2023-10-04,19.2
2023-10-05,17.9
2023-10-06,11.1
2023-10-07,18.4
2023-10-08,22.2
2023-10-09,27.8
2023-10-10,24.6
2023-10-11,28.7
2023-10-12,14.6
2023-10-13,20.9
2023-10-14,29.8
2023-10-15,29.8
2023-10-16,20.8
2023-10-17,22.2
2023-10-18,19.3
2023-10-19,10.5
2023-10-20,10.1
2023-10-21,11.0
2023-10-22,14.8
2023-10-23,24.6
2023-10-24,21.4
2023-10-25,15.5
2023-10-26,12.8
2023-10-27,16.7
2023-10-28,24.4
2023-10-29,17.2
2023-10-30,27.6
2023-10-31,15.3
2023-11-01,19.1
2023-11-02,27.0
2023-11-03,19.1
2023-11-04,24.2
2023-11-05,24.7
2023-11-06,15.0
2023-11-07,23.1
2023-11-08,11.3
2023-11-09,13.2
2023-11-10,24.1
2023-11-11,28.6
2023-11-12,20.5
2023-11-13,26.1
2023-11-14,10.5
2023-11-15,18.5
2023-11-16,23.9
2023-11-17,26.1
2023-11-18,12.6
2023-11-19,10.8
2023-11-20,21.2
2023-11-21,23.8
2023-11-22,24.0
2023-11-23,15.5
2023-11-24,12.4
2023-11-25,11.2
2023-11-26,19.0
2023-11-27,26.2
2023-11-28,11.5
2023-11-29,21.1
2023-11-30,26.0
2023-12-01,20.6
2023-12-02,28.3
2023-12-03,10.2
2023-12-04,13.8
2023-12-05,19.7
2023-12-06,16.2
2023-12-07,22.5
2023-12-08,17.8
2023-12-09,28.0
2023-12-10,22.2
2023-12-11,10.8
2023-12-12,24.5
2023-12-13,17.8
2023-12-14,26.2
2023-12-15,17.2
2023-12-16,20.5
2023-12-17,15.2
2023-12-18,20.2
2023-12-19,26.7
2023-12-20,13.2
2023-12-21,27.3
2023-12-22,12.7
2023-12-23,20.1
2023-12-24,21.8
2023-12-25,26.0
2023-12-26,19.8
2023-12-27,29.5
2023-12-28,25.7
2023-12-29,21.7
2023-12-30,16.2
2023-12-31,29.8
2024-01-01,14.6
2024-01-02,29.3
2024-01-03,23.6
2024-01-04,10.3
2024-01-05,18.8
2024-01-06,23.4
2024-01-07,29.0
2024-01-08,14.9
2024-01-09,12.4
2024-01-10,29.4
2024-01-11,29.1
2024-01-12,22.1
2024-01-13,22.7
2024-01-14,17.5
2024-01-15,18.6
2024-01-16,24.8
2024-01-17,28.1
2024-01-18,22.6
2024-01-19,21.9
2024-01-20,24.5
2024-01-21,30.0
2024-01-22,25.9
2024-01-23,22.3
2024-01-24,11.6
2024-01-25,23.5
2024-01-26,14.4
2024-01-27,13.5
2024-01-28,14.5
2024-01-29,11.2
2024-01-30,10.3
2024-01-31,17.2
2024-02-01,12.7
2024-02-02,28.1
2024-02-03,27.2
2024-02-04,14.2
2024-02-05,29.8
2024-02-06,21.6
2024-02-07,16.6
2024-02-08,28.0
2024-02-09,12.1
2024-02-10,21.2
2024-02-11,21.1
2024-02-12,28.0
2024-02-13,10.3
2024-02-14,29.6
2024-02-15,12.8
2024-02-16,19.9
2024-02-17,15.7
2024-02-18,27.2
2024-02-19,26.2
2024-02-20,28.6
2024-02-21,22.7
2024-02-22,29.8
2024-02-23,28.6
2024-02-24,17.7
2024-02-25,18.4
2024-02-26,13.0
2024-02-27,21.5
2024-02-28,12.2
2024-02-29,17.4
2024-03-01,16.8
2024-03-02,26.0
2024-03-03,29.5
2024-03-04,27.6
2024-03-05,12.6
2024-03-06,26.2
2024-03-07,20.3
2024-03-08,23.1
2024-03-09,18.9
2024-03-10,20.1
2024-03-11,16.3
2024-03-12,14.3
2024-03-13,16.5
2024-03-14,18.2
2024-03-15,26.8
2024-03-16,22.7
2024-03-17,23.0
2024-03-18,21.4
2024-03-19,27.8
2024-03-20,12.7
2024-03-21,18.1
2024-03-22,16.1
2024-03-23,15.2
2024-03-24,26.9
2024-03-25,12.1
2024-03-26,15.0
2024-03-27,21.3
2024-03-28,28.0
2024-03-29,25.3
2024-03-30,27.3
2024-03-31,26.2
2024-04-01,23.8
2024-04-02,29.1
2024-04-03,19.8
2024-04-04,27.4
2024-04-05,19.1
2024-04-06,14.1
2024-04-07,17.2
2024-04-08,21.9
2024-04-09,14.4
2024-04-10,25.5
2024-04-11,20.4
2024-04-12,19.2
2024-04-13,20.5
2024-04-14,28.6
2024-04-15,29.4
2024-04-16,19.4
2024-04-17,23.6
2024-04-18,14.8
2024-04-19,23.8
2024-04-20,19.9
2024-04-21,12.3
2024-04-22,21.2
2024-04-23,15.6
2024-04-24,15.3
2024-04-25,16.3
2024-04-26,26.8
2024-04-27,23.3
2024-04-28,17.4
2024-04-29,22.7
2024-04-30,23.3
2024-05-01,19.5
2024-05-02,23.1
2024-05-03,11.5
2024-05-04,23.0
2024-05-05,22.4
2024-05-06,29.1
2024-05-07,29.2
2024-05-08,10.3
2024-05-09,25.3
2024-05-10,26.9
2024-05-11,28.4
2024-05-12,16.0
2024-05-13,10.9
2024-05-14,10.6
2024-05-15,18.3
2024-05-16,13.7
2024-05-17,10.3
2024-05-18,27.8
2024-05-19,29.8
2024-05-20,24.3
2024-05-21,10.8
2024-05-22,28.8
2024-05-23,23.8
2024-05-24,21.7
2024-05-25,27.7
2024-05-26,24.0
2024-05-27,12.9
2024-05-28,17.7
2024-05-29,15.8
2024-05-30,30.0
2024-05-31,14.1
2024-06-01,22.4
2024-06-02,16.6
2024-06-03,13.3
2024-06-04,18.5
2024-06-05,22.5
2024-06-06,18.0
2024-06-07,20.4
2024-06-08,27.1
2024-06-09,13.6
2024-06-10,22.8
2024-06-11,23.1
2024-06-12,15.0
2024-06-13,27.5
2024-06-14,17.3
2024-06-15,21.9
2024-06-16,13.9
2024-06-17,13.5
2024-06-18,15.6
2024-06-19,20.5
2024-06-20,15.6
2024-06-21,20.8
2024-06-22,18.4
2024-06-23,19.9
2024-06-24,14.0
2024-06-25,11.6
2024-06-26,16.3
2024-06-27,18.7
2024-06-28,13.0
2024-06-29,12.2
2024-06-30,14.2
2024-07-01,15.5
2024-07-02,17.8
2024-07-03,22.8
2024-07-04,29.8
2024-07-05,23.9
2024-07-06,15.1
2024-07-07,25.0
2024-07-08,18.0
2024-07-09,29.4
2024-07-10,10.9
2024-07-11,26.8
2024-07-12,13.3
2024-07-13,26.0
2024-07-14,15.6
2024-07-15,22.9
2024-07-16,10.1
2024-07-17,24.5
2024-07-18,21.6
2024-07-19,19.0
2024-07-20,26.5
2024-07-21,21.8
2024-07-22,14.4
2024-07-23,16.6
2024-07-24,27.6
2024-07-25,12.1
2024-07-26,21.8
2024-07-27,14.9
2024-07-28,28.7
2024-07-29,29.2
2024-07-30,13.7
2024-07-31,20.7
2024-08-01,28.1
2024-08-02,20.2
2024-08-03,20.4
2024-08-04,21.4
2024-08-05,18.9
2024-08-06,27.9
2024-08-07,23.0
2024-08-08,16.5
2024-08-09,12.0
2024-08-10,19.2
2024-08-11,18.5
2024-08-12,28.6
2024-08-13,19.8
2024-08-14,24.4
2024-08-15,14.7
2024-08-16,11.2
2024-08-17,26.1
2024-08-18,21.6
2024-08-19,12.6
2024-08-20,13.3
2024-08-21,20.0
2024-08-22,16.3
2024-08-23,26.7
2024-08-24,26.0
2024-08-25,19.9
2024-08-26,16.1
2024-08-27,23.3
2024-08-28,11.2
2024-08-29,17.8
2024-08-30,26.2
2024-08-31,27.3
2024-09-01,20.4
2024-09-02,19.6
2024-09-03,24.8
2024-09-04,11.2
2024-09-05,22.3
2024-09-06,11.6
2024-09-07,26.2
2024-09-08,18.7
2024-09-09,20.1
2024-09-10,11.9
2024-09-11,26.1
2024-09-12,13.0
2024-09-13,23.0
2024-09-14,15.3
2024-09-15,11.8
2024-09-16,13.5
2024-09-17,22.6
2024-09-18,15.1
2024-09-19,12.9
2024-09-20,26.8
2024-09-21,28.6
2024-09-22,27.8
2024-09-23,29.4
2024-09-24,29.9
2024-09-25,27.7
2024-09-26,26.0
2024-09-27,24.2
2024-09-28,26.7
2024-09-29,24.7
2024-09-30,14.4
2024-10-01,25.4
2024-10-02,10.6
2024-10-03,15.3
2024-10-04,15.4
2024-10-05,28.1
2024-10-06,11.2
2024-10-07,20.0
2024-10-08,17.2
2024-10-09,14.9
2024-10-10,25.3
2024-10-11,13.0
2024-10-12,10.3
2024-10-13,18.6
2024-10-14,14.7
2024-10-15,16.6
2024-10-16,22.1
2024-10-17,21.7
2024-10-18,12.9
2024-10-19,23.9
2024-10-20,24.9
2024-10-21,26.7
2024-10-22,19.6
2024-10-23,23.1
2024-10-24,22.0
2024-10-25,28.9
2024-10-26,15.4
2024-10-27,21.6
2024-10-28,12.2
2024-10-29,17.7
2024-10-30,10.4
2024-10-31,25.0
2024-11-01,10.9
2024-11-02,18.7
2024-11-03,16.6
2024-11-04,17.5
2024-11-05,10.3
2024-11-06,11.8
2024-11-07,15.7
2024-11-08,25.1
2024-11-09,29.6
2024-11-10,14.7
2024-11-11,17.4
2024-11-12,21.4
2024-11-13,29.0
2024-11-14,12.5
2024-11-15,23.2
2024-11-16,17.0
2024-11-17,19.0
2024-11-18,12.2
2024-11-19,15.7
2024-11-20,26.1
2024-11-21,29.3
2024-11-22,11.7
2024-11-23,19.0
2024-11-24,25.0
2024-11-25,22.2
2024-11-26,22.1
2024-11-27,29.1
2024-11-28,25.5
2024-11-29,11.9
2024-11-30,21.2
2024-12-01,14.8
2024-12-02,17.5
2024-12-03,13.2
2024-12-04,11.0
2024-12-05,29.8
2024-12-06,26.0
2024-12-07,14.3
2024-12-08,25.9
2024-12-09,18.2
2024-12-10,26.6
2024-12-11,22.4
2024-12-12,20.0
2024-12-13,20.5
2024-12-14,22.8
2024-12-15,14.3
2024-12-16,18.4
2024-12-17,14.0
2024-12-18,28.0
2024-12-19,10.7
2024-12-20,15.9
2024-12-21,28.7
2024-12-22,27.0
2024-12-23,17.6
2024-12-24,17.3
2024-12-25,16.2
2024-12-26,21.5
2024-12-27,14.2
2024-12-28,28.0
2024-12-29,16.3
2024-12-30,23.1
2024-12-31,28.0
2025-01-01,21.3
2025-01-02,11.9
2025-01-03,25.2
2025-01-04,16.2
2025-01-05,11.1
2025-01-06,14.8
2025-01-07,26.1
2025-01-08,26.2
2025-01-09,25.9
2025-01-10,16.7
2025-01-11,14.7
2025-01-12,15.1
2025-01-13,16.3
2025-01-14,27.9
2025-01-15,18.1
2025-01-16,20.0
2025-01-17,26.3
2025-01-18,25.4
2025-01-19,10.3
2025-01-20,21.4
2025-01-21,19.9
2025-01-22,12.0
2025-01-23,21.9
2025-01-24,19.9
2025-01-25,21.6
2025-01-26,23.9
2025-01-27,11.4
2025-01-28,16.0
2025-01-29,22.8
2025-01-30,27.7
2025-01-31,18.0
2025-02-01,15.4
2025-02-02,21.4
2025-02-03,22.9
2025-02-04,27.3
2025-02-05,27.1
2025-02-06,24.7
2025-02-07,12.0
2025-02-08,13.0
2025-02-09,10.6
2025-02-10,14.8
2025-02-11,18.9
2025-02-12,20.3
2025-02-13,25.9
2025-02-14,26.0
2025-02-15,23.4
2025-02-16,27.5
2025-02-17,23.7
2025-02-18,12.6
2025-02-19,21.9
2025-02-20,13.2
2025-02-21,24.6
2025-02-22,29.0
2025-02-23,23.9
2025-02-24,25.1
2025-02-25,15.8
2025-02-26,24.6
2025-02-27,26.8
2025-02-28,17.0
2025-03-01,20.9
2025-03-02,14.6
2025-03-03,16.3
2025-03-04,19.6
2025-03-05,28.5
2025-03-06,19.3
2025-03-07,28.6
2025-03-08,13.5
2025-03-09,21.9
2025-03-10,18.8
2025-03-11,21.1
2025-03-12,14.7
2025-03-13,17.0
2025-03-14,14.7
2025-03-15,27.6
2025-03-16,15.1
2025-03-17,23.7
2025-03-18,24.1
2025-03-19,25.2
2025-03-20,14.9
2025-03-21,14.0
2025-03-22,27.4
2025-03-23,22.3
2025-03-24,11.0
2025-03-25,12.0
2025-03-26,19.1
2025-03-27,22.1
2025-03-28,18.1
2025-03-29,12.8
2025-03-30,16.0
2025-03-31,20.7
2025-04-01,25.3
2025-04-02,11.2
2025-04-03,13.2
2025-04-04,23.0
2025-04-05,25.9
2025-04-06,17.1
2025-04-07,26.1
2025-04-08,17.2
2025-04-09,16.9
2025-04-10,16.7
2025-04-11,15.1
2025-04-12,23.0
2025-04-13,10.6
2025-04-14,22.9
2025-04-15,29.4
2025-04-16,14.6
2025-04-17,11.5
2025-04-18,15.9
2025-04-19,13.4
2025-04-20,14.3
2025-04-21,17.9
2025-04-22,14.6
2025-04-23,16.1
2025-04-24,13.3
2025-04-25,29.3
2025-04-26,22.4
2025-04-27,28.4
2025-04-28,21.6
2025-04-29,10.8
2025-04-30,20.3
2025-05-01,25.6
2025-05-02,23.3
2025-05-03,23.9
2025-05-04,23.8
2025-05-05,13.1
2025-05-06,28.9
2025-05-07,16.4
2025-05-08,10.7
2025-05-09,13.3
2025-05-10,13.2
2025-05-11,27.3
2025-05-12,11.0
2025-05-13,14.9
2025-05-14,10.8
2025-05-15,25.2
2025-05-16,14.2
2025-05-17,20.5
2025-05-18,27.5
2025-05-19,12.2
2025-05-20,14.2
2025-05-21,12.0
2025-05-22,26.2
2025-05-23,22.1
2025-05-24,18.2
2025-05-25,26.1
2025-05-26,21.8
2025-05-27,24.0
2025-05-28,12.4
2025-05-29,18.5
2025-05-30,15.8
2025-05-31,22.7
2025-06-01,14.2
2025-06-02,14.7
2025-06-03,12.7
2025-06-04,15.4
2025-06-05,11.5
2025-06-06,10.7
2025-06-07,19.1
2025-06-08,28.1
