date,temperature
2023-06-10,23.3
2023-06-11,17.8
2023-06-12,17.5
2023-06-13,23.4
2023-06-14,27.6
2023-06-15,27.2
2023-06-16,23.8
2023-06-17,28.3
2023-06-18,17.7
2023-06-19,23.8
2023-06-20,14.9
2023-06-21,13.5
2023-06-22,27.0
2023-06-23,20.7
2023-06-24,23.8
2023-06-25,23.4
2023-06-26,19.6
2023-06-27,29.9
2023-06-28,20.4
2023-06-29,26.3
2023-06-30,14.1
2023-07-01,25.1
2023-07-02,29.9
2023-07-03,20.3
2023-07-04,18.9
2023-07-05,13.7
2023-07-06,19.1
2023-07-07,17.6
2023-07-08,24.2
2023-07-09,23.9
2023-07-10,17.0
2023-07-11,13.7
2023-07-12,24.5
2023-07-13,29.7
2023-07-14,25.2
2023-07-15,13.1
2023-07-16,24.3
2023-07-17,16.8
2023-07-18,29.8
2023-07-19,15.6
2023-07-20,10.3
2023-07-21,23.6
2023-07-22,16.1
2023-07-23,16.5
2023-07-24,13.9
2023-07-25,24.6
2023-07-26,21.8
2023-07-27,17.7
2023-07-28,25.6
2023-07-29,12.9
2023-07-30,28.2
2023-07-31,16.3
2023-08-01,18.0
2023-08-02,10.0
2023-08-03,25.5
2023-08-04,14.0
2023-08-05,19.7
2023-08-06,25.5
2023-08-07,15.2
2023-08-08,12.1
2023-08-09,22.5
2023-08-10,12.2
2023-08-11,13.4
2023-08-12,13.9
2023-08-13,27.9
2023-08-14,11.1
2023-08-15,16.0
2023-08-16,15.6
2023-08-17,13.9
2023-08-18,20.1
2023-08-19,14.9
2023-08-20,15.5
2023-08-21,11.1
2023-08-22,24.9
2023-08-23,16.3
2023-08-24,28.8
2023-08-25,16.4
2023-08-26,12.6
2023-08-27,21.0
2023-08-28,16.1
2023-08-29,18.1
2023-08-30,18.4
2023-08-31,22.3
2023-09-01,22.0
2023-09-02,18.2
2023-09-03,12.2
2023-09-04,11.5
2023-09-05,11.0
2023-09-06,26.0
2023-09-07,20.9
2023-09-08,11.8
2023-09-09,11.7
2023-09-10,13.7
2023-09-11,19.1
2023-09-12,24.4
2023-09-13,14.8
2023-09-14,13.7
2023-09-15,11.3
2023-09-16,17.4
2023-09-17,13.8
2023-09-18,25.5
2023-09-19,24.8
2023-09-20,26.8
2023-09-21,10.3
2023-09-22,11.5
2023-09-23,10.1
2023-09-24,10.5
2023-09-25,25.1
2023-09-26,14.1
2023-09-27,29.5
2023-09-28,10.8
2023-09-29,13.9
2023-09-30,13.2
2023-10-01,17.4
2023-10-02,14.9
2023-10-03,25.3
2023-10-04,17.4
2023-10-05,27.5
2023-10-06,11.8
2023-10-07,18.2
2023-10-08,14.8
2023-10-09,26.1
2023-10-10,10.0
2023-10-11,27.3
2023-10-12,18.5
2023-10-13,25.9
2023-10-14,17.2
2023-10-15,22.7
2023-10-16,15.4
2023-10-17,14.1
2023-10-18,12.3
2023-10-19,26.2
2023-10-20,15.9
2023-10-21,18.5
2023-10-22,17.9
2023-10-23,16.5
2023-10-24,22.4
2023-10-25,15.8
2023-10-26,29.5
2023-10-27,15.0
2023-10-28,10.8
2023-10-29,27.6
2023-10-30,20.2
2023-10-31,18.2
2023-11-01,10.4
2023-11-02,12.0
2023-11-03,17.0
2023-11-04,12.7
2023-11-05,29.8
2023-11-06,26.5
2023-11-07,20.1
2023-11-08,15.8
2023-11-09,10.9
2023-11-10,27.1
2023-11-11,24.6
2023-11-12,25.8
2023-11-13,19.1
2023-11-14,12.3
2023-11-15,15.6
2023-11-16,23.4
2023-11-17,28.6
2023-11-18,16.2
2023-11-19,18.5
2023-11-20,16.2
2023-11-21,21.2
2023-11-22,22.1
2023-11-23,20.6
2023-11-24,26.2
2023-11-25,21.6
2023-11-26,11.5
2023-11-27,29.4
2023-11-28,12.4
2023-11-29,27.7
