date,temperature
2023-06-10,8.9
2023-06-11,14.3
2023-06-12,6.5
2023-06-13,22.9
2023-06-14,26.5
2023-06-15,10.0
2023-06-16,-9.7
2023-06-17,8.0
2023-06-18,-9.6
2023-06-19,27.0
2023-06-20,17.2
2023-06-21,6.7
2023-06-22,6.2
2023-06-23,28.5
2023-06-24,15.1
2023-06-25,-5.0
2023-06-26,21.5
2023-06-27,21.0
2023-06-28,23.0
2023-06-29,16.6
2023-06-30,-2.0
2023-07-01,6.9
2023-07-02,13.4
2023-07-03,-5.6
2023-07-04,14.4
2023-07-05,8.5
2023-07-06,0.1
2023-07-07,29.7
2023-07-08,-7.5
2023-07-09,25.5
2023-07-10,4.7
2023-07-11,-5.3
2023-07-12,14.1
2023-07-13,-0.5
2023-07-14,9.2
2023-07-15,-4.3
2023-07-16,3.4
2023-07-17,18.1
2023-07-18,8.8
2023-07-19,-7.8
2023-07-20,29.8
2023-07-21,7.6
2023-07-22,-0.4
2023-07-23,-6.2
2023-07-24,18.8
2023-07-25,28.5
2023-07-26,19.3
2023-07-27,-6.7
2023-07-28,5.6
2023-07-29,-7.4
2023-07-30,20.7
2023-07-31,21.6
2023-08-01,11.0
2023-08-02,16.9
2023-08-03,17.6
2023-08-04,15.3
2023-08-05,-5.6
2023-08-06,15.9
2023-08-07,22.6
2023-08-08,-2.5
2023-08-09,22.1
2023-08-10,8.9
2023-08-11,-2.4
2023-08-12,-1.5
2023-08-13,8.0
2023-08-14,-6.5
2023-08-15,19.0
2023-08-16,0.4
2023-08-17,3.4
2023-08-18,-7.3
2023-08-19,15.9
2023-08-20,17.2
2023-08-21,2.2
2023-08-22,29.0
2023-08-23,0.3
2023-08-24,6.6
2023-08-25,-9.3
2023-08-26,-1.8
2023-08-27,-9.9
2023-08-28,5.7
2023-08-29,11.5
2023-08-30,7.5
2023-08-31,24.2
2023-09-01,-8.7
2023-09-02,12.0
2023-09-03,17.5
2023-09-04,-8.0
2023-09-05,6.3
2023-09-06,25.0
2023-09-07,28.1
2023-09-08,-4.0
2023-09-09,17.7
2023-09-10,17.5
2023-09-11,6.6
2023-09-12,4.9
2023-09-13,15.7
2023-09-14,-1.7
2023-09-15,8.9
2023-09-16,20.6
2023-09-17,28.8
2023-09-18,-0.5
2023-09-19,18.5
2023-09-20,3.9
2023-09-21,9.7
2023-09-22,13.0
2023-09-23,2.1
2023-09-24,1.9
2023-09-25,26.4
2023-09-26,-3.5
2023-09-27,25.7
2023-09-28,-8.3
2023-09-29,21.3
2023-09-30,21.6
2023-10-01,19.7
2023-10-02,5.2
2023-10-03,13.5
2023-10-04,-6.2
2023-10-05,29.4
2023-10-06,-6.4
2023-10-07,25.2
2023-10-08,-9.7
2023-10-09,-3.6
2023-10-10,17.1
2023-10-11,8.4
2023-10-12,3.2
2023-10-13,22.3
2023-10-14,7.3
