date,temperature
2023-06-10,-1.7
2023-06-11,10.1
2023-06-12,24.7
2023-06-13,2.4
2023-06-14,7.8
2023-06-15,-7.0
2023-06-16,17.1
2023-06-17,4.6
2023-06-18,2.2
2023-06-19,-13.3
2023-06-20,1.1
2023-06-21,12.8
2023-06-22,21.4
2023-06-23,10.9
2023-06-24,-6.9
2023-06-25,21.3
2023-06-26,4.4
2023-06-27,7.3
2023-06-28,4.5
2023-06-29,-2.0
2023-06-30,0.3
2023-07-01,-8.5
2023-07-02,2.7
2023-07-03,-9.8
2023-07-04,11.5
2023-07-05,14.4
2023-07-06,-5.3
2023-07-07,-4.2
2023-07-08,9.8
2023-07-09,0.4
2023-07-10,15.5
2023-07-11,8.0
2023-07-12,3.7
2023-07-13,-11.5
2023-07-14,1.7
2023-07-15,14.6
2023-07-16,-13.3
2023-07-17,-12.0
2023-07-18,12.2
2023-07-19,-13.9
2023-07-20,11.5
2023-07-21,19.5
2023-07-22,11.3
2023-07-23,2.7
2023-07-24,-8.9
2023-07-25,11.1
2023-07-26,-5.8
2023-07-27,-12.6
2023-07-28,-2.5
2023-07-29,17.5
2023-07-30,-5.2
2023-07-31,-13.2
2023-08-01,9.8
2023-08-02,8.6
2023-08-03,5.9
2023-08-04,22.4
2023-08-05,8.8
2023-08-06,17.8
2023-08-07,14.1
2023-08-08,23.8
2023-08-09,-8.5
2023-08-10,-11.6
2023-08-11,-5.7
2023-08-12,1.2
2023-08-13,-5.9
2023-08-14,-9.7
2023-08-15,5.8
2023-08-16,-7.8
2023-08-17,-7.0
2023-08-18,14.0
2023-08-19,21.4
2023-08-20,-1.7
2023-08-21,-2.3
2023-08-22,17.2
2023-08-23,-4.6
2023-08-24,3.2
2023-08-25,8.7
2023-08-26,21.0
2023-08-27,18.0
2023-08-28,18.5
2023-08-29,12.2
2023-08-30,-9.9
2023-08-31,20.9
2023-09-01,4.2
2023-09-02,14.5
2023-09-03,15.2
2023-09-04,-14.8
2023-09-05,14.3
2023-09-06,24.7
2023-09-07,15.8
2023-09-08,18.0
2023-09-09,23.0
2023-09-10,23.9
2023-09-11,-2.2
2023-09-12,-4.9
2023-09-13,9.0
2023-09-14,-12.3
2023-09-15,-10.0
2023-09-16,-1.5
2023-09-17,14.1
2023-09-18,-9.7
2023-09-19,3.1
2023-09-20,23.8
2023-09-21,24.3
2023-09-22,-14.3
2023-09-23,-13.5
2023-09-24,0.4
2023-09-25,-3.2
2023-09-26,19.3
2023-09-27,1.6
2023-09-28,1.7
2023-09-29,-11.1
2023-09-30,12.2
2023-10-01,-13.6
2023-10-02,24.5
2023-10-03,17.5
2023-10-04,-15.0
2023-10-05,-14.4
2023-10-06,6.1
2023-10-07,-9.2
2023-10-08,-3.4
2023-10-09,-10.3
2023-10-10,23.9
2023-10-11,16.7
2023-10-12,6.9
2023-10-13,-7.3
2023-10-14,-6.6
2023-10-15,23.3
2023-10-16,-13.5
2023-10-17,-0.3
2023-10-18,18.8
2023-10-19,-6.3
2023-10-20,22.3
2023-10-21,5.0
2023-10-22,-6.2
2023-10-23,-10.5
2023-10-24,-8.7
2023-10-25,-6.2
2023-10-26,-5.2
2023-10-27,13.2
2023-10-28,17.7
2023-10-29,23.1
2023-10-30,23.1
2023-10-31,-6.3
2023-11-01,11.9
2023-11-02,3.4
2023-11-03,5.1
2023-11-04,12.9
2023-11-05,5.9
2023-11-06,-5.1
2023-11-07,-7.1
2023-11-08,2.9
2023-11-09,18.4
2023-11-10,-11.1
2023-11-11,-13.4
2023-11-12,14.9
2023-11-13,-0.2
2023-11-14,-4.9
2023-11-15,-9.1
2023-11-16,12.9
2023-11-17,7.4
2023-11-18,13.5
2023-11-19,2.9
2023-11-20,11.4
2023-11-21,0.9
2023-11-22,-6.9
2023-11-23,-4.5
2023-11-24,0.6
2023-11-25,20.2
2023-11-26,20.0
2023-11-27,15.2
2023-11-28,-0.3
2023-11-29,19.6
2023-11-30,-2.9
2023-12-01,4.6
2023-12-02,24.2
2023-12-03,-8.5
2023-12-04,-1.5
2023-12-05,22.3
2023-12-06,14.9
2023-12-07,11.4
2023-12-08,20.2
2023-12-09,-7.2
2023-12-10,24.9
2023-12-11,7.1
2023-12-12,-11.6
2023-12-13,16.2
2023-12-14,19.3
2023-12-15,-9.6
2023-12-16,-5.7
2023-12-17,-5.0
2023-12-18,18.8
2023-12-19,19.3
2023-12-20,5.6
2023-12-21,0.8
2023-12-22,5.6
2023-12-23,23.9
2023-12-24,21.0
2023-12-25,-10.7
2023-12-26,13.5
2023-12-27,22.6
2023-12-28,-4.3
2023-12-29,-1.9
2023-12-30,9.0
2023-12-31,24.1
2024-01-01,0.6
2024-01-02,15.1
2024-01-03,20.1
2024-01-04,-12.7
2024-01-05,-14.3
2024-01-06,-11.0
2024-01-07,9.7
2024-01-08,8.9
2024-01-09,14.0
2024-01-10,-6.6
2024-01-11,22.2
2024-01-12,-11.4
2024-01-13,19.3
2024-01-14,-12.8
2024-01-15,15.1
2024-01-16,21.2
2024-01-17,-9.5
2024-01-18,4.2
2024-01-19,0.6
2024-01-20,-0.4
2024-01-21,-2.9
2024-01-22,19.5
2024-01-23,17.4
2024-01-24,-6.4
2024-01-25,4.6
2024-01-26,18.2
2024-01-27,-5.1
2024-01-28,6.8
2024-01-29,17.9
2024-01-30,-13.4
2024-01-31,7.5
2024-02-01,-0.7
2024-02-02,16.1
2024-02-03,22.9
2024-02-04,6.0
2024-02-05,-4.7
2024-02-06,6.9
2024-02-07,-3.0
2024-02-08,20.8
2024-02-09,16.3
2024-02-10,12.2
2024-02-11,-0.3
2024-02-12,-11.8
2024-02-13,12.1
2024-02-14,23.9
2024-02-15,0.1
2024-02-16,15.1
2024-02-17,-9.4
2024-02-18,15.3
2024-02-19,18.6
2024-02-20,-9.3
2024-02-21,-7.0
2024-02-22,-13.9
2024-02-23,22.3
2024-02-24,-3.8
2024-02-25,22.8
2024-02-26,-5.1
2024-02-27,-5.4
2024-02-28,4.6
2024-02-29,13.8
2024-03-01,-6.3
2024-03-02,-8.8
2024-03-03,1.0
2024-03-04,4.0
2024-03-05,6.3
2024-03-06,-10.1
2024-03-07,4.0
2024-03-08,-11.5
2024-03-09,20.7
2024-03-10,23.0
2024-03-11,-3.9
2024-03-12,24.4
2024-03-13,-1.6
2024-03-14,-12.3
2024-03-15,14.9
2024-03-16,-7.7
2024-03-17,9.5
2024-03-18,15.0
2024-03-19,19.6
2024-03-20,8.1
2024-03-21,-8.7
2024-03-22,-2.9
2024-03-23,18.1
2024-03-24,18.8
2024-03-25,14.4
2024-03-26,-11.6
2024-03-27,-5.4
2024-03-28,0.7
2024-03-29,-1.2
2024-03-30,-9.3
2024-03-31,14.1
2024-04-01,11.5
2024-04-02,22.0
2024-04-03,10.5
2024-04-04,-4.7
2024-04-05,2.9
2024-04-06,14.8
2024-04-07,15.8
2024-04-08,8.6
2024-04-09,19.7
2024-04-10,6.2
2024-04-11,7.6
2024-04-12,0.1
2024-04-13,18.3
2024-04-14,17.1
2024-04-15,-2.5
2024-04-16,-4.4
2024-04-17,0.7
2024-04-18,11.8
2024-04-19,0.7
2024-04-20,23.1
2024-04-21,-5.3
2024-04-22,-0.0
2024-04-23,-5.4
2024-04-24,3.6
2024-04-25,-4.4
2024-04-26,-12.6
2024-04-27,13.6
2024-04-28,24.6
2024-04-29,0.3
2024-04-30,-4.2
2024-05-01,13.0
2024-05-02,-3.5
2024-05-03,-1.9
2024-05-04,-11.6
2024-05-05,14.6
2024-05-06,3.9
2024-05-07,-13.7
2024-05-08,12.3
2024-05-09,-7.2
2024-05-10,-0.9
2024-05-11,20.0
2024-05-12,12.7
2024-05-13,9.9
2024-05-14,6.2
2024-05-15,21.6
2024-05-16,6.8
2024-05-17,21.3
2024-05-18,18.9
2024-05-19,14.8
2024-05-20,-2.2
2024-05-21,-13.0
2024-05-22,17.4
2024-05-23,1.0
2024-05-24,1.8
2024-05-25,5.0
2024-05-26,8.9
2024-05-27,-13.3
2024-05-28,-14.0
2024-05-29,-10.5
2024-05-30,13.7
2024-05-31,-11.9
2024-06-01,-2.7
2024-06-02,-2.2
2024-06-03,-14.5
2024-06-04,10.7
2024-06-05,22.4
2024-06-06,13.3
2024-06-07,-12.1
2024-06-08,-11.6
2024-06-09,-1.6
2024-06-10,-7.5
2024-06-11,12.1
2024-06-12,19.4
2024-06-13,20.8
2024-06-14,4.1
2024-06-15,0.0
2024-06-16,-14.0
2024-06-17,13.8
2024-06-18,24.9
2024-06-19,6.4
2024-06-20,-6.9
2024-06-21,17.1
2024-06-22,-8.6
2024-06-23,11.1
2024-06-24,14.2
2024-06-25,9.5
2024-06-26,10.6
2024-06-27,-0.1
2024-06-28,18.8
2024-06-29,-10.9
2024-06-30,10.8
2024-07-01,-12.9
2024-07-02,-13.6
2024-07-03,-10.1
2024-07-04,3.4
2024-07-05,2.9
2024-07-06,-4.3
2024-07-07,19.0
2024-07-08,-2.0
2024-07-09,20.6
2024-07-10,17.4
2024-07-11,0.8
2024-07-12,-3.1
2024-07-13,-3.5
2024-07-14,7.3
2024-07-15,11.9
2024-07-16,10.5
2024-07-17,9.2
2024-07-18,4.2
2024-07-19,16.1
2024-07-20,1.8
2024-07-21,21.7
2024-07-22,22.0
2024-07-23,7.8
2024-07-24,5.7
2024-07-25,24.6
2024-07-26,20.6
2024-07-27,21.1
2024-07-28,-2.2
2024-07-29,9.4
2024-07-30,14.9
2024-07-31,14.3
2024-08-01,2.0
2024-08-02,6.7
2024-08-03,11.6
2024-08-04,-14.5
2024-08-05,16.5
2024-08-06,20.2
2024-08-07,-5.5
2024-08-08,-13.4
2024-08-09,-3.2
2024-08-10,18.7
2024-08-11,21.4
2024-08-12,15.4
2024-08-13,-3.7
2024-08-14,14.5
2024-08-15,3.7
2024-08-16,-3.8
2024-08-17,7.1
2024-08-18,23.5
2024-08-19,-5.1
2024-08-20,12.8
2024-08-21,-13.6
2024-08-22,-3.2
2024-08-23,-9.3
2024-08-24,-12.3
2024-08-25,20.4
2024-08-26,0.2
2024-08-27,4.3
2024-08-28,6.8
2024-08-29,-9.2
2024-08-30,-7.2
2024-08-31,5.7
2024-09-01,9.3
2024-09-02,12.1
2024-09-03,-14.9
2024-09-04,16.4
2024-09-05,16.4
2024-09-06,5.7
2024-09-07,17.8
2024-09-08,-11.5
2024-09-09,-2.9
2024-09-10,11.2
2024-09-11,1.1
2024-09-12,14.4
2024-09-13,19.0
2024-09-14,-4.3
2024-09-15,17.3
2024-09-16,3.6
2024-09-17,8.7
2024-09-18,6.9
2024-09-19,18.9
2024-09-20,-13.5
2024-09-21,-9.0
2024-09-22,1.8
2024-09-23,18.2
2024-09-24,2.6
2024-09-25,10.0
2024-09-26,-11.3
2024-09-27,16.7
2024-09-28,-9.7
2024-09-29,13.0
2024-09-30,10.0
2024-10-01,2.9
2024-10-02,6.2
2024-10-03,14.1
2024-10-04,13.7
2024-10-05,-2.1
2024-10-06,20.1
2024-10-07,21.7
2024-10-08,8.9
2024-10-09,-0.8
2024-10-10,9.9
2024-10-11,22.0
2024-10-12,4.8
2024-10-13,-0.3
2024-10-14,15.4
2024-10-15,24.5
2024-10-16,7.6
2024-10-17,0.5
2024-10-18,10.0
2024-10-19,16.0
2024-10-20,-11.7
2024-10-21,22.9
2024-10-22,0.0
2024-10-23,-1.2
2024-10-24,2.4
2024-10-25,23.7
2024-10-26,-7.4
2024-10-27,-2.5
2024-10-28,-5.3
2024-10-29,-0.1
2024-10-30,24.3
2024-10-31,23.3
2024-11-01,15.9
2024-11-02,18.4
2024-11-03,8.9
2024-11-04,6.2
2024-11-05,0.6
2024-11-06,-6.6
2024-11-07,13.1
2024-11-08,19.6
2024-11-09,14.4
2024-11-10,-0.6
2024-11-11,22.9
2024-11-12,-8.8
2024-11-13,-1.6
2024-11-14,-5.4
2024-11-15,-1.7
2024-11-16,-3.3
2024-11-17,-4.7
2024-11-18,22.6
2024-11-19,8.5
2024-11-20,1.4
2024-11-21,-6.3
2024-11-22,12.6
2024-11-23,-5.8
2024-11-24,-9.0
2024-11-25,-12.1
2024-11-26,-14.1
2024-11-27,5.7
2024-11-28,-0.2
2024-11-29,17.2
2024-11-30,-2.8
2024-12-01,22.1
2024-12-02,19.8
2024-12-03,-1.9
2024-12-04,13.1
2024-12-05,1.9
2024-12-06,12.5
2024-12-07,5.9
2024-12-08,-6.1
2024-12-09,-4.9
2024-12-10,-9.7
2024-12-11,-7.7
2024-12-12,16.5
2024-12-13,15.8
2024-12-14,6.6
2024-12-15,6.3
2024-12-16,4.9
2024-12-17,20.8
2024-12-18,5.3
2024-12-19,18.9
2024-12-20,13.7
2024-12-21,22.8
2024-12-22,1.7
2024-12-23,9.5
2024-12-24,5.3
2024-12-25,-6.2
2024-12-26,-13.3
2024-12-27,1.2
2024-12-28,11.3
2024-12-29,23.1
2024-12-30,22.0
2024-12-31,-10.4
2025-01-01,-11.9
2025-01-02,6.5
2025-01-03,-1.8
2025-01-04,18.7
2025-01-05,20.4
2025-01-06,-6.1
2025-01-07,23.9
2025-01-08,-2.6
2025-01-09,22.6
2025-01-10,4.3
2025-01-11,-2.0
2025-01-12,-7.6
2025-01-13,1.1
2025-01-14,4.6
2025-01-15,13.2
2025-01-16,7.1
2025-01-17,10.4
2025-01-18,-12.8
2025-01-19,23.1
2025-01-20,13.6
2025-01-21,9.1
2025-01-22,6.1
2025-01-23,5.0
2025-01-24,-12.1
2025-01-25,12.5
2025-01-26,7.5
2025-01-27,13.7
2025-01-28,9.1
2025-01-29,-8.0
2025-01-30,24.2
2025-01-31,18.9
2025-02-01,-8.8
2025-02-02,-3.2
2025-02-03,13.3
2025-02-04,4.0
2025-02-05,5.0
2025-02-06,7.9
2025-02-07,-2.0
2025-02-08,7.6
2025-02-09,-13.9
2025-02-10,1.5
2025-02-11,-11.9
2025-02-12,-11.1
2025-02-13,12.6
2025-02-14,17.0
2025-02-15,21.9
