date,temperature
2023-06-10,-9.7
2023-06-11,-1.4
2023-06-12,6.3
2023-06-13,-4.2
2023-06-14,3.0
2023-06-15,5.2
2023-06-16,-18.5
2023-06-17,-16.6
2023-06-18,11.2
2023-06-19,-1.7
2023-06-20,7.8
2023-06-21,-3.9
2023-06-22,5.0
2023-06-23,2.0
2023-06-24,-0.2
2023-06-25,18.0
2023-06-26,-18.2
2023-06-27,-17.5
2023-06-28,9.7
2023-06-29,11.4
2023-06-30,-0.1
2023-07-01,-6.5
2023-07-02,8.6
2023-07-03,14.2
2023-07-04,16.6
2023-07-05,3.7
2023-07-06,4.6
2023-07-07,1.3
2023-07-08,2.5
2023-07-09,11.5
2023-07-10,4.3
2023-07-11,12.2
2023-07-12,2.7
2023-07-13,-15.1
2023-07-14,15.5
2023-07-15,18.6
2023-07-16,7.2
2023-07-17,11.3
2023-07-18,-19.3
2023-07-19,19.7
2023-07-20,7.9
2023-07-21,16.8
2023-07-22,15.9
2023-07-23,-12.6
2023-07-24,15.6
2023-07-25,-2.4
2023-07-26,-3.5
2023-07-27,-8.9
2023-07-28,-2.2
2023-07-29,6.3
2023-07-30,-15.5
2023-07-31,11.3
2023-08-01,-2.2
2023-08-02,0.6
2023-08-03,-0.6
2023-08-04,4.2
2023-08-05,6.0
2023-08-06,15.0
2023-08-07,-5.8
2023-08-08,-15.1
2023-08-09,19.0
2023-08-10,17.0
2023-08-11,5.1
2023-08-12,-10.8
2023-08-13,-5.8
2023-08-14,-0.5
2023-08-15,4.0
2023-08-16,-1.0
2023-08-17,14.2
2023-08-18,0.8
2023-08-19,-13.3
2023-08-20,12.5
2023-08-21,-3.4
2023-08-22,17.4
2023-08-23,16.8
2023-08-24,-19.0
2023-08-25,-11.9
2023-08-26,3.5
2023-08-27,4.2
2023-08-28,-14.1
2023-08-29,13.2
2023-08-30,-3.4
2023-08-31,-17.7
2023-09-01,-11.5
2023-09-02,2.6
2023-09-03,2.0
2023-09-04,-2.9
2023-09-05,-4.2
2023-09-06,-3.4
2023-09-07,-8.7
