date,temperature
2023-06-10,15.9
2023-06-11,17.4
2023-06-12,29.8
2023-06-13,25.3
2023-06-14,23.3
2023-06-15,14.3
2023-06-16,26.9
2023-06-17,16.2
2023-06-18,28.3
2023-06-19,21.1
2023-06-20,23.4
2023-06-21,15.8
2023-06-22,20.2
2023-06-23,16.3
2023-06-24,20.4
2023-06-25,19.7
2023-06-26,19.6
2023-06-27,15.6
2023-06-28,24.9
2023-06-29,11.5
2023-06-30,27.5
2023-07-01,17.4
2023-07-02,18.9
2023-07-03,12.1
2023-07-04,22.7
2023-07-05,28.9
2023-07-06,16.8
2023-07-07,16.1
2023-07-08,26.0
2023-07-09,17.0
2023-07-10,27.4
2023-07-11,14.8
2023-07-12,25.5
2023-07-13,23.7
2023-07-14,20.4
2023-07-15,12.5
2023-07-16,26.5
2023-07-17,26.1
2023-07-18,25.9
2023-07-19,21.7
2023-07-20,17.9
2023-07-21,29.0
2023-07-22,21.9
2023-07-23,10.7
2023-07-24,11.6
2023-07-25,10.0
2023-07-26,14.6
2023-07-27,22.3
2023-07-28,14.1
2023-07-29,13.1
2023-07-30,19.1
2023-07-31,16.8
2023-08-01,13.8
2023-08-02,25.5
2023-08-03,22.0
2023-08-04,16.8
2023-08-05,25.6
2023-08-06,26.4
2023-08-07,13.2
2023-08-08,21.0
2023-08-09,29.2
2023-08-10,13.4
2023-08-11,13.9
2023-08-12,26.5
2023-08-13,19.8
2023-08-14,23.7
2023-08-15,19.5
2023-08-16,21.4
2023-08-17,10.1
2023-08-18,17.7
2023-08-19,14.7
2023-08-20,26.6
2023-08-21,28.4
2023-08-22,17.0
2023-08-23,22.3
2023-08-24,20.2
2023-08-25,30.0
2023-08-26,20.8
2023-08-27,25.9
2023-08-28,28.2
2023-08-29,18.8
2023-08-30,14.6
2023-08-31,28.9
2023-09-01,10.1
2023-09-02,23.2
2023-09-03,10.2
2023-09-04,17.9
2023-09-05,25.8
2023-09-06,23.3
2023-09-07,29.0
2023-09-08,26.4
2023-09-09,16.5
