date,temperature
2023-06-10,27.0
2023-06-11,24.7
2023-06-12,0.9
2023-06-13,4.4
2023-06-14,12.3
2023-06-15,6.0
2023-06-16,8.3
2023-06-17,23.2
2023-06-18,0.7
2023-06-19,7.7
2023-06-20,26.5
2023-06-21,13.3
2023-06-22,12.9
2023-06-23,3.9
2023-06-24,27.2
2023-06-25,19.1
2023-06-26,18.5
2023-06-27,5.6
2023-06-28,26.0
2023-06-29,22.9
2023-06-30,19.5
2023-07-01,28.9
2023-07-02,25.1
2023-07-03,10.5
2023-07-04,1.4
2023-07-05,4.0
2023-07-06,28.3
2023-07-07,17.5
2023-07-08,25.9
2023-07-09,4.3
2023-07-10,15.1
2023-07-11,6.3
2023-07-12,10.5
2023-07-13,14.4
2023-07-14,4.8
2023-07-15,14.8
2023-07-16,20.0
2023-07-17,5.0
2023-07-18,24.0
2023-07-19,15.7
2023-07-20,12.8
2023-07-21,11.2
2023-07-22,14.7
2023-07-23,25.3
2023-07-24,7.1
2023-07-25,11.5
2023-07-26,12.7
2023-07-27,26.2
2023-07-28,14.0
2023-07-29,3.9
2023-07-30,22.5
2023-07-31,9.6
2023-08-01,7.2
2023-08-02,24.6
2023-08-03,0.1
2023-08-04,3.1
2023-08-05,25.5
2023-08-06,3.5
2023-08-07,11.7
2023-08-08,26.0
2023-08-09,22.2
2023-08-10,1.6
2023-08-11,28.9
2023-08-12,27.4
2023-08-13,9.9
2023-08-14,2.4
2023-08-15,1.7
2023-08-16,10.7
2023-08-17,5.9
2023-08-18,22.0
2023-08-19,18.3
2023-08-20,14.9
2023-08-21,16.5
2023-08-22,0.0
2023-08-23,14.7
2023-08-24,6.7
2023-08-25,29.0
2023-08-26,13.3
2023-08-27,2.1
2023-08-28,18.3
2023-08-29,5.9
2023-08-30,24.7
2023-08-31,2.2
2023-09-01,21.4
2023-09-02,27.8
2023-09-03,24.5
2023-09-04,10.0
2023-09-05,22.3
2023-09-06,18.3
2023-09-07,10.4
2023-09-08,21.6
2023-09-09,20.7
2023-09-10,1.1
2023-09-11,14.1
2023-09-12,28.0
2023-09-13,9.6
2023-09-14,10.3
2023-09-15,25.7
2023-09-16,29.4
2023-09-17,29.2
2023-09-18,9.6
2023-09-19,26.3
2023-09-20,25.4
2023-09-21,13.4
2023-09-22,10.3
2023-09-23,22.8
2023-09-24,21.8
2023-09-25,19.0
2023-09-26,16.2
2023-09-27,18.9
2023-09-28,26.6
2023-09-29,20.4
2023-09-30,19.7
2023-10-01,10.3
2023-10-02,5.1
2023-10-03,9.9
2023-10-04,9.0
2023-10-05,29.1
2023-10-06,13.0
2023-10-07,17.4
2023-10-08,18.5
2023-10-09,21.8
2023-10-10,12.1
2023-10-11,0.8
2023-10-12,9.9
2023-10-13,29.9
2023-10-14,6.2
2023-10-15,20.3
2023-10-16,28.4
2023-10-17,5.7
2023-10-18,21.4
2023-10-19,5.8
2023-10-20,4.1
2023-10-21,29.6
2023-10-22,11.1
2023-10-23,21.9
2023-10-24,8.6
2023-10-25,11.5
2023-10-26,26.1
2023-10-27,23.6
2023-10-28,1.9
2023-10-29,13.7
2023-10-30,2.2
2023-10-31,23.3
2023-11-01,17.9
2023-11-02,7.0
2023-11-03,23.8
2023-11-04,15.4
2023-11-05,4.6
2023-11-06,2.9
2023-11-07,19.5
2023-11-08,22.2
2023-11-09,15.1
2023-11-10,29.6
2023-11-11,14.8
2023-11-12,4.2
2023-11-13,5.7
2023-11-14,17.9
2023-11-15,29.3
2023-11-16,27.1
2023-11-17,0.1
2023-11-18,8.1
2023-11-19,0.2
2023-11-20,14.2
2023-11-21,19.7
2023-11-22,15.5
2023-11-23,14.4
2023-11-24,6.4
2023-11-25,26.2
2023-11-26,29.8
2023-11-27,15.3
2023-11-28,5.9
2023-11-29,12.5
2023-11-30,9.6
2023-12-01,6.6
2023-12-02,24.4
2023-12-03,1.3
2023-12-04,0.0
2023-12-05,8.6
2023-12-06,3.6
2023-12-07,26.6
2023-12-08,11.6
2023-12-09,23.3
2023-12-10,18.9
2023-12-11,9.9
2023-12-12,7.3
2023-12-13,6.5
2023-12-14,22.0
2023-12-15,20.0
2023-12-16,15.2
2023-12-17,24.2
2023-12-18,7.4
2023-12-19,16.9
2023-12-20,13.2
2023-12-21,12.0
2023-12-22,21.4
2023-12-23,23.1
2023-12-24,23.2
2023-12-25,14.3
2023-12-26,29.1
2023-12-27,12.8
2023-12-28,4.7
2023-12-29,14.6
2023-12-30,23.5
2023-12-31,21.5
2024-01-01,27.8
2024-01-02,25.3
2024-01-03,24.6
2024-01-04,4.2
2024-01-05,26.0
2024-01-06,1.3
2024-01-07,2.1
2024-01-08,1.7
2024-01-09,17.7
2024-01-10,18.7
2024-01-11,4.6
2024-01-12,7.1
2024-01-13,3.7
2024-01-14,5.9
2024-01-15,23.2
2024-01-16,15.7
2024-01-17,27.6
2024-01-18,28.9
2024-01-19,2.9
2024-01-20,21.6
2024-01-21,15.7
2024-01-22,10.6
2024-01-23,4.5
2024-01-24,6.1
2024-01-25,28.8
2024-01-26,27.2
2024-01-27,11.6
2024-01-28,7.8
2024-01-29,12.9
2024-01-30,23.2
2024-01-31,24.1
2024-02-01,23.9
2024-02-02,29.8
2024-02-03,0.8
2024-02-04,22.2
2024-02-05,10.4
2024-02-06,25.5
2024-02-07,2.4
2024-02-08,18.9
2024-02-09,26.6
2024-02-10,11.1
2024-02-11,24.7
2024-02-12,7.4
2024-02-13,22.9
2024-02-14,6.9
2024-02-15,21.4
2024-02-16,16.2
2024-02-17,24.4
2024-02-18,11.1
2024-02-19,0.1
2024-02-20,12.9
2024-02-21,29.8
2024-02-22,10.8
2024-02-23,27.0
2024-02-24,12.3
2024-02-25,4.7
2024-02-26,18.9
2024-02-27,20.5
2024-02-28,1.4
2024-02-29,25.2
2024-03-01,21.5
2024-03-02,1.7
2024-03-03,5.3
2024-03-04,28.9
2024-03-05,19.9
2024-03-06,1.1
2024-03-07,12.1
2024-03-08,24.6
2024-03-09,23.9
2024-03-10,5.9
2024-03-11,22.8
2024-03-12,28.8
2024-03-13,20.3
2024-03-14,0.3
2024-03-15,12.1
2024-03-16,16.0
2024-03-17,14.5
2024-03-18,1.9
2024-03-19,19.9
2024-03-20,28.0
2024-03-21,6.8
2024-03-22,28.7
2024-03-23,19.7
2024-03-24,0.5
2024-03-25,5.6
2024-03-26,6.1
2024-03-27,24.8
2024-03-28,25.6
2024-03-29,22.8
2024-03-30,29.6
2024-03-31,27.0
2024-04-01,10.5
2024-04-02,13.7
2024-04-03,23.1
2024-04-04,15.6
2024-04-05,19.0
2024-04-06,17.7
2024-04-07,24.6
2024-04-08,2.5
2024-04-09,24.9
2024-04-10,18.1
2024-04-11,15.8
2024-04-12,22.8
2024-04-13,8.1
2024-04-14,27.6
2024-04-15,24.3
2024-04-16,25.5
2024-04-17,4.1
2024-04-18,11.0
2024-04-19,22.6
2024-04-20,18.7
2024-04-21,28.5
2024-04-22,9.7
2024-04-23,11.6
2024-04-24,8.4
2024-04-25,28.1
2024-04-26,6.7
2024-04-27,18.1
2024-04-28,5.0
2024-04-29,25.7
2024-04-30,7.1
2024-05-01,13.8
2024-05-02,20.4
2024-05-03,12.3
2024-05-04,1.1
2024-05-05,20.1
2024-05-06,17.5
2024-05-07,18.6
2024-05-08,29.7
2024-05-09,5.6
2024-05-10,15.6
2024-05-11,19.8
2024-05-12,1.6
2024-05-13,25.4
2024-05-14,25.4
2024-05-15,16.9
2024-05-16,29.8
