date,temperature
2023-06-10,24.6
2023-06-11,28.8
2023-06-12,11.2
2023-06-13,10.8
2023-06-14,10.9
2023-06-15,11.3
2023-06-16,19.6
2023-06-17,8.6
2023-06-18,31.8
2023-06-19,17.0
2023-06-20,13.2
2023-06-21,28.4
2023-06-22,5.6
2023-06-23,16.4
2023-06-24,9.3
2023-06-25,11.6
2023-06-26,34.7
2023-06-27,34.3
2023-06-28,16.7
2023-06-29,32.3
2023-06-30,24.1
2023-07-01,9.3
2023-07-02,25.4
2023-07-03,10.8
2023-07-04,24.5
2023-07-05,21.9
2023-07-06,26.5
2023-07-07,7.1
2023-07-08,8.2
2023-07-09,29.1
2023-07-10,19.4
2023-07-11,15.0
2023-07-12,5.3
2023-07-13,32.2
2023-07-14,18.4
2023-07-15,8.1
2023-07-16,26.9
2023-07-17,25.7
2023-07-18,12.4
2023-07-19,31.8
2023-07-20,17.3
2023-07-21,30.3
2023-07-22,32.6
2023-07-23,14.3
2023-07-24,34.4
2023-07-25,18.7
2023-07-26,21.1
2023-07-27,30.8
2023-07-28,6.4
2023-07-29,17.1
2023-07-30,25.9
2023-07-31,16.1
2023-08-01,24.8
2023-08-02,28.8
2023-08-03,22.8
2023-08-04,26.0
2023-08-05,22.9
2023-08-06,30.8
2023-08-07,26.6
2023-08-08,34.1
2023-08-09,16.2
2023-08-10,5.4
2023-08-11,5.2
2023-08-12,24.8
2023-08-13,19.2
2023-08-14,6.5
2023-08-15,23.6
2023-08-16,28.8
2023-08-17,34.3
2023-08-18,9.7
2023-08-19,31.8
2023-08-20,13.9
2023-08-21,18.7
2023-08-22,31.0
2023-08-23,19.9
2023-08-24,22.2
2023-08-25,17.3
2023-08-26,6.9
2023-08-27,7.7
2023-08-28,23.7
2023-08-29,27.7
2023-08-30,5.8
2023-08-31,11.1
2023-09-01,5.8
2023-09-02,28.2
2023-09-03,25.5
2023-09-04,17.1
2023-09-05,8.0
2023-09-06,26.6
2023-09-07,29.3
2023-09-08,13.1
2023-09-09,23.5
2023-09-10,31.6
2023-09-11,24.7
2023-09-12,14.4
2023-09-13,29.2
2023-09-14,33.9
2023-09-15,16.3
2023-09-16,7.8
2023-09-17,19.9
2023-09-18,20.3
2023-09-19,15.5
2023-09-20,12.3
2023-09-21,26.8
2023-09-22,23.9
2023-09-23,18.6
2023-09-24,18.9
2023-09-25,19.8
2023-09-26,28.8
2023-09-27,30.7
2023-09-28,18.0
2023-09-29,30.5
2023-09-30,22.8
2023-10-01,24.2
2023-10-02,12.0
2023-10-03,25.1
2023-10-04,19.8
2023-10-05,10.0
2023-10-06,9.7
2023-10-07,11.3
2023-10-08,8.7
2023-10-09,13.6
2023-10-10,9.5
2023-10-11,12.2
2023-10-12,25.0
2023-10-13,23.9
2023-10-14,21.1
2023-10-15,33.9
2023-10-16,24.9
2023-10-17,10.7
2023-10-18,8.5
2023-10-19,26.7
2023-10-20,33.9
2023-10-21,19.4
2023-10-22,8.2
2023-10-23,27.4
2023-10-24,32.6
2023-10-25,22.7
2023-10-26,9.6
2023-10-27,20.5
2023-10-28,24.7
2023-10-29,17.7
2023-10-30,17.5
2023-10-31,32.1
2023-11-01,8.0
2023-11-02,34.5
2023-11-03,21.4
2023-11-04,8.5
2023-11-05,25.9
2023-11-06,18.7
2023-11-07,23.6
2023-11-08,7.7
2023-11-09,19.8
2023-11-10,25.6
2023-11-11,14.9
2023-11-12,32.8
2023-11-13,28.1
2023-11-14,31.7
2023-11-15,22.9
2023-11-16,26.9
2023-11-17,15.5
2023-11-18,24.7
2023-11-19,28.5
2023-11-20,28.7
2023-11-21,25.3
2023-11-22,7.2
2023-11-23,8.0
2023-11-24,12.6
2023-11-25,15.4
2023-11-26,14.5
2023-11-27,13.7
2023-11-28,28.0
2023-11-29,26.9
2023-11-30,23.7
2023-12-01,25.0
2023-12-02,6.4
2023-12-03,33.9
2023-12-04,9.3
2023-12-05,24.8
2023-12-06,30.0
2023-12-07,30.8
2023-12-08,34.2
2023-12-09,19.4
2023-12-10,17.1
2023-12-11,10.7
2023-12-12,5.7
2023-12-13,32.5
2023-12-14,5.1
2023-12-15,20.1
2023-12-16,20.6
2023-12-17,7.4
2023-12-18,34.8
2023-12-19,18.2
2023-12-20,35.0
2023-12-21,16.3
2023-12-22,27.4
2023-12-23,24.7
2023-12-24,22.8
