date,temperature
2023-06-10,23.9
2023-06-11,8.6
2023-06-12,29.2
2023-06-13,26.9
2023-06-14,28.3
2023-06-15,29.6
2023-06-16,11.1
2023-06-17,7.7
2023-06-18,34.7
2023-06-19,30.3
2023-06-20,34.9
2023-06-21,14.4
2023-06-22,15.3
2023-06-23,34.7
2023-06-24,5.2
2023-06-25,18.9
2023-06-26,19.8
2023-06-27,18.9
2023-06-28,30.8
2023-06-29,8.7
2023-06-30,32.2
2023-07-01,24.2
2023-07-02,29.9
2023-07-03,26.3
2023-07-04,26.6
2023-07-05,34.5
2023-07-06,34.9
2023-07-07,15.4
2023-07-08,27.2
2023-07-09,14.4
2023-07-10,19.2
2023-07-11,22.3
2023-07-12,30.5
2023-07-13,33.4
2023-07-14,9.4
2023-07-15,33.2
2023-07-16,10.9
2023-07-17,24.1
2023-07-18,20.8
2023-07-19,8.4
2023-07-20,11.8
2023-07-21,29.2
2023-07-22,29.4
2023-07-23,19.6
2023-07-24,13.5
2023-07-25,29.7
2023-07-26,6.1
2023-07-27,30.0
2023-07-28,20.9
2023-07-29,27.6
2023-07-30,18.0
2023-07-31,17.5
2023-08-01,14.3
2023-08-02,27.9
2023-08-03,30.9
2023-08-04,27.5
2023-08-05,6.0
2023-08-06,18.3
2023-08-07,25.0
2023-08-08,9.2
2023-08-09,19.1
2023-08-10,12.3
2023-08-11,15.9
2023-08-12,24.6
2023-08-13,32.8
2023-08-14,30.1
2023-08-15,11.9
2023-08-16,33.3
2023-08-17,8.9
2023-08-18,6.6
2023-08-19,7.8
2023-08-20,11.1
2023-08-21,10.0
2023-08-22,21.1
2023-08-23,17.4
2023-08-24,9.8
2023-08-25,7.7
2023-08-26,20.1
2023-08-27,25.7
2023-08-28,33.8
2023-08-29,8.4
2023-08-30,24.4
2023-08-31,25.7
2023-09-01,5.2
2023-09-02,18.5
2023-09-03,25.9
2023-09-04,22.1
2023-09-05,8.6
2023-09-06,15.7
2023-09-07,29.5
2023-09-08,24.7
2023-09-09,13.7
2023-09-10,14.2
2023-09-11,33.9
2023-09-12,10.9
2023-09-13,29.5
2023-09-14,18.2
2023-09-15,23.2
2023-09-16,30.2
2023-09-17,28.1
2023-09-18,18.5
2023-09-19,16.0
2023-09-20,11.3
2023-09-21,13.1
2023-09-22,28.7
2023-09-23,11.9
2023-09-24,9.3
2023-09-25,7.6
2023-09-26,33.4
2023-09-27,33.7
2023-09-28,15.2
2023-09-29,10.1
2023-09-30,27.0
2023-10-01,33.8
2023-10-02,29.1
2023-10-03,8.8
2023-10-04,19.3
2023-10-05,24.2
2023-10-06,28.2
2023-10-07,19.5
2023-10-08,29.1
2023-10-09,19.3
2023-10-10,28.2
2023-10-11,14.3
2023-10-12,25.2
2023-10-13,31.7
2023-10-14,25.5
2023-10-15,22.5
2023-10-16,29.6
2023-10-17,15.1
2023-10-18,21.4
2023-10-19,17.1
2023-10-20,30.5
2023-10-21,23.4
2023-10-22,11.8
2023-10-23,19.0
2023-10-24,9.0
2023-10-25,18.5
2023-10-26,26.2
2023-10-27,29.0
2023-10-28,27.5
2023-10-29,10.1
2023-10-30,5.4
2023-10-31,18.2
2023-11-01,21.8
2023-11-02,28.1
2023-11-03,10.8
2023-11-04,24.1
2023-11-05,20.8
2023-11-06,31.2
2023-11-07,6.8
2023-11-08,32.9
2023-11-09,25.8
2023-11-10,6.4
2023-11-11,22.8
2023-11-12,25.5
2023-11-13,30.6
2023-11-14,32.8
2023-11-15,25.6
2023-11-16,30.4
2023-11-17,18.8
2023-11-18,30.6
2023-11-19,30.4
2023-11-20,23.7
2023-11-21,21.0
2023-11-22,9.6
2023-11-23,22.6
2023-11-24,34.5
2023-11-25,33.1
2023-11-26,5.6
2023-11-27,33.8
2023-11-28,21.3
2023-11-29,11.0
2023-11-30,10.7
2023-12-01,12.7
2023-12-02,21.7
2023-12-03,21.4
2023-12-04,26.9
2023-12-05,11.4
2023-12-06,23.2
2023-12-07,16.5
2023-12-08,25.1
2023-12-09,14.2
2023-12-10,22.3
2023-12-11,21.6
2023-12-12,26.2
2023-12-13,17.3
2023-12-14,25.6
2023-12-15,33.0
2023-12-16,28.5
2023-12-17,25.1
2023-12-18,6.8
2023-12-19,6.2
2023-12-20,7.2
2023-12-21,23.7
2023-12-22,26.6
2023-12-23,5.9
2023-12-24,17.3
2023-12-25,15.8
2023-12-26,18.9
2023-12-27,18.9
2023-12-28,17.0
2023-12-29,23.7
2023-12-30,12.8
2023-12-31,16.7
2024-01-01,12.6
2024-01-02,16.9
2024-01-03,9.2
2024-01-04,24.9
2024-01-05,24.6
2024-01-06,30.4
2024-01-07,6.2
2024-01-08,19.2
2024-01-09,10.6
2024-01-10,21.5
2024-01-11,18.1
2024-01-12,16.6
2024-01-13,29.9
2024-01-14,15.2
2024-01-15,9.5
2024-01-16,7.8
2024-01-17,30.6
2024-01-18,13.1
2024-01-19,24.9
2024-01-20,24.7
2024-01-21,31.3
2024-01-22,5.3
2024-01-23,21.0
2024-01-24,8.4
2024-01-25,17.3
2024-01-26,6.7
2024-01-27,17.8
2024-01-28,16.4
2024-01-29,20.5
2024-01-30,32.1
2024-01-31,21.6
2024-02-01,25.5
2024-02-02,24.4
2024-02-03,30.8
2024-02-04,28.5
2024-02-05,7.0
2024-02-06,12.8
2024-02-07,31.6
2024-02-08,14.7
2024-02-09,14.6
2024-02-10,18.3
2024-02-11,31.4
2024-02-12,34.8
2024-02-13,16.3
2024-02-14,21.6
2024-02-15,14.6
2024-02-16,15.9
2024-02-17,30.9
2024-02-18,21.9
2024-02-19,16.0
2024-02-20,21.7
2024-02-21,32.5
2024-02-22,29.6
2024-02-23,6.9
2024-02-24,31.0
2024-02-25,22.0
2024-02-26,18.8
2024-02-27,10.2
2024-02-28,15.9
2024-02-29,9.7
2024-03-01,33.3
2024-03-02,33.7
2024-03-03,22.8
2024-03-04,25.3
2024-03-05,29.6
2024-03-06,31.6
2024-03-07,28.1
2024-03-08,9.3
2024-03-09,23.8
2024-03-10,19.3
2024-03-11,24.3
2024-03-12,23.7
2024-03-13,18.3
2024-03-14,9.2
2024-03-15,33.8
2024-03-16,22.3
2024-03-17,14.8
2024-03-18,26.2
2024-03-19,30.3
2024-03-20,30.2
2024-03-21,29.1
2024-03-22,23.7
2024-03-23,6.2
2024-03-24,28.6
2024-03-25,30.5
2024-03-26,16.3
2024-03-27,8.3
2024-03-28,31.9
2024-03-29,32.3
2024-03-30,17.9
2024-03-31,8.0
2024-04-01,34.5
2024-04-02,29.6
2024-04-03,12.2
2024-04-04,24.0
2024-04-05,13.5
2024-04-06,31.5
2024-04-07,5.7
2024-04-08,12.4
2024-04-09,28.4
2024-04-10,9.6
2024-04-11,18.1
2024-04-12,18.4
2024-04-13,16.3
2024-04-14,13.3
2024-04-15,6.6
2024-04-16,8.1
2024-04-17,20.5
2024-04-18,15.2
2024-04-19,12.9
2024-04-20,20.4
2024-04-21,15.7
2024-04-22,23.6
2024-04-23,17.8
2024-04-24,33.7
2024-04-25,19.7
2024-04-26,22.5
2024-04-27,8.8
2024-04-28,25.1
2024-04-29,9.5
2024-04-30,10.4
2024-05-01,14.3
2024-05-02,5.4
2024-05-03,8.5
2024-05-04,33.1
2024-05-05,33.6
2024-05-06,21.3
2024-05-07,7.3
2024-05-08,29.0
2024-05-09,31.8
2024-05-10,6.1
2024-05-11,33.9
2024-05-12,30.7
2024-05-13,28.8
2024-05-14,34.0
2024-05-15,22.8
2024-05-16,10.7
2024-05-17,14.0
2024-05-18,21.7
2024-05-19,12.8
2024-05-20,28.8
2024-05-21,8.1
2024-05-22,7.6
2024-05-23,10.0
2024-05-24,26.7
2024-05-25,7.0
2024-05-26,6.7
2024-05-27,9.4
2024-05-28,24.4
2024-05-29,20.1
2024-05-30,15.0
2024-05-31,27.4
2024-06-01,10.3
2024-06-02,12.0
2024-06-03,10.4
2024-06-04,27.6
2024-06-05,12.3
2024-06-06,17.2
2024-06-07,8.1
2024-06-08,8.2
2024-06-09,28.4
2024-06-10,18.3
2024-06-11,25.0
2024-06-12,31.4
2024-06-13,8.4
2024-06-14,5.4
2024-06-15,20.6
2024-06-16,15.0
2024-06-17,15.7
2024-06-18,9.6
2024-06-19,12.4
2024-06-20,9.9
2024-06-21,11.6
2024-06-22,17.2
2024-06-23,8.1
2024-06-24,31.0
2024-06-25,28.6
2024-06-26,15.0
2024-06-27,12.6
2024-06-28,12.3
2024-06-29,32.0
2024-06-30,22.1
2024-07-01,29.1
2024-07-02,9.4
2024-07-03,8.2
2024-07-04,12.2
2024-07-05,33.2
2024-07-06,10.2
2024-07-07,19.1
2024-07-08,29.1
2024-07-09,19.8
2024-07-10,25.9
2024-07-11,26.3
2024-07-12,26.1
2024-07-13,13.8
2024-07-14,30.0
2024-07-15,11.7
2024-07-16,32.4
2024-07-17,6.8
2024-07-18,12.0
2024-07-19,5.5
2024-07-20,10.3
2024-07-21,18.9
2024-07-22,21.5
2024-07-23,21.6
2024-07-24,32.0
2024-07-25,22.8
2024-07-26,18.2
2024-07-27,15.1
2024-07-28,7.9
2024-07-29,6.7
2024-07-30,31.5
2024-07-31,8.1
2024-08-01,5.7
2024-08-02,22.1
2024-08-03,17.7
2024-08-04,30.0
2024-08-05,11.2
2024-08-06,25.3
2024-08-07,19.6
2024-08-08,10.3
2024-08-09,25.5
2024-08-10,14.1
2024-08-11,5.6
2024-08-12,24.0
2024-08-13,26.0
2024-08-14,7.2
2024-08-15,5.0
2024-08-16,21.3
2024-08-17,33.9
2024-08-18,23.2
2024-08-19,26.0
2024-08-20,11.9
2024-08-21,29.6
2024-08-22,32.8
2024-08-23,27.6
2024-08-24,28.4
2024-08-25,32.7
2024-08-26,10.0
2024-08-27,10.4
2024-08-28,10.5
2024-08-29,15.1
2024-08-30,30.0
2024-08-31,25.4
2024-09-01,13.7
2024-09-02,27.4
2024-09-03,10.1
2024-09-04,32.2
2024-09-05,24.7
2024-09-06,16.2
2024-09-07,19.5
2024-09-08,13.9
2024-09-09,7.7
2024-09-10,20.0
2024-09-11,33.1
