date,temperature
2023-06-10,7.2
2023-06-11,10.7
2023-06-12,-6.7
2023-06-13,29.5
2023-06-14,21.4
2023-06-15,23.8
2023-06-16,0.2
2023-06-17,-4.8
2023-06-18,0.2
2023-06-19,27.5
2023-06-20,9.4
2023-06-21,8.5
2023-06-22,-3.1
2023-06-23,1.1
2023-06-24,19.5
2023-06-25,-2.3
2023-06-26,2.3
2023-06-27,12.1
2023-06-28,18.3
2023-06-29,12.4
2023-06-30,4.2
2023-07-01,1.2
2023-07-02,24.8
2023-07-03,2.3
2023-07-04,-8.8
2023-07-05,1.0
2023-07-06,-6.6
2023-07-07,22.6
2023-07-08,27.9
2023-07-09,-6.3
2023-07-10,21.2
2023-07-11,25.8
2023-07-12,17.3
2023-07-13,23.7
2023-07-14,12.6
2023-07-15,22.4
2023-07-16,21.6
2023-07-17,29.9
2023-07-18,26.8
2023-07-19,9.3
2023-07-20,2.2
2023-07-21,2.9
2023-07-22,2.6
2023-07-23,4.8
2023-07-24,15.1
2023-07-25,12.9
2023-07-26,6.1
2023-07-27,17.3
2023-07-28,18.4
2023-07-29,2.3
2023-07-30,10.1
2023-07-31,15.5
2023-08-01,11.1
2023-08-02,20.0
2023-08-03,-7.7
2023-08-04,17.5
2023-08-05,20.0
2023-08-06,-1.8
2023-08-07,12.4
2023-08-08,29.3
2023-08-09,1.3
2023-08-10,25.4
2023-08-11,4.9
2023-08-12,3.4
2023-08-13,10.6
2023-08-14,27.6
2023-08-15,0.9
2023-08-16,16.8
2023-08-17,29.7
2023-08-18,27.4
2023-08-19,0.7
2023-08-20,9.2
2023-08-21,-8.9
2023-08-22,-6.8
2023-08-23,27.7
2023-08-24,-7.5
2023-08-25,17.0
2023-08-26,-7.4
2023-08-27,18.5
2023-08-28,0.1
2023-08-29,6.2
2023-08-30,12.3
2023-08-31,21.9
2023-09-01,-5.2
2023-09-02,0.3
2023-09-03,10.7
2023-09-04,-4.2
2023-09-05,21.2
2023-09-06,26.0
2023-09-07,9.4
2023-09-08,6.7
2023-09-09,18.9
2023-09-10,26.5
2023-09-11,14.3
2023-09-12,-1.6
2023-09-13,-1.6
2023-09-14,6.0
2023-09-15,2.7
2023-09-16,-1.0
2023-09-17,11.5
2023-09-18,17.2
2023-09-19,26.2
2023-09-20,21.1
2023-09-21,24.5
2023-09-22,11.3
2023-09-23,-5.9
2023-09-24,9.1
2023-09-25,3.6
2023-09-26,-6.3
2023-09-27,29.7
2023-09-28,29.8
2023-09-29,-8.1
2023-09-30,-7.1
2023-10-01,0.7
2023-10-02,28.3
2023-10-03,18.4
2023-10-04,-9.0
2023-10-05,8.7
2023-10-06,5.4
2023-10-07,-1.4
2023-10-08,-0.7
2023-10-09,0.9
2023-10-10,11.8
2023-10-11,14.3
