date,temperature
2023-06-10,17.1
2023-06-11,13.0
2023-06-12,15.1
2023-06-13,36.9
2023-06-14,14.7
2023-06-15,34.1
2023-06-16,28.1
2023-06-17,16.2
2023-06-18,18.5
2023-06-19,26.0
2023-06-20,18.3
2023-06-21,27.2
2023-06-22,28.7
2023-06-23,33.7
2023-06-24,25.5
2023-06-25,29.7
2023-06-26,23.4
2023-06-27,31.6
2023-06-28,37.0
2023-06-29,37.8
2023-06-30,29.9
2023-07-01,12.5
2023-07-02,23.6
2023-07-03,10.6
2023-07-04,10.3
2023-07-05,16.7
2023-07-06,37.1
2023-07-07,35.2
2023-07-08,32.7
2023-07-09,13.0
2023-07-10,15.1
2023-07-11,38.3
2023-07-12,13.3
2023-07-13,35.6
2023-07-14,32.4
2023-07-15,39.3
2023-07-16,21.0
2023-07-17,26.9
2023-07-18,33.3
2023-07-19,35.9
2023-07-20,31.5
2023-07-21,36.5
2023-07-22,21.0
2023-07-23,15.0
2023-07-24,33.0
2023-07-25,13.1
2023-07-26,35.2
2023-07-27,21.7
2023-07-28,22.8
2023-07-29,39.1
2023-07-30,21.2
2023-07-31,39.2
2023-08-01,15.4
2023-08-02,25.5
2023-08-03,19.2
2023-08-04,31.8
2023-08-05,17.6
2023-08-06,32.9
2023-08-07,36.9
2023-08-08,15.6
2023-08-09,15.6
2023-08-10,25.6
2023-08-11,29.5
2023-08-12,15.1
2023-08-13,20.0
2023-08-14,30.6
2023-08-15,39.8
2023-08-16,17.2
2023-08-17,12.4
2023-08-18,15.8
2023-08-19,10.3
2023-08-20,29.1
2023-08-21,19.1
2023-08-22,19.8
2023-08-23,28.9
2023-08-24,23.2
2023-08-25,31.6
2023-08-26,28.8
2023-08-27,19.9
2023-08-28,27.9
2023-08-29,39.2
2023-08-30,23.5
2023-08-31,14.2
2023-09-01,35.7
2023-09-02,37.1
2023-09-03,33.2
2023-09-04,31.1
2023-09-05,14.4
2023-09-06,31.8
2023-09-07,30.4
2023-09-08,23.7
2023-09-09,19.4
2023-09-10,12.9
2023-09-11,22.3
2023-09-12,35.2
2023-09-13,39.4
2023-09-14,16.4
2023-09-15,32.6
2023-09-16,36.8
2023-09-17,33.3
2023-09-18,32.2
2023-09-19,30.0
2023-09-20,14.4
2023-09-21,13.4
2023-09-22,30.4
2023-09-23,20.4
2023-09-24,24.1
2023-09-25,26.8
2023-09-26,24.2
2023-09-27,13.3
2023-09-28,27.6
2023-09-29,10.3
2023-09-30,17.7
2023-10-01,23.9
2023-10-02,38.6
2023-10-03,30.9
2023-10-04,19.9
2023-10-05,26.3
2023-10-06,18.4
2023-10-07,23.9
2023-10-08,11.7
2023-10-09,29.4
2023-10-10,19.8
2023-10-11,26.3
2023-10-12,11.7
2023-10-13,27.1
2023-10-14,16.8
