date,temperature
2023-06-10,26.0
2023-06-11,-2.3
2023-06-12,29.7
2023-06-13,7.4
2023-06-14,25.8
2023-06-15,10.9
2023-06-16,14.3
2023-06-17,8.4
2023-06-18,26.3
2023-06-19,2.2
2023-06-20,8.1
2023-06-21,0.4
2023-06-22,12.7
2023-06-23,17.1
2023-06-24,28.5
2023-06-25,14.1
2023-06-26,18.3
2023-06-27,5.6
2023-06-28,25.3
2023-06-29,28.3
2023-06-30,25.2
2023-07-01,-3.1
2023-07-02,10.6
2023-07-03,10.5
2023-07-04,11.9
2023-07-05,-3.6
2023-07-06,1.4
2023-07-07,17.9
2023-07-08,10.2
2023-07-09,28.3
2023-07-10,7.5
2023-07-11,23.2
2023-07-12,19.2
2023-07-13,7.7
2023-07-14,7.2
2023-07-15,24.5
2023-07-16,20.6
2023-07-17,3.2
2023-07-18,20.8
2023-07-19,2.1
2023-07-20,-4.9
2023-07-21,-1.7
2023-07-22,5.3
2023-07-23,17.1
2023-07-24,24.5
2023-07-25,0.3
2023-07-26,7.2
2023-07-27,28.5
2023-07-28,13.0
2023-07-29,16.7
2023-07-30,17.1
2023-07-31,26.4
2023-08-01,4.7
2023-08-02,20.0
2023-08-03,12.7
2023-08-04,-1.5
2023-08-05,20.2
2023-08-06,18.4
2023-08-07,-3.5
2023-08-08,8.5
2023-08-09,4.4
2023-08-10,-2.7
2023-08-11,-0.6
2023-08-12,25.4
2023-08-13,10.9
2023-08-14,15.2
2023-08-15,21.7
2023-08-16,8.1
2023-08-17,7.4
2023-08-18,8.4
2023-08-19,27.1
2023-08-20,8.3
2023-08-21,26.0
2023-08-22,15.4
2023-08-23,25.4
2023-08-24,16.8
2023-08-25,27.7
2023-08-26,28.0
2023-08-27,26.6
2023-08-28,3.8
2023-08-29,19.4
2023-08-30,26.6
2023-08-31,19.1
2023-09-01,27.7
2023-09-02,7.8
2023-09-03,29.4
2023-09-04,29.9
2023-09-05,11.7
2023-09-06,-1.1
2023-09-07,15.2
2023-09-08,-0.7
2023-09-09,8.1
2023-09-10,11.0
2023-09-11,20.5
2023-09-12,14.5
2023-09-13,29.2
2023-09-14,28.0
2023-09-15,-1.7
2023-09-16,0.3
2023-09-17,27.2
2023-09-18,13.0
2023-09-19,-0.4
2023-09-20,0.7
2023-09-21,-1.7
2023-09-22,0.8
2023-09-23,11.0
2023-09-24,8.2
2023-09-25,23.0
2023-09-26,3.0
2023-09-27,4.4
2023-09-28,17.6
2023-09-29,7.4
2023-09-30,-1.4
2023-10-01,23.6
2023-10-02,8.2
2023-10-03,26.9
2023-10-04,0.6
2023-10-05,-4.3
2023-10-06,21.1
2023-10-07,-0.5
2023-10-08,25.9
2023-10-09,1.4
2023-10-10,18.5
2023-10-11,2.5
2023-10-12,3.1
2023-10-13,20.8
2023-10-14,23.4
2023-10-15,20.3
2023-10-16,29.0
2023-10-17,2.6
2023-10-18,15.5
2023-10-19,28.7
2023-10-20,7.7
2023-10-21,11.6
2023-10-22,21.1
2023-10-23,21.1
2023-10-24,10.3
2023-10-25,26.3
2023-10-26,-1.7
2023-10-27,19.2
2023-10-28,2.5
2023-10-29,20.3
2023-10-30,20.3
2023-10-31,0.6
2023-11-01,28.8
2023-11-02,22.9
2023-11-03,8.7
2023-11-04,14.1
2023-11-05,0.9
2023-11-06,24.8
2023-11-07,20.5
2023-11-08,26.2
2023-11-09,-0.3
2023-11-10,16.2
2023-11-11,0.4
2023-11-12,15.9
2023-11-13,-1.2
2023-11-14,-1.7
2023-11-15,5.2
2023-11-16,17.7
2023-11-17,8.8
2023-11-18,24.8
2023-11-19,4.1
2023-11-20,27.0
2023-11-21,28.1
2023-11-22,-4.0
2023-11-23,17.2
2023-11-24,20.0
2023-11-25,18.3
2023-11-26,-3.7
2023-11-27,29.2
2023-11-28,27.6
2023-11-29,5.6
2023-11-30,-3.4
2023-12-01,20.4
2023-12-02,10.5
2023-12-03,16.1
2023-12-04,29.9
2023-12-05,-0.7
2023-12-06,-1.1
2023-12-07,3.6
2023-12-08,25.0
2023-12-09,22.0
2023-12-10,10.4
2023-12-11,2.9
2023-12-12,11.8
2023-12-13,25.3
2023-12-14,26.5
2023-12-15,5.1
2023-12-16,8.6
2023-12-17,3.3
2023-12-18,2.0
2023-12-19,8.1
2023-12-20,-4.1
2023-12-21,8.1
2023-12-22,8.3
2023-12-23,18.1
2023-12-24,6.9
2023-12-25,2.1
2023-12-26,9.4
2023-12-27,6.0
2023-12-28,15.2
2023-12-29,0.7
2023-12-30,16.3
2023-12-31,15.0
2024-01-01,-1.3
2024-01-02,24.8
2024-01-03,8.1
2024-01-04,22.2
2024-01-05,7.5
2024-01-06,14.2
2024-01-07,11.6
2024-01-08,20.3
2024-01-09,16.5
2024-01-10,29.7
2024-01-11,14.5
2024-01-12,9.6
2024-01-13,22.8
2024-01-14,23.7
2024-01-15,23.6
2024-01-16,2.3
2024-01-17,3.9
2024-01-18,14.0
2024-01-19,10.3
2024-01-20,-3.6
2024-01-21,25.9
2024-01-22,22.0
2024-01-23,10.8
2024-01-24,7.5
2024-01-25,28.0
2024-01-26,4.6
2024-01-27,-3.2
2024-01-28,10.9
2024-01-29,21.1
2024-01-30,17.9
2024-01-31,3.5
2024-02-01,-1.1
2024-02-02,7.8
2024-02-03,23.5
2024-02-04,22.9
2024-02-05,10.8
2024-02-06,8.8
2024-02-07,3.3
2024-02-08,11.7
2024-02-09,-2.2
2024-02-10,18.0
2024-02-11,-0.5
2024-02-12,-4.4
2024-02-13,19.9
2024-02-14,24.1
2024-02-15,19.4
2024-02-16,8.6
2024-02-17,18.8
2024-02-18,15.4
2024-02-19,19.8
2024-02-20,6.0
2024-02-21,18.2
2024-02-22,8.5
2024-02-23,-3.2
2024-02-24,17.6
2024-02-25,-3.1
2024-02-26,21.3
2024-02-27,4.0
2024-02-28,27.8
2024-02-29,7.1
2024-03-01,14.9
2024-03-02,2.8
2024-03-03,16.5
2024-03-04,8.8
2024-03-05,26.2
2024-03-06,7.8
2024-03-07,-1.6
2024-03-08,18.2
2024-03-09,-2.1
2024-03-10,-2.8
2024-03-11,29.5
2024-03-12,18.2
2024-03-13,18.5
2024-03-14,8.2
2024-03-15,5.9
2024-03-16,5.5
2024-03-17,27.1
2024-03-18,16.5
2024-03-19,24.1
2024-03-20,0.2
2024-03-21,23.5
2024-03-22,12.0
2024-03-23,22.9
2024-03-24,23.8
2024-03-25,7.9
2024-03-26,14.0
2024-03-27,25.8
2024-03-28,2.1
2024-03-29,15.8
2024-03-30,27.0
2024-03-31,11.2
2024-04-01,8.5
2024-04-02,11.7
2024-04-03,22.8
2024-04-04,4.5
2024-04-05,22.1
2024-04-06,22.5
2024-04-07,5.0
2024-04-08,-0.6
2024-04-09,2.4
2024-04-10,5.3
2024-04-11,11.7
2024-04-12,-3.3
2024-04-13,12.7
2024-04-14,24.6
2024-04-15,12.9
2024-04-16,-0.4
2024-04-17,25.1
2024-04-18,-2.0
2024-04-19,11.0
2024-04-20,13.8
2024-04-21,18.9
2024-04-22,10.7
2024-04-23,0.2
2024-04-24,7.4
2024-04-25,2.1
2024-04-26,27.8
2024-04-27,10.0
2024-04-28,12.2
2024-04-29,15.6
2024-04-30,19.1
2024-05-01,10.1
2024-05-02,1.5
2024-05-03,6.5
2024-05-04,-1.1
2024-05-05,6.6
2024-05-06,29.1
2024-05-07,-1.8
2024-05-08,-3.3
2024-05-09,6.8
2024-05-10,1.4
2024-05-11,5.2
2024-05-12,7.8
2024-05-13,11.9
2024-05-14,11.8
2024-05-15,1.3
2024-05-16,14.3
2024-05-17,0.1
2024-05-18,27.5
2024-05-19,11.9
2024-05-20,24.1
2024-05-21,22.8
2024-05-22,22.1
2024-05-23,8.3
2024-05-24,22.8
2024-05-25,2.3
