date,temperature
2023-06-10,24.0
2023-06-11,24.4
2023-06-12,25.5
2023-06-13,28.0
2023-06-14,12.8
2023-06-15,10.2
2023-06-16,24.7
2023-06-17,22.5
2023-06-18,22.8
2023-06-19,10.4
2023-06-20,21.3
2023-06-21,28.7
2023-06-22,19.3
2023-06-23,28.8
2023-06-24,11.6
2023-06-25,11.7
2023-06-26,20.8
2023-06-27,23.4
2023-06-28,13.5
2023-06-29,15.4
2023-06-30,15.6
2023-07-01,17.8
2023-07-02,21.2
2023-07-03,25.8
2023-07-04,12.2
2023-07-05,27.0
2023-07-06,11.7
2023-07-07,18.9
2023-07-08,18.7
2023-07-09,18.9
2023-07-10,24.1
2023-07-11,22.0
2023-07-12,26.3
2023-07-13,17.2
2023-07-14,23.0
2023-07-15,18.7
2023-07-16,28.4
2023-07-17,22.7
2023-07-18,13.6
2023-07-19,28.5
2023-07-20,25.2
2023-07-21,11.9
2023-07-22,15.2
2023-07-23,12.1
2023-07-24,10.2
2023-07-25,25.2
2023-07-26,28.5
2023-07-27,23.5
2023-07-28,26.9
2023-07-29,20.0
2023-07-30,10.5
2023-07-31,11.4
2023-08-01,10.4
2023-08-02,19.5
2023-08-03,20.8
2023-08-04,13.1
2023-08-05,20.4
2023-08-06,29.3
2023-08-07,25.2
2023-08-08,16.9
2023-08-09,16.4
2023-08-10,12.3
2023-08-11,14.9
2023-08-12,25.8
2023-08-13,12.0
2023-08-14,29.4
2023-08-15,11.6
2023-08-16,24.3
2023-08-17,17.4
2023-08-18,20.8
2023-08-19,28.1
2023-08-20,26.3
2023-08-21,14.8
2023-08-22,15.8
2023-08-23,16.8
2023-08-24,10.8
2023-08-25,11.3
2023-08-26,28.1
2023-08-27,17.5
2023-08-28,20.4
2023-08-29,19.9
2023-08-30,21.0
2023-08-31,27.0
2023-09-01,26.9
2023-09-02,24.4
2023-09-03,17.2
2023-09-04,18.9
2023-09-05,17.2
2023-09-06,28.2
2023-09-07,28.8
2023-09-08,11.7
2023-09-09,13.5
2023-09-10,23.8
2023-09-11,17.1
2023-09-12,25.0
2023-09-13,29.3
2023-09-14,22.5
2023-09-15,10.9
2023-09-16,11.5
2023-09-17,14.2
2023-09-18,16.8
2023-09-19,29.4
2023-09-20,28.9
2023-09-21,23.4
2023-09-22,21.7
2023-09-23,13.4
2023-09-24,29.0
2023-09-25,26.0
2023-09-26,16.4
2023-09-27,27.4
2023-09-28,19.3
2023-09-29,11.6
2023-09-30,19.7
2023-10-01,30.0
2023-10-02,11.0
2023-10-03,27.0
2023-10-04,10.5
2023-10-05,28.0
2023-10-06,14.4
2023-10-07,17.4
2023-10-08,24.9
2023-10-09,29.0
2023-10-10,22.8
2023-10-11,16.2
2023-10-12,13.1
2023-10-13,11.4
2023-10-14,12.8
2023-10-15,29.8
2023-10-16,21.3
2023-10-17,10.2
2023-10-18,23.3
2023-10-19,26.4
2023-10-20,10.7
2023-10-21,18.3
2023-10-22,24.1
2023-10-23,14.4
2023-10-24,27.9
2023-10-25,26.6
2023-10-26,22.0
2023-10-27,10.5
2023-10-28,28.4
2023-10-29,15.8
2023-10-30,25.8
2023-10-31,18.7
2023-11-01,17.1
2023-11-02,16.2
2023-11-03,18.7
2023-11-04,18.3
2023-11-05,24.5
2023-11-06,13.4
2023-11-07,21.0
2023-11-08,23.3
2023-11-09,25.2
2023-11-10,26.9
2023-11-11,28.5
2023-11-12,13.5
2023-11-13,21.1
2023-11-14,28.4
2023-11-15,29.1
2023-11-16,12.1
2023-11-17,14.1
2023-11-18,10.5
2023-11-19,21.7
2023-11-20,12.4
2023-11-21,18.3
2023-11-22,13.0
2023-11-23,10.6
2023-11-24,23.9
2023-11-25,20.5
2023-11-26,24.6
2023-11-27,16.2
2023-11-28,29.1
2023-11-29,12.3
2023-11-30,17.9
2023-12-01,22.6
2023-12-02,21.5
2023-12-03,28.2
2023-12-04,30.0
2023-12-05,12.4
2023-12-06,22.3
2023-12-07,19.5
2023-12-08,21.3
2023-12-09,19.4
2023-12-10,23.2
2023-12-11,19.1
2023-12-12,14.8
2023-12-13,23.8
2023-12-14,17.4
2023-12-15,28.4
2023-12-16,14.7
2023-12-17,15.2
2023-12-18,12.5
2023-12-19,23.7
2023-12-20,19.4
2023-12-21,24.0
2023-12-22,25.3
2023-12-23,16.2
2023-12-24,14.3
2023-12-25,24.7
2023-12-26,25.7
2023-12-27,13.5
2023-12-28,24.4
2023-12-29,11.7
2023-12-30,27.9
2023-12-31,24.8
2024-01-01,21.3
2024-01-02,25.7
2024-01-03,20.0
2024-01-04,21.9
2024-01-05,25.6
2024-01-06,27.8
2024-01-07,19.6
2024-01-08,22.3
2024-01-09,14.3
2024-01-10,19.5
2024-01-11,12.1
2024-01-12,13.0
2024-01-13,29.7
2024-01-14,26.8
2024-01-15,24.0
2024-01-16,21.9
2024-01-17,23.9
2024-01-18,21.2
2024-01-19,12.8
2024-01-20,28.9
2024-01-21,11.6
2024-01-22,20.2
2024-01-23,24.1
2024-01-24,19.1
2024-01-25,19.4
2024-01-26,17.4
2024-01-27,20.8
2024-01-28,12.7
2024-01-29,24.9
2024-01-30,16.9
2024-01-31,27.9
2024-02-01,26.4
2024-02-02,21.4
2024-02-03,19.7
2024-02-04,10.4
2024-02-05,12.8
2024-02-06,24.3
2024-02-07,21.0
2024-02-08,13.0
2024-02-09,22.1
2024-02-10,10.5
2024-02-11,16.8
2024-02-12,10.8
2024-02-13,12.8
2024-02-14,20.9
2024-02-15,12.0
2024-02-16,20.2
2024-02-17,23.8
2024-02-18,28.7
2024-02-19,12.0
2024-02-20,19.9
2024-02-21,27.2
2024-02-22,14.3
2024-02-23,28.6
2024-02-24,19.0
2024-02-25,19.3
2024-02-26,20.0
2024-02-27,23.9
2024-02-28,17.4
2024-02-29,28.6
2024-03-01,21.5
2024-03-02,18.9
2024-03-03,27.5
2024-03-04,16.9
2024-03-05,19.1
2024-03-06,11.4
2024-03-07,15.5
2024-03-08,19.3
2024-03-09,23.4
2024-03-10,12.0
2024-03-11,26.7
2024-03-12,13.9
2024-03-13,11.8
