date,temperature
2023-06-10,25.9
2023-06-11,15.8
2023-06-12,29.5
2023-06-13,5.2
2023-06-14,33.5
2023-06-15,30.3
2023-06-16,7.1
2023-06-17,10.1
2023-06-18,17.1
2023-06-19,21.5
2023-06-20,12.3
2023-06-21,6.6
2023-06-22,33.9
2023-06-23,17.5
2023-06-24,14.8
2023-06-25,25.3
2023-06-26,21.2
2023-06-27,21.0
2023-06-28,11.4
2023-06-29,10.9
2023-06-30,9.4
2023-07-01,31.2
2023-07-02,14.1
2023-07-03,31.3
2023-07-04,9.4
2023-07-05,28.4
2023-07-06,34.0
2023-07-07,20.4
2023-07-08,19.3
2023-07-09,15.0
2023-07-10,29.3
2023-07-11,8.8
2023-07-12,28.6
2023-07-13,22.8
2023-07-14,14.2
2023-07-15,32.6
2023-07-16,15.4
2023-07-17,28.5
2023-07-18,26.9
2023-07-19,26.6
2023-07-20,21.0
2023-07-21,16.8
2023-07-22,27.0
2023-07-23,22.5
2023-07-24,6.0
2023-07-25,16.5
2023-07-26,9.2
2023-07-27,6.3
2023-07-28,23.0
2023-07-29,6.6
2023-07-30,27.2
2023-07-31,16.0
2023-08-01,18.7
2023-08-02,15.2
2023-08-03,30.3
2023-08-04,20.8
2023-08-05,15.2
2023-08-06,17.1
2023-08-07,6.9
2023-08-08,31.1
2023-08-09,25.6
2023-08-10,20.0
2023-08-11,31.5
2023-08-12,9.5
2023-08-13,31.7
2023-08-14,12.9
2023-08-15,29.7
2023-08-16,22.0
2023-08-17,14.1
2023-08-18,7.6
2023-08-19,34.3
2023-08-20,5.8
2023-08-21,10.0
2023-08-22,28.0
2023-08-23,6.0
2023-08-24,33.6
2023-08-25,26.8
2023-08-26,8.8
2023-08-27,19.1
2023-08-28,15.1
2023-08-29,29.6
2023-08-30,32.5
2023-08-31,30.8
2023-09-01,5.6
2023-09-02,29.7
2023-09-03,13.6
2023-09-04,27.6
2023-09-05,8.0
2023-09-06,5.8
2023-09-07,33.1
2023-09-08,17.0
2023-09-09,11.6
2023-09-10,5.7
2023-09-11,13.8
2023-09-12,32.9
2023-09-13,34.6
2023-09-14,30.6
2023-09-15,25.5
2023-09-16,10.6
2023-09-17,19.0
2023-09-18,20.4
2023-09-19,9.7
2023-09-20,18.4
2023-09-21,29.7
2023-09-22,33.9
2023-09-23,31.7
2023-09-24,17.3
2023-09-25,24.0
2023-09-26,5.7
2023-09-27,18.6
2023-09-28,7.5
2023-09-29,22.6
2023-09-30,14.1
2023-10-01,14.2
2023-10-02,25.2
2023-10-03,14.5
2023-10-04,32.1
2023-10-05,9.3
2023-10-06,34.3
2023-10-07,16.1
2023-10-08,22.3
2023-10-09,9.1
2023-10-10,23.6
2023-10-11,12.9
2023-10-12,13.2
2023-10-13,22.9
2023-10-14,11.9
2023-10-15,27.9
2023-10-16,22.2
2023-10-17,25.6
2023-10-18,27.3
2023-10-19,11.1
2023-10-20,5.0
2023-10-21,9.1
2023-10-22,5.9
2023-10-23,22.6
2023-10-24,18.6
2023-10-25,34.1
2023-10-26,12.7
2023-10-27,33.0
2023-10-28,22.6
2023-10-29,19.6
2023-10-30,20.3
2023-10-31,8.6
2023-11-01,12.9
2023-11-02,20.4
2023-11-03,15.3
2023-11-04,33.0
2023-11-05,5.3
2023-11-06,16.0
2023-11-07,16.7
2023-11-08,12.0
2023-11-09,17.9
2023-11-10,13.6
2023-11-11,8.6
2023-11-12,20.6
2023-11-13,17.5
2023-11-14,13.2
2023-11-15,8.5
2023-11-16,26.0
2023-11-17,11.3
2023-11-18,24.2
2023-11-19,21.7
2023-11-20,23.8
2023-11-21,22.6
2023-11-22,33.0
2023-11-23,20.4
2023-11-24,12.3
2023-11-25,21.0
2023-11-26,22.9
2023-11-27,27.6
2023-11-28,13.8
2023-11-29,21.5
2023-11-30,26.1
2023-12-01,30.1
2023-12-02,16.5
2023-12-03,29.8
2023-12-04,13.8
2023-12-05,28.0
2023-12-06,30.7
2023-12-07,33.8
2023-12-08,20.9
2023-12-09,21.1
2023-12-10,27.0
2023-12-11,27.7
2023-12-12,28.1
2023-12-13,16.5
2023-12-14,31.2
2023-12-15,31.2
2023-12-16,29.2
2023-12-17,28.1
2023-12-18,28.9
2023-12-19,24.7
2023-12-20,33.3
2023-12-21,11.5
2023-12-22,7.8
2023-12-23,29.8
2023-12-24,29.7
2023-12-25,18.5
2023-12-26,34.8
2023-12-27,20.6
2023-12-28,15.7
2023-12-29,10.2
2023-12-30,23.0
2023-12-31,11.8
2024-01-01,33.0
2024-01-02,31.3
2024-01-03,23.4
2024-01-04,27.5
2024-01-05,25.3
2024-01-06,18.8
2024-01-07,18.3
2024-01-08,9.7
2024-01-09,26.2
2024-01-10,17.7
2024-01-11,24.2
2024-01-12,31.9
2024-01-13,8.9
2024-01-14,7.5
2024-01-15,27.6
2024-01-16,6.2
2024-01-17,32.4
2024-01-18,34.7
2024-01-19,18.4
2024-01-20,19.4
2024-01-21,7.1
2024-01-22,32.4
2024-01-23,18.4
2024-01-24,13.6
2024-01-25,13.3
2024-01-26,31.1
2024-01-27,26.0
2024-01-28,22.0
2024-01-29,26.4
2024-01-30,28.2
2024-01-31,11.9
2024-02-01,33.7
2024-02-02,22.9
2024-02-03,27.0
2024-02-04,8.2
2024-02-05,20.6
2024-02-06,20.6
2024-02-07,34.3
2024-02-08,30.2
2024-02-09,7.0
2024-02-10,32.4
2024-02-11,23.6
2024-02-12,26.3
2024-02-13,16.4
2024-02-14,14.5
2024-02-15,12.7
2024-02-16,5.5
2024-02-17,23.1
2024-02-18,29.1
2024-02-19,6.9
2024-02-20,12.1
2024-02-21,13.7
2024-02-22,5.9
2024-02-23,9.3
2024-02-24,13.8
2024-02-25,32.1
2024-02-26,32.8
2024-02-27,22.4
2024-02-28,30.0
2024-02-29,15.7
2024-03-01,19.9
2024-03-02,19.2
2024-03-03,21.6
2024-03-04,19.1
2024-03-05,16.7
2024-03-06,8.0
2024-03-07,22.1
2024-03-08,22.5
2024-03-09,27.7
2024-03-10,7.2
2024-03-11,27.4
2024-03-12,32.2
2024-03-13,13.3
2024-03-14,33.8
2024-03-15,32.5
2024-03-16,8.2
