date,temperature
2023-06-10,8.8
2023-06-11,7.6
2023-06-12,1.3
2023-06-13,0.2
2023-06-14,21.1
2023-06-15,5.3
2023-06-16,12.7
2023-06-17,10.6
2023-06-18,1.5
2023-06-19,7.4
2023-06-20,13.9
2023-06-21,13.2
2023-06-22,15.7
2023-06-23,22.1
2023-06-24,22.3
2023-06-25,6.3
2023-06-26,20.6
2023-06-27,13.0
2023-06-28,6.0
2023-06-29,13.8
2023-06-30,3.7
2023-07-01,2.2
2023-07-02,5.6
2023-07-03,22.4
2023-07-04,23.7
2023-07-05,19.5
2023-07-06,14.6
2023-07-07,19.7
2023-07-08,14.3
2023-07-09,5.7
2023-07-10,7.0
2023-07-11,13.2
2023-07-12,23.5
2023-07-13,23.8
2023-07-14,16.2
2023-07-15,7.8
2023-07-16,4.1
2023-07-17,3.0
2023-07-18,1.5
2023-07-19,20.6
2023-07-20,10.7
2023-07-21,16.5
2023-07-22,13.8
2023-07-23,1.5
2023-07-24,17.0
2023-07-25,6.2
2023-07-26,17.4
2023-07-27,10.8
2023-07-28,12.6
2023-07-29,8.5
2023-07-30,23.6
2023-07-31,12.1
2023-08-01,0.4
2023-08-02,2.9
2023-08-03,23.4
2023-08-04,14.1
2023-08-05,8.7
2023-08-06,1.4
2023-08-07,5.1
2023-08-08,20.1
2023-08-09,1.2
2023-08-10,23.5
2023-08-11,9.9
2023-08-12,3.7
2023-08-13,17.4
2023-08-14,14.7
2023-08-15,20.6
2023-08-16,24.7
2023-08-17,18.4
2023-08-18,19.9
2023-08-19,4.3
2023-08-20,19.3
2023-08-21,12.0
2023-08-22,5.9
2023-08-23,5.2
2023-08-24,5.9
2023-08-25,13.7
2023-08-26,12.7
2023-08-27,16.2
2023-08-28,19.7
2023-08-29,24.8
2023-08-30,19.0
2023-08-31,24.9
2023-09-01,24.1
2023-09-02,20.1
2023-09-03,16.1
2023-09-04,10.1
2023-09-05,20.0
2023-09-06,10.2
2023-09-07,14.8
2023-09-08,20.9
2023-09-09,17.3
2023-09-10,17.7
2023-09-11,6.0
2023-09-12,16.0
2023-09-13,3.5
2023-09-14,7.0
2023-09-15,5.7
2023-09-16,17.4
2023-09-17,7.6
2023-09-18,6.7
2023-09-19,5.9
2023-09-20,13.8
2023-09-21,20.4
2023-09-22,2.1
2023-09-23,17.6
2023-09-24,17.7
2023-09-25,10.6
2023-09-26,22.8
2023-09-27,0.6
2023-09-28,1.5
2023-09-29,11.4
2023-09-30,13.4
2023-10-01,18.0
2023-10-02,2.0
2023-10-03,23.9
2023-10-04,9.1
2023-10-05,3.3
2023-10-06,8.4
2023-10-07,11.2
2023-10-08,7.1
2023-10-09,12.2
2023-10-10,23.1
2023-10-11,13.0
2023-10-12,15.4
2023-10-13,2.3
2023-10-14,16.5
2023-10-15,3.6
2023-10-16,6.6
2023-10-17,18.0
2023-10-18,21.1
2023-10-19,17.3
2023-10-20,5.1
2023-10-21,1.2
2023-10-22,2.7
2023-10-23,9.7
2023-10-24,21.2
2023-10-25,24.5
2023-10-26,19.9
2023-10-27,4.6
2023-10-28,10.3
2023-10-29,0.5
2023-10-30,13.7
2023-10-31,5.1
2023-11-01,17.7
2023-11-02,21.6
2023-11-03,3.3
2023-11-04,18.0
2023-11-05,12.5
2023-11-06,21.8
2023-11-07,16.3
2023-11-08,6.1
2023-11-09,12.2
2023-11-10,13.3
2023-11-11,4.5
2023-11-12,11.8
2023-11-13,3.7
2023-11-14,16.9
2023-11-15,12.8
2023-11-16,11.2
2023-11-17,12.9
2023-11-18,7.6
2023-11-19,4.0
2023-11-20,21.0
2023-11-21,14.5
2023-11-22,8.9
2023-11-23,16.6
2023-11-24,22.6
2023-11-25,11.5
2023-11-26,16.4
2023-11-27,15.4
2023-11-28,18.3
2023-11-29,1.7
2023-11-30,0.4
2023-12-01,5.5
2023-12-02,13.3
2023-12-03,13.3
2023-12-04,20.0
2023-12-05,24.8
2023-12-06,8.4
2023-12-07,1.0
2023-12-08,15.0
2023-12-09,6.4
