date,temperature
2023-06-10,25.3
2023-06-11,28.9
2023-06-12,15.7
2023-06-13,32.7
2023-06-14,12.9
2023-06-15,5.8
2023-06-16,24.0
2023-06-17,6.2
2023-06-18,9.9
2023-06-19,16.8
2023-06-20,32.7
2023-06-21,9.1
2023-06-22,12.4
2023-06-23,30.2
2023-06-24,31.5
2023-06-25,32.1
2023-06-26,31.4
2023-06-27,28.0
2023-06-28,20.6
2023-06-29,30.1
2023-06-30,29.7
2023-07-01,11.8
2023-07-02,24.3
2023-07-03,32.1
2023-07-04,20.5
2023-07-05,8.4
2023-07-06,17.0
2023-07-07,14.2
2023-07-08,12.0
2023-07-09,20.1
2023-07-10,28.2
2023-07-11,9.8
2023-07-12,30.1
2023-07-13,15.6
2023-07-14,22.9
2023-07-15,17.8
2023-07-16,17.2
2023-07-17,15.4
2023-07-18,17.9
2023-07-19,32.5
2023-07-20,6.2
2023-07-21,32.2
2023-07-22,14.5
2023-07-23,24.2
2023-07-24,18.0
2023-07-25,27.7
2023-07-26,7.4
2023-07-27,5.5
2023-07-28,10.7
2023-07-29,7.4
2023-07-30,6.5
2023-07-31,19.0
2023-08-01,8.6
2023-08-02,12.3
2023-08-03,7.3
2023-08-04,18.3
2023-08-05,15.0
2023-08-06,17.8
2023-08-07,17.0
2023-08-08,8.3
2023-08-09,31.4
2023-08-10,27.9
2023-08-11,20.2
2023-08-12,19.2
2023-08-13,33.6
2023-08-14,12.9
2023-08-15,19.5
2023-08-16,15.0
2023-08-17,34.7
2023-08-18,13.0
2023-08-19,16.5
2023-08-20,24.1
2023-08-21,21.9
2023-08-22,29.9
2023-08-23,20.2
2023-08-24,25.5
2023-08-25,17.7
2023-08-26,5.9
2023-08-27,8.1
2023-08-28,8.8
2023-08-29,12.7
2023-08-30,35.0
2023-08-31,7.4
2023-09-01,9.7
2023-09-02,35.0
2023-09-03,17.8
2023-09-04,33.0
2023-09-05,10.6
2023-09-06,14.2
2023-09-07,20.3
2023-09-08,19.7
2023-09-09,23.8
2023-09-10,14.6
2023-09-11,18.7
2023-09-12,23.9
2023-09-13,10.8
2023-09-14,24.1
2023-09-15,19.9
2023-09-16,13.4
2023-09-17,15.7
2023-09-18,32.5
2023-09-19,31.8
2023-09-20,5.7
2023-09-21,19.8
2023-09-22,19.6
2023-09-23,33.8
2023-09-24,7.7
2023-09-25,7.3
2023-09-26,27.0
2023-09-27,8.2
2023-09-28,9.0
2023-09-29,28.1
2023-09-30,13.4
2023-10-01,34.9
2023-10-02,27.9
2023-10-03,9.8
2023-10-04,10.5
2023-10-05,9.8
2023-10-06,12.8
2023-10-07,15.6
2023-10-08,6.3
2023-10-09,16.8
2023-10-10,31.8
2023-10-11,11.5
2023-10-12,34.0
2023-10-13,28.0
2023-10-14,21.7
2023-10-15,16.0
2023-10-16,25.4
2023-10-17,28.8
2023-10-18,20.0
2023-10-19,15.3
2023-10-20,28.2
2023-10-21,20.6
2023-10-22,11.6
2023-10-23,27.6
2023-10-24,8.6
2023-10-25,13.6
2023-10-26,33.4
2023-10-27,30.0
2023-10-28,24.6
2023-10-29,34.7
2023-10-30,10.4
2023-10-31,15.1
2023-11-01,12.0
2023-11-02,33.3
2023-11-03,25.3
2023-11-04,8.3
2023-11-05,26.1
2023-11-06,12.7
2023-11-07,29.6
2023-11-08,14.1
2023-11-09,18.8
2023-11-10,33.6
2023-11-11,26.2
2023-11-12,31.2
2023-11-13,27.3
2023-11-14,7.8
2023-11-15,33.9
2023-11-16,31.1
2023-11-17,30.1
2023-11-18,21.0
2023-11-19,31.2
2023-11-20,21.3
2023-11-21,17.5
2023-11-22,16.2
2023-11-23,11.4
2023-11-24,11.1
2023-11-25,26.2
2023-11-26,5.8
2023-11-27,9.0
2023-11-28,29.9
2023-11-29,21.8
2023-11-30,16.2
2023-12-01,30.4
2023-12-02,20.1
2023-12-03,16.3
2023-12-04,32.1
2023-12-05,21.6
2023-12-06,16.6
2023-12-07,30.9
2023-12-08,23.2
2023-12-09,28.8
2023-12-10,15.2
2023-12-11,22.2
2023-12-12,11.7
2023-12-13,10.8
2023-12-14,12.8
2023-12-15,20.1
2023-12-16,20.3
2023-12-17,34.6
