date,temperature
2023-06-10,28.1
2023-06-11,34.5
2023-06-12,10.1
2023-06-13,33.0
2023-06-14,33.2
2023-06-15,14.1
2023-06-16,23.4
2023-06-17,36.7
2023-06-18,11.7
2023-06-19,12.5
2023-06-20,16.1
2023-06-21,11.8
2023-06-22,26.8
2023-06-23,22.1
2023-06-24,22.3
2023-06-25,15.3
2023-06-26,33.5
2023-06-27,38.1
2023-06-28,33.2
2023-06-29,20.4
2023-06-30,33.9
2023-07-01,39.4
2023-07-02,31.6
2023-07-03,20.5
2023-07-04,27.9
2023-07-05,36.9
2023-07-06,27.0
2023-07-07,11.1
2023-07-08,23.7
2023-07-09,28.2
2023-07-10,33.4
2023-07-11,36.4
2023-07-12,31.2
2023-07-13,37.4
2023-07-14,36.3
2023-07-15,37.7
2023-07-16,16.3
2023-07-17,30.8
2023-07-18,32.9
2023-07-19,25.0
2023-07-20,21.4
2023-07-21,31.4
2023-07-22,32.8
2023-07-23,18.8
2023-07-24,27.8
2023-07-25,30.5
2023-07-26,20.9
2023-07-27,18.0
2023-07-28,35.2
2023-07-29,35.3
2023-07-30,22.0
2023-07-31,29.9
2023-08-01,14.3
2023-08-02,23.4
2023-08-03,33.2
2023-08-04,20.7
2023-08-05,11.2
2023-08-06,38.5
2023-08-07,27.9
2023-08-08,31.2
2023-08-09,17.7
2023-08-10,28.4
2023-08-11,36.3
2023-08-12,14.0
2023-08-13,22.6
2023-08-14,11.5
2023-08-15,16.4
2023-08-16,34.8
2023-08-17,15.5
2023-08-18,36.7
2023-08-19,37.0
2023-08-20,19.7
2023-08-21,34.2
2023-08-22,34.8
2023-08-23,35.5
2023-08-24,13.4
2023-08-25,30.5
2023-08-26,29.0
2023-08-27,38.0
2023-08-28,31.2
2023-08-29,10.5
2023-08-30,32.4
2023-08-31,35.6
2023-09-01,17.7
2023-09-02,35.2
2023-09-03,20.8
2023-09-04,28.2
2023-09-05,37.9
2023-09-06,21.3
2023-09-07,35.6
2023-09-08,30.0
2023-09-09,34.2
2023-09-10,33.4
2023-09-11,33.4
2023-09-12,33.2
2023-09-13,10.9
2023-09-14,15.2
2023-09-15,26.5
2023-09-16,16.1
2023-09-17,31.4
2023-09-18,39.4
2023-09-19,10.1
2023-09-20,39.8
2023-09-21,12.7
2023-09-22,12.9
2023-09-23,35.2
2023-09-24,22.4
2023-09-25,12.0
2023-09-26,30.5
2023-09-27,24.1
2023-09-28,13.6
2023-09-29,16.0
2023-09-30,19.3
2023-10-01,30.0
2023-10-02,13.0
2023-10-03,28.1
2023-10-04,36.0
2023-10-05,17.3
2023-10-06,11.2
2023-10-07,28.9
2023-10-08,25.7
2023-10-09,11.8
2023-10-10,22.0
2023-10-11,11.6
2023-10-12,12.8
2023-10-13,29.2
