date,temperature
2023-06-10,-1.2
2023-06-11,18.8
2023-06-12,-11.8
2023-06-13,-0.2
2023-06-14,2.5
2023-06-15,-1.3
2023-06-16,-7.3
2023-06-17,6.4
2023-06-18,-14.7
2023-06-19,-2.5
2023-06-20,-18.2
2023-06-21,-16.9
2023-06-22,-3.6
2023-06-23,-15.8
2023-06-24,3.2
2023-06-25,-16.1
2023-06-26,-7.5
2023-06-27,5.9
2023-06-28,16.6
2023-06-29,-18.0
2023-06-30,10.2
2023-07-01,-2.1
2023-07-02,-11.2
2023-07-03,15.9
2023-07-04,-16.2
2023-07-05,-15.8
2023-07-06,16.9
2023-07-07,5.0
2023-07-08,-7.3
2023-07-09,15.7
2023-07-10,2.1
2023-07-11,0.4
2023-07-12,-0.8
2023-07-13,19.9
2023-07-14,-18.7
2023-07-15,11.3
2023-07-16,5.2
2023-07-17,6.0
2023-07-18,-4.5
2023-07-19,12.8
2023-07-20,15.8
2023-07-21,18.4
2023-07-22,-6.4
2023-07-23,1.0
2023-07-24,4.0
2023-07-25,-0.8
2023-07-26,1.4
2023-07-27,-6.7
2023-07-28,16.1
2023-07-29,-0.5
2023-07-30,-12.0
2023-07-31,-7.4
2023-08-01,12.5
2023-08-02,2.0
2023-08-03,-16.2
2023-08-04,18.9
2023-08-05,-14.9
2023-08-06,-3.9
2023-08-07,4.9
2023-08-08,6.3
2023-08-09,-5.2
2023-08-10,-2.2
2023-08-11,-1.0
2023-08-12,-13.6
2023-08-13,-3.0
2023-08-14,-11.9
2023-08-15,-18.0
2023-08-16,-10.1
2023-08-17,19.5
2023-08-18,5.4
2023-08-19,-13.5
2023-08-20,4.4
2023-08-21,6.8
2023-08-22,-7.6
2023-08-23,13.0
2023-08-24,-10.2
2023-08-25,-10.0
2023-08-26,2.8
2023-08-27,-13.8
2023-08-28,14.8
2023-08-29,-20.0
2023-08-30,-12.8
2023-08-31,2.7
2023-09-01,-9.4
2023-09-02,-12.2
2023-09-03,-7.9
2023-09-04,8.1
2023-09-05,7.2
2023-09-06,14.4
2023-09-07,-7.6
2023-09-08,-19.7
2023-09-09,-5.9
2023-09-10,3.0
2023-09-11,17.8
2023-09-12,17.7
2023-09-13,-6.2
2023-09-14,-17.1
2023-09-15,8.5
2023-09-16,-18.9
2023-09-17,-4.5
2023-09-18,1.0
2023-09-19,-2.3
2023-09-20,11.3
2023-09-21,12.1
2023-09-22,-2.5
2023-09-23,-2.0
2023-09-24,-2.4
2023-09-25,17.7
2023-09-26,18.1
2023-09-27,-3.5
2023-09-28,-2.8
2023-09-29,5.1
2023-09-30,-14.2
2023-10-01,17.5
2023-10-02,-15.9
2023-10-03,5.2
2023-10-04,19.3
2023-10-05,-12.2
2023-10-06,-2.6
2023-10-07,19.6
2023-10-08,-8.2
2023-10-09,-17.2
2023-10-10,15.2
2023-10-11,-14.1
2023-10-12,-5.1
2023-10-13,-13.8
2023-10-14,-11.9
2023-10-15,10.6
2023-10-16,-6.5
2023-10-17,-17.2
2023-10-18,17.4
2023-10-19,-6.8
2023-10-20,2.2
2023-10-21,18.4
2023-10-22,-3.9
2023-10-23,-13.5
2023-10-24,2.0
2023-10-25,-10.9
2023-10-26,-6.2
2023-10-27,-13.4
2023-10-28,9.1
2023-10-29,-11.6
2023-10-30,-1.5
2023-10-31,-16.8
2023-11-01,1.6
2023-11-02,-18.0
2023-11-03,-19.1
2023-11-04,3.6
2023-11-05,13.0
2023-11-06,15.1
2023-11-07,6.9
2023-11-08,-0.3
2023-11-09,13.8
2023-11-10,0.0
2023-11-11,16.4
2023-11-12,10.4
2023-11-13,10.0
2023-11-14,-17.3
2023-11-15,-13.4
2023-11-16,-17.0
2023-11-17,-13.4
2023-11-18,-0.4
2023-11-19,-19.2
2023-11-20,17.8
2023-11-21,-15.9
2023-11-22,-15.8
2023-11-23,-6.3
2023-11-24,-8.3
2023-11-25,-7.8
2023-11-26,-9.6
2023-11-27,18.0
2023-11-28,1.3
2023-11-29,-19.1
2023-11-30,-2.9
2023-12-01,-11.5
2023-12-02,-0.6
2023-12-03,-11.6
2023-12-04,12.2
2023-12-05,-14.4
2023-12-06,2.0
2023-12-07,-15.7
2023-12-08,12.5
2023-12-09,-17.2
2023-12-10,-13.4
2023-12-11,4.4
2023-12-12,8.6
2023-12-13,10.2
2023-12-14,3.4
2023-12-15,-5.6
2023-12-16,4.3
2023-12-17,-4.6
2023-12-18,12.0
2023-12-19,-10.9
2023-12-20,-19.0
2023-12-21,18.8
2023-12-22,10.0
2023-12-23,4.9
2023-12-24,2.0
2023-12-25,-9.0
2023-12-26,10.7
2023-12-27,19.4
2023-12-28,3.2
2023-12-29,8.6
2023-12-30,-4.5
2023-12-31,-8.4
2024-01-01,18.0
2024-01-02,-17.2
2024-01-03,-15.6
2024-01-04,-9.3
2024-01-05,-7.0
2024-01-06,17.2
2024-01-07,-0.5
2024-01-08,10.0
2024-01-09,-8.0
2024-01-10,7.7
2024-01-11,13.5
2024-01-12,2.6
2024-01-13,-16.4
2024-01-14,-10.9
2024-01-15,-3.9
2024-01-16,4.3
2024-01-17,2.2
2024-01-18,18.5
2024-01-19,8.1
2024-01-20,15.9
2024-01-21,3.1
2024-01-22,1.8
2024-01-23,15.8
2024-01-24,17.3
2024-01-25,17.4
2024-01-26,-12.7
2024-01-27,4.9
2024-01-28,-0.0
2024-01-29,5.1
2024-01-30,17.4
2024-01-31,11.0
2024-02-01,-15.8
2024-02-02,-15.7
2024-02-03,-15.6
2024-02-04,11.4
2024-02-05,14.2
2024-02-06,13.8
2024-02-07,2.5
2024-02-08,-7.2
2024-02-09,12.4
2024-02-10,-3.0
2024-02-11,-7.9
2024-02-12,17.6
2024-02-13,10.6
2024-02-14,9.7
2024-02-15,-3.9
2024-02-16,-19.3
2024-02-17,-4.6
2024-02-18,15.5
2024-02-19,-10.1
2024-02-20,-5.1
2024-02-21,9.9
2024-02-22,-17.4
2024-02-23,5.5
2024-02-24,-1.7
2024-02-25,4.6
2024-02-26,-15.0
2024-02-27,1.8
2024-02-28,13.8
2024-02-29,5.9
2024-03-01,18.6
2024-03-02,-0.1
2024-03-03,-4.6
2024-03-04,-6.7
2024-03-05,17.6
2024-03-06,19.8
2024-03-07,-14.2
2024-03-08,17.0
2024-03-09,-15.8
2024-03-10,1.4
2024-03-11,-4.5
2024-03-12,-6.2
2024-03-13,5.0
2024-03-14,-5.2
2024-03-15,0.6
2024-03-16,-7.9
2024-03-17,3.3
2024-03-18,-8.3
2024-03-19,17.9
2024-03-20,5.4
2024-03-21,10.1
2024-03-22,14.4
2024-03-23,8.6
2024-03-24,-16.4
2024-03-25,-10.8
2024-03-26,8.3
2024-03-27,-7.1
2024-03-28,-3.4
2024-03-29,-6.3
2024-03-30,6.3
2024-03-31,-8.6
2024-04-01,19.8
2024-04-02,0.4
2024-04-03,3.2
2024-04-04,11.4
2024-04-05,10.6
2024-04-06,-3.2
2024-04-07,-7.3
2024-04-08,-1.0
2024-04-09,16.4
2024-04-10,-9.6
2024-04-11,-10.1
2024-04-12,18.6
2024-04-13,5.9
2024-04-14,-1.3
2024-04-15,-19.6
2024-04-16,-13.6
2024-04-17,6.9
2024-04-18,7.9
2024-04-19,-14.8
2024-04-20,17.9
2024-04-21,2.9
2024-04-22,15.0
2024-04-23,-11.8
2024-04-24,4.3
2024-04-25,9.4
2024-04-26,-17.6
2024-04-27,14.8
2024-04-28,-14.5
2024-04-29,-17.6
2024-04-30,-1.3
2024-05-01,15.7
2024-05-02,3.7
2024-05-03,5.8
2024-05-04,15.4
2024-05-05,1.9
2024-05-06,2.2
2024-05-07,-17.2
2024-05-08,-17.3
2024-05-09,15.4
2024-05-10,4.9
2024-05-11,-10.8
2024-05-12,-8.7
2024-05-13,-17.6
2024-05-14,10.2
2024-05-15,-17.4
2024-05-16,-16.7
2024-05-17,3.6
2024-05-18,18.2
2024-05-19,0.6
2024-05-20,-4.1
2024-05-21,-7.0
2024-05-22,-9.0
2024-05-23,1.0
2024-05-24,18.0
2024-05-25,-3.4
2024-05-26,0.4
2024-05-27,-4.3
2024-05-28,-15.7
2024-05-29,-6.9
2024-05-30,19.2
2024-05-31,-6.8
2024-06-01,-9.5
2024-06-02,11.3
2024-06-03,-15.5
2024-06-04,19.8
2024-06-05,-3.8
2024-06-06,0.7
2024-06-07,2.6
2024-06-08,-11.4
2024-06-09,-11.3
2024-06-10,-2.8
2024-06-11,10.7
2024-06-12,15.3
2024-06-13,-0.8
2024-06-14,-18.1
2024-06-15,13.0
2024-06-16,-1.3
2024-06-17,18.8
2024-06-18,11.2
2024-06-19,8.2
2024-06-20,-19.6
2024-06-21,-19.1
2024-06-22,-19.6
2024-06-23,2.2
2024-06-24,-11.6
2024-06-25,5.1
2024-06-26,17.1
2024-06-27,-6.1
2024-06-28,-4.0
2024-06-29,-18.0
2024-06-30,-14.7
2024-07-01,-8.8
2024-07-02,15.9
2024-07-03,5.4
2024-07-04,5.4
2024-07-05,0.7
2024-07-06,-15.4
2024-07-07,-3.1
2024-07-08,-11.1
2024-07-09,7.8
2024-07-10,5.9
2024-07-11,13.4
2024-07-12,-8.8
2024-07-13,-9.2
2024-07-14,3.0
2024-07-15,18.5
2024-07-16,5.8
2024-07-17,9.4
2024-07-18,6.4
2024-07-19,9.6
2024-07-20,1.4
2024-07-21,1.0
2024-07-22,-16.4
2024-07-23,1.1
2024-07-24,-7.0
2024-07-25,-12.5
2024-07-26,-15.7
2024-07-27,-6.3
2024-07-28,-12.9
2024-07-29,18.0
2024-07-30,3.4
2024-07-31,-0.5
2024-08-01,19.1
2024-08-02,-19.9
2024-08-03,12.5
2024-08-04,12.9
2024-08-05,2.2
2024-08-06,-0.9
2024-08-07,11.5
2024-08-08,9.2
2024-08-09,2.2
2024-08-10,15.2
2024-08-11,13.6
2024-08-12,-1.0
