date,temperature
2023-06-10,-13.2
2023-06-11,-3.6
2023-06-12,-7.5
2023-06-13,5.8
2023-06-14,11.0
2023-06-15,-10.5
2023-06-16,16.8
2023-06-17,24.5
2023-06-18,-10.6
2023-06-19,-6.1
2023-06-20,5.9
2023-06-21,21.3
2023-06-22,-9.8
2023-06-23,6.6
2023-06-24,-1.8
2023-06-25,9.7
2023-06-26,15.0
2023-06-27,12.6
2023-06-28,-0.2
2023-06-29,14.4
2023-06-30,25.0
2023-07-01,-8.0
2023-07-02,0.9
2023-07-03,-0.0
2023-07-04,20.0
2023-07-05,19.2
2023-07-06,-5.7
2023-07-07,11.2
2023-07-08,8.6
2023-07-09,-11.2
2023-07-10,-7.6
2023-07-11,-4.7
2023-07-12,-9.8
2023-07-13,17.9
2023-07-14,23.4
2023-07-15,-10.9
2023-07-16,18.9
2023-07-17,14.7
2023-07-18,15.2
2023-07-19,24.5
2023-07-20,-6.1
2023-07-21,24.0
2023-07-22,21.4
2023-07-23,24.1
2023-07-24,-1.6
2023-07-25,-3.0
2023-07-26,15.5
2023-07-27,-1.4
2023-07-28,14.0
2023-07-29,3.8
2023-07-30,-6.2
2023-07-31,3.9
2023-08-01,13.2
2023-08-02,2.0
2023-08-03,-14.7
2023-08-04,-1.2
2023-08-05,-11.9
2023-08-06,20.3
2023-08-07,4.4
2023-08-08,2.6
2023-08-09,15.8
2023-08-10,-0.5
2023-08-11,-7.9
2023-08-12,9.4
2023-08-13,1.0
2023-08-14,24.7
2023-08-15,9.0
2023-08-16,16.1
2023-08-17,16.9
2023-08-18,13.9
2023-08-19,5.7
2023-08-20,-0.8
2023-08-21,4.5
2023-08-22,-12.5
2023-08-23,10.4
2023-08-24,-7.2
2023-08-25,20.7
2023-08-26,16.1
2023-08-27,-6.6
2023-08-28,18.1
2023-08-29,15.7
2023-08-30,4.4
2023-08-31,-13.9
2023-09-01,-14.6
2023-09-02,9.6
2023-09-03,6.6
2023-09-04,-11.8
2023-09-05,-3.7
2023-09-06,11.4
2023-09-07,-12.8
2023-09-08,1.5
2023-09-09,21.3
2023-09-10,7.1
2023-09-11,-8.7
2023-09-12,14.6
2023-09-13,23.4
2023-09-14,23.2
2023-09-15,17.9
2023-09-16,-0.1
2023-09-17,3.5
2023-09-18,14.5
2023-09-19,23.6
2023-09-20,-5.7
2023-09-21,19.4
2023-09-22,10.7
2023-09-23,-6.7
2023-09-24,-0.5
2023-09-25,-8.7
2023-09-26,18.2
2023-09-27,-1.8
2023-09-28,9.8
2023-09-29,9.8
2023-09-30,13.3
2023-10-01,5.0
2023-10-02,16.1
2023-10-03,-14.9
2023-10-04,2.4
2023-10-05,-9.4
2023-10-06,2.2
2023-10-07,3.7
2023-10-08,-14.2
2023-10-09,-12.3
2023-10-10,5.6
2023-10-11,-0.6
2023-10-12,20.0
2023-10-13,14.7
2023-10-14,18.0
2023-10-15,4.4
2023-10-16,3.6
2023-10-17,11.2
2023-10-18,-3.2
2023-10-19,2.1
2023-10-20,3.9
2023-10-21,8.6
2023-10-22,18.5
2023-10-23,9.9
2023-10-24,4.0
2023-10-25,-4.2
2023-10-26,10.0
2023-10-27,3.5
2023-10-28,5.8
2023-10-29,-6.8
2023-10-30,3.2
2023-10-31,23.5
2023-11-01,-11.2
2023-11-02,-12.3
2023-11-03,19.3
2023-11-04,24.5
2023-11-05,7.9
2023-11-06,-10.1
2023-11-07,20.6
2023-11-08,3.9
2023-11-09,-12.7
2023-11-10,-8.5
2023-11-11,-12.9
2023-11-12,10.4
2023-11-13,16.8
2023-11-14,-10.8
2023-11-15,-3.8
2023-11-16,-6.5
2023-11-17,18.0
2023-11-18,17.0
2023-11-19,14.6
2023-11-20,9.5
2023-11-21,11.3
2023-11-22,11.2
2023-11-23,-13.9
2023-11-24,-9.1
2023-11-25,14.0
2023-11-26,2.2
2023-11-27,-13.9
2023-11-28,6.0
2023-11-29,18.8
2023-11-30,18.7
2023-12-01,-11.9
2023-12-02,16.9
2023-12-03,-2.4
2023-12-04,-1.7
2023-12-05,-3.1
2023-12-06,3.7
2023-12-07,-6.1
2023-12-08,15.2
2023-12-09,-6.8
2023-12-10,2.0
2023-12-11,-4.7
2023-12-12,-7.5
2023-12-13,-11.8
2023-12-14,16.9
2023-12-15,6.6
2023-12-16,6.2
2023-12-17,18.8
2023-12-18,-13.1
2023-12-19,-12.9
2023-12-20,6.8
2023-12-21,7.7
2023-12-22,12.3
2023-12-23,17.9
2023-12-24,-13.6
2023-12-25,-2.2
2023-12-26,15.5
2023-12-27,-13.3
2023-12-28,15.6
2023-12-29,-6.0
2023-12-30,19.1
2023-12-31,16.2
2024-01-01,16.4
2024-01-02,-10.5
2024-01-03,22.0
2024-01-04,-11.7
2024-01-05,23.9
2024-01-06,2.0
2024-01-07,-9.0
2024-01-08,14.7
2024-01-09,19.1
2024-01-10,22.8
2024-01-11,-4.1
2024-01-12,-10.5
2024-01-13,20.7
2024-01-14,17.9
2024-01-15,3.6
2024-01-16,8.3
2024-01-17,-12.6
2024-01-18,10.4
2024-01-19,16.8
2024-01-20,-13.5
2024-01-21,-5.9
2024-01-22,-6.3
2024-01-23,20.9
2024-01-24,-12.1
2024-01-25,-0.1
2024-01-26,19.0
2024-01-27,6.8
2024-01-28,20.1
2024-01-29,8.4
2024-01-30,13.3
2024-01-31,-11.6
2024-02-01,15.9
2024-02-02,21.4
2024-02-03,4.4
2024-02-04,0.8
2024-02-05,24.2
2024-02-06,-3.6
2024-02-07,7.2
2024-02-08,2.5
2024-02-09,12.4
2024-02-10,-6.3
2024-02-11,-10.9
2024-02-12,-2.2
2024-02-13,11.6
2024-02-14,-6.4
2024-02-15,11.5
2024-02-16,-12.0
2024-02-17,3.0
2024-02-18,2.6
2024-02-19,-3.4
2024-02-20,5.2
2024-02-21,-14.7
2024-02-22,-4.1
2024-02-23,13.8
2024-02-24,3.2
2024-02-25,11.3
2024-02-26,3.0
2024-02-27,4.6
2024-02-28,-12.0
2024-02-29,4.4
2024-03-01,-6.6
2024-03-02,18.8
2024-03-03,6.8
2024-03-04,24.3
2024-03-05,20.8
2024-03-06,5.5
2024-03-07,-11.8
2024-03-08,1.2
2024-03-09,-1.9
2024-03-10,5.3
2024-03-11,8.4
2024-03-12,12.6
2024-03-13,-2.9
2024-03-14,-14.6
2024-03-15,-3.1
2024-03-16,-14.4
2024-03-17,16.4
2024-03-18,-0.4
2024-03-19,-3.4
2024-03-20,-15.0
2024-03-21,17.1
2024-03-22,0.0
2024-03-23,-4.7
2024-03-24,12.9
2024-03-25,9.3
2024-03-26,-0.4
2024-03-27,-11.6
2024-03-28,17.7
2024-03-29,-14.2
2024-03-30,-9.6
2024-03-31,3.5
2024-04-01,-4.5
2024-04-02,3.7
2024-04-03,14.4
2024-04-04,14.0
2024-04-05,-7.8
2024-04-06,20.6
2024-04-07,7.0
2024-04-08,-9.2
2024-04-09,19.9
2024-04-10,6.2
2024-04-11,21.1
2024-04-12,-13.4
2024-04-13,-7.0
2024-04-14,-11.7
2024-04-15,7.9
2024-04-16,20.4
2024-04-17,-6.6
2024-04-18,22.7
2024-04-19,0.2
2024-04-20,-0.0
2024-04-21,-1.5
2024-04-22,-9.0
2024-04-23,5.1
2024-04-24,-5.5
2024-04-25,11.7
2024-04-26,-1.8
2024-04-27,-6.7
2024-04-28,-12.0
2024-04-29,-3.5
2024-04-30,2.6
2024-05-01,4.8
2024-05-02,3.3
2024-05-03,20.8
2024-05-04,-12.3
2024-05-05,-11.9
2024-05-06,10.8
2024-05-07,14.9
2024-05-08,4.5
2024-05-09,-5.3
2024-05-10,18.6
2024-05-11,9.4
2024-05-12,10.9
2024-05-13,-2.8
2024-05-14,16.3
2024-05-15,-4.3
2024-05-16,19.7
2024-05-17,24.5
2024-05-18,5.5
2024-05-19,8.9
2024-05-20,10.9
2024-05-21,18.2
2024-05-22,4.2
2024-05-23,7.4
2024-05-24,-0.6
2024-05-25,-11.6
2024-05-26,8.0
2024-05-27,6.6
2024-05-28,-11.0
2024-05-29,7.8
2024-05-30,18.3
2024-05-31,-8.9
2024-06-01,1.4
2024-06-02,-13.6
2024-06-03,-10.6
2024-06-04,7.5
2024-06-05,17.1
2024-06-06,16.7
2024-06-07,9.2
2024-06-08,-5.1
2024-06-09,9.5
2024-06-10,-1.6
2024-06-11,-10.1
2024-06-12,10.6
2024-06-13,11.7
2024-06-14,4.0
2024-06-15,7.6
2024-06-16,-8.9
2024-06-17,-11.7
2024-06-18,-8.9
2024-06-19,10.2
2024-06-20,-2.4
2024-06-21,-10.7
2024-06-22,18.7
2024-06-23,23.5
2024-06-24,-8.2
2024-06-25,-14.9
2024-06-26,-4.1
2024-06-27,15.4
2024-06-28,-6.5
2024-06-29,2.6
2024-06-30,11.6
2024-07-01,21.2
2024-07-02,18.2
2024-07-03,-5.2
2024-07-04,19.7
2024-07-05,16.6
2024-07-06,19.1
2024-07-07,23.0
2024-07-08,-3.1
2024-07-09,-14.8
2024-07-10,-9.7
2024-07-11,18.8
2024-07-12,-8.6
2024-07-13,24.3
2024-07-14,-9.7
2024-07-15,-6.1
2024-07-16,1.3
2024-07-17,-12.4
2024-07-18,1.5
2024-07-19,7.4
2024-07-20,20.8
2024-07-21,10.3
2024-07-22,11.6
2024-07-23,11.9
2024-07-24,-13.4
2024-07-25,22.4
2024-07-26,17.7
2024-07-27,16.4
2024-07-28,-13.1
2024-07-29,-2.3
2024-07-30,-1.0
2024-07-31,-2.7
2024-08-01,-8.7
2024-08-02,10.2
