date,temperature
2023-06-10,6.3
2023-06-11,-3.1
2023-06-12,13.3
2023-06-13,16.9
2023-06-14,16.7
2023-06-15,-8.0
2023-06-16,-6.2
2023-06-17,10.9
2023-06-18,19.0
2023-06-19,-3.4
2023-06-20,19.6
2023-06-21,9.9
2023-06-22,1.1
2023-06-23,14.0
2023-06-24,3.6
2023-06-25,16.4
2023-06-26,-7.5
2023-06-27,19.9
2023-06-28,28.1
2023-06-29,16.3
2023-06-30,-4.4
2023-07-01,-2.6
2023-07-02,14.0
2023-07-03,13.2
2023-07-04,29.3
2023-07-05,-8.7
2023-07-06,5.5
2023-07-07,-7.0
2023-07-08,-7.4
2023-07-09,24.9
2023-07-10,-5.7
2023-07-11,9.9
2023-07-12,13.9
2023-07-13,3.5
2023-07-14,7.1
2023-07-15,-0.9
2023-07-16,30.0
2023-07-17,24.4
2023-07-18,15.6
2023-07-19,-7.9
2023-07-20,25.5
2023-07-21,-7.2
2023-07-22,1.8
2023-07-23,29.7
2023-07-24,11.9
2023-07-25,28.7
2023-07-26,9.8
2023-07-27,3.6
2023-07-28,16.5
2023-07-29,13.9
2023-07-30,-5.8
2023-07-31,0.2
2023-08-01,17.3
2023-08-02,23.1
2023-08-03,19.8
2023-08-04,26.7
2023-08-05,19.9
2023-08-06,2.4
2023-08-07,12.9
2023-08-08,18.2
2023-08-09,14.7
2023-08-10,23.8
2023-08-11,21.8
2023-08-12,29.1
2023-08-13,19.4
2023-08-14,26.7
2023-08-15,0.8
2023-08-16,8.5
2023-08-17,-5.0
2023-08-18,-3.7
2023-08-19,-1.6
2023-08-20,-4.0
2023-08-21,-5.0
2023-08-22,26.6
2023-08-23,10.3
2023-08-24,-5.2
2023-08-25,-0.7
2023-08-26,5.7
2023-08-27,-6.3
2023-08-28,9.7
2023-08-29,3.4
2023-08-30,-5.7
2023-08-31,8.6
2023-09-01,15.4
2023-09-02,1.0
2023-09-03,13.7
2023-09-04,13.3
2023-09-05,15.1
2023-09-06,24.8
2023-09-07,10.2
2023-09-08,-4.9
2023-09-09,22.9
2023-09-10,16.7
2023-09-11,24.4
2023-09-12,15.8
2023-09-13,2.4
2023-09-14,28.3
2023-09-15,6.8
2023-09-16,8.3
2023-09-17,20.7
2023-09-18,-4.0
2023-09-19,23.7
2023-09-20,13.9
2023-09-21,6.0
2023-09-22,7.2
2023-09-23,13.7
2023-09-24,-5.3
2023-09-25,12.3
2023-09-26,14.6
