date,temperature
2023-06-10,34.1
2023-06-11,29.6
2023-06-12,31.9
2023-06-13,24.3
2023-06-14,34.5
2023-06-15,34.8
2023-06-16,31.2
2023-06-17,25.6
2023-06-18,30.0
2023-06-19,18.7
2023-06-20,15.4
2023-06-21,25.8
2023-06-22,30.6
2023-06-23,24.6
2023-06-24,29.4
2023-06-25,17.8
2023-06-26,26.6
2023-06-27,20.4
2023-06-28,34.5
2023-06-29,34.5
2023-06-30,28.4
2023-07-01,26.3
2023-07-02,31.6
2023-07-03,19.4
2023-07-04,20.7
2023-07-05,24.4
2023-07-06,27.2
2023-07-07,24.4
2023-07-08,22.9
2023-07-09,27.3
2023-07-10,18.2
2023-07-11,20.1
2023-07-12,21.4
2023-07-13,24.7
2023-07-14,23.3
2023-07-15,21.7
2023-07-16,22.7
2023-07-17,32.0
2023-07-18,29.0
2023-07-19,22.8
2023-07-20,33.9
2023-07-21,25.4
2023-07-22,27.1
2023-07-23,32.7
2023-07-24,18.8
2023-07-25,31.6
2023-07-26,17.4
2023-07-27,18.8
2023-07-28,24.7
2023-07-29,15.7
2023-07-30,32.5
2023-07-31,21.9
2023-08-01,23.0
2023-08-02,34.3
2023-08-03,22.0
2023-08-04,26.3
2023-08-05,19.2
2023-08-06,23.1
2023-08-07,33.5
2023-08-08,17.1
2023-08-09,30.9
2023-08-10,28.8
2023-08-11,33.5
2023-08-12,33.0
2023-08-13,20.1
2023-08-14,32.5
2023-08-15,31.6
2023-08-16,18.3
2023-08-17,26.3
2023-08-18,20.5
2023-08-19,16.6
2023-08-20,18.4
2023-08-21,23.8
2023-08-22,15.4
2023-08-23,28.9
2023-08-24,23.3
2023-08-25,31.8
2023-08-26,34.9
2023-08-27,34.3
2023-08-28,21.3
2023-08-29,21.2
2023-08-30,16.1
2023-08-31,25.7
2023-09-01,15.7
2023-09-02,29.7
2023-09-03,30.0
2023-09-04,27.4
2023-09-05,16.3
2023-09-06,19.4
2023-09-07,24.9
2023-09-08,30.3
2023-09-09,17.5
2023-09-10,26.7
2023-09-11,21.2
2023-09-12,24.5
2023-09-13,27.3
2023-09-14,15.0
2023-09-15,26.7
2023-09-16,20.7
2023-09-17,32.1
2023-09-18,26.1
2023-09-19,34.9
2023-09-20,33.7
2023-09-21,19.8
2023-09-22,23.6
2023-09-23,30.6
2023-09-24,20.4
2023-09-25,32.5
2023-09-26,22.8
2023-09-27,19.4
2023-09-28,34.5
2023-09-29,21.5
2023-09-30,21.0
2023-10-01,27.1
2023-10-02,23.6
2023-10-03,22.7
2023-10-04,23.5
2023-10-05,16.9
2023-10-06,25.1
2023-10-07,28.1
2023-10-08,34.7
2023-10-09,18.6
2023-10-10,18.7
2023-10-11,21.8
2023-10-12,24.2
2023-10-13,16.0
2023-10-14,23.4
2023-10-15,25.9
2023-10-16,24.9
2023-10-17,25.8
2023-10-18,28.6
2023-10-19,32.7
2023-10-20,24.0
2023-10-21,19.4
2023-10-22,29.7
2023-10-23,20.5
2023-10-24,19.4
2023-10-25,27.1
2023-10-26,21.9
2023-10-27,24.4
2023-10-28,24.7
2023-10-29,23.7
2023-10-30,26.7
2023-10-31,16.0
2023-11-01,22.5
2023-11-02,21.2
2023-11-03,31.7
2023-11-04,31.2
2023-11-05,15.4
2023-11-06,29.5
2023-11-07,32.4
2023-11-08,15.3
2023-11-09,31.3
2023-11-10,30.4
2023-11-11,23.6
2023-11-12,29.2
2023-11-13,29.6
2023-11-14,17.1
2023-11-15,30.6
2023-11-16,29.5
2023-11-17,33.2
2023-11-18,26.2
2023-11-19,29.7
2023-11-20,33.5
2023-11-21,16.3
2023-11-22,20.6
2023-11-23,15.7
2023-11-24,15.4
2023-11-25,23.8
2023-11-26,32.8
2023-11-27,24.6
2023-11-28,29.3
2023-11-29,35.0
2023-11-30,20.8
2023-12-01,17.7
2023-12-02,20.4
2023-12-03,25.9
2023-12-04,21.8
2023-12-05,32.2
2023-12-06,29.6
2023-12-07,27.8
2023-12-08,30.4
2023-12-09,17.9
2023-12-10,16.0
2023-12-11,28.6
2023-12-12,32.5
2023-12-13,29.0
2023-12-14,16.9
2023-12-15,22.4
2023-12-16,28.3
2023-12-17,15.1
2023-12-18,22.8
2023-12-19,31.6
2023-12-20,34.9
2023-12-21,21.1
2023-12-22,21.4
2023-12-23,20.1
2023-12-24,31.1
2023-12-25,30.1
2023-12-26,32.1
2023-12-27,24.0
2023-12-28,15.9
2023-12-29,26.2
2023-12-30,26.0
2023-12-31,33.7
2024-01-01,18.9
2024-01-02,24.2
2024-01-03,21.5
2024-01-04,31.9
2024-01-05,17.4
2024-01-06,26.3
2024-01-07,31.8
2024-01-08,24.9
2024-01-09,24.1
2024-01-10,34.2
2024-01-11,34.0
2024-01-12,28.6
2024-01-13,33.7
