date,temperature
2023-06-10,11.4
2023-06-11,11.1
2023-06-12,17.8
2023-06-13,22.7
2023-06-14,21.0
2023-06-15,16.5
2023-06-16,23.9
2023-06-17,13.2
2023-06-18,14.3
2023-06-19,20.5
2023-06-20,29.8
2023-06-21,15.7
2023-06-22,11.9
2023-06-23,25.8
2023-06-24,22.0
2023-06-25,25.9
2023-06-26,23.5
2023-06-27,23.1
2023-06-28,13.7
2023-06-29,11.0
2023-06-30,11.9
2023-07-01,23.9
2023-07-02,18.1
2023-07-03,10.8
2023-07-04,11.5
2023-07-05,27.7
2023-07-06,19.5
2023-07-07,13.7
2023-07-08,15.9
2023-07-09,26.8
2023-07-10,24.0
2023-07-11,21.9
2023-07-12,27.0
2023-07-13,17.6
2023-07-14,27.7
2023-07-15,29.8
2023-07-16,23.2
2023-07-17,13.4
2023-07-18,25.0
2023-07-19,29.9
2023-07-20,12.7
2023-07-21,24.3
2023-07-22,10.0
2023-07-23,22.9
2023-07-24,28.7
2023-07-25,25.2
2023-07-26,11.5
2023-07-27,15.3
2023-07-28,26.6
2023-07-29,26.6
2023-07-30,28.8
2023-07-31,14.0
2023-08-01,23.8
2023-08-02,18.4
2023-08-03,26.9
2023-08-04,29.0
2023-08-05,16.8
2023-08-06,13.4
2023-08-07,15.1
2023-08-08,21.6
2023-08-09,13.4
2023-08-10,15.8
2023-08-11,10.9
2023-08-12,29.4
2023-08-13,10.9
2023-08-14,19.0
2023-08-15,17.4
2023-08-16,20.7
2023-08-17,27.7
2023-08-18,14.6
2023-08-19,20.0
2023-08-20,25.6
2023-08-21,16.8
2023-08-22,19.3
2023-08-23,13.6
2023-08-24,29.2
2023-08-25,27.7
2023-08-26,25.6
2023-08-27,16.9
2023-08-28,24.6
2023-08-29,20.5
2023-08-30,11.4
2023-08-31,17.1
2023-09-01,12.0
2023-09-02,21.2
2023-09-03,27.0
2023-09-04,18.0
2023-09-05,26.7
2023-09-06,14.3
2023-09-07,20.4
2023-09-08,21.9
2023-09-09,11.9
2023-09-10,15.6
2023-09-11,22.9
2023-09-12,15.8
2023-09-13,17.7
2023-09-14,10.1
2023-09-15,15.3
2023-09-16,17.6
2023-09-17,25.5
2023-09-18,19.5
2023-09-19,25.2
2023-09-20,25.2
2023-09-21,19.2
2023-09-22,24.3
2023-09-23,19.6
2023-09-24,15.6
2023-09-25,14.1
2023-09-26,21.6
2023-09-27,11.6
2023-09-28,16.8
2023-09-29,13.5
2023-09-30,17.8
2023-10-01,26.6
2023-10-02,20.6
2023-10-03,12.6
2023-10-04,25.7
2023-10-05,21.9
2023-10-06,26.4
2023-10-07,18.4
2023-10-08,15.2
2023-10-09,16.3
2023-10-10,24.3
2023-10-11,21.1
2023-10-12,21.5
2023-10-13,29.7
2023-10-14,25.6
2023-10-15,25.3
2023-10-16,15.3
2023-10-17,17.4
2023-10-18,20.0
2023-10-19,23.7
2023-10-20,28.2
2023-10-21,22.6
2023-10-22,22.1
2023-10-23,17.2
2023-10-24,25.2
2023-10-25,17.0
2023-10-26,10.6
2023-10-27,14.5
2023-10-28,26.8
2023-10-29,27.0
2023-10-30,23.0
2023-10-31,18.5
2023-11-01,10.3
2023-11-02,14.4
2023-11-03,17.6
2023-11-04,23.2
2023-11-05,14.6
2023-11-06,17.7
2023-11-07,15.5
2023-11-08,21.9
2023-11-09,16.9
2023-11-10,20.6
2023-11-11,18.4
2023-11-12,14.8
2023-11-13,22.3
2023-11-14,18.6
2023-11-15,17.4
2023-11-16,19.6
2023-11-17,14.2
2023-11-18,15.6
2023-11-19,12.4
2023-11-20,28.7
2023-11-21,26.4
2023-11-22,13.7
2023-11-23,17.5
2023-11-24,15.6
2023-11-25,13.5
2023-11-26,21.9
2023-11-27,17.8
2023-11-28,18.5
2023-11-29,18.5
2023-11-30,21.4
2023-12-01,22.3
2023-12-02,12.7
2023-12-03,11.5
2023-12-04,29.5
2023-12-05,17.3
2023-12-06,27.3
2023-12-07,25.2
2023-12-08,15.8
2023-12-09,18.6
2023-12-10,10.6
2023-12-11,10.4
2023-12-12,26.8
2023-12-13,12.9
2023-12-14,30.0
2023-12-15,22.9
2023-12-16,12.2
2023-12-17,11.2
2023-12-18,11.9
2023-12-19,27.1
2023-12-20,29.0
2023-12-21,18.2
2023-12-22,25.0
2023-12-23,24.6
2023-12-24,19.8
2023-12-25,23.1
2023-12-26,18.4
2023-12-27,12.4
2023-12-28,25.9
2023-12-29,16.3
2023-12-30,24.5
2023-12-31,16.3
2024-01-01,10.9
2024-01-02,11.3
2024-01-03,22.0
2024-01-04,10.1
2024-01-05,12.5
2024-01-06,21.5
2024-01-07,23.8
2024-01-08,28.2
2024-01-09,13.0
2024-01-10,13.5
2024-01-11,11.6
2024-01-12,10.3
2024-01-13,11.9
2024-01-14,26.3
2024-01-15,13.4
2024-01-16,10.3
2024-01-17,15.4
2024-01-18,27.7
2024-01-19,27.7
2024-01-20,15.5
2024-01-21,14.3
2024-01-22,15.4
2024-01-23,12.5
2024-01-24,28.6
