date,temperature
2023-06-10,16.2
2023-06-11,15.6
2023-06-12,7.8
2023-06-13,12.3
2023-06-14,6.4
2023-06-15,8.7
2023-06-16,-12.2
2023-06-17,10.1
2023-06-18,-0.1
2023-06-19,-13.6
2023-06-20,-18.0
2023-06-21,11.5
2023-06-22,-11.5
2023-06-23,-0.5
2023-06-24,17.8
2023-06-25,-9.6
2023-06-26,-12.0
2023-06-27,4.9
2023-06-28,10.5
2023-06-29,-12.5
2023-06-30,17.3
2023-07-01,-4.5
2023-07-02,10.9
2023-07-03,-19.4
2023-07-04,12.8
2023-07-05,-7.0
2023-07-06,19.7
2023-07-07,-16.3
2023-07-08,-7.9
2023-07-09,-19.8
2023-07-10,19.3
2023-07-11,13.7
2023-07-12,-2.8
2023-07-13,-0.8
2023-07-14,-12.3
2023-07-15,-2.6
2023-07-16,-7.3
2023-07-17,-17.8
2023-07-18,-6.6
2023-07-19,3.1
2023-07-20,16.8
2023-07-21,15.6
2023-07-22,-17.2
2023-07-23,-9.8
2023-07-24,-2.7
2023-07-25,-16.3
2023-07-26,-3.7
2023-07-27,-0.2
2023-07-28,-18.3
2023-07-29,-3.7
2023-07-30,17.3
2023-07-31,0.1
2023-08-01,18.6
2023-08-02,8.1
2023-08-03,-4.4
2023-08-04,-18.3
2023-08-05,-9.0
2023-08-06,-13.4
2023-08-07,-11.0
2023-08-08,-1.4
2023-08-09,-9.5
2023-08-10,-4.0
2023-08-11,18.2
2023-08-12,-0.1
2023-08-13,-6.1
2023-08-14,9.9
2023-08-15,-7.3
2023-08-16,18.3
2023-08-17,-17.2
2023-08-18,8.2
2023-08-19,-16.9
2023-08-20,-7.3
2023-08-21,11.8
2023-08-22,9.9
2023-08-23,19.6
2023-08-24,12.3
2023-08-25,11.6
2023-08-26,10.4
2023-08-27,-11.7
2023-08-28,-15.9
2023-08-29,10.0
2023-08-30,-6.7
2023-08-31,-2.1
2023-09-01,-9.3
2023-09-02,12.5
2023-09-03,-11.1
2023-09-04,12.7
2023-09-05,-0.9
2023-09-06,-10.6
2023-09-07,-3.0
2023-09-08,3.4
2023-09-09,12.3
2023-09-10,10.2
2023-09-11,11.7
2023-09-12,-15.2
2023-09-13,16.8
2023-09-14,-3.9
2023-09-15,-15.9
2023-09-16,-9.9
2023-09-17,-19.8
2023-09-18,-5.5
2023-09-19,-8.9
2023-09-20,-11.4
2023-09-21,16.4
2023-09-22,19.6
2023-09-23,-14.1
2023-09-24,-16.1
2023-09-25,-6.2
2023-09-26,-9.4
2023-09-27,-5.1
2023-09-28,-17.8
2023-09-29,-13.2
2023-09-30,11.0
2023-10-01,9.5
2023-10-02,16.4
2023-10-03,5.7
2023-10-04,18.3
2023-10-05,-5.5
2023-10-06,2.3
2023-10-07,5.8
2023-10-08,5.2
2023-10-09,16.1
2023-10-10,19.9
2023-10-11,15.9
2023-10-12,14.2
2023-10-13,2.4
2023-10-14,-5.7
2023-10-15,6.8
2023-10-16,-1.7
2023-10-17,0.4
2023-10-18,10.2
2023-10-19,11.3
2023-10-20,3.0
2023-10-21,-14.5
2023-10-22,-12.7
2023-10-23,15.9
2023-10-24,-19.7
2023-10-25,-11.5
2023-10-26,-16.7
2023-10-27,19.0
2023-10-28,11.0
2023-10-29,0.3
2023-10-30,5.8
2023-10-31,-13.8
2023-11-01,5.5
2023-11-02,-3.2
2023-11-03,3.0
2023-11-04,-9.2
2023-11-05,-14.4
2023-11-06,9.6
2023-11-07,-13.5
2023-11-08,16.8
2023-11-09,16.2
2023-11-10,-7.9
2023-11-11,8.2
2023-11-12,10.0
2023-11-13,14.5
2023-11-14,-6.8
2023-11-15,8.3
2023-11-16,4.8
2023-11-17,-19.4
2023-11-18,-19.2
2023-11-19,3.3
2023-11-20,10.1
2023-11-21,7.0
2023-11-22,4.9
2023-11-23,6.6
2023-11-24,0.7
2023-11-25,15.2
2023-11-26,-2.0
2023-11-27,-19.2
2023-11-28,-2.2
2023-11-29,-5.2
2023-11-30,-12.7
2023-12-01,-4.7
2023-12-02,-12.8
2023-12-03,4.3
2023-12-04,-7.8
2023-12-05,-3.3
2023-12-06,-13.8
2023-12-07,-15.1
2023-12-08,17.4
2023-12-09,13.5
2023-12-10,-5.7
2023-12-11,8.3
2023-12-12,9.1
2023-12-13,12.9
2023-12-14,-15.2
2023-12-15,16.5
2023-12-16,13.9
2023-12-17,3.0
2023-12-18,-3.9
2023-12-19,-5.6
2023-12-20,5.8
2023-12-21,-4.7
2023-12-22,0.2
2023-12-23,-11.3
2023-12-24,2.5
2023-12-25,7.5
2023-12-26,18.2
2023-12-27,-4.3
2023-12-28,15.7
2023-12-29,-6.4
2023-12-30,-11.0
2023-12-31,-15.8
2024-01-01,7.3
2024-01-02,-19.6
2024-01-03,-6.5
2024-01-04,14.4
2024-01-05,-10.3
2024-01-06,7.3
2024-01-07,5.3
2024-01-08,11.6
2024-01-09,-9.7
2024-01-10,-1.4
2024-01-11,12.9
2024-01-12,19.9
2024-01-13,-16.2
2024-01-14,-17.4
2024-01-15,-15.3
2024-01-16,-13.9
2024-01-17,-2.3
2024-01-18,11.2
2024-01-19,-4.7
2024-01-20,-0.3
2024-01-21,-0.1
2024-01-22,-18.6
2024-01-23,-6.6
2024-01-24,-8.4
2024-01-25,18.6
2024-01-26,4.0
2024-01-27,-8.8
2024-01-28,-17.7
2024-01-29,-4.6
2024-01-30,-13.4
2024-01-31,-10.2
2024-02-01,-14.1
2024-02-02,-11.3
2024-02-03,-9.3
2024-02-04,17.0
2024-02-05,-12.2
2024-02-06,4.5
2024-02-07,-9.1
2024-02-08,2.9
2024-02-09,2.1
2024-02-10,19.4
2024-02-11,16.0
2024-02-12,10.6
2024-02-13,-1.2
2024-02-14,4.9
2024-02-15,-19.4
2024-02-16,-14.2
2024-02-17,12.4
2024-02-18,3.3
2024-02-19,2.1
2024-02-20,-4.3
2024-02-21,7.4
2024-02-22,8.9
2024-02-23,-11.9
2024-02-24,10.5
2024-02-25,15.1
2024-02-26,-15.4
2024-02-27,11.8
2024-02-28,-18.9
2024-02-29,10.6
2024-03-01,8.6
2024-03-02,19.0
2024-03-03,3.2
2024-03-04,9.0
2024-03-05,-2.1
2024-03-06,4.6
2024-03-07,19.1
2024-03-08,-1.3
2024-03-09,-17.7
2024-03-10,7.9
2024-03-11,16.1
2024-03-12,1.9
2024-03-13,8.8
2024-03-14,-0.3
2024-03-15,-3.2
2024-03-16,-8.6
2024-03-17,14.5
2024-03-18,17.8
2024-03-19,-9.9
2024-03-20,-14.3
2024-03-21,4.0
2024-03-22,16.7
2024-03-23,9.2
2024-03-24,-3.7
2024-03-25,15.5
2024-03-26,-11.5
2024-03-27,-13.8
2024-03-28,4.6
2024-03-29,16.0
2024-03-30,19.4
2024-03-31,5.9
2024-04-01,-12.7
2024-04-02,-18.4
2024-04-03,10.5
2024-04-04,-1.5
2024-04-05,10.1
2024-04-06,0.9
2024-04-07,1.4
2024-04-08,5.6
2024-04-09,-6.8
2024-04-10,-9.8
2024-04-11,6.4
2024-04-12,-13.5
2024-04-13,15.4
2024-04-14,12.0
2024-04-15,-11.4
2024-04-16,-17.7
2024-04-17,9.1
2024-04-18,-9.0
2024-04-19,9.7
2024-04-20,17.3
2024-04-21,-18.8
2024-04-22,16.2
2024-04-23,-2.4
2024-04-24,-10.1
2024-04-25,13.2
2024-04-26,-13.6
2024-04-27,0.6
2024-04-28,7.8
2024-04-29,15.4
2024-04-30,-0.7
2024-05-01,-8.0
2024-05-02,2.6
2024-05-03,9.9
2024-05-04,13.3
2024-05-05,14.1
2024-05-06,11.9
2024-05-07,3.1
2024-05-08,7.5
2024-05-09,15.3
2024-05-10,-12.5
2024-05-11,-13.6
2024-05-12,-19.2
2024-05-13,19.6
2024-05-14,1.2
2024-05-15,1.2
2024-05-16,-8.0
2024-05-17,-4.6
2024-05-18,-19.7
2024-05-19,-12.7
2024-05-20,19.0
2024-05-21,16.2
2024-05-22,-5.9
2024-05-23,-3.2
2024-05-24,-5.7
2024-05-25,9.4
2024-05-26,-5.0
2024-05-27,-19.0
2024-05-28,3.9
2024-05-29,16.2
2024-05-30,-4.3
2024-05-31,17.1
2024-06-01,-17.4
2024-06-02,18.4
2024-06-03,10.7
2024-06-04,11.1
2024-06-05,-3.3
2024-06-06,-18.5
2024-06-07,15.3
2024-06-08,-5.9
2024-06-09,-17.7
2024-06-10,5.1
2024-06-11,-11.6
2024-06-12,4.1
2024-06-13,-0.7
2024-06-14,12.8
2024-06-15,7.8
2024-06-16,-8.8
2024-06-17,12.1
2024-06-18,13.2
2024-06-19,-5.0
2024-06-20,-5.4
2024-06-21,-15.9
2024-06-22,-7.3
2024-06-23,10.6
2024-06-24,6.8
2024-06-25,9.3
2024-06-26,0.3
2024-06-27,9.4
2024-06-28,10.9
2024-06-29,0.6
2024-06-30,16.6
2024-07-01,10.5
2024-07-02,-13.9
2024-07-03,-18.9
2024-07-04,10.3
2024-07-05,18.1
2024-07-06,15.0
2024-07-07,-11.3
2024-07-08,-17.0
2024-07-09,2.2
2024-07-10,-4.7
2024-07-11,-14.3
2024-07-12,18.3
2024-07-13,6.4
2024-07-14,-11.2
2024-07-15,18.8
2024-07-16,-10.8
2024-07-17,-18.8
2024-07-18,0.6
2024-07-19,-3.6
2024-07-20,-13.8
2024-07-21,11.7
2024-07-22,-7.5
2024-07-23,-14.0
2024-07-24,-7.7
2024-07-25,-16.0
2024-07-26,19.4
2024-07-27,10.6
2024-07-28,-6.8
2024-07-29,9.3
2024-07-30,-4.5
2024-07-31,13.1
2024-08-01,-19.0
2024-08-02,-5.0
2024-08-03,16.7
2024-08-04,6.3
2024-08-05,3.9
2024-08-06,12.3
2024-08-07,3.6
2024-08-08,-4.2
2024-08-09,13.9
2024-08-10,-4.2
2024-08-11,-4.4
2024-08-12,-8.5
2024-08-13,19.8
2024-08-14,11.7
2024-08-15,2.9
2024-08-16,-15.8
2024-08-17,-15.7
2024-08-18,-8.3
2024-08-19,-15.6
2024-08-20,-10.0
2024-08-21,-3.7
2024-08-22,7.1
2024-08-23,-11.1
2024-08-24,6.6
2024-08-25,-18.0
2024-08-26,-5.1
2024-08-27,-4.6
2024-08-28,-18.9
2024-08-29,-12.7
2024-08-30,-7.1
2024-08-31,-14.5
2024-09-01,8.3
2024-09-02,-17.1
2024-09-03,-1.6
2024-09-04,-17.7
2024-09-05,-7.3
2024-09-06,-8.8
2024-09-07,13.2
2024-09-08,11.2
2024-09-09,-17.5
2024-09-10,3.3
2024-09-11,-7.0
2024-09-12,6.8
2024-09-13,-5.4
2024-09-14,15.5
2024-09-15,-0.9
2024-09-16,-8.1
2024-09-17,6.5
2024-09-18,5.5
2024-09-19,-19.9
2024-09-20,15.2
2024-09-21,14.5
2024-09-22,-3.3
2024-09-23,16.1
2024-09-24,12.1
2024-09-25,0.5
2024-09-26,15.3
2024-09-27,6.2
2024-09-28,-12.4
2024-09-29,-17.1
2024-09-30,13.4
2024-10-01,18.3
2024-10-02,11.0
2024-10-03,-17.6
2024-10-04,17.4
2024-10-05,-5.1
2024-10-06,-3.5
2024-10-07,-12.6
2024-10-08,-18.5
2024-10-09,-4.7
2024-10-10,12.0
2024-10-11,-0.4
2024-10-12,6.8
2024-10-13,9.1
2024-10-14,12.9
2024-10-15,12.4
2024-10-16,17.8
2024-10-17,-4.1
2024-10-18,8.6
2024-10-19,7.4
2024-10-20,16.9
2024-10-21,11.5
2024-10-22,-2.8
2024-10-23,14.8
2024-10-24,-1.0
2024-10-25,-1.5
2024-10-26,15.2
2024-10-27,-13.7
2024-10-28,-7.8
2024-10-29,-9.1
2024-10-30,3.6
2024-10-31,14.8
2024-11-01,-18.4
2024-11-02,19.4
2024-11-03,0.3
2024-11-04,-3.4
2024-11-05,9.2
2024-11-06,-16.7
2024-11-07,3.1
2024-11-08,9.9
2024-11-09,5.6
2024-11-10,3.9
2024-11-11,-5.3
2024-11-12,-8.6
2024-11-13,10.1
2024-11-14,-18.0
2024-11-15,13.0
2024-11-16,-4.8
2024-11-17,15.6
2024-11-18,-6.3
2024-11-19,-7.2
