date,temperature
2023-06-10,20.8
2023-06-11,19.1
2023-06-12,7.4
2023-06-13,20.9
2023-06-14,17.7
2023-06-15,11.6
2023-06-16,6.3
2023-06-17,12.1
2023-06-18,18.0
2023-06-19,20.9
2023-06-20,6.7
2023-06-21,1.3
2023-06-22,6.1
2023-06-23,12.8
2023-06-24,2.5
2023-06-25,15.3
2023-06-26,6.1
2023-06-27,16.1
2023-06-28,2.5
2023-06-29,8.5
2023-06-30,21.1
2023-07-01,15.5
2023-07-02,5.6
2023-07-03,5.7
2023-07-04,8.7
2023-07-05,12.8
2023-07-06,14.3
2023-07-07,13.9
2023-07-08,14.2
2023-07-09,7.8
2023-07-10,8.5
2023-07-11,6.5
2023-07-12,16.5
2023-07-13,22.4
2023-07-14,13.7
2023-07-15,13.9
2023-07-16,10.5
2023-07-17,2.5
2023-07-18,11.0
2023-07-19,8.6
2023-07-20,1.8
2023-07-21,24.1
2023-07-22,23.2
2023-07-23,3.8
2023-07-24,3.4
2023-07-25,19.6
2023-07-26,7.2
2023-07-27,17.5
2023-07-28,21.8
2023-07-29,14.5
2023-07-30,14.3
2023-07-31,25.0
2023-08-01,12.6
2023-08-02,14.3
2023-08-03,13.3
2023-08-04,15.0
2023-08-05,3.3
2023-08-06,6.3
2023-08-07,21.2
2023-08-08,6.5
2023-08-09,23.7
2023-08-10,3.2
2023-08-11,18.6
2023-08-12,15.2
2023-08-13,0.9
2023-08-14,0.5
2023-08-15,8.8
2023-08-16,23.6
2023-08-17,11.5
2023-08-18,13.3
2023-08-19,23.2
2023-08-20,24.3
2023-08-21,24.1
2023-08-22,1.9
2023-08-23,6.0
2023-08-24,2.1
2023-08-25,20.0
2023-08-26,17.0
2023-08-27,5.9
2023-08-28,20.5
2023-08-29,2.2
2023-08-30,12.6
2023-08-31,20.2
2023-09-01,22.7
2023-09-02,7.9
2023-09-03,18.6
2023-09-04,14.0
2023-09-05,19.6
2023-09-06,10.5
2023-09-07,9.6
2023-09-08,13.2
2023-09-09,19.7
2023-09-10,9.6
2023-09-11,23.1
2023-09-12,13.7
2023-09-13,1.9
2023-09-14,13.7
2023-09-15,0.0
2023-09-16,14.1
2023-09-17,23.4
2023-09-18,13.9
2023-09-19,17.0
2023-09-20,1.1
2023-09-21,11.0
2023-09-22,11.4
2023-09-23,23.6
2023-09-24,2.6
2023-09-25,12.2
2023-09-26,20.2
2023-09-27,13.5
2023-09-28,24.9
2023-09-29,24.6
2023-09-30,23.5
2023-10-01,3.2
2023-10-02,23.4
2023-10-03,7.5
2023-10-04,6.1
2023-10-05,1.6
2023-10-06,3.7
2023-10-07,1.8
2023-10-08,2.2
2023-10-09,12.7
2023-10-10,6.1
2023-10-11,2.5
2023-10-12,13.5
2023-10-13,7.8
2023-10-14,23.2
2023-10-15,13.4
2023-10-16,22.7
2023-10-17,22.4
2023-10-18,12.0
2023-10-19,11.5
2023-10-20,13.7
2023-10-21,12.0
2023-10-22,15.0
2023-10-23,22.8
2023-10-24,17.4
2023-10-25,11.5
2023-10-26,3.2
2023-10-27,15.4
2023-10-28,7.5
2023-10-29,9.8
2023-10-30,9.9
2023-10-31,9.9
2023-11-01,4.0
2023-11-02,18.1
2023-11-03,12.8
2023-11-04,23.3
2023-11-05,12.6
2023-11-06,7.6
2023-11-07,5.3
2023-11-08,2.5
2023-11-09,15.2
2023-11-10,22.6
2023-11-11,14.4
2023-11-12,14.2
2023-11-13,11.7
2023-11-14,12.1
2023-11-15,17.3
2023-11-16,16.6
2023-11-17,6.0
2023-11-18,20.2
2023-11-19,3.3
2023-11-20,6.3
2023-11-21,4.2
2023-11-22,1.2
2023-11-23,0.3
2023-11-24,9.2
2023-11-25,14.3
2023-11-26,20.7
2023-11-27,11.4
2023-11-28,9.2
2023-11-29,0.7
2023-11-30,18.9
2023-12-01,22.9
2023-12-02,2.1
2023-12-03,19.3
2023-12-04,3.2
2023-12-05,21.2
2023-12-06,15.5
2023-12-07,22.3
2023-12-08,3.8
2023-12-09,9.7
2023-12-10,13.6
2023-12-11,6.0
2023-12-12,3.7
2023-12-13,2.7
2023-12-14,9.7
2023-12-15,13.6
2023-12-16,8.1
2023-12-17,8.4
2023-12-18,10.6
2023-12-19,13.2
2023-12-20,8.5
2023-12-21,7.0
2023-12-22,22.5
2023-12-23,13.9
2023-12-24,5.1
2023-12-25,23.3
2023-12-26,22.1
2023-12-27,9.7
2023-12-28,4.2
2023-12-29,10.2
2023-12-30,7.5
2023-12-31,17.6
2024-01-01,3.0
2024-01-02,15.8
2024-01-03,7.2
2024-01-04,20.3
2024-01-05,23.1
2024-01-06,1.6
2024-01-07,22.5
2024-01-08,1.3
2024-01-09,22.4
2024-01-10,17.5
2024-01-11,10.9
2024-01-12,17.9
2024-01-13,14.3
2024-01-14,15.7
2024-01-15,4.9
2024-01-16,0.2
2024-01-17,11.6
2024-01-18,9.0
2024-01-19,19.4
2024-01-20,18.7
2024-01-21,12.1
2024-01-22,8.7
2024-01-23,1.3
2024-01-24,3.5
2024-01-25,17.9
2024-01-26,10.8
2024-01-27,14.1
2024-01-28,11.0
2024-01-29,14.6
2024-01-30,3.3
2024-01-31,15.1
2024-02-01,0.8
2024-02-02,17.0
2024-02-03,18.3
2024-02-04,12.1
2024-02-05,5.9
2024-02-06,13.2
2024-02-07,20.9
2024-02-08,14.0
2024-02-09,5.9
2024-02-10,7.3
2024-02-11,18.1
2024-02-12,19.3
2024-02-13,12.7
2024-02-14,23.6
2024-02-15,7.0
2024-02-16,23.8
2024-02-17,21.7
2024-02-18,4.7
2024-02-19,4.7
2024-02-20,4.9
2024-02-21,11.1
2024-02-22,13.9
2024-02-23,2.3
2024-02-24,22.3
2024-02-25,16.3
2024-02-26,1.5
2024-02-27,21.9
2024-02-28,15.6
2024-02-29,4.3
2024-03-01,17.7
2024-03-02,16.5
2024-03-03,22.7
2024-03-04,18.1
2024-03-05,22.1
2024-03-06,12.5
2024-03-07,8.1
2024-03-08,16.3
2024-03-09,21.3
2024-03-10,1.0
2024-03-11,23.6
2024-03-12,10.0
2024-03-13,18.0
2024-03-14,22.9
2024-03-15,20.5
2024-03-16,11.9
2024-03-17,0.3
2024-03-18,5.8
2024-03-19,16.8
2024-03-20,20.2
2024-03-21,3.3
2024-03-22,17.7
2024-03-23,15.2
2024-03-24,8.7
