date,temperature
2023-06-10,18.2
2023-06-11,3.1
2023-06-12,4.0
2023-06-13,0.0
2023-06-14,10.0
2023-06-15,1.5
2023-06-16,13.3
2023-06-17,18.2
2023-06-18,28.0
2023-06-19,27.8
2023-06-20,24.6
2023-06-21,1.4
2023-06-22,26.1
2023-06-23,19.6
2023-06-24,27.6
2023-06-25,21.6
2023-06-26,25.0
2023-06-27,16.0
2023-06-28,0.8
2023-06-29,16.9
2023-06-30,20.8
2023-07-01,10.3
2023-07-02,11.5
2023-07-03,1.6
2023-07-04,14.2
2023-07-05,1.7
2023-07-06,24.6
2023-07-07,15.4
2023-07-08,22.5
2023-07-09,5.8
2023-07-10,28.8
2023-07-11,17.0
2023-07-12,13.1
2023-07-13,1.6
2023-07-14,9.6
2023-07-15,29.5
2023-07-16,14.6
2023-07-17,29.2
2023-07-18,17.2
2023-07-19,13.8
2023-07-20,14.1
2023-07-21,7.9
2023-07-22,18.9
2023-07-23,25.9
2023-07-24,6.6
2023-07-25,15.6
2023-07-26,11.6
2023-07-27,2.3
2023-07-28,22.3
2023-07-29,23.5
2023-07-30,12.3
2023-07-31,5.7
2023-08-01,0.4
2023-08-02,29.4
2023-08-03,3.5
2023-08-04,22.3
2023-08-05,24.2
2023-08-06,22.5
2023-08-07,24.8
2023-08-08,11.9
2023-08-09,22.2
2023-08-10,26.6
2023-08-11,29.4
2023-08-12,4.5
2023-08-13,22.5
2023-08-14,10.2
2023-08-15,23.3
2023-08-16,5.2
2023-08-17,23.8
2023-08-18,24.2
2023-08-19,25.9
2023-08-20,21.7
2023-08-21,24.6
2023-08-22,1.0
2023-08-23,4.6
2023-08-24,28.2
2023-08-25,22.5
2023-08-26,16.9
2023-08-27,11.3
2023-08-28,11.3
2023-08-29,0.9
2023-08-30,16.1
2023-08-31,5.2
2023-09-01,7.9
2023-09-02,28.7
2023-09-03,10.6
2023-09-04,13.4
2023-09-05,17.8
2023-09-06,7.8
2023-09-07,1.1
2023-09-08,12.9
2023-09-09,27.8
2023-09-10,15.2
2023-09-11,5.6
2023-09-12,1.9
2023-09-13,15.0
2023-09-14,2.6
2023-09-15,16.5
2023-09-16,24.8
2023-09-17,28.0
2023-09-18,15.4
2023-09-19,13.0
2023-09-20,25.5
2023-09-21,16.2
2023-09-22,25.0
2023-09-23,29.6
2023-09-24,10.2
2023-09-25,7.1
2023-09-26,5.7
2023-09-27,27.6
2023-09-28,2.4
2023-09-29,18.9
2023-09-30,14.0
2023-10-01,8.8
2023-10-02,16.2
2023-10-03,9.5
2023-10-04,16.9
2023-10-05,3.7
2023-10-06,9.3
2023-10-07,7.8
2023-10-08,1.7
2023-10-09,20.0
2023-10-10,4.5
2023-10-11,27.4
2023-10-12,5.1
2023-10-13,24.6
2023-10-14,4.9
2023-10-15,25.6
2023-10-16,14.2
2023-10-17,15.9
2023-10-18,27.1
2023-10-19,29.5
2023-10-20,19.3
2023-10-21,0.9
2023-10-22,11.4
2023-10-23,11.8
2023-10-24,29.8
2023-10-25,4.7
2023-10-26,11.2
2023-10-27,28.0
2023-10-28,5.6
2023-10-29,26.8
2023-10-30,4.5
2023-10-31,29.8
2023-11-01,6.2
2023-11-02,14.9
2023-11-03,14.5
2023-11-04,6.5
2023-11-05,1.2
2023-11-06,6.7
2023-11-07,14.8
2023-11-08,15.3
2023-11-09,17.7
2023-11-10,10.0
2023-11-11,25.3
2023-11-12,0.6
2023-11-13,18.7
2023-11-14,14.1
2023-11-15,3.5
2023-11-16,17.6
2023-11-17,0.8
2023-11-18,13.1
2023-11-19,4.0
2023-11-20,18.0
2023-11-21,23.8
2023-11-22,15.4
2023-11-23,12.5
2023-11-24,8.3
2023-11-25,20.5
2023-11-26,14.1
2023-11-27,20.6
2023-11-28,28.6
2023-11-29,20.7
2023-11-30,25.5
2023-12-01,19.3
2023-12-02,21.2
2023-12-03,17.2
2023-12-04,20.1
2023-12-05,23.8
2023-12-06,4.5
2023-12-07,29.4
2023-12-08,25.6
2023-12-09,5.6
2023-12-10,16.4
2023-12-11,7.4
2023-12-12,16.9
2023-12-13,25.6
2023-12-14,0.9
2023-12-15,29.6
2023-12-16,17.9
2023-12-17,25.0
2023-12-18,0.1
2023-12-19,20.0
2023-12-20,7.9
2023-12-21,4.8
2023-12-22,22.7
2023-12-23,23.7
2023-12-24,14.1
2023-12-25,11.7
2023-12-26,17.0
2023-12-27,6.2
2023-12-28,26.7
2023-12-29,24.9
2023-12-30,27.2
2023-12-31,2.2
2024-01-01,6.2
2024-01-02,1.7
2024-01-03,11.7
2024-01-04,1.4
2024-01-05,7.6
2024-01-06,24.9
2024-01-07,28.0
2024-01-08,25.1
2024-01-09,12.8
2024-01-10,23.1
2024-01-11,15.1
2024-01-12,16.7
2024-01-13,13.4
2024-01-14,0.8
2024-01-15,4.1
2024-01-16,17.5
2024-01-17,7.8
2024-01-18,23.5
2024-01-19,9.7
2024-01-20,13.2
2024-01-21,5.1
2024-01-22,10.6
2024-01-23,26.9
2024-01-24,24.9
2024-01-25,28.8
2024-01-26,23.1
2024-01-27,14.0
2024-01-28,11.6
2024-01-29,10.1
2024-01-30,20.2
2024-01-31,18.9
2024-02-01,4.7
2024-02-02,22.7
2024-02-03,27.4
2024-02-04,1.7
2024-02-05,25.2
2024-02-06,9.0
2024-02-07,7.0
2024-02-08,3.0
2024-02-09,7.2
2024-02-10,8.7
2024-02-11,12.0
2024-02-12,29.7
2024-02-13,25.9
2024-02-14,23.4
2024-02-15,21.3
2024-02-16,2.8
2024-02-17,2.3
2024-02-18,21.8
2024-02-19,1.4
2024-02-20,4.6
2024-02-21,5.9
2024-02-22,27.7
2024-02-23,21.1
2024-02-24,23.2
2024-02-25,0.7
2024-02-26,17.0
2024-02-27,19.2
2024-02-28,3.6
2024-02-29,13.1
2024-03-01,22.0
2024-03-02,2.8
2024-03-03,1.0
2024-03-04,3.8
2024-03-05,27.3
2024-03-06,20.0
2024-03-07,22.0
2024-03-08,3.7
2024-03-09,2.6
2024-03-10,9.8
2024-03-11,12.5
2024-03-12,28.4
2024-03-13,0.8
2024-03-14,23.8
2024-03-15,13.0
2024-03-16,20.6
2024-03-17,20.1
2024-03-18,21.7
2024-03-19,13.1
2024-03-20,26.7
2024-03-21,12.3
2024-03-22,27.1
2024-03-23,13.3
2024-03-24,16.6
2024-03-25,6.5
2024-03-26,28.6
2024-03-27,10.9
2024-03-28,14.9
2024-03-29,10.9
2024-03-30,15.3
2024-03-31,21.4
2024-04-01,13.1
2024-04-02,9.7
2024-04-03,2.8
2024-04-04,24.8
2024-04-05,2.6
2024-04-06,6.4
2024-04-07,5.6
2024-04-08,29.9
2024-04-09,12.9
2024-04-10,13.8
2024-04-11,15.1
2024-04-12,4.3
2024-04-13,27.3
2024-04-14,23.9
2024-04-15,12.6
2024-04-16,23.5
2024-04-17,8.0
2024-04-18,11.5
2024-04-19,2.8
2024-04-20,25.1
2024-04-21,19.7
2024-04-22,6.0
2024-04-23,13.3
2024-04-24,13.6
2024-04-25,12.5
2024-04-26,0.7
2024-04-27,28.0
2024-04-28,9.3
2024-04-29,7.4
2024-04-30,14.0
2024-05-01,16.0
2024-05-02,20.1
2024-05-03,16.1
2024-05-04,1.1
2024-05-05,23.9
2024-05-06,11.3
2024-05-07,19.2
2024-05-08,28.0
2024-05-09,20.2
2024-05-10,28.3
2024-05-11,29.5
2024-05-12,23.9
2024-05-13,26.7
2024-05-14,29.4
2024-05-15,16.6
2024-05-16,19.3
2024-05-17,22.1
2024-05-18,25.7
2024-05-19,6.3
2024-05-20,21.4
2024-05-21,29.9
2024-05-22,26.9
2024-05-23,14.6
2024-05-24,20.1
2024-05-25,14.7
2024-05-26,24.0
2024-05-27,7.5
2024-05-28,12.6
2024-05-29,29.4
2024-05-30,2.3
2024-05-31,1.9
2024-06-01,26.0
2024-06-02,19.1
2024-06-03,0.0
2024-06-04,28.2
2024-06-05,4.7
2024-06-06,15.5
2024-06-07,28.4
2024-06-08,18.1
2024-06-09,29.9
2024-06-10,22.8
2024-06-11,12.7
2024-06-12,14.3
2024-06-13,8.4
2024-06-14,15.9
2024-06-15,12.6
2024-06-16,24.9
2024-06-17,23.6
2024-06-18,16.9
2024-06-19,13.9
2024-06-20,12.1
2024-06-21,15.5
2024-06-22,12.9
2024-06-23,24.4
2024-06-24,16.8
2024-06-25,12.7
2024-06-26,15.7
2024-06-27,26.7
2024-06-28,5.5
2024-06-29,26.2
2024-06-30,5.9
2024-07-01,14.7
2024-07-02,27.4
2024-07-03,20.7
2024-07-04,18.7
2024-07-05,3.7
2024-07-06,2.1
2024-07-07,11.3
2024-07-08,15.4
2024-07-09,8.5
2024-07-10,9.4
2024-07-11,8.4
2024-07-12,10.6
2024-07-13,9.2
2024-07-14,18.0
2024-07-15,6.0
2024-07-16,0.4
2024-07-17,13.3
2024-07-18,7.3
2024-07-19,21.9
2024-07-20,4.6
2024-07-21,21.7
2024-07-22,1.8
2024-07-23,0.5
2024-07-24,25.6
2024-07-25,6.4
2024-07-26,17.4
2024-07-27,23.3
2024-07-28,0.8
2024-07-29,8.6
2024-07-30,23.3
2024-07-31,5.1
2024-08-01,27.6
2024-08-02,3.3
2024-08-03,25.4
2024-08-04,9.1
2024-08-05,5.4
2024-08-06,9.3
2024-08-07,3.8
2024-08-08,9.9
2024-08-09,14.6
2024-08-10,8.2
2024-08-11,8.3
2024-08-12,11.4
2024-08-13,13.1
2024-08-14,4.2
2024-08-15,13.2
2024-08-16,11.3
2024-08-17,21.7
2024-08-18,12.7
