date,temperature
2023-06-10,35.7
2023-06-11,17.9
2023-06-12,12.2
2023-06-13,25.6
2023-06-14,29.0
2023-06-15,14.3
2023-06-16,18.7
2023-06-17,19.0
2023-06-18,27.6
2023-06-19,10.3
2023-06-20,27.4
2023-06-21,28.0
2023-06-22,21.4
2023-06-23,13.5
2023-06-24,39.7
2023-06-25,18.0
2023-06-26,10.8
2023-06-27,30.6
2023-06-28,14.6
2023-06-29,27.5
2023-06-30,21.9
2023-07-01,32.6
2023-07-02,22.7
2023-07-03,12.8
2023-07-04,19.5
2023-07-05,36.2
2023-07-06,16.6
2023-07-07,39.8
2023-07-08,36.7
2023-07-09,14.3
2023-07-10,15.1
2023-07-11,20.0
2023-07-12,19.2
2023-07-13,24.0
2023-07-14,22.1
2023-07-15,11.9
2023-07-16,17.0
2023-07-17,14.7
2023-07-18,27.7
2023-07-19,29.3
2023-07-20,17.5
2023-07-21,34.3
2023-07-22,39.4
2023-07-23,28.4
2023-07-24,21.7
2023-07-25,24.3
2023-07-26,31.8
2023-07-27,31.5
2023-07-28,14.6
2023-07-29,29.3
2023-07-30,29.3
2023-07-31,13.9
2023-08-01,30.1
2023-08-02,26.8
2023-08-03,30.4
2023-08-04,26.2
2023-08-05,21.2
2023-08-06,11.7
2023-08-07,36.8
2023-08-08,26.3
2023-08-09,28.9
2023-08-10,18.0
2023-08-11,17.7
2023-08-12,26.8
2023-08-13,13.3
2023-08-14,22.5
2023-08-15,21.1
2023-08-16,16.9
2023-08-17,34.2
2023-08-18,37.8
2023-08-19,16.3
2023-08-20,20.8
2023-08-21,18.1
2023-08-22,33.2
2023-08-23,31.2
2023-08-24,24.7
2023-08-25,33.2
2023-08-26,14.3
2023-08-27,29.6
2023-08-28,15.6
2023-08-29,38.3
2023-08-30,18.0
2023-08-31,12.7
2023-09-01,13.7
2023-09-02,14.0
2023-09-03,22.4
2023-09-04,23.7
2023-09-05,29.7
2023-09-06,20.7
2023-09-07,19.4
2023-09-08,35.4
2023-09-09,26.1
2023-09-10,26.8
2023-09-11,36.3
2023-09-12,28.4
2023-09-13,26.3
2023-09-14,13.4
2023-09-15,23.0
2023-09-16,34.9
2023-09-17,34.7
2023-09-18,18.3
2023-09-19,33.8
2023-09-20,31.3
2023-09-21,16.3
2023-09-22,28.1
2023-09-23,35.2
2023-09-24,31.0
2023-09-25,34.3
2023-09-26,38.9
2023-09-27,15.8
2023-09-28,27.8
2023-09-29,27.2
2023-09-30,14.7
2023-10-01,35.9
2023-10-02,15.1
2023-10-03,28.0
2023-10-04,37.0
2023-10-05,15.6
2023-10-06,11.7
2023-10-07,37.9
2023-10-08,20.6
2023-10-09,26.3
2023-10-10,28.3
2023-10-11,21.9
2023-10-12,15.3
2023-10-13,29.5
2023-10-14,36.1
2023-10-15,21.2
2023-10-16,36.1
2023-10-17,17.5
2023-10-18,11.2
2023-10-19,22.7
2023-10-20,21.1
2023-10-21,12.5
2023-10-22,20.0
2023-10-23,16.6
2023-10-24,20.8
2023-10-25,12.0
2023-10-26,26.2
2023-10-27,38.3
2023-10-28,31.5
2023-10-29,19.5
2023-10-30,32.6
2023-10-31,15.6
2023-11-01,13.8
2023-11-02,23.8
2023-11-03,17.3
2023-11-04,13.1
2023-11-05,10.9
2023-11-06,34.8
2023-11-07,12.8
2023-11-08,23.9
2023-11-09,34.9
2023-11-10,32.5
2023-11-11,17.6
2023-11-12,20.0
2023-11-13,18.8
2023-11-14,17.0
2023-11-15,34.7
2023-11-16,32.4
2023-11-17,28.8
2023-11-18,23.1
2023-11-19,36.0
2023-11-20,14.6
2023-11-21,14.7
2023-11-22,15.0
2023-11-23,36.2
2023-11-24,23.4
2023-11-25,16.4
2023-11-26,20.3
2023-11-27,36.6
2023-11-28,16.7
2023-11-29,35.3
2023-11-30,13.8
2023-12-01,29.6
2023-12-02,34.8
2023-12-03,22.1
2023-12-04,37.6
2023-12-05,22.8
2023-12-06,38.3
2023-12-07,14.6
2023-12-08,13.4
2023-12-09,25.4
2023-12-10,26.0
2023-12-11,29.9
2023-12-12,22.0
2023-12-13,13.8
2023-12-14,39.1
2023-12-15,30.1
2023-12-16,26.0
2023-12-17,13.2
2023-12-18,21.3
2023-12-19,38.7
2023-12-20,16.7
2023-12-21,22.0
2023-12-22,32.7
2023-12-23,39.3
2023-12-24,25.8
2023-12-25,24.3
2023-12-26,31.7
2023-12-27,34.9
2023-12-28,30.6
2023-12-29,32.9
2023-12-30,25.9
2023-12-31,34.1
2024-01-01,25.6
2024-01-02,29.2
2024-01-03,27.9
2024-01-04,35.6
2024-01-05,11.1
2024-01-06,13.6
2024-01-07,17.2
2024-01-08,11.8
2024-01-09,11.4
2024-01-10,39.0
2024-01-11,39.5
2024-01-12,25.5
2024-01-13,21.6
2024-01-14,38.0
2024-01-15,18.2
2024-01-16,34.8
2024-01-17,39.4
2024-01-18,19.4
2024-01-19,27.0
2024-01-20,30.1
2024-01-21,17.0
2024-01-22,17.4
2024-01-23,32.5
2024-01-24,19.7
2024-01-25,39.2
2024-01-26,19.0
2024-01-27,32.0
2024-01-28,37.0
2024-01-29,35.7
2024-01-30,13.6
2024-01-31,24.8
2024-02-01,24.5
2024-02-02,37.4
2024-02-03,37.8
2024-02-04,21.6
2024-02-05,29.6
2024-02-06,11.7
2024-02-07,19.5
2024-02-08,37.8
2024-02-09,22.1
2024-02-10,31.8
2024-02-11,10.9
2024-02-12,26.6
2024-02-13,36.6
2024-02-14,14.7
2024-02-15,10.5
2024-02-16,12.5
2024-02-17,15.9
2024-02-18,26.9
2024-02-19,26.2
2024-02-20,17.4
2024-02-21,29.3
2024-02-22,17.5
2024-02-23,10.7
2024-02-24,12.3
2024-02-25,36.3
2024-02-26,29.5
2024-02-27,20.1
2024-02-28,19.3
2024-02-29,20.1
2024-03-01,21.6
2024-03-02,24.4
2024-03-03,20.4
2024-03-04,37.9
2024-03-05,28.7
2024-03-06,34.7
2024-03-07,19.5
2024-03-08,27.7
2024-03-09,32.2
2024-03-10,11.8
2024-03-11,19.9
2024-03-12,15.8
2024-03-13,16.0
2024-03-14,25.7
2024-03-15,38.9
2024-03-16,30.1
2024-03-17,14.9
2024-03-18,12.4
2024-03-19,20.2
2024-03-20,24.7
2024-03-21,28.5
2024-03-22,25.6
2024-03-23,21.9
2024-03-24,28.0
2024-03-25,38.6
2024-03-26,36.5
2024-03-27,21.4
2024-03-28,38.3
2024-03-29,20.6
2024-03-30,17.2
2024-03-31,29.0
2024-04-01,14.6
2024-04-02,23.6
2024-04-03,13.8
2024-04-04,37.2
2024-04-05,15.5
2024-04-06,13.9
2024-04-07,14.8
2024-04-08,32.9
2024-04-09,20.0
2024-04-10,36.3
2024-04-11,17.4
2024-04-12,14.9
2024-04-13,15.5
2024-04-14,23.9
2024-04-15,14.0
2024-04-16,17.9
2024-04-17,35.3
2024-04-18,14.1
2024-04-19,35.6
2024-04-20,39.0
2024-04-21,31.2
2024-04-22,10.7
2024-04-23,39.5
2024-04-24,28.7
2024-04-25,20.5
2024-04-26,28.6
2024-04-27,13.9
2024-04-28,24.3
2024-04-29,27.3
2024-04-30,33.7
2024-05-01,33.8
2024-05-02,37.1
