date,temperature
2023-06-10,-9.6
2023-06-11,6.7
2023-06-12,3.3
2023-06-13,27.3
2023-06-14,27.0
2023-06-15,-1.3
2023-06-16,5.5
2023-06-17,-0.5
2023-06-18,-6.3
2023-06-19,21.0
2023-06-20,-7.3
2023-06-21,6.3
2023-06-22,25.9
2023-06-23,17.3
2023-06-24,7.4
2023-06-25,21.2
2023-06-26,22.1
2023-06-27,25.3
2023-06-28,-8.8
2023-06-29,-2.6
2023-06-30,22.8
2023-07-01,18.2
2023-07-02,26.5
2023-07-03,23.5
2023-07-04,20.5
2023-07-05,29.6
2023-07-06,20.7
2023-07-07,27.1
2023-07-08,21.6
2023-07-09,17.7
2023-07-10,-1.1
2023-07-11,-4.1
2023-07-12,12.7
2023-07-13,21.3
2023-07-14,0.4
2023-07-15,-8.9
2023-07-16,4.0
2023-07-17,0.3
2023-07-18,4.3
2023-07-19,3.9
2023-07-20,-6.0
2023-07-21,13.5
2023-07-22,-3.1
2023-07-23,-3.9
2023-07-24,13.3
2023-07-25,21.5
2023-07-26,16.9
2023-07-27,-3.5
2023-07-28,11.0
2023-07-29,28.4
2023-07-30,9.9
2023-07-31,16.0
2023-08-01,-8.1
2023-08-02,21.9
2023-08-03,7.6
2023-08-04,11.7
2023-08-05,15.7
2023-08-06,19.2
2023-08-07,-10.0
2023-08-08,29.3
2023-08-09,7.1
2023-08-10,18.4
2023-08-11,25.8
2023-08-12,-7.7
2023-08-13,2.3
2023-08-14,27.5
2023-08-15,0.2
2023-08-16,-6.9
2023-08-17,-7.0
2023-08-18,7.7
2023-08-19,27.9
2023-08-20,18.1
2023-08-21,8.4
2023-08-22,21.0
2023-08-23,25.8
2023-08-24,2.6
2023-08-25,19.6
2023-08-26,27.7
2023-08-27,21.6
2023-08-28,6.6
2023-08-29,6.7
2023-08-30,4.9
2023-08-31,3.8
2023-09-01,6.3
2023-09-02,21.8
2023-09-03,-8.1
2023-09-04,28.9
2023-09-05,24.1
2023-09-06,29.8
2023-09-07,9.8
2023-09-08,8.3
2023-09-09,13.2
2023-09-10,12.7
2023-09-11,21.3
2023-09-12,13.5
2023-09-13,-2.1
2023-09-14,9.3
2023-09-15,14.0
2023-09-16,9.3
2023-09-17,2.7
2023-09-18,28.7
2023-09-19,21.7
2023-09-20,5.5
2023-09-21,6.9
2023-09-22,2.9
2023-09-23,18.5
2023-09-24,-9.2
2023-09-25,16.3
2023-09-26,23.7
2023-09-27,19.0
2023-09-28,30.0
2023-09-29,24.5
2023-09-30,12.2
2023-10-01,10.2
2023-10-02,-4.8
2023-10-03,17.2
2023-10-04,0.6
2023-10-05,1.3
2023-10-06,20.5
2023-10-07,5.4
2023-10-08,-7.4
2023-10-09,8.5
2023-10-10,17.7
2023-10-11,23.6
2023-10-12,19.1
2023-10-13,26.1
2023-10-14,12.7
2023-10-15,7.3
2023-10-16,4.5
2023-10-17,12.9
2023-10-18,-9.0
2023-10-19,3.5
2023-10-20,12.5
2023-10-21,-5.3
2023-10-22,13.1
2023-10-23,3.6
2023-10-24,8.8
2023-10-25,3.4
2023-10-26,-7.5
2023-10-27,29.3
2023-10-28,3.6
2023-10-29,8.1
2023-10-30,-3.0
2023-10-31,-8.8
2023-11-01,12.6
2023-11-02,-9.8
2023-11-03,-8.1
2023-11-04,14.4
2023-11-05,-9.1
2023-11-06,-4.6
2023-11-07,21.5
2023-11-08,14.4
2023-11-09,-1.3
2023-11-10,19.0
2023-11-11,-6.2
