date,temperature
2023-06-10,-17.8
2023-06-11,4.4
2023-06-12,0.0
2023-06-13,-6.3
2023-06-14,-17.2
2023-06-15,12.1
2023-06-16,-7.0
2023-06-17,-19.9
2023-06-18,-6.0
2023-06-19,-1.0
2023-06-20,15.1
2023-06-21,4.7
2023-06-22,10.9
2023-06-23,-2.4
2023-06-24,9.9
2023-06-25,6.6
2023-06-26,-7.7
2023-06-27,-17.9
2023-06-28,6.8
2023-06-29,5.0
2023-06-30,12.1
2023-07-01,0.5
2023-07-02,-8.4
2023-07-03,13.8
2023-07-04,17.9
2023-07-05,5.3
2023-07-06,-8.6
2023-07-07,16.6
2023-07-08,-7.7
2023-07-09,5.2
2023-07-10,9.5
2023-07-11,4.6
2023-07-12,10.8
2023-07-13,0.2
2023-07-14,18.0
2023-07-15,19.7
2023-07-16,-13.2
2023-07-17,12.0
2023-07-18,12.0
2023-07-19,1.7
2023-07-20,12.8
2023-07-21,1.0
2023-07-22,9.4
2023-07-23,-6.8
2023-07-24,16.7
2023-07-25,-17.0
2023-07-26,19.9
2023-07-27,-15.9
2023-07-28,8.2
2023-07-29,-5.8
2023-07-30,4.1
2023-07-31,-19.8
2023-08-01,14.7
2023-08-02,0.5
2023-08-03,-5.5
2023-08-04,-10.2
2023-08-05,-8.8
2023-08-06,-1.3
2023-08-07,8.2
2023-08-08,-1.5
2023-08-09,-2.8
2023-08-10,-15.9
2023-08-11,-1.9
2023-08-12,-14.4
2023-08-13,0.1
2023-08-14,-7.3
2023-08-15,-3.4
2023-08-16,-9.1
2023-08-17,-5.0
2023-08-18,-5.7
2023-08-19,18.9
2023-08-20,-12.2
2023-08-21,13.6
2023-08-22,-18.0
2023-08-23,3.7
2023-08-24,-17.4
2023-08-25,-8.5
2023-08-26,-16.5
2023-08-27,11.7
2023-08-28,0.0
2023-08-29,0.2
2023-08-30,-19.7
2023-08-31,-19.9
2023-09-01,-12.7
2023-09-02,18.5
2023-09-03,17.9
2023-09-04,16.7
2023-09-05,10.8
2023-09-06,14.7
2023-09-07,14.6
2023-09-08,-2.6
2023-09-09,-2.1
2023-09-10,-8.6
2023-09-11,9.7
2023-09-12,-5.6
2023-09-13,-18.2
2023-09-14,-9.6
2023-09-15,11.0
2023-09-16,9.9
2023-09-17,0.7
2023-09-18,16.9
2023-09-19,5.3
2023-09-20,-13.1
2023-09-21,-2.7
2023-09-22,15.8
2023-09-23,-9.9
2023-09-24,13.5
2023-09-25,-5.3
2023-09-26,3.7
2023-09-27,6.7
2023-09-28,-18.9
2023-09-29,5.6
2023-09-30,-1.9
2023-10-01,-14.3
2023-10-02,12.6
2023-10-03,-12.1
2023-10-04,-15.2
2023-10-05,-3.7
2023-10-06,9.0
2023-10-07,11.2
2023-10-08,5.6
2023-10-09,-0.4
2023-10-10,-4.5
2023-10-11,-9.6
2023-10-12,0.6
2023-10-13,-3.0
2023-10-14,-16.8
2023-10-15,-19.8
2023-10-16,-6.3
2023-10-17,-11.9
2023-10-18,5.5
2023-10-19,-0.8
2023-10-20,10.5
2023-10-21,-9.9
2023-10-22,-5.9
2023-10-23,6.8
2023-10-24,3.7
2023-10-25,-19.3
2023-10-26,-8.4
2023-10-27,13.3
2023-10-28,16.0
2023-10-29,-11.8
2023-10-30,0.3
2023-10-31,-11.5
2023-11-01,-19.5
2023-11-02,10.7
2023-11-03,10.2
2023-11-04,14.8
2023-11-05,-4.4
2023-11-06,-5.8
2023-11-07,5.1
2023-11-08,-19.4
2023-11-09,-0.1
2023-11-10,3.0
2023-11-11,3.2
2023-11-12,-14.6
2023-11-13,9.6
2023-11-14,13.1
2023-11-15,-5.0
2023-11-16,14.2
2023-11-17,-18.0
2023-11-18,-19.5
2023-11-19,-12.2
2023-11-20,-12.3
2023-11-21,14.1
2023-11-22,-1.1
2023-11-23,8.8
2023-11-24,14.3
2023-11-25,12.4
2023-11-26,-17.5
2023-11-27,3.8
2023-11-28,-5.2
2023-11-29,-17.9
2023-11-30,6.4
2023-12-01,1.4
2023-12-02,0.6
2023-12-03,-10.9
2023-12-04,2.9
2023-12-05,16.2
2023-12-06,-12.7
2023-12-07,-14.3
2023-12-08,18.8
2023-12-09,-11.8
2023-12-10,-12.8
2023-12-11,-8.1
2023-12-12,6.4
2023-12-13,18.9
2023-12-14,15.1
2023-12-15,-16.0
2023-12-16,-5.0
2023-12-17,-0.0
2023-12-18,-8.4
2023-12-19,-8.4
2023-12-20,11.3
2023-12-21,2.4
2023-12-22,-14.9
2023-12-23,14.0
2023-12-24,-7.0
2023-12-25,-10.7
2023-12-26,-12.3
2023-12-27,-17.7
2023-12-28,9.4
2023-12-29,-17.0
2023-12-30,-0.5
2023-12-31,-7.3
