date,temperature
2023-06-10,-1.6
2023-06-11,7.9
2023-06-12,12.7
2023-06-13,-17.6
2023-06-14,-9.9
2023-06-15,-10.9
2023-06-16,-15.0
2023-06-17,0.0
2023-06-18,18.7
2023-06-19,-15.1
2023-06-20,-9.1
2023-06-21,2.7
2023-06-22,-13.1
2023-06-23,20.0
2023-06-24,1.2
2023-06-25,14.1
2023-06-26,-9.5
2023-06-27,-4.9
2023-06-28,-14.7
2023-06-29,11.1
2023-06-30,4.7
2023-07-01,-9.5
2023-07-02,9.3
2023-07-03,-5.2
2023-07-04,-17.6
2023-07-05,-10.6
2023-07-06,18.1
2023-07-07,-0.4
2023-07-08,-12.5
2023-07-09,-11.2
2023-07-10,9.6
2023-07-11,-0.7
2023-07-12,-2.5
2023-07-13,-16.5
2023-07-14,4.9
2023-07-15,-13.1
2023-07-16,7.0
2023-07-17,-16.0
2023-07-18,-17.3
2023-07-19,14.8
2023-07-20,-0.0
2023-07-21,-15.0
2023-07-22,3.8
2023-07-23,-13.3
2023-07-24,-3.7
2023-07-25,-9.2
2023-07-26,0.5
2023-07-27,-5.0
2023-07-28,14.8
2023-07-29,15.8
2023-07-30,14.4
2023-07-31,12.5
2023-08-01,2.6
2023-08-02,7.9
2023-08-03,-14.0
2023-08-04,-3.1
2023-08-05,-6.6
2023-08-06,0.3
2023-08-07,16.3
2023-08-08,-5.8
2023-08-09,-14.6
2023-08-10,-10.4
2023-08-11,1.4
2023-08-12,-1.0
2023-08-13,-6.5
2023-08-14,13.9
2023-08-15,-4.4
2023-08-16,-11.5
2023-08-17,8.1
2023-08-18,-19.4
2023-08-19,-1.1
2023-08-20,3.9
2023-08-21,4.0
2023-08-22,-2.6
2023-08-23,-11.8
2023-08-24,9.1
2023-08-25,-4.9
2023-08-26,-3.6
2023-08-27,8.1
2023-08-28,11.2
2023-08-29,18.4
2023-08-30,-9.6
2023-08-31,0.8
2023-09-01,4.6
2023-09-02,7.8
2023-09-03,2.6
2023-09-04,5.8
2023-09-05,-9.7
2023-09-06,18.6
2023-09-07,5.6
2023-09-08,-8.7
2023-09-09,15.7
2023-09-10,-14.6
2023-09-11,2.5
2023-09-12,-10.2
2023-09-13,0.2
2023-09-14,19.7
2023-09-15,2.0
2023-09-16,17.2
2023-09-17,12.7
2023-09-18,12.3
2023-09-19,13.7
2023-09-20,9.7
2023-09-21,-11.9
2023-09-22,-8.5
2023-09-23,-0.7
2023-09-24,-5.1
2023-09-25,-18.1
2023-09-26,9.0
2023-09-27,6.4
2023-09-28,-18.8
2023-09-29,-16.3
2023-09-30,-1.7
2023-10-01,-14.2
2023-10-02,-4.0
2023-10-03,6.2
2023-10-04,-2.1
2023-10-05,-5.1
2023-10-06,-3.7
2023-10-07,-3.3
2023-10-08,-13.3
