date,temperature
2023-06-10,5.3
2023-06-11,21.8
2023-06-12,30.2
2023-06-13,23.9
2023-06-14,23.4
2023-06-15,27.0
2023-06-16,18.6
2023-06-17,14.5
2023-06-18,33.7
2023-06-19,32.6
2023-06-20,5.9
2023-06-21,14.0
2023-06-22,21.3
2023-06-23,26.8
2023-06-24,35.0
2023-06-25,27.9
2023-06-26,29.2
2023-06-27,25.3
2023-06-28,20.1
2023-06-29,32.7
2023-06-30,11.7
2023-07-01,28.1
2023-07-02,8.8
2023-07-03,12.0
2023-07-04,22.2
2023-07-05,26.8
2023-07-06,33.8
2023-07-07,30.1
2023-07-08,33.0
2023-07-09,20.6
2023-07-10,33.8
2023-07-11,24.9
2023-07-12,12.9
2023-07-13,32.8
2023-07-14,8.0
2023-07-15,23.9
2023-07-16,7.1
2023-07-17,16.1
2023-07-18,14.6
2023-07-19,31.0
2023-07-20,24.3
2023-07-21,9.4
2023-07-22,28.1
2023-07-23,12.1
2023-07-24,9.8
2023-07-25,19.0
2023-07-26,31.2
2023-07-27,18.2
2023-07-28,12.9
2023-07-29,20.7
2023-07-30,13.6
2023-07-31,31.9
2023-08-01,25.8
2023-08-02,6.9
2023-08-03,6.7
2023-08-04,24.5
2023-08-05,34.8
2023-08-06,32.4
2023-08-07,19.8
2023-08-08,15.3
2023-08-09,8.3
2023-08-10,30.5
2023-08-11,24.9
2023-08-12,17.4
2023-08-13,24.7
2023-08-14,31.7
2023-08-15,29.6
2023-08-16,31.8
2023-08-17,15.9
2023-08-18,30.7
2023-08-19,29.5
2023-08-20,16.0
2023-08-21,30.0
2023-08-22,34.5
2023-08-23,34.5
2023-08-24,5.7
2023-08-25,12.4
2023-08-26,29.2
2023-08-27,11.5
2023-08-28,29.4
2023-08-29,14.3
2023-08-30,29.9
2023-08-31,30.5
2023-09-01,27.0
2023-09-02,19.5
2023-09-03,10.6
2023-09-04,19.6
2023-09-05,6.2
2023-09-06,11.0
2023-09-07,18.1
2023-09-08,12.0
2023-09-09,22.1
2023-09-10,14.6
2023-09-11,12.9
2023-09-12,22.0
2023-09-13,7.2
2023-09-14,24.5
2023-09-15,14.4
2023-09-16,10.8
2023-09-17,20.0
2023-09-18,13.6
2023-09-19,28.1
2023-09-20,20.2
2023-09-21,6.2
2023-09-22,16.8
2023-09-23,31.0
2023-09-24,5.9
2023-09-25,19.5
2023-09-26,5.7
2023-09-27,9.2
2023-09-28,19.4
2023-09-29,26.3
2023-09-30,32.0
2023-10-01,26.2
2023-10-02,15.1
2023-10-03,18.5
2023-10-04,33.9
2023-10-05,22.7
2023-10-06,20.5
2023-10-07,22.9
2023-10-08,15.5
2023-10-09,28.9
2023-10-10,7.0
2023-10-11,9.4
2023-10-12,23.2
2023-10-13,22.2
2023-10-14,7.8
2023-10-15,20.0
2023-10-16,12.8
2023-10-17,16.7
2023-10-18,28.2
2023-10-19,25.9
2023-10-20,16.5
2023-10-21,9.9
2023-10-22,29.5
2023-10-23,24.9
2023-10-24,28.4
2023-10-25,34.1
2023-10-26,19.8
2023-10-27,23.8
2023-10-28,34.2
2023-10-29,30.9
2023-10-30,7.7
2023-10-31,16.9
2023-11-01,7.5
2023-11-02,26.6
2023-11-03,16.8
2023-11-04,20.5
2023-11-05,26.0
2023-11-06,24.9
2023-11-07,28.6
2023-11-08,13.5
2023-11-09,24.3
2023-11-10,14.5
2023-11-11,25.4
2023-11-12,11.6
2023-11-13,12.4
2023-11-14,32.6
2023-11-15,33.7
2023-11-16,23.7
2023-11-17,18.8
2023-11-18,15.1
2023-11-19,14.5
2023-11-20,26.2
2023-11-21,10.7
2023-11-22,5.8
2023-11-23,33.6
2023-11-24,33.9
2023-11-25,23.7
2023-11-26,33.1
2023-11-27,32.8
2023-11-28,12.2
2023-11-29,20.7
2023-11-30,5.1
2023-12-01,31.5
2023-12-02,15.0
2023-12-03,22.1
2023-12-04,25.4
2023-12-05,28.5
2023-12-06,10.7
2023-12-07,6.9
2023-12-08,8.1
2023-12-09,14.7
2023-12-10,22.8
2023-12-11,14.7
2023-12-12,19.1
2023-12-13,34.8
2023-12-14,19.9
2023-12-15,31.9
2023-12-16,30.5
2023-12-17,8.5
2023-12-18,21.5
2023-12-19,32.2
2023-12-20,7.8
2023-12-21,11.7
2023-12-22,30.2
2023-12-23,23.0
2023-12-24,25.4
2023-12-25,17.8
2023-12-26,32.8
2023-12-27,7.3
2023-12-28,21.3
2023-12-29,32.4
2023-12-30,22.0
2023-12-31,8.1
2024-01-01,21.2
2024-01-02,20.1
2024-01-03,29.8
2024-01-04,27.7
2024-01-05,22.6
2024-01-06,28.6
2024-01-07,22.7
2024-01-08,32.4
2024-01-09,20.5
2024-01-10,20.9
2024-01-11,6.1
2024-01-12,15.5
2024-01-13,12.9
2024-01-14,33.5
2024-01-15,9.7
2024-01-16,16.9
2024-01-17,17.7
2024-01-18,16.8
2024-01-19,21.6
2024-01-20,17.5
2024-01-21,29.5
2024-01-22,29.6
2024-01-23,33.7
2024-01-24,32.7
2024-01-25,8.6
2024-01-26,25.3
2024-01-27,32.6
2024-01-28,34.2
2024-01-29,27.5
2024-01-30,17.0
2024-01-31,33.9
2024-02-01,32.9
2024-02-02,13.5
2024-02-03,15.1
2024-02-04,15.2
2024-02-05,7.0
2024-02-06,29.5
2024-02-07,8.2
2024-02-08,7.7
2024-02-09,26.3
2024-02-10,22.0
2024-02-11,13.6
2024-02-12,7.2
2024-02-13,11.3
2024-02-14,5.2
2024-02-15,24.5
2024-02-16,21.9
2024-02-17,18.7
2024-02-18,28.3
2024-02-19,5.1
2024-02-20,11.6
2024-02-21,10.0
2024-02-22,8.1
2024-02-23,18.6
2024-02-24,25.5
2024-02-25,13.3
2024-02-26,32.7
2024-02-27,25.2
2024-02-28,16.2
2024-02-29,20.4
2024-03-01,26.8
2024-03-02,27.5
2024-03-03,23.1
2024-03-04,12.8
2024-03-05,24.4
2024-03-06,8.5
2024-03-07,21.5
2024-03-08,22.6
2024-03-09,13.3
2024-03-10,30.5
2024-03-11,14.4
2024-03-12,33.3
2024-03-13,22.9
2024-03-14,33.0
2024-03-15,27.0
2024-03-16,19.0
2024-03-17,8.4
2024-03-18,14.1
2024-03-19,12.0
2024-03-20,24.3
2024-03-21,5.3
2024-03-22,13.2
2024-03-23,11.8
2024-03-24,20.7
2024-03-25,26.2
2024-03-26,29.7
2024-03-27,25.2
2024-03-28,8.6
2024-03-29,21.4
2024-03-30,11.9
2024-03-31,5.5
2024-04-01,17.7
2024-04-02,17.6
2024-04-03,30.7
2024-04-04,8.6
2024-04-05,35.0
2024-04-06,5.7
2024-04-07,23.3
2024-04-08,16.7
2024-04-09,23.0
2024-04-10,9.1
2024-04-11,12.1
2024-04-12,10.4
2024-04-13,7.3
2024-04-14,15.2
2024-04-15,34.4
2024-04-16,15.4
2024-04-17,17.6
2024-04-18,32.9
2024-04-19,19.4
2024-04-20,21.7
2024-04-21,12.8
2024-04-22,12.1
2024-04-23,28.7
2024-04-24,17.2
2024-04-25,8.4
2024-04-26,31.7
2024-04-27,31.0
2024-04-28,24.8
2024-04-29,31.4
2024-04-30,10.0
2024-05-01,24.6
2024-05-02,9.7
2024-05-03,18.8
2024-05-04,28.6
2024-05-05,23.0
2024-05-06,12.6
2024-05-07,33.8
2024-05-08,21.3
2024-05-09,7.4
2024-05-10,34.8
2024-05-11,24.9
2024-05-12,11.4
2024-05-13,29.5
2024-05-14,20.6
2024-05-15,12.8
2024-05-16,21.8
2024-05-17,11.0
2024-05-18,20.8
2024-05-19,28.7
2024-05-20,9.2
2024-05-21,30.7
2024-05-22,22.1
2024-05-23,31.6
2024-05-24,14.4
2024-05-25,19.3
2024-05-26,6.4
2024-05-27,18.4
2024-05-28,5.9
2024-05-29,27.7
2024-05-30,21.2
2024-05-31,30.3
2024-06-01,6.3
2024-06-02,20.8
2024-06-03,25.0
2024-06-04,26.4
2024-06-05,10.0
2024-06-06,7.5
2024-06-07,12.2
2024-06-08,16.5
2024-06-09,33.6
2024-06-10,16.8
2024-06-11,11.3
2024-06-12,12.6
2024-06-13,27.2
2024-06-14,7.4
2024-06-15,8.5
2024-06-16,13.5
2024-06-17,15.7
2024-06-18,33.4
2024-06-19,17.1
2024-06-20,16.3
2024-06-21,17.4
2024-06-22,32.5
2024-06-23,27.4
2024-06-24,10.6
2024-06-25,16.2
2024-06-26,10.3
2024-06-27,9.1
2024-06-28,19.0
2024-06-29,30.3
2024-06-30,18.4
2024-07-01,33.3
2024-07-02,33.2
2024-07-03,24.8
2024-07-04,13.4
2024-07-05,31.5
2024-07-06,22.9
2024-07-07,12.8
2024-07-08,33.9
2024-07-09,22.3
2024-07-10,26.2
2024-07-11,29.1
2024-07-12,34.9
2024-07-13,15.4
2024-07-14,15.8
2024-07-15,11.5
2024-07-16,17.0
2024-07-17,16.1
2024-07-18,15.5
2024-07-19,7.1
2024-07-20,9.4
2024-07-21,24.8
2024-07-22,15.4
2024-07-23,17.9
2024-07-24,8.8
2024-07-25,9.3
2024-07-26,28.4
2024-07-27,7.1
2024-07-28,6.8
2024-07-29,7.4
2024-07-30,15.2
2024-07-31,24.0
2024-08-01,12.5
2024-08-02,22.3
2024-08-03,23.8
2024-08-04,23.7
2024-08-05,28.3
2024-08-06,29.9
2024-08-07,31.6
2024-08-08,33.3
2024-08-09,26.6
2024-08-10,15.6
2024-08-11,10.0
2024-08-12,33.7
2024-08-13,12.9
2024-08-14,33.8
2024-08-15,18.4
2024-08-16,25.6
2024-08-17,24.3
2024-08-18,16.5
2024-08-19,22.6
2024-08-20,18.7
2024-08-21,15.2
2024-08-22,15.6
2024-08-23,29.1
2024-08-24,24.0
2024-08-25,14.2
2024-08-26,11.7
2024-08-27,6.7
2024-08-28,17.0
2024-08-29,13.1
2024-08-30,34.9
2024-08-31,10.5
2024-09-01,11.3
2024-09-02,31.5
2024-09-03,19.6
2024-09-04,20.5
2024-09-05,26.3
2024-09-06,10.6
2024-09-07,14.6
2024-09-08,7.6
2024-09-09,34.9
2024-09-10,26.5
2024-09-11,6.7
2024-09-12,13.8
2024-09-13,9.7
2024-09-14,31.7
2024-09-15,15.7
2024-09-16,11.1
2024-09-17,24.8
2024-09-18,25.8
2024-09-19,6.1
2024-09-20,7.0
2024-09-21,23.6
2024-09-22,27.8
2024-09-23,14.7
2024-09-24,28.7
2024-09-25,18.1
2024-09-26,23.4
2024-09-27,33.6
2024-09-28,10.2
2024-09-29,30.3
2024-09-30,24.8
2024-10-01,20.7
2024-10-02,30.0
2024-10-03,21.4
2024-10-04,25.1
2024-10-05,30.2
2024-10-06,21.3
2024-10-07,15.0
2024-10-08,30.0
2024-10-09,32.9
2024-10-10,12.2
2024-10-11,25.3
2024-10-12,20.0
2024-10-13,21.0
2024-10-14,17.5
2024-10-15,22.6
2024-10-16,22.8
