date,temperature
2023-06-10,22.4
2023-06-11,12.0
2023-06-12,10.5
2023-06-13,17.9
2023-06-14,33.0
2023-06-15,32.5
2023-06-16,30.2
2023-06-17,16.5
2023-06-18,10.6
2023-06-19,34.9
2023-06-20,16.7
2023-06-21,29.4
2023-06-22,21.8
2023-06-23,29.9
2023-06-24,25.0
2023-06-25,20.9
2023-06-26,10.9
2023-06-27,28.2
2023-06-28,10.7
2023-06-29,31.0
2023-06-30,20.7
2023-07-01,30.2
2023-07-02,34.7
2023-07-03,31.1
2023-07-04,22.7
2023-07-05,19.5
2023-07-06,26.2
2023-07-07,8.6
2023-07-08,34.7
2023-07-09,24.5
2023-07-10,32.9
2023-07-11,14.8
2023-07-12,8.6
2023-07-13,7.6
2023-07-14,10.5
2023-07-15,27.7
2023-07-16,24.9
2023-07-17,24.7
2023-07-18,12.7
2023-07-19,10.0
2023-07-20,26.1
2023-07-21,24.7
2023-07-22,20.0
2023-07-23,33.3
2023-07-24,26.0
2023-07-25,34.6
2023-07-26,15.5
2023-07-27,5.7
2023-07-28,8.8
2023-07-29,23.3
2023-07-30,28.1
2023-07-31,16.8
2023-08-01,7.9
2023-08-02,12.0
2023-08-03,34.0
2023-08-04,12.8
2023-08-05,18.4
2023-08-06,6.3
2023-08-07,12.7
2023-08-08,7.4
2023-08-09,20.0
2023-08-10,21.9
2023-08-11,28.7
2023-08-12,8.8
2023-08-13,7.5
2023-08-14,12.6
2023-08-15,28.3
2023-08-16,12.6
2023-08-17,13.6
2023-08-18,20.6
2023-08-19,5.2
2023-08-20,16.4
2023-08-21,16.3
2023-08-22,27.8
2023-08-23,20.9
2023-08-24,29.3
2023-08-25,32.2
2023-08-26,30.5
2023-08-27,10.8
2023-08-28,27.5
2023-08-29,31.1
2023-08-30,32.5
2023-08-31,33.9
2023-09-01,8.3
2023-09-02,15.1
2023-09-03,6.2
2023-09-04,34.6
2023-09-05,29.8
2023-09-06,9.5
2023-09-07,11.3
2023-09-08,12.8
2023-09-09,26.4
2023-09-10,24.9
2023-09-11,16.4
2023-09-12,20.0
2023-09-13,31.8
2023-09-14,8.0
2023-09-15,12.9
2023-09-16,6.5
2023-09-17,17.6
2023-09-18,17.9
2023-09-19,25.7
2023-09-20,12.1
2023-09-21,21.1
2023-09-22,15.9
2023-09-23,8.9
2023-09-24,28.7
2023-09-25,12.0
2023-09-26,15.9
2023-09-27,29.6
2023-09-28,11.1
2023-09-29,34.8
2023-09-30,29.0
2023-10-01,18.4
2023-10-02,34.3
2023-10-03,26.7
2023-10-04,34.0
2023-10-05,15.7
2023-10-06,14.4
2023-10-07,12.3
2023-10-08,21.5
2023-10-09,29.5
2023-10-10,6.0
2023-10-11,17.2
2023-10-12,25.2
2023-10-13,16.7
2023-10-14,16.4
2023-10-15,19.1
2023-10-16,29.9
2023-10-17,27.4
2023-10-18,18.8
2023-10-19,11.3
2023-10-20,7.3
2023-10-21,8.0
2023-10-22,24.1
2023-10-23,7.3
2023-10-24,17.0
2023-10-25,5.8
2023-10-26,33.4
2023-10-27,15.3
2023-10-28,14.2
2023-10-29,31.4
2023-10-30,31.7
2023-10-31,12.9
2023-11-01,9.3
2023-11-02,22.1
2023-11-03,18.0
2023-11-04,26.9
2023-11-05,14.4
2023-11-06,13.0
2023-11-07,23.0
2023-11-08,15.4
2023-11-09,28.1
2023-11-10,11.7
2023-11-11,33.3
2023-11-12,11.6
2023-11-13,34.4
2023-11-14,23.3
2023-11-15,26.3
2023-11-16,23.0
2023-11-17,25.3
2023-11-18,22.7
2023-11-19,25.9
2023-11-20,22.0
2023-11-21,9.3
2023-11-22,32.0
2023-11-23,18.6
2023-11-24,33.5
2023-11-25,31.4
2023-11-26,34.1
2023-11-27,16.9
2023-11-28,32.2
2023-11-29,34.5
2023-11-30,28.9
2023-12-01,6.4
2023-12-02,31.8
2023-12-03,17.9
2023-12-04,27.7
2023-12-05,25.9
2023-12-06,34.6
2023-12-07,6.1
2023-12-08,28.8
2023-12-09,12.8
2023-12-10,5.5
2023-12-11,32.9
2023-12-12,26.3
2023-12-13,22.2
2023-12-14,28.0
2023-12-15,8.1
2023-12-16,12.1
2023-12-17,16.0
2023-12-18,25.2
2023-12-19,32.8
2023-12-20,7.4
2023-12-21,30.9
2023-12-22,7.0
2023-12-23,25.9
2023-12-24,20.5
2023-12-25,29.8
2023-12-26,5.9
2023-12-27,12.6
2023-12-28,11.9
2023-12-29,23.8
2023-12-30,20.4
2023-12-31,13.8
2024-01-01,34.8
2024-01-02,23.6
2024-01-03,13.3
2024-01-04,6.7
2024-01-05,14.1
2024-01-06,20.7
2024-01-07,21.3
2024-01-08,16.6
2024-01-09,32.7
2024-01-10,26.5
2024-01-11,32.3
2024-01-12,9.2
2024-01-13,17.1
