date,temperature
2023-06-10,-19.7
2023-06-11,10.3
2023-06-12,18.4
2023-06-13,6.8
2023-06-14,8.5
2023-06-15,-6.4
2023-06-16,12.3
2023-06-17,-1.1
2023-06-18,10.0
2023-06-19,8.6
2023-06-20,-1.9
2023-06-21,16.2
2023-06-22,-1.2
2023-06-23,-15.3
2023-06-24,-9.8
2023-06-25,-13.0
2023-06-26,9.0
2023-06-27,13.6
2023-06-28,-14.5
2023-06-29,-4.3
2023-06-30,-16.2
2023-07-01,5.0
2023-07-02,-18.2
2023-07-03,-0.8
2023-07-04,16.8
2023-07-05,8.8
2023-07-06,8.5
2023-07-07,-8.8
2023-07-08,-8.3
2023-07-09,10.8
2023-07-10,-14.2
2023-07-11,16.4
2023-07-12,13.5
2023-07-13,-19.7
2023-07-14,16.3
2023-07-15,13.6
2023-07-16,-14.6
2023-07-17,7.1
2023-07-18,-13.8
2023-07-19,-16.3
2023-07-20,5.7
2023-07-21,-0.7
2023-07-22,-12.5
2023-07-23,-3.4
2023-07-24,11.2
2023-07-25,14.4
2023-07-26,-6.0
2023-07-27,13.7
2023-07-28,19.4
2023-07-29,10.7
2023-07-30,-8.8
2023-07-31,15.5
2023-08-01,-19.4
2023-08-02,3.3
2023-08-03,13.9
2023-08-04,10.4
2023-08-05,-6.6
2023-08-06,-16.2
2023-08-07,-0.6
2023-08-08,-10.3
2023-08-09,-19.9
2023-08-10,-6.0
2023-08-11,7.5
2023-08-12,6.2
2023-08-13,9.3
2023-08-14,13.4
2023-08-15,12.8
2023-08-16,12.7
2023-08-17,-4.6
2023-08-18,-4.6
2023-08-19,19.6
2023-08-20,-15.1
2023-08-21,-18.9
2023-08-22,6.5
2023-08-23,-14.4
2023-08-24,4.4
2023-08-25,-10.1
2023-08-26,10.2
2023-08-27,10.7
2023-08-28,13.2
2023-08-29,13.9
2023-08-30,14.8
2023-08-31,-4.5
2023-09-01,-11.6
2023-09-02,6.8
2023-09-03,-18.0
2023-09-04,-5.6
2023-09-05,15.3
2023-09-06,-13.7
2023-09-07,-1.0
2023-09-08,-2.4
2023-09-09,-18.1
2023-09-10,-5.5
2023-09-11,-2.7
2023-09-12,-11.5
2023-09-13,9.1
2023-09-14,-11.4
2023-09-15,-10.2
2023-09-16,13.1
2023-09-17,11.8
2023-09-18,8.0
2023-09-19,-9.6
2023-09-20,10.0
2023-09-21,-6.3
2023-09-22,-12.8
2023-09-23,-6.7
2023-09-24,-12.2
2023-09-25,10.8
2023-09-26,-18.1
2023-09-27,16.2
2023-09-28,-15.9
2023-09-29,3.4
2023-09-30,-5.9
2023-10-01,19.3
2023-10-02,12.7
2023-10-03,6.8
2023-10-04,1.0
2023-10-05,14.3
2023-10-06,-9.3
2023-10-07,18.5
2023-10-08,-18.2
2023-10-09,-13.2
2023-10-10,13.0
2023-10-11,6.3
2023-10-12,-10.9
2023-10-13,2.1
2023-10-14,19.1
2023-10-15,9.9
2023-10-16,18.5
2023-10-17,-11.5
2023-10-18,9.6
2023-10-19,-14.3
2023-10-20,-9.0
2023-10-21,13.6
2023-10-22,-8.1
2023-10-23,-9.3
2023-10-24,14.1
2023-10-25,12.9
2023-10-26,-10.9
2023-10-27,7.2
2023-10-28,3.8
2023-10-29,16.0
2023-10-30,-14.1
2023-10-31,-8.2
2023-11-01,14.3
2023-11-02,-18.4
2023-11-03,-17.1
2023-11-04,-15.5
2023-11-05,15.0
2023-11-06,4.4
2023-11-07,-2.9
2023-11-08,-12.1
2023-11-09,-1.6
2023-11-10,19.0
2023-11-11,-7.3
2023-11-12,-4.4
2023-11-13,15.8
2023-11-14,-17.3
2023-11-15,5.2
2023-11-16,19.8
2023-11-17,-0.5
2023-11-18,-0.9
2023-11-19,5.7
2023-11-20,-13.3
2023-11-21,3.4
2023-11-22,18.5
2023-11-23,-6.0
2023-11-24,-8.1
2023-11-25,7.7
2023-11-26,-0.5
2023-11-27,-12.7
2023-11-28,2.2
2023-11-29,3.3
2023-11-30,-10.8
2023-12-01,16.7
2023-12-02,-6.5
2023-12-03,3.6
2023-12-04,-15.4
2023-12-05,-2.1
2023-12-06,-11.3
2023-12-07,-11.0
2023-12-08,-5.1
2023-12-09,-17.9
2023-12-10,5.4
2023-12-11,-10.6
2023-12-12,12.6
2023-12-13,-0.8
2023-12-14,13.8
2023-12-15,-16.4
2023-12-16,-10.9
2023-12-17,-15.2
2023-12-18,4.9
2023-12-19,1.3
2023-12-20,4.2
2023-12-21,-17.8
2023-12-22,5.5
2023-12-23,-16.9
2023-12-24,-5.3
2023-12-25,-17.5
2023-12-26,17.8
2023-12-27,11.0
2023-12-28,-14.0
2023-12-29,19.0
2023-12-30,6.6
2023-12-31,-11.6
2024-01-01,-11.3
2024-01-02,-16.2
2024-01-03,2.3
2024-01-04,13.0
2024-01-05,-5.1
2024-01-06,15.5
2024-01-07,17.8
2024-01-08,-3.9
2024-01-09,12.4
2024-01-10,-7.1
2024-01-11,-14.8
2024-01-12,4.5
2024-01-13,-0.7
2024-01-14,13.8
2024-01-15,5.9
2024-01-16,-10.0
2024-01-17,-9.0
2024-01-18,19.6
2024-01-19,17.6
2024-01-20,14.0
2024-01-21,-8.1
2024-01-22,-9.4
2024-01-23,-10.7
2024-01-24,1.6
2024-01-25,7.4
2024-01-26,11.9
2024-01-27,10.8
2024-01-28,-11.5
2024-01-29,-0.8
2024-01-30,13.5
2024-01-31,-19.6
2024-02-01,-8.6
2024-02-02,9.2
2024-02-03,14.0
2024-02-04,-16.9
2024-02-05,1.5
2024-02-06,1.3
2024-02-07,-12.0
2024-02-08,15.7
2024-02-09,-11.6
2024-02-10,-15.3
2024-02-11,5.6
2024-02-12,-5.2
2024-02-13,14.9
2024-02-14,2.0
2024-02-15,12.1
2024-02-16,-9.3
2024-02-17,5.7
2024-02-18,6.4
2024-02-19,-13.5
2024-02-20,-15.8
2024-02-21,11.6
2024-02-22,19.0
2024-02-23,7.9
2024-02-24,-3.7
2024-02-25,-10.4
2024-02-26,-0.2
2024-02-27,13.6
2024-02-28,18.8
2024-02-29,18.5
2024-03-01,-18.0
2024-03-02,-13.0
2024-03-03,-7.2
2024-03-04,16.7
2024-03-05,13.8
2024-03-06,9.1
2024-03-07,-18.9
2024-03-08,1.2
2024-03-09,1.5
2024-03-10,5.1
2024-03-11,-12.5
2024-03-12,8.8
2024-03-13,10.1
2024-03-14,-10.3
2024-03-15,17.1
2024-03-16,15.0
2024-03-17,4.9
2024-03-18,2.2
2024-03-19,-17.0
2024-03-20,16.4
2024-03-21,-19.5
2024-03-22,7.5
2024-03-23,1.6
2024-03-24,12.7
2024-03-25,-4.0
2024-03-26,19.0
2024-03-27,17.2
2024-03-28,5.7
2024-03-29,5.1
2024-03-30,-10.3
2024-03-31,9.9
2024-04-01,13.8
2024-04-02,-9.1
2024-04-03,6.1
2024-04-04,-0.9
2024-04-05,-17.8
2024-04-06,8.8
2024-04-07,2.7
2024-04-08,-10.6
2024-04-09,13.4
2024-04-10,-13.5
2024-04-11,-13.6
2024-04-12,-5.6
2024-04-13,2.0
2024-04-14,6.1
2024-04-15,-4.7
2024-04-16,-15.8
2024-04-17,6.2
2024-04-18,-6.9
2024-04-19,-1.5
2024-04-20,9.6
2024-04-21,7.1
2024-04-22,13.8
2024-04-23,1.5
2024-04-24,-7.5
2024-04-25,8.9
2024-04-26,-17.9
2024-04-27,0.1
2024-04-28,5.1
2024-04-29,4.1
2024-04-30,15.1
2024-05-01,-18.1
2024-05-02,18.8
2024-05-03,18.2
2024-05-04,6.9
2024-05-05,13.6
2024-05-06,19.8
2024-05-07,-5.6
2024-05-08,-6.8
2024-05-09,-10.7
2024-05-10,-15.3
2024-05-11,10.6
2024-05-12,-2.6
2024-05-13,-8.8
2024-05-14,-10.7
2024-05-15,9.0
2024-05-16,-10.9
2024-05-17,-10.9
2024-05-18,-9.2
2024-05-19,13.4
2024-05-20,0.5
2024-05-21,-19.3
2024-05-22,15.9
2024-05-23,-18.1
2024-05-24,7.9
2024-05-25,13.5
2024-05-26,-9.0
2024-05-27,-18.9
2024-05-28,-9.1
2024-05-29,-7.2
2024-05-30,-4.8
2024-05-31,14.0
2024-06-01,-19.6
2024-06-02,-19.7
2024-06-03,-10.5
2024-06-04,-17.9
2024-06-05,-13.9
2024-06-06,-11.8
2024-06-07,7.0
2024-06-08,2.0
