date,temperature
2023-06-10,31.6
2023-06-11,11.1
2023-06-12,34.5
2023-06-13,36.2
2023-06-14,12.9
2023-06-15,31.7
2023-06-16,22.1
2023-06-17,19.5
2023-06-18,25.5
2023-06-19,27.4
2023-06-20,24.4
2023-06-21,20.6
2023-06-22,15.3
2023-06-23,36.2
2023-06-24,23.0
2023-06-25,22.9
2023-06-26,36.1
2023-06-27,13.0
2023-06-28,10.8
2023-06-29,24.4
2023-06-30,38.2
2023-07-01,20.4
2023-07-02,27.8
2023-07-03,35.7
2023-07-04,19.2
2023-07-05,35.9
2023-07-06,19.6
2023-07-07,27.9
2023-07-08,14.4
2023-07-09,35.7
2023-07-10,32.4
2023-07-11,39.9
2023-07-12,12.9
2023-07-13,18.5
2023-07-14,31.8
2023-07-15,15.5
2023-07-16,38.1
2023-07-17,30.0
2023-07-18,31.7
2023-07-19,28.0
2023-07-20,16.3
2023-07-21,27.9
2023-07-22,36.8
2023-07-23,17.5
2023-07-24,20.9
2023-07-25,30.3
2023-07-26,14.6
2023-07-27,15.1
2023-07-28,16.1
2023-07-29,17.4
2023-07-30,30.2
2023-07-31,12.4
2023-08-01,20.2
2023-08-02,32.2
2023-08-03,21.6
2023-08-04,14.3
2023-08-05,17.0
2023-08-06,18.0
2023-08-07,32.3
2023-08-08,27.6
2023-08-09,23.0
2023-08-10,31.2
2023-08-11,37.8
2023-08-12,38.1
2023-08-13,11.3
2023-08-14,28.4
2023-08-15,22.1
2023-08-16,37.2
2023-08-17,10.7
2023-08-18,27.7
2023-08-19,11.5
2023-08-20,15.4
2023-08-21,26.2
2023-08-22,18.7
2023-08-23,12.8
2023-08-24,13.3
2023-08-25,37.2
2023-08-26,27.5
2023-08-27,23.8
2023-08-28,33.4
2023-08-29,18.0
2023-08-30,13.6
2023-08-31,37.2
2023-09-01,28.1
2023-09-02,18.0
2023-09-03,25.3
2023-09-04,28.4
2023-09-05,11.0
2023-09-06,17.1
2023-09-07,31.4
2023-09-08,29.9
2023-09-09,18.6
2023-09-10,16.4
2023-09-11,13.8
2023-09-12,15.5
2023-09-13,25.8
2023-09-14,22.7
2023-09-15,14.2
2023-09-16,24.1
2023-09-17,39.8
2023-09-18,16.7
2023-09-19,17.6
2023-09-20,21.8
2023-09-21,33.7
2023-09-22,31.1
2023-09-23,33.4
2023-09-24,25.7
2023-09-25,38.0
2023-09-26,27.1
2023-09-27,25.1
2023-09-28,36.0
2023-09-29,19.1
2023-09-30,28.2
2023-10-01,37.1
2023-10-02,16.0
2023-10-03,13.8
2023-10-04,34.8
2023-10-05,18.4
2023-10-06,39.3
2023-10-07,18.8
2023-10-08,25.6
2023-10-09,24.1
2023-10-10,26.5
2023-10-11,27.5
2023-10-12,17.3
2023-10-13,36.6
2023-10-14,15.0
2023-10-15,29.8
2023-10-16,16.0
2023-10-17,19.4
2023-10-18,12.6
2023-10-19,32.6
2023-10-20,11.6
2023-10-21,14.2
2023-10-22,29.7
2023-10-23,26.9
2023-10-24,36.0
2023-10-25,16.8
2023-10-26,20.0
2023-10-27,13.0
2023-10-28,30.9
2023-10-29,20.8
2023-10-30,38.0
2023-10-31,11.8
2023-11-01,26.9
2023-11-02,11.3
2023-11-03,32.2
2023-11-04,26.5
2023-11-05,33.5
2023-11-06,35.1
2023-11-07,14.7
2023-11-08,20.1
2023-11-09,12.0
2023-11-10,14.9
2023-11-11,37.2
2023-11-12,14.4
2023-11-13,28.0
2023-11-14,25.0
2023-11-15,16.9
2023-11-16,12.9
2023-11-17,22.4
2023-11-18,27.7
2023-11-19,18.8
2023-11-20,27.4
2023-11-21,37.2
2023-11-22,10.5
2023-11-23,14.4
2023-11-24,31.4
2023-11-25,14.4
2023-11-26,35.1
2023-11-27,36.3
2023-11-28,25.9
2023-11-29,10.0
2023-11-30,38.4
2023-12-01,11.0
2023-12-02,16.3
2023-12-03,13.3
2023-12-04,22.6
2023-12-05,28.5
2023-12-06,20.6
2023-12-07,13.2
2023-12-08,13.4
2023-12-09,37.3
2023-12-10,36.9
2023-12-11,37.3
2023-12-12,13.3
2023-12-13,17.6
2023-12-14,33.7
2023-12-15,16.4
2023-12-16,27.7
2023-12-17,36.0
2023-12-18,24.7
2023-12-19,21.8
2023-12-20,31.0
2023-12-21,39.0
2023-12-22,33.8
2023-12-23,36.2
2023-12-24,39.4
2023-12-25,36.5
2023-12-26,37.2
2023-12-27,13.2
2023-12-28,34.5
2023-12-29,33.7
2023-12-30,15.2
2023-12-31,26.5
2024-01-01,16.9
2024-01-02,18.0
2024-01-03,22.3
2024-01-04,21.0
2024-01-05,31.5
2024-01-06,36.4
2024-01-07,11.3
2024-01-08,13.5
2024-01-09,29.7
2024-01-10,24.9
2024-01-11,34.1
2024-01-12,34.7
2024-01-13,34.6
2024-01-14,39.7
2024-01-15,16.2
2024-01-16,24.6
2024-01-17,23.4
2024-01-18,34.9
2024-01-19,20.9
2024-01-20,37.4
2024-01-21,28.5
2024-01-22,36.9
2024-01-23,36.4
2024-01-24,34.2
2024-01-25,24.9
2024-01-26,23.5
2024-01-27,22.0
2024-01-28,31.1
2024-01-29,16.5
2024-01-30,39.9
2024-01-31,18.9
2024-02-01,18.5
2024-02-02,30.3
2024-02-03,12.6
2024-02-04,24.3
2024-02-05,34.1
2024-02-06,38.8
2024-02-07,36.5
2024-02-08,32.4
2024-02-09,36.2
2024-02-10,30.3
2024-02-11,36.5
2024-02-12,20.6
2024-02-13,25.4
2024-02-14,15.9
2024-02-15,17.6
2024-02-16,35.2
2024-02-17,20.6
2024-02-18,37.3
2024-02-19,10.3
2024-02-20,25.3
2024-02-21,26.0
2024-02-22,36.6
2024-02-23,35.0
2024-02-24,24.2
2024-02-25,27.3
2024-02-26,26.1
2024-02-27,12.2
2024-02-28,11.5
2024-02-29,38.3
2024-03-01,34.9
2024-03-02,21.0
2024-03-03,35.8
2024-03-04,26.5
2024-03-05,23.0
2024-03-06,11.7
2024-03-07,28.9
2024-03-08,38.9
2024-03-09,33.1
2024-03-10,20.5
2024-03-11,25.0
2024-03-12,30.7
2024-03-13,33.7
2024-03-14,20.9
2024-03-15,23.6
2024-03-16,22.3
2024-03-17,38.5
2024-03-18,36.5
2024-03-19,22.3
2024-03-20,22.8
2024-03-21,34.4
2024-03-22,12.1
2024-03-23,22.0
2024-03-24,18.3
2024-03-25,38.9
2024-03-26,25.3
2024-03-27,15.3
2024-03-28,37.1
2024-03-29,37.3
2024-03-30,13.8
2024-03-31,21.5
2024-04-01,31.9
2024-04-02,25.9
2024-04-03,36.8
2024-04-04,36.8
2024-04-05,15.8
2024-04-06,29.6
2024-04-07,25.4
2024-04-08,26.1
2024-04-09,10.5
2024-04-10,32.0
2024-04-11,18.2
2024-04-12,15.8
2024-04-13,38.5
2024-04-14,27.4
2024-04-15,18.5
2024-04-16,16.1
2024-04-17,25.8
2024-04-18,29.6
2024-04-19,37.9
2024-04-20,30.6
2024-04-21,19.9
2024-04-22,37.1
2024-04-23,15.2
2024-04-24,11.1
2024-04-25,21.6
2024-04-26,25.1
2024-04-27,15.5
2024-04-28,22.8
2024-04-29,11.6
2024-04-30,13.1
2024-05-01,16.9
2024-05-02,14.8
2024-05-03,21.1
2024-05-04,12.6
2024-05-05,32.9
2024-05-06,28.4
2024-05-07,37.4
2024-05-08,12.2
2024-05-09,32.0
2024-05-10,17.8
2024-05-11,28.0
2024-05-12,15.9
2024-05-13,10.1
2024-05-14,26.8
2024-05-15,25.5
2024-05-16,34.1
2024-05-17,15.1
2024-05-18,22.3
2024-05-19,29.3
2024-05-20,34.6
2024-05-21,24.2
2024-05-22,35.5
2024-05-23,31.9
2024-05-24,25.0
2024-05-25,38.5
2024-05-26,23.3
2024-05-27,33.3
2024-05-28,12.1
2024-05-29,17.1
2024-05-30,30.5
2024-05-31,27.5
2024-06-01,34.5
2024-06-02,39.6
2024-06-03,19.0
2024-06-04,30.8
2024-06-05,10.8
2024-06-06,20.5
2024-06-07,17.5
2024-06-08,14.3
2024-06-09,10.9
2024-06-10,27.3
2024-06-11,25.9
2024-06-12,31.6
2024-06-13,29.4
2024-06-14,11.0
2024-06-15,18.2
2024-06-16,22.0
2024-06-17,38.4
2024-06-18,19.4
2024-06-19,14.3
2024-06-20,26.8
2024-06-21,33.5
2024-06-22,20.5
2024-06-23,24.6
2024-06-24,22.9
2024-06-25,17.9
2024-06-26,32.8
2024-06-27,11.2
2024-06-28,23.9
2024-06-29,11.8
2024-06-30,28.3
2024-07-01,23.8
2024-07-02,20.0
2024-07-03,20.8
2024-07-04,38.3
2024-07-05,35.0
2024-07-06,11.6
2024-07-07,14.4
2024-07-08,29.0
2024-07-09,32.4
2024-07-10,32.7
2024-07-11,14.7
2024-07-12,26.3
2024-07-13,24.4
2024-07-14,21.5
2024-07-15,35.7
2024-07-16,25.6
2024-07-17,19.9
2024-07-18,20.6
2024-07-19,29.9
2024-07-20,22.1
2024-07-21,29.7
2024-07-22,37.7
2024-07-23,13.6
2024-07-24,15.1
2024-07-25,21.6
2024-07-26,34.1
2024-07-27,16.1
2024-07-28,39.0
