date,temperature
2023-06-10,1.8
2023-06-11,3.9
2023-06-12,1.6
2023-06-13,16.2
2023-06-14,10.0
2023-06-15,-14.8
2023-06-16,-6.1
2023-06-17,14.2
2023-06-18,-11.5
2023-06-19,-5.4
2023-06-20,5.1
2023-06-21,0.0
2023-06-22,-1.7
2023-06-23,-1.6
2023-06-24,-7.2
2023-06-25,-3.4
2023-06-26,0.0
2023-06-27,2.4
2023-06-28,16.4
2023-06-29,10.8
2023-06-30,-5.6
2023-07-01,21.6
2023-07-02,0.8
2023-07-03,22.5
2023-07-04,8.3
2023-07-05,8.7
2023-07-06,-11.8
2023-07-07,14.2
2023-07-08,-11.9
2023-07-09,15.6
2023-07-10,-12.7
2023-07-11,-8.0
2023-07-12,-2.2
2023-07-13,3.0
2023-07-14,-13.3
2023-07-15,24.8
2023-07-16,-9.6
2023-07-17,-10.7
2023-07-18,-5.4
2023-07-19,18.9
2023-07-20,3.3
2023-07-21,16.5
2023-07-22,24.9
2023-07-23,5.7
2023-07-24,-0.9
2023-07-25,1.2
2023-07-26,-2.0
2023-07-27,-6.2
2023-07-28,19.0
2023-07-29,-4.9
2023-07-30,9.9
2023-07-31,17.9
2023-08-01,24.1
2023-08-02,3.3
2023-08-03,8.2
2023-08-04,-5.9
2023-08-05,5.1
2023-08-06,6.0
2023-08-07,3.8
2023-08-08,3.0
2023-08-09,8.0
2023-08-10,-9.9
2023-08-11,1.3
2023-08-12,-1.5
2023-08-13,22.4
2023-08-14,-6.2
2023-08-15,8.1
2023-08-16,21.4
2023-08-17,21.2
2023-08-18,11.9
2023-08-19,-7.1
2023-08-20,-11.6
2023-08-21,-5.9
2023-08-22,23.6
2023-08-23,12.0
2023-08-24,10.3
2023-08-25,18.6
2023-08-26,-14.9
2023-08-27,10.0
2023-08-28,-1.0
2023-08-29,3.6
2023-08-30,11.5
2023-08-31,8.5
2023-09-01,13.5
2023-09-02,5.2
2023-09-03,-8.5
2023-09-04,6.5
2023-09-05,-11.4
2023-09-06,20.6
2023-09-07,24.9
2023-09-08,-0.9
2023-09-09,-3.7
2023-09-10,-11.3
2023-09-11,14.1
2023-09-12,-12.2
2023-09-13,-4.1
2023-09-14,-8.0
2023-09-15,5.0
2023-09-16,15.5
2023-09-17,7.5
2023-09-18,23.6
2023-09-19,-7.4
2023-09-20,13.7
2023-09-21,-4.4
2023-09-22,-1.9
2023-09-23,17.0
2023-09-24,3.6
2023-09-25,16.6
2023-09-26,4.4
2023-09-27,23.8
2023-09-28,22.7
2023-09-29,-2.5
2023-09-30,16.3
2023-10-01,-9.0
2023-10-02,18.0
2023-10-03,22.6
2023-10-04,-6.7
2023-10-05,-5.9
2023-10-06,18.9
2023-10-07,16.8
2023-10-08,13.3
2023-10-09,24.4
2023-10-10,6.9
2023-10-11,-14.2
2023-10-12,10.6
2023-10-13,-1.3
2023-10-14,-8.2
2023-10-15,4.7
2023-10-16,18.2
2023-10-17,-11.7
2023-10-18,-11.1
2023-10-19,-12.9
2023-10-20,21.1
2023-10-21,-9.7
2023-10-22,20.0
2023-10-23,-6.6
2023-10-24,-6.0
2023-10-25,1.9
2023-10-26,13.1
2023-10-27,-13.8
2023-10-28,13.3
2023-10-29,-7.9
2023-10-30,-5.0
2023-10-31,8.0
2023-11-01,0.4
2023-11-02,1.5
2023-11-03,16.3
2023-11-04,-8.4
2023-11-05,-8.6
2023-11-06,-3.5
2023-11-07,22.0
2023-11-08,22.7
2023-11-09,16.9
2023-11-10,0.3
2023-11-11,18.8
2023-11-12,4.0
2023-11-13,20.3
2023-11-14,5.8
2023-11-15,-11.6
2023-11-16,0.3
2023-11-17,-5.9
2023-11-18,-3.7
2023-11-19,-11.8
2023-11-20,12.1
2023-11-21,-10.3
2023-11-22,5.6
2023-11-23,-1.9
2023-11-24,4.6
2023-11-25,11.3
2023-11-26,18.2
2023-11-27,24.5
2023-11-28,-15.0
2023-11-29,17.7
2023-11-30,-6.4
2023-12-01,-3.0
2023-12-02,1.4
2023-12-03,-8.5
2023-12-04,2.9
2023-12-05,4.8
2023-12-06,19.3
2023-12-07,21.7
2023-12-08,7.8
2023-12-09,21.3
2023-12-10,15.8
2023-12-11,-7.6
2023-12-12,-9.4
2023-12-13,19.8
2023-12-14,10.7
2023-12-15,-3.8
2023-12-16,-6.0
2023-12-17,-4.3
2023-12-18,13.7
2023-12-19,3.7
2023-12-20,-9.6
2023-12-21,-1.3
2023-12-22,19.1
2023-12-23,-6.2
2023-12-24,1.5
2023-12-25,7.4
2023-12-26,-3.5
2023-12-27,-13.1
2023-12-28,-9.7
2023-12-29,-14.9
2023-12-30,11.7
2023-12-31,-2.1
2024-01-01,1.8
2024-01-02,7.4
2024-01-03,-8.3
2024-01-04,-4.1
2024-01-05,7.4
2024-01-06,23.6
2024-01-07,6.1
2024-01-08,8.8
2024-01-09,11.1
2024-01-10,16.7
2024-01-11,-6.2
2024-01-12,1.5
2024-01-13,4.8
2024-01-14,-8.0
2024-01-15,0.9
2024-01-16,21.3
2024-01-17,-9.5
2024-01-18,-6.3
2024-01-19,16.4
2024-01-20,21.6
2024-01-21,-10.8
2024-01-22,-14.3
2024-01-23,8.4
2024-01-24,-2.8
2024-01-25,24.1
2024-01-26,14.2
2024-01-27,-14.5
2024-01-28,-5.2
2024-01-29,7.3
2024-01-30,4.6
2024-01-31,-2.5
2024-02-01,10.2
2024-02-02,-9.5
2024-02-03,-9.5
2024-02-04,-9.4
2024-02-05,8.1
2024-02-06,-5.4
2024-02-07,4.0
2024-02-08,-5.7
2024-02-09,22.7
2024-02-10,-13.0
2024-02-11,17.6
2024-02-12,18.3
2024-02-13,4.2
2024-02-14,2.2
2024-02-15,1.3
2024-02-16,23.7
2024-02-17,-5.7
2024-02-18,18.7
2024-02-19,2.4
2024-02-20,-14.3
2024-02-21,-5.4
2024-02-22,-2.0
2024-02-23,1.4
2024-02-24,1.8
2024-02-25,-5.3
2024-02-26,-11.2
2024-02-27,22.7
2024-02-28,-14.6
2024-02-29,-6.4
2024-03-01,6.8
2024-03-02,11.5
2024-03-03,9.7
2024-03-04,-11.5
2024-03-05,-9.9
2024-03-06,23.9
2024-03-07,13.7
2024-03-08,-15.0
2024-03-09,-3.5
2024-03-10,24.8
2024-03-11,22.2
2024-03-12,-15.0
2024-03-13,24.3
2024-03-14,1.4
2024-03-15,20.4
2024-03-16,20.5
2024-03-17,4.5
2024-03-18,2.6
2024-03-19,17.7
2024-03-20,-8.0
2024-03-21,24.1
2024-03-22,23.8
2024-03-23,15.6
2024-03-24,-5.9
2024-03-25,-4.9
2024-03-26,-3.8
2024-03-27,12.0
2024-03-28,1.7
2024-03-29,-12.1
2024-03-30,-14.8
2024-03-31,12.3
2024-04-01,-5.4
2024-04-02,4.6
2024-04-03,11.7
2024-04-04,-2.4
2024-04-05,1.7
2024-04-06,-2.1
2024-04-07,20.3
2024-04-08,20.7
2024-04-09,-8.3
2024-04-10,15.9
2024-04-11,-4.1
2024-04-12,8.2
2024-04-13,22.5
2024-04-14,7.0
2024-04-15,7.8
2024-04-16,20.6
2024-04-17,18.1
2024-04-18,13.2
2024-04-19,5.9
2024-04-20,-13.6
2024-04-21,0.8
2024-04-22,14.3
2024-04-23,-4.6
2024-04-24,19.8
2024-04-25,-2.4
2024-04-26,-12.8
2024-04-27,24.8
2024-04-28,-5.2
2024-04-29,-8.8
2024-04-30,14.5
2024-05-01,10.7
2024-05-02,11.4
2024-05-03,8.4
2024-05-04,15.7
2024-05-05,23.9
2024-05-06,-11.9
2024-05-07,-13.4
2024-05-08,16.3
2024-05-09,-8.7
2024-05-10,16.3
2024-05-11,16.3
2024-05-12,22.4
2024-05-13,7.5
2024-05-14,10.9
2024-05-15,2.1
2024-05-16,18.4
2024-05-17,9.8
2024-05-18,12.4
2024-05-19,-10.9
2024-05-20,-10.1
2024-05-21,6.0
2024-05-22,-6.1
2024-05-23,18.9
2024-05-24,3.6
2024-05-25,13.3
2024-05-26,10.7
2024-05-27,-7.7
2024-05-28,1.0
2024-05-29,7.4
2024-05-30,21.8
2024-05-31,1.5
2024-06-01,-14.8
2024-06-02,-12.7
2024-06-03,15.1
2024-06-04,-0.8
2024-06-05,-4.3
2024-06-06,14.2
2024-06-07,-9.7
2024-06-08,14.0
2024-06-09,17.0
2024-06-10,3.0
2024-06-11,5.4
2024-06-12,22.9
2024-06-13,-12.4
2024-06-14,11.5
2024-06-15,-12.3
2024-06-16,7.3
2024-06-17,-6.3
2024-06-18,24.8
2024-06-19,11.3
2024-06-20,0.7
2024-06-21,-11.2
2024-06-22,20.9
2024-06-23,-0.6
2024-06-24,3.8
2024-06-25,-14.5
2024-06-26,15.5
2024-06-27,13.8
2024-06-28,12.6
2024-06-29,19.5
2024-06-30,2.7
2024-07-01,-7.2
2024-07-02,17.0
2024-07-03,-10.7
2024-07-04,20.4
2024-07-05,12.5
2024-07-06,23.8
2024-07-07,-11.2
2024-07-08,18.7
2024-07-09,-14.4
2024-07-10,-7.4
2024-07-11,3.1
2024-07-12,3.9
2024-07-13,23.8
2024-07-14,-4.1
2024-07-15,-6.8
2024-07-16,-11.8
2024-07-17,13.1
2024-07-18,-11.8
2024-07-19,3.7
2024-07-20,21.3
2024-07-21,-1.3
2024-07-22,-12.6
2024-07-23,3.3
2024-07-24,6.0
2024-07-25,-10.0
2024-07-26,-12.8
2024-07-27,-1.2
2024-07-28,-0.2
2024-07-29,21.8
2024-07-30,-11.3
2024-07-31,-11.3
2024-08-01,24.5
2024-08-02,-10.6
2024-08-03,13.3
2024-08-04,-4.7
2024-08-05,1.0
2024-08-06,11.6
2024-08-07,17.1
2024-08-08,3.1
2024-08-09,-13.0
2024-08-10,-5.8
2024-08-11,16.0
2024-08-12,22.9
